doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509974,body,0,0,True,[1],"Der groſſe Weltberg/ mit ſeinen Zehenfachen harten Steinklippen/ vnd Creutzhuͤgeln. Den alle Chriſtliche vnd Gottſelige Hertzen vberſteigen muͤſſen/ ehe ſie das Himliſche Vaterland einnehmen/ vnd beſitzen. Gehandelt in einer Leichpredigt Bey der Chriſtlichen Sepultur, der weyland Ehr- vnd Tugendtreichen Frawen/ Eliſabeth Schmiedelin. Des Ehꝛenfeſten/ Achtbarn vnd Hochgelahꝛten Herꝛen Johannis Pilgrami, der Artzney Doctoris, vnd Medici zum Brieg/ Hertzvielgeliebten Ehlichen Haußfrawen. Welche den 7. Junij dieſes lauffenden 1614. Jahꝛes/ zwar ploͤtzlich/ des Morgens fruͤh/ zwiſchen 3. vnd 4. Aber doch Seliglich/ eingeſchlaffen/ vnd folgendts den 12. diß Chriſtlich zur Erden beſtattet worden/ Jn der Fuͤrſtlichen Schloſskirchen zum Brieg. Durch Johannem Neomenium Fuͤrſtlichen Hofepredigern/ vnd Superintendenten daſelbſt. Gedruckt/ Jnn der Fuͤrſtlichen Stadt Olſſe/ Durch Johan: Boͤſſemeſſer.",der groſſe weltberg mit ſeinen zehenfachen harten steinklippen vnd creutzhuͤgeln den alle chriſtliche vnd gottſelige hertzen vberſteigen muͤſſen ehe ſie das himliſche vaterland einnehmen vnd beſitzen gehandelt in einer leichpredigt bey der chriſtlichen sepultur der weyland ehr vnd tugendtreichen frawen eliſabeth schmiedelin des ehꝛenfeſten achtbarn vnd hochgelahꝛten herꝛen johannis pilgrami der artzney doctoris vnd medici zum brieg hertzvielgeliebten ehlichen haußfrawen welche den junij dieſes lauffenden jahꝛes zwar ploͤtzlich des morgens fruͤh zwiſchen vnd aber doch seliglich eingeſchlaffen vnd folgendts den diß chriſtlich zur erden beſtattet worden jn der fuͤrſtlichen schloſskirchen zum brieg durch johannem neomenium fuͤrſtlichen hofepredigern vnd superintendenten daſelbſt gedruckt jnn der fuͤrſtlichen stadt olſſe durch johan boͤſſemeſſer,der grosse weltberg mit seinen zehenfachen harten steinklippen und creutzhugeln den alle christliche und gottselige hertzen ubersteigen mussen ehe sie das himlische uaterland einnehmen und besitzen gehandelt in einer leichpredigt bey der christlichen sepultur der weyland ehr und tugendtreichen frawen elisabeth schmiedelin des ehenfesten achtbarn und hochgelahten heren iohannis pilgrami der artzney doctoris und medici zum brieg hertzuielgeliebten ehlichen haussfrawen welche den iunii dieses lauffenden iahes zwar plotzlich des morgens fruh zwischen und aber doch seliglich eingeschlaffen und folgendts den diss christlich zur erden bestattet worden in der furstlichen schlosskirchen zum brieg durch iohannem neomenium furstlichen hofepredigern und superintendenten daselbst gedruckt inn der furstlichen stadt olsse durch iohan bossemesser
509974,body,1,0,False,[2],"Viris Magnificis Virtutum Nobilitate, Eruditionis Claritate, Conſiliorum Dexteritate, Præſtantißimis.",viris magnificis virtutum nobilitate eruditionis claritate conſiliorum dexteritate præſtantißimis,uiris magnificis uirtutum nobilitate eruditionis claritate consiliorum dexteritate praestantissimis
509974,body,1,1,False,[2],Dn: Dn: Georgio Gerhardo.,dn dn georgio gerhardo,dn dn georgio gerhardo
509974,body,1,2,False,[2],Conrado Passelio.,conrado passelio,conrado passelio
509974,body,1,3,False,[2],J. U. Doctoribus Celeberrimis,j u doctoribus celeberrimis,i u doctoribus celeberrimis
509974,head,1,4,False,[2],"JLLUSTRISSIMI ATQ. AUGUSTISSIMI Principis ac Domini, DN. CAROLI, MONSTER BERGENSIUM IN SILESIA DUCIS, &ç. Supremi per utramq̀; Sileſiam Capitanei.",jllustrissimi atq augustissimi principis ac domini dn caroli monster bergensium in silesia ducis &ç supremi per utramq̀ sileſiam capitanei,illustrissimi atq augustissimi principis ac domini dn caroli monster bergensium in silesia ducis etc supremi per utramq silesiam capitanei
509974,body,1,5,False,[2],"&ç. Conſiliariis prudentißimis, & isti, Cancellario diſertißimo.",&ç conſiliariis prudentißimis & isti cancellario diſertißimo,etc consiliariis prudentissimis et isti cancellario disertissimo
509974,body,1,6,False,[2],"Nec non Dn: JOHANNI PILGRAMO Medicinæ Doctori, apud Bregenſes, peritißimo ac felicißimo.",nec non dn johanni pilgramo medicinæ doctori apud bregenſes peritißimo ac felicißimo,nec non dn iohanni pilgramo medicinae doctori apud bregenses peritissimo ac felicissimo
509974,body,1,7,True,[2],"Dn: Dn: Dn: Mecœnatibus Patronis & Fautoribus ſuis, Suſpiciendis & æternùm colendis. S.",dn dn dn mecœnatibus patronis & fautoribus ſuis suſpiciendis & æternùm colendis s,dn dn dn mecoenatibus patronis et fautoribus suis suspiciendis et aeternum colendis s
509974,body,2,0,True,[2],"COnjuge qui placida fruitur, ſuaviꝙ́ bonaꝙ́",conjuge qui placida fruitur ſuaviꝙ́ bonaꝙ́,coniuge qui placida fruitur suauiquod bonaquod
