doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524265,body,0,0,True,[1],"Ein Chriſtliche Leichpredigt Bey Begraͤbnus Weylandt des Ehrwuͤrdigen vnnd Hochgelehrten Herren M. Chiliani Passaueri, Pfarhers zun Predigern in Speier/ Welcher den 25. Januar. dieſes jetztlauffenden 1614. Jahrs in Gott ſeliglich abgeſtorben/ vnd den folgenden 27. Tag gantz Chriſtlichen in groſſer Frequentz zu ſeinem Ruhebethlein gebracht vnd hingelegt worden. Gehalten Durch M. Nicolaum Phryſium Pfarhern in Speier bey S. Georgen. Gedruckt zu Speier bey Elias Kembach/ Jm 1614. Jahr.",ein chriſtliche leichpredigt bey begraͤbnus weylandt des ehrwuͤrdigen vnnd hochgelehrten herren m chiliani passaueri pfarhers zun predigern in speier welcher den januar dieſes jetztlauffenden jahrs in gott ſeliglich abgeſtorben vnd den folgenden tag gantz chriſtlichen in groſſer frequentz zu ſeinem ruhebethlein gebracht vnd hingelegt worden gehalten durch m nicolaum phryſium pfarhern in speier bey s georgen gedruckt zu speier bey elias kembach jm jahr,ein christliche leichpredigt bey begrabnus weylandt des ehrwurdigen unnd hochgelehrten herren m chiliani passaueri pfarhers zun predigern in speier welcher den ianuar dieses ietztlauffenden iahrs in gott seliglich abgestorben und den folgenden tag gantz christlichen in grosser frequentz zu seinem ruhebethlein gebracht und hingelegt worden gehalten durch m nicolaum phrysium pfarhern in speier bey s georgen gedruckt zu speier bey elias kembach im iahr
524265,body,1,0,True,3,Die Liebe Gottes des Vatters/ die Gnade Jeſu Chriſti/ vnd die Gemeinſchaft des heiligen Geiſtes/ ſey mit vns allen/ Amen.,die liebe gottes des vatters die gnade jeſu chriſti vnd die gemeinſchaft des heiligen geiſtes ſey mit vns allen amen,die liebe gottes des uatters die gnade iesu christi und die gemeinschaft des heiligen geistes sey mit uns allen amen
524265,body,2,0,False,3,WArumb Wir/ Geliebte vnd Andaͤchtige in dem Herrn Jeſu Chriſto/ fuͤr dißmal in ſo groſſer Frequentz vnd gedraͤngnus zuſammen kommen/ bedarff keines anzeigens: Wir ſehens mit weinenden Augen vnd groſſen Trawren/ daß Wir nemlich den Leichnam vnſers lieben getrewen Pfarꝛherꝛs vnd Seelſorgers/ des Ehrwuͤrdigen/ Achtbarn vnd Wolgelehrten Herꝛn/ M. Chiliani Paſſawers/ welches geiſtreiche Stimm wir nun 27. Jahr in vnſern Kirchen mit groſſem Nutzen gehoͤrt/ hinauß in ſein erwuͤnſchtes Schlaffkaͤmmerlin vnd ſanftes Ruhebethlin geleitet/ vnd Sanctis exuviis die letſte Ehꝛ erzeigen helffen.,warumb wir geliebte vnd andaͤchtige in dem herrn jeſu chriſto fuͤr dißmal in ſo groſſer frequentz vnd gedraͤngnus zuſammen kommen bedarff keines anzeigens wir ſehens mit weinenden augen vnd groſſen trawren daß wir nemlich den leichnam vnſers lieben getrewen pfarꝛherꝛs vnd seelſorgers des ehrwuͤrdigen achtbarn vnd wolgelehrten herꝛn m chiliani paſſawers welches geiſtreiche stimm wir nun jahr in vnſern kirchen mit groſſem nutzen gehoͤrt hinauß in ſein erwuͤnſchtes schlaffkaͤmmerlin vnd ſanftes ruhebethlin geleitet vnd sanctis exuviis die letſte ehꝛ erzeigen helffen,warumb wir geliebte und andachtige in dem herrn iesu christo fur dissmal in so grosser frequentz und gedrangnus zusammen kommen bedarff keines anzeigens wir sehens mit weinenden augen und grossen trawren dass wir nemlich den leichnam unsers lieben getrewen pfarhers und seelsorgers des ehrwurdigen achtbarn und wolgelehrten hern m chiliani passawers welches geistreiche stimm wir nun iahr in unsern kirchen mit grossem nutzen gehort hinauss in sein erwunschtes schlaffkammerlin und sanftes ruhebethlin geleitet und sanctis exuuiis die letste eh erzeigen helffen
524265,body,2,1,False,3,Es hat der Herr aus vnſerm Mittel hinweg genommen nicht ein ſchlecht Liechtlein/ ſondern ein recht bꝛennend Fackel/ ein ſolches Liecht/ daß nicht vnder einem Scheffel geſtanden/ ſonder auf dem Leuchter geſteckt/ beides in Lehr vnd Leben ein ſolchen Glantz von ſich geben/ dabey ſich jederman in vnſerer Stadt vnd Kirchen/ jung vnd alt/ klein vnd groß/ arm vnd reich/ Edel vnd vnedel/ Gelehrt vnd vngelehrt hat beſehen koͤnnen.,es hat der herr aus vnſerm mittel hinweg genommen nicht ein ſchlecht liechtlein ſondern ein recht bꝛennend fackel ein ſolches liecht daß nicht vnder einem scheffel geſtanden ſonder auf dem leuchter geſteckt beides in lehr vnd leben ein ſolchen glantz von ſich geben dabey ſich jederman in vnſerer stadt vnd kirchen jung vnd alt klein vnd groß arm vnd reich edel vnd vnedel gelehrt vnd vngelehrt hat beſehen koͤnnen,es hat der herr aus unserm mittel hinweg genommen nicht ein schlecht liechtlein sondern ein recht bennend fackel ein solches liecht dass nicht under einem scheffel gestanden sonder auf dem leuchter gesteckt beides in lehr und leben ein solchen glantz uon sich geben dabey sich iederman in unserer stadt und kirchen iung und alt klein und gross arm und reich edel und unedel gelehrt und ungelehrt hat besehen konnen
524265,body,2,2,False,3,Es hat vnſer Gott auß vnſerm weg vnd mittel hinweg genommen nit ein junges Pfroͤpffreißlin/ welches man newlich gepflantzt/ daß man erſt hat lang begieſſen muͤſſen/ vnd des Gluͤcks erwarten/ wie es mitler zeit gerahten moͤchte/ ſondern einen rechtgewachſenen Cederbaum/ an welchem wir im Hauß des Herrr noch viel Jahr/ hertzenluſt vnd Frewd hetten ſehen moͤgen.,es hat vnſer gott auß vnſerm weg vnd mittel hinweg genommen nit ein junges pfroͤpffreißlin welches man newlich gepflantzt daß man erſt hat lang begieſſen muͤſſen vnd des gluͤcks erwarten wie es mitler zeit gerahten moͤchte ſondern einen rechtgewachſenen cederbaum an welchem wir im hauß des herrr noch viel jahr hertzenluſt vnd frewd hetten ſehen moͤgen,es hat unser gott auss unserm weg und mittel hinweg genommen nit ein iunges pfropffreisslin welches man newlich gepflantzt dass man erst hat lang begiessen mussen und des glucks erwarten wie es mitler zeit gerahten mochte sondern einen rechtgewachsenen cederbaum an welchem wir im hauss des herrr noch uiel iahr hertzenlust und frewd hetten sehen mogen
524265,body,2,3,False,4,Ja es hat Gott aus vnſerm Mittel hingenommen einen Mann/ der vor vilen andern mit beſondern Gaben des Geiſtes geſchmuͤckt vnd geziert/ den Namen des Herren fuͤr Freund vnd Feind zu verkuͤndigen maͤchtig geweſen.,ja es hat gott aus vnſerm mittel hingenommen einen mann der vor vilen andern mit beſondern gaben des geiſtes geſchmuͤckt vnd geziert den namen des herren fuͤr freund vnd feind zu verkuͤndigen maͤchtig geweſen,ia es hat gott aus unserm mittel hingenommen einen mann der uor uilen andern mit besondern gaben des geistes geschmuckt und geziert den namen des herren fur freund und feind zu uerkundigen machtig gewesen
524265,body,2,4,False,4,Moͤchten derohalben wol mit Jeremia klagen/ Ach daß wir Waſſers gnug in vnſerm Haupt hetten/ Ach daß vnſere Augen threnenquell weren/ vnd wir tag vnd nacht beweynen moͤchten den trawrigen Riß den vns der Herr gemacht hat.,moͤchten derohalben wol mit jeremia klagen ach daß wir waſſers gnug in vnſerm haupt hetten ach daß vnſere augen threnenquell weren vnd wir tag vnd nacht beweynen moͤchten den trawrigen riß den vns der herr gemacht hat,mochten derohalben wol mit ieremia klagen ach dass wir wassers gnug in unserm haupt hetten ach dass unsere augen threnenquell weren und wir tag und nacht beweynen mochten den trawrigen riss den uns der herr gemacht hat
524265,body,2,5,True,4,Laßt vns zum Herren/ mit ſeufftzen vnd gebett wenden vnd ſagen/ Ach Herr du haſt vns geſchlagen/ du wolleſt vnſer Kirch wider heylen/ dein Wort vnd Lehr ferner bey vns erhalten.,laßt vns zum herren mit ſeufftzen vnd gebett wenden vnd ſagen ach herr du haſt vns geſchlagen du wolleſt vnſer kirch wider heylen dein wort vnd lehr ferner bey vns erhalten,lasst uns zum herren mit seufftzen und gebett wenden und sagen ach herr du hast uns geschlagen du wollest unser kirch wider heylen dein wort und lehr ferner bey uns erhalten
524265,body,3,0,True,4,Nun ſeyn wir aber beyſammen/ nicht nur zu trawren/ vnd vns vnſer Sterblichkeit zu erinnern/ ſondern auch der kuͤnfftigen Herꝛlichkeit zu getroͤſten/ Solches fruchtbarlich zu behertzigen/ erhebt Ewre Hertzen zu Gott/ vnd betet mit andacht ein heiligs Vatter vnſer ꝛc.,nun ſeyn wir aber beyſammen nicht nur zu trawren vnd vns vnſer sterblichkeit zu erinnern ſondern auch der kuͤnfftigen herꝛlichkeit zu getroͤſten solches fruchtbarlich zu behertzigen erhebt ewre hertzen zu gott vnd betet mit andacht ein heiligs vatter vnſer ꝛc,nun seyn wir aber beysammen nicht nur zu trawren und uns unser sterblichkeit zu erinnern sondern auch der kunfftigen herlichkeit zu getrosten solches fruchtbarlich zu behertzigen erhebt ewre hertzen zu gott und betet mit andacht ein heiligs uatter unser c
524265,head,4,0,True,4,Textus 2. Timoth. 4. v. 6. 7. 8.,textus timoth v,textus timoth u
