doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524249,body,0,0,True,[1],Chriſtlich Leichpredigt/ Bey der Ehrn vnnd Tugendſamen Frawen Marte/ geborner Anſin/ weyland deß Ehꝛnveſten/ Vorgeachten Herꝛn Dieterich Orthen/ Burgers. vnd deß Gerichts zu Haylbron ſeligen hinderlaſſener Wittib: Welche den 29. Maij/ anuo 1613. zu Abend zwiſchen 11. vnd 12. Vhren ſeliglich entſchlaffen/ vnd folgenden 31. Maij ehrlich zur Erden beſtattet worden. Gehalten Durch M. Ioannem Zůckwolffen/ Predigern am Wort Gottes in Haylbron. Gedruckt zu Darmbſtatt/ durch Balthaſar Hofmann/ im Jahr MDCXIV.,chriſtlich leichpredigt bey der ehrn vnnd tugendſamen frawen marte geborner anſin weyland deß ehꝛnveſten vorgeachten herꝛn dieterich orthen burgers vnd deß gerichts zu haylbron ſeligen hinderlaſſener wittib welche den maij anuo zu abend zwiſchen vnd vhren ſeliglich entſchlaffen vnd folgenden maij ehrlich zur erden beſtattet worden gehalten durch m ioannem zůckwolffen predigern am wort gottes in haylbron gedruckt zu darmbſtatt durch balthaſar hofmann im jahr mdcxiv,christlich leichpredigt bey der ehrn unnd tugendsamen frawen marte geborner ansin weyland dess ehnuesten uorgeachten hern dieterich orthen burgers und dess gerichts zu haylbron seligen hinderlassener wittib welche den maii anuo zu abend zwischen und uhren seliglich entschlaffen und folgenden maii ehrlich zur erden bestattet worden gehalten durch m ioannem zuckwolffen predigern am wort gottes in haylbron gedruckt zu darmbstatt durch balthasar hofmann im iahr mdcxiu
524249,head,1,0,True,3,Textus.,textus,textus
524249,head,2,0,True,3,Explicatio.,explicatio,explicatio
524249,body,3,0,False,3,"ES hat ein Alter Kirchenlehrer ſchoͤn geſchrieben vnd geſagt/ Der Tod hab dreyerley abgeſandter Botten: Der Erſte heiſſe Caſus, id eſt, ein ſchneller ploͤtzlicher Zufall: Der Ander/ Infirmitas, i. Leibs Kranckheit: Der Dritte/ Senectus, id eſt, das hohe Alter: Vnnd meldet zugleich/ der Erſte Bott bringe zweiffelhafftigen: der Ander ernſtlichen: der Dritte aber gewiſſen Beſcheid.",es hat ein alter kirchenlehrer ſchoͤn geſchrieben vnd geſagt der tod hab dreyerley abgeſandter botten der erſte heiſſe caſus id eſt ein ſchneller ploͤtzlicher zufall der ander infirmitas i leibs kranckheit der dritte senectus id eſt das hohe alter vnnd meldet zugleich der erſte bott bringe zweiffelhafftigen der ander ernſtlichen der dritte aber gewiſſen beſcheid,es hat ein alter kirchenlehrer schon geschrieben und gesagt der tod hab dreyerley abgesandter botten der erste heisse casus id est ein schneller plotzlicher zufall der ander infirmitas i leibs kranckheit der dritte senectus id est das hohe alter unnd meldet zugleich der erste bott bringe zweiffelhafftigen der ander ernstlichen der dritte aber gewissen bescheid
524249,body,3,1,True,4,Vnd ſetzt noch ferꝛners darzu/ der Erſt bring den verborgenen/ der Ander den herzunahenden/ der Dritt aber den gegenwertigen Todt.,vnd ſetzt noch ferꝛners darzu der erſt bring den verborgenen der ander den herzunahenden der dritt aber den gegenwertigen todt,und setzt noch ferners darzu der erst bring den uerborgenen der ander den herzunahenden der dritt aber den gegenwertigen todt
524249,body,4,0,False,4,Wann wir nun fleiſſig achtung darauff geben/ befinden wir daß dieſe drey Legaten/ alle Stund/ Tag/ Monat vnd Jahr in der gantzen Welt vmbpoſtiren/ dann die taͤgliche Erfahrung bezeugts/ daß viel Leuth ſterben/ die entweder ein Zeitlang kranck gelegen/ oder wegen jhres hohen Alters/ oder daß ſie mit ſchnellen Zufaͤllen vbereylet/ ſtarcker Apoplexia oder Gottes Gewalt getroffen werden: Nun erſchrecken vns dieſe Bottſchafften gleichwol alle drey/ wann ſie vns zu Hauß kommen/ aber der ſchnelle vnverſehene Bott am allermeiſten.,wann wir nun fleiſſig achtung darauff geben befinden wir daß dieſe drey legaten alle stund tag monat vnd jahr in der gantzen welt vmbpoſtiren dann die taͤgliche erfahrung bezeugts daß viel leuth ſterben die entweder ein zeitlang kranck gelegen oder wegen jhres hohen alters oder daß ſie mit ſchnellen zufaͤllen vbereylet ſtarcker apoplexia oder gottes gewalt getroffen werden nun erſchrecken vns dieſe bottſchafften gleichwol alle drey wann ſie vns zu hauß kommen aber der ſchnelle vnverſehene bott am allermeiſten,wann wir nun fleissig achtung darauff geben befinden wir dass diese drey legaten alle stund tag monat und iahr in der gantzen welt umbpostiren dann die tagliche erfahrung bezeugts dass uiel leuth sterben die entweder ein zeitlang kranck gelegen oder wegen ihres hohen alters oder dass sie mit schnellen zufallen ubereylet starcker apoplexia oder gottes gewalt getroffen werden nun erschrecken uns diese bottschafften gleichwol alle drey wann sie uns zu hauss kommen aber der schnelle unuersehene bott am allermeisten
524249,body,4,1,True,4,Damit wir nun wiſſen wie wir ſolchem Schrecken vorbawen/ vnd in ſchnellen ploͤtzlichen Zuſtaͤnden troͤſten ſollen/ ſo laſſet vns ſolches kuͤrtzlich lernen auß den Worten Chriſti vnſers Heylands/ darzu Gott die Gnad ſeines H. Geiſtes geben wolle.,damit wir nun wiſſen wie wir ſolchem schrecken vorbawen vnd in ſchnellen ploͤtzlichen zuſtaͤnden troͤſten ſollen ſo laſſet vns ſolches kuͤrtzlich lernen auß den worten chriſti vnſers heylands darzu gott die gnad ſeines h geiſtes geben wolle,damit wir nun wissen wie wir solchem schrecken uorbawen und in schnellen plotzlichen zustanden trosten sollen so lasset uns solches kurtzlich lernen auss den worten christi unsers heylands darzu gott die gnad seines h geistes geben wolle
524249,head,5,0,True,4,Videamus.,videamus,uideamus
524249,body,6,0,True,4,ES ſchreibet Chriſtus vnſer Heylandt vns zwo nůtzliche Reguln vor/ die wir practiciren ſollen in vnſerm Leben/ Die erſte heiſt wachen: nicht daß wir dem Leib nach alzeit wachen ſolten/ dañ das iſt vnmuͤglich/ ſondern der Seelen nach/ Wir ſollen vnſers Heils war nehmen/ Gott vor Augen haben/ vns der Gottſeligkeit befleiſſigen/ vnnd wachen von ſuͤndlichen Wercken/ wie Petrus vermahnet/ Weil wir wiſſen die zeit/ daß die Stund da iſt/ auffzuſtehen vom Schlaff/ die Nacht iſt vergangen/ aber der Tag herbey kommen/ ſo laſſet vns ablegen die Werck der Finſternuß/ vnnd anlegen die Waffen deß Liechts.,es ſchreibet chriſtus vnſer heylandt vns zwo nůtzliche reguln vor die wir practiciren ſollen in vnſerm leben die erſte heiſt wachen nicht daß wir dem leib nach alzeit wachen ſolten dañ das iſt vnmuͤglich ſondern der seelen nach wir ſollen vnſers heils war nehmen gott vor augen haben vns der gottſeligkeit befleiſſigen vnnd wachen von ſuͤndlichen wercken wie petrus vermahnet weil wir wiſſen die zeit daß die stund da iſt auffzuſtehen vom schlaff die nacht iſt vergangen aber der tag herbey kommen ſo laſſet vns ablegen die werck der finſternuß vnnd anlegen die waffen deß liechts,es schreibet christus unser heylandt uns zwo nutzliche reguln uor die wir practiciren sollen in unserm leben die erste heist wachen nicht dass wir dem leib nach alzeit wachen solten dann das ist unmuglich sondern der seelen nach wir sollen unsers heils war nehmen gott uor augen haben uns der gottseligkeit befleissigen unnd wachen uon sundlichen wercken wie petrus uermahnet weil wir wissen die zeit dass die stund da ist auffzustehen uom schlaff die nacht ist uergangen aber der tag herbey kommen so lasset uns ablegen die werck der finsternuss unnd anlegen die waffen dess liechts
524249,body,7,0,True,5,Die ander Regul heiſt Beten/ dann es iſt Chriſto vnſerm Herren wolbewuſt/ daß wir nicht gnug wachen vnd wehren koͤnnen/ weil wir der Feinde zuvtel haben/ die vns nachſchleichen/ darumb befihlet er vns das Gebet/ wir ſollen durch daſſelbe GOtt zu einem trewen Beyſtandt anſprechen.,die ander regul heiſt beten dann es iſt chriſto vnſerm herren wolbewuſt daß wir nicht gnug wachen vnd wehren koͤnnen weil wir der feinde zuvtel haben die vns nachſchleichen darumb befihlet er vns das gebet wir ſollen durch daſſelbe gott zu einem trewen beyſtandt anſprechen,die ander regul heist beten dann es ist christo unserm herren wolbewust dass wir nicht gnug wachen und wehren konnen weil wir der feinde zuutel haben die uns nachschleichen darumb befihlet er uns das gebet wir sollen durch dasselbe gott zu einem trewen beystandt ansprechen
524249,body,8,0,False,5,Es ſetzet aber der Herr auch Vrſachen/ warumb wir vns dieſer beyden Reguln gemeß verhalten ſollen/ dann ſagt er/ Jhr wiſſet nicht/ zu welcher Stund ewer Herr kompt/ Vnnd damit mans noch baß veſtehe/ ſo braucht er ein Gleichnuß/ von einem Naͤchtlichen Dieb/ Dann wann ein Haußvatter wůſte/ daß jhm einer in der Nacht wuͤrde einbrechen/ ſo wůrde er vmb der einigẽ vngewiſſen Stund willen/ die gantze Nacht wachen/ jhme auff den Dienſt warten/ damit jhm ſein Haab vnd Gůter nit entwendet wuͤrden.,es ſetzet aber der herr auch vrſachen warumb wir vns dieſer beyden reguln gemeß verhalten ſollen dann ſagt er jhr wiſſet nicht zu welcher stund ewer herr kompt vnnd damit mans noch baß veſtehe ſo braucht er ein gleichnuß von einem naͤchtlichen dieb dann wann ein haußvatter wůſte daß jhm einer in der nacht wuͤrde einbrechen ſo wůrde er vmb der einigẽ vngewiſſen stund willen die gantze nacht wachen jhme auff den dienſt warten damit jhm ſein haab vnd gůter nit entwendet wuͤrden,es setzet aber der herr auch ursachen warumb wir uns dieser beyden reguln gemess uerhalten sollen dann sagt er ihr wisset nicht zu welcher stund ewer herr kompt unnd damit mans noch bass uestehe so braucht er ein gleichnuss uon einem nachtlichen dieb dann wann ein haussuatter wuste dass ihm einer in der nacht wurde einbrechen so wurde er umb der einigen ungewissen stund willen die gantze nacht wachen ihme auff den dienst warten damit ihm sein haab und guter nit entwendet wurden
524249,body,8,1,True,5,Darauff ſchleuſt Chriſtus vnſer Herr/ Darumb ſeyt jhr auch bereyt/ wann deß Menſchen Sohn kompt/ in einer Stund da jhr nicht meynet/ vnnd jhr nicht der ewigen Himmliſchen Guͤter beraubet werdet.,darauff ſchleuſt chriſtus vnſer herr darumb ſeyt jhr auch bereyt wann deß menſchen sohn kompt in einer stund da jhr nicht meynet vnnd jhr nicht der ewigen himmliſchen guͤter beraubet werdet,darauff schleust christus unser herr darumb seyt ihr auch bereyt wann dess menschen sohn kompt in einer stund da ihr nicht meynet unnd ihr nicht der ewigen himmlischen guter beraubet werdet
524249,head,9,0,True,6,Lehr.,lehr,lehr
