doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524584,head,0,0,True,[1],"ΓΛϒΚϒ΄ΠΙΚΡΟΝ Wider die betruͤbte bittere TrawerKlage/ Bey Abfuͤhrung vnd Begleitung zum erlangeten Ruhebettlein/ der Edlen/ Viel Ehrentugendreichen/ Wolbenambten Frawen Annen Marien/ Gebornen Sckoppin/ außm Hauſe Glaͤſersdorff: Des Edlen/ Geſtrengen/ Ehrenvheſten/ Wolbenambten Herꝛn Hanſen von Noſtitz vnd Noys/ auff groß vñ klein Strantz/ ꝛc. Fuͤrſtlichen Liegnitſchen/ Briegiſchen Raths/ vnd des Fuͤrſtenthumbs Wohlaw/ ſo wol zugehoͤriger Krayſe vnd Herrſchafften Landes Hauptmanns/ ꝛc. ehelichen hertzlieben Haußfrawen/ ꝛc So den 18. Septemb. Anno 1614. zwiſchen 3. vnd 4. Vhr nach Mittag/ ſanfft vnd ſelig im HErrn verſchieden/ vnd den 28. Ianuarii des 1615. Jahrs/ ehrlichen/ gewoͤhnlichen Brauch nach/ zur Erden beſtattet geworden iſt. Chriſtlicher Troſt/ Außm vierdten Capitel des Buchs der Weißheit/ Duplici modo Tractandi, Durch M. Wolffgangum Droſchkj/ Dienern am Wort des HErrn/ zu Steinaw an der Oder in Schleſien. Leipzig/ Bey Abraham Lamberg/ Jn verlegung Hans Eyrings vnd Hans Perferts/ beyder Buchhaͤndler in Breßlaw.",γλϒκϒπικρον wider die betruͤbte bittere trawerklage bey abfuͤhrung vnd begleitung zum erlangeten ruhebettlein der edlen viel ehrentugendreichen wolbenambten frawen annen marien gebornen sckoppin außm hauſe glaͤſersdorff des edlen geſtrengen ehrenvheſten wolbenambten herꝛn hanſen von noſtitz vnd noys auff groß vñ klein strantz ꝛc fuͤrſtlichen liegnitſchen briegiſchen raths vnd des fuͤrſtenthumbs wohlaw ſo wol zugehoͤriger krayſe vnd herrſchafften landes hauptmanns ꝛc ehelichen hertzlieben haußfrawen ꝛc so den septemb anno zwiſchen vnd vhr nach mittag ſanfft vnd ſelig im herrn verſchieden vnd den ianuarii des jahrs ehrlichen gewoͤhnlichen brauch nach zur erden beſtattet geworden iſt chriſtlicher troſt außm vierdten capitel des buchs der weißheit duplici modo tractandi durch m wolffgangum droſchkj dienern am wort des herrn zu steinaw an der oder in schleſien leipzig bey abraham lamberg jn verlegung hans eyrings vnd hans perferts beyder buchhaͤndler in breßlaw,wider die betrubte bittere trawerklage bey abfuhrung und begleitung zum erlangeten ruhebettlein der edlen uiel ehrentugendreichen wolbenambten frawen annen marien gebornen sckoppin aussm hause glasersdorff des edlen gestrengen ehrenuhesten wolbenambten hern hansen uon nostitz und noys auff gross und klein strantz c furstlichen liegnitschen briegischen raths und des furstenthumbs wohlaw so wol zugehoriger krayse und herrschafften landes hauptmanns c ehelichen hertzlieben haussfrawen c so den septemb anno zwischen und uhr nach mittag sanfft und selig im herrn uerschieden und den ianuarii des iahrs ehrlichen gewohnlichen brauch nach zur erden bestattet geworden ist christlicher trost aussm uierdten capitel des buchs der weissheit duplici modo tractandi durch m wolffgangum droschki dienern am wort des herrn zu steinaw an der oder in schlesien leipzig bey abraham lamberg in uerlegung hans eyrings und hans perferts beyder buchhandler in bresslaw
524584,body,1,0,False,[3],"EDler/ Geſtrenger/ ꝛc. großguͤnſtiger Herr/ Recht iſt es zwar von den Gelehrten geſaget/ Quod ingenii celeritate præditi, & dociles homines, recordatione plus valeant, Darumb E. G. durch mich nicht erſt/ die Betruͤbniß vnd ſchmertzliche Leidklage/ renoviret hette werden doͤrffen.",edler geſtrenger ꝛc großguͤnſtiger herr recht iſt es zwar von den gelehrten geſaget quod ingenii celeritate præditi & dociles homines recordatione plus valeant darumb e g durch mich nicht erſt die betruͤbniß vnd ſchmertzliche leidklage renoviret hette werden doͤrffen,edler gestrenger c grossgunstiger herr recht ist es zwar uon den gelehrten gesaget quod ingenii celeritate praediti et dociles homines recordatione plus ualeant darumb e g durch mich nicht erst die betrubniss und schmertzliche leidklage renouiret hette werden dorffen
524584,body,1,1,False,[3],"Aber weil einem jedwedern Vernuͤnfftigen/ der lieben Seinigen Ehrengedaͤchtnis/ bey der poſteritet lieb vnd angeneme iſt/ vnd E. G. auch ſelbſten/ den tractirten Troſttext/ mir denominiret vnd an die Hand gegeben/ daraus/ was vor ein γλυκύπικρον, dulce amarum, bitter Leid/ ob derer hertzlieben Ehefrawen toͤdtlichem Abſchiede/ troͤſtliche Frewd/ wegen wieder zuſammenfuͤgunge/ in ewiger Herꝛligkeit vnd Seligkeit/ in E. G. Hertzen damals luctiret vnd gerungen/ leicht zu erſehen: Als offerire vnd præſentire E. G. ich dienſtlicher wolmeinung/ gehaltenen Sermon, habe auch eben dieſen Text/ auff eine andere maß vnd weiſe erklaͤret/ ſubjungiret, daß E. G. die ich weis/ an Gottes Wort jhre Luſt zu haben/ diverſitatem daraus ſpuͤren vnd vermerckenmoͤgen/ vnd bitte zum hochfleiſſigſten/ E. G. es ea animi affectione, qvâ factum intentione, großguͤnſtig erkennen/ auff vnd annemen wolle.",aber weil einem jedwedern vernuͤnfftigen der lieben seinigen ehrengedaͤchtnis bey der poſteritet lieb vnd angeneme iſt vnd e g auch ſelbſten den tractirten troſttext mir denominiret vnd an die hand gegeben daraus was vor ein γλυκύπικρον dulce amarum bitter leid ob derer hertzlieben ehefrawen toͤdtlichem abſchiede troͤſtliche frewd wegen wieder zuſammenfuͤgunge in ewiger herꝛligkeit vnd seligkeit in e g hertzen damals luctiret vnd gerungen leicht zu erſehen als offerire vnd præſentire e g ich dienſtlicher wolmeinung gehaltenen sermon habe auch eben dieſen text auff eine andere maß vnd weiſe erklaͤret ſubjungiret daß e g die ich weis an gottes wort jhre luſt zu haben diverſitatem daraus ſpuͤren vnd vermerckenmoͤgen vnd bitte zum hochfleiſſigſten e g es ea animi affectione qvâ factum intentione großguͤnſtig erkennen auff vnd annemen wolle,aber weil einem iedwedern uernunfftigen der lieben seinigen ehrengedachtnis bey der posteritet lieb und angeneme ist und e g auch selbsten den tractirten trosttext mir denominiret und an die hand gegeben daraus was uor ein dulce amarum bitter leid ob derer hertzlieben ehefrawen todtlichem abschiede trostliche frewd wegen wieder zusammenfugunge in ewiger herligkeit und seligkeit in e g hertzen damals luctiret und gerungen leicht zu ersehen als offerire und praesentire e g ich dienstlicher wolmeinung gehaltenen sermon habe auch eben diesen text auff eine andere mass und weise erklaret subiungiret dass e g die ich weis an gottes wort ihre lust zu haben diuersitatem daraus spuren und uermerckenmogen und bitte zum hochfleissigsten e g es ea animi affectione qua factum intentione grossgunstig erkennen auff und annemen wolle
524584,body,1,2,False,[4],Der ewige Gott ſegne vnd benedeye E. G. an Leib vnd Seel/ hier zeitlich vnd dort ewiglich/ Amen.,der ewige gott ſegne vnd benedeye e g an leib vnd seel hier zeitlich vnd dort ewiglich amen,der ewige gott segne und benedeye e g an leib und seel hier zeitlich und dort ewiglich amen
524584,body,1,3,True,[4],"Steinaw an der Oder/ den 7. Februarii, Anno 1615.",steinaw an der oder den februarii anno,steinaw an der oder den februarii anno
524584,body,2,0,True,[4],E. G. Dienſtwilliger allezeit/ M. Wolffgangus Droſchkj.,e g dienſtwilliger allezeit m wolffgangus droſchkj,e g dienstwilliger allezeit m wolffgangus droschki
524584,body,3,0,False,1,WIr leſen/ Meine Geliebte/ im erſten Buch Moſis am 23. cap. da dem Patriarchen Abraham/ ſeine Gottfuͤrchtige/ ſchoͤne/ vernuͤnfftige Haußfraw Sara/ todes verblichen/ daß er ſie anfangs ſchmeꝛtzlich beweinet/ wird eine groſſe vnd bittere Klage vber ſie gefuͤhret haben/ wie die Egyptier vber den Altvater Jacob/ Geneſ. 50. Darnach ſtehet er auff von der Leich/ wird ſich erholet vnd getroͤſtet haben Jobs Hoffnung/ cap. 19. daß ſein vnd jhr Erloͤſer lebet/ vnd werde ſie hernach aus der Erden aufferwecken.,wir leſen meine geliebte im erſten buch moſis am cap da dem patriarchen abraham ſeine gottfuͤrchtige ſchoͤne vernuͤnfftige haußfraw sara todes verblichen daß er ſie anfangs ſchmeꝛtzlich beweinet wird eine groſſe vnd bittere klage vber ſie gefuͤhret haben wie die egyptier vber den altvater jacob geneſ darnach ſtehet er auff von der leich wird ſich erholet vnd getroͤſtet haben jobs hoffnung cap daß ſein vnd jhr erloͤſer lebet vnd werde ſie hernach aus der erden aufferwecken,wir lesen meine geliebte im ersten buch mosis am cap da dem patriarchen abraham seine gottfurchtige schone uernunfftige haussfraw sara todes uerblichen dass er sie anfangs schmetzlich beweinet wird eine grosse und bittere klage uber sie gefuhret haben wie die egyptier uber den altuater iacob genes darnach stehet er auff uon der leich wird sich erholet und getrostet haben iobs hoffnung cap dass sein und ihr erloser lebet und werde sie hernach aus der erden aufferwecken
524584,body,3,1,True,1,Vnd endlich beſtellet vnd richtet er jhr aus ein ehrliches Begraͤbniß/ waget ein ziemliches darauff/ leſt jhr eine ſchoͤne Grufft anfertigen vnd zubereiten/ Wie auch Joſeph von Arimathia/ Matthæi am 28. cap. in einen Felß jhme ſein Ruhekaͤmmerlein: vnd Joannis am 11. cap. haben den Bethaniſchen LandJunckern Lazarum/ ſeine trewe Schweſtern auch in eine Klufft/ darauff ein Grabſtein/ geleget.,vnd endlich beſtellet vnd richtet er jhr aus ein ehrliches begraͤbniß waget ein ziemliches darauff leſt jhr eine ſchoͤne grufft anfertigen vnd zubereiten wie auch joſeph von arimathia matthæi am cap in einen felß jhme ſein ruhekaͤmmerlein vnd joannis am cap haben den bethaniſchen landjunckern lazarum ſeine trewe schweſtern auch in eine klufft darauff ein grabſtein geleget,und endlich bestellet und richtet er ihr aus ein ehrliches begrabniss waget ein ziemliches darauff lest ihr eine schone grufft anfertigen und zubereiten wie auch ioseph uon arimathia matthaei am cap in einen felss ihme sein ruhekammerlein und ioannis am cap haben den bethanischen landiunckern lazarum seine trewe schwestern auch in eine klufft darauff ein grabstein geleget
524584,body,4,0,True,1,Weil wir denn an jetzo auch dergleichen Verrichtung/ vnd aber groſſes Leid auch erfodert groſſen Troſt/ ſo wollen wir vns darnach vmb ſehen in Gottes Wort/ darvon Koͤnig David im 119. Pſalm ſaget: Wo dein Geſetz nicht mein Troſt geweſen were/ ſo were ich vergangen in meinem Elend: vnd mit einander anhoͤren folgenden Text:,weil wir denn an jetzo auch dergleichen verrichtung vnd aber groſſes leid auch erfodert groſſen troſt ſo wollen wir vns darnach vmb ſehen in gottes wort darvon koͤnig david im pſalm ſaget wo dein geſetz nicht mein troſt geweſen were ſo were ich vergangen in meinem elend vnd mit einander anhoͤren folgenden text,weil wir denn an ietzo auch dergleichen uerrichtung und aber grosses leid auch erfodert grossen trost so wollen wir uns darnach umb sehen in gottes wort daruon konig dauid im psalm saget wo dein gesetz nicht mein trost gewesen were so were ich uergangen in meinem elend und mit einander anhoren folgenden text
524584,body,5,0,False,2,DEr Gerechte/ ob er gleich zu zeitlich ſtirbet/ iſt er doch in der Ruhe/ (denn das Alter iſt ehrlich/ nicht das lange lebet oder viel Jahr hat/ Klugheit vnter den Menſchen/ iſt das rechte grawe Haar/ vnd ein vnbefleckt Leben/ iſt das rechte Alter) Denn er gefellet Gott wol/ vnd iſt jhm lieb/ vnd wird weggenommen aus dem Leben/ vnter den Suͤndern/ vnd wird hingeruͤcket/ daß die Boßheit ſeinen Verſtand nicht verkere/ noch falſche Lehre ſeine Seele betriege.,der gerechte ob er gleich zu zeitlich ſtirbet iſt er doch in der ruhe denn das alter iſt ehrlich nicht das lange lebet oder viel jahr hat klugheit vnter den menſchen iſt das rechte grawe haar vnd ein vnbefleckt leben iſt das rechte alter denn er gefellet gott wol vnd iſt jhm lieb vnd wird weggenommen aus dem leben vnter den suͤndern vnd wird hingeruͤcket daß die boßheit ſeinen verſtand nicht verkere noch falſche lehre ſeine seele betriege,der gerechte ob er gleich zu zeitlich stirbet ist er doch in der ruhe denn das alter ist ehrlich nicht das lange lebet oder uiel iahr hat klugheit unter den menschen ist das rechte grawe haar und ein unbefleckt leben ist das rechte alter denn er gefellet gott wol und ist ihm lieb und wird weggenommen aus dem leben unter den sundern und wird hingerucket dass die bossheit seinen uerstand nicht uerkere noch falsche lehre seine seele betriege
