doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523683,body,0,0,True,[1],MOMENTUM Crucis & Salutis. Goͤttlicher Gnadenblick nach truͤbem Creutzwetter/ Das iſt: Des ſchoͤnen guͤldenen Troſt- vnd Hertzſpruͤchleins Eſa. 54. v. 7. 8. Jch habe dich einen kleinen Augenblick verlaſſen/ aber mit groſſer Barmhertzigkeit wil ich dich ſamlen/ ꝛc. Außlegung Zu Werck gerichtet/ Als der Ehrwirdige vnd Wolgelarte Herꝛ Loth Fiſcher/ Pfarꝛherꝛ vnd trewer Seelſorger des Schoͤnburgiſchen Staͤdlins Merana/ welcher den 2. Septembris dieſes 1614. Jahrs im Herrn ſelig entſchlaffen/ den 4. ſelbiges Monats Chriſtlich vnd ehrlich/ bey anſehnlicher Verſamlung/ zur Erden beſtattet worden: Durch M. MARTINUM Hammern Pfarrherrn zu Glauchaw/ vnd Schoͤnburgiſchen Superintendenten deſſelben Theils. Gedruckt zu Leipzig durch Valent. am Ende Erben/ in verlegung Joh. Boͤrners des aͤltern vnd Eliæ Rehefelds. Anno M. DC. XV.,momentum crucis & salutis goͤttlicher gnadenblick nach truͤbem creutzwetter das iſt des ſchoͤnen guͤldenen troſt vnd hertzſpruͤchleins eſa v jch habe dich einen kleinen augenblick verlaſſen aber mit groſſer barmhertzigkeit wil ich dich ſamlen ꝛc außlegung zu werck gerichtet als der ehrwirdige vnd wolgelarte herꝛ loth fiſcher pfarꝛherꝛ vnd trewer seelſorger des schoͤnburgiſchen staͤdlins merana welcher den septembris dieſes jahrs im herrn ſelig entſchlaffen den ſelbiges monats chriſtlich vnd ehrlich bey anſehnlicher verſamlung zur erden beſtattet worden durch m martinum hammern pfarrherrn zu glauchaw vnd schoͤnburgiſchen superintendenten deſſelben theils gedruckt zu leipzig durch valent am ende erben in verlegung joh boͤrners des aͤltern vnd eliæ rehefelds anno m dc xv,momentum crucis et salutis gottlicher gnadenblick nach trubem creutzwetter das ist des schonen guldenen trost und hertzspruchleins esa u ich habe dich einen kleinen augenblick uerlassen aber mit grosser barmhertzigkeit wil ich dich samlen c ausslegung zu werck gerichtet als der ehrwirdige und wolgelarte her loth fischer pfarher und trewer seelsorger des schonburgischen stadlins merana welcher den septembris dieses iahrs im herrn selig entschlaffen den selbiges monats christlich und ehrlich bey ansehnlicher uersamlung zur erden bestattet worden durch m martinum hammern pfarrherrn zu glauchaw und schonburgischen superintendenten desselben theils gedruckt zu leipzig durch ualent am ende erben in uerlegung ioh borners des altern und eliae rehefelds anno m dc xu
523683,body,1,0,False,[2],Den Erbarn vnd Ehrntugendſamen Frawen Agnes/ des weiland Ehrwirdigen vnd Wolgelarten Herꝛn Lothi Fiſchern nachgelaſſenen betruͤbten Witben/ vnd jhren lieben Waiſelin.,den erbarn vnd ehrntugendſamen frawen agnes des weiland ehrwirdigen vnd wolgelarten herꝛn lothi fiſchern nachgelaſſenen betruͤbten witben vnd jhren lieben waiſelin,den erbarn und ehrntugendsamen frawen agnes des weiland ehrwirdigen und wolgelarten hern lothi fischern nachgelassenen betrubten witben und ihren lieben waiselin
523683,body,1,1,False,[2],Frawen Roſinen/ des Ehrwirdigen vnd Wolgelarten H. Andreæ Reicharden/ Pfarꝛherꝛs zu Tettaw ehelichen Hausfrawen/ ſelig Verſtorbenen geliebten Schweſter/ ſeinen lieben Gevatterinnen.,frawen roſinen des ehrwirdigen vnd wolgelarten h andreæ reicharden pfarꝛherꝛs zu tettaw ehelichen hausfrawen ſelig verſtorbenen geliebten schweſter ſeinen lieben gevatterinnen,frawen rosinen des ehrwirdigen und wolgelarten h andreae reicharden pfarhers zu tettaw ehelichen hausfrawen selig uerstorbenen geliebten schwester seinen lieben geuatterinnen
523683,body,1,2,True,[2],Vnd Den Erbarn vnd Wolgeachten/ CHRISTOPHORO FRIDERICO HEINRICO Fiſchern/ des ſelig Verſtorbenen Bruͤdern/ Seinen guͤnſtigen guten Freunden/,vnd den erbarn vnd wolgeachten christophoro friderico heinrico fiſchern des ſelig verſtorbenen bruͤdern seinen guͤnſtigen guten freunden,und den erbarn und wolgeachten christophoro friderico heinrico fischern des selig uerstorbenen brudern seinen gunstigen guten freunden
523683,body,2,0,True,[2],Vbergibt dieſe Predigt auff jhr Suchen vnd Anhalten/ verſtorbenen H. Pfarꝛherꝛ ſonderlich zum wolverdieneten ruhmwirdigen Nachgedechtnis M. Martinus Hammer Superintendens.,vbergibt dieſe predigt auff jhr suchen vnd anhalten verſtorbenen h pfarꝛherꝛ ſonderlich zum wolverdieneten ruhmwirdigen nachgedechtnis m martinus hammer superintendens,ubergibt diese predigt auff ihr suchen und anhalten uerstorbenen h pfarher sonderlich zum woluerdieneten ruhmwirdigen nachgedechtnis m martinus hammer superintendens
523683,body,3,0,True,3,Leichpredigt vber den Spruch Eſa. 54. v. 7. 8.,leichpredigt vber den spruch eſa v,leichpredigt uber den spruch esa u
523683,body,4,0,True,3,"Ad punctum in momento dereliquite, &c. Jch habe dich einen kleinen Augenblick verlaſſen/ ꝛc.",ad punctum in momento dereliquite &c jch habe dich einen kleinen augenblick verlaſſen ꝛc,ad punctum in momento dereliquite etc ich habe dich einen kleinen augenblick uerlassen c
523683,body,5,0,True,3,Allgemeiner Eingang.,allgemeiner eingang,allgemeiner eingang
523683,body,6,0,False,3,GEliebte vnd von Hertzen betruͤbte Chriſten/ der weiſe Lehrer Syr. 39. verſpricht allen trewen Lehrern vnd Bekennern Jeſu Chriſti/ vnter andern auch dieſe Belohnung jhrer Chriſtlichen Trew vnd waren Gottſeligkeit/ Jhr ſolle nimmermehr vergeſſen werden/ vnd jhr Name ſolle bleiben jmmer fuͤr vnd fuͤr/ was ſie geprediget haben/ werde man noch weiter predigen/ vnd die Gemeine werde ſie ruͤhmen/ weil ſie gelebt/ haben ſie einen guten Namen gehabt/ vnd nach dem Todte ſolle er jhnen auch bleiben.,geliebte vnd von hertzen betruͤbte chriſten der weiſe lehrer syr verſpricht allen trewen lehrern vnd bekennern jeſu chriſti vnter andern auch dieſe belohnung jhrer chriſtlichen trew vnd waren gottſeligkeit jhr ſolle nimmermehr vergeſſen werden vnd jhr name ſolle bleiben jmmer fuͤr vnd fuͤr was ſie geprediget haben werde man noch weiter predigen vnd die gemeine werde ſie ruͤhmen weil ſie gelebt haben ſie einen guten namen gehabt vnd nach dem todte ſolle er jhnen auch bleiben,geliebte und uon hertzen betrubte christen der weise lehrer syr uerspricht allen trewen lehrern und bekennern iesu christi unter andern auch diese belohnung ihrer christlichen trew und waren gottseligkeit ihr solle nimmermehr uergessen werden und ihr name solle bleiben immer fur und fur was sie geprediget haben werde man noch weiter predigen und die gemeine werde sie ruhmen weil sie gelebt haben sie einen guten namen gehabt und nach dem todte solle er ihnen auch bleiben
523683,body,6,1,False,4,Diß iſt eine herꝛliche Verheiſſung/ derer ſich billich alle trewe Seelſorger troͤſten/ vnd ſich dadurch zu groͤſſerm Eiver/ Ernſt vnd Trew im Ampte ſollen bewegen laſſen/ ſtimmet mit dem/ was Koͤnig Salomon Proverb. 10. allen Frommen in gemein verſprochen/ wenn er ſagt/ Das Gedechtnis der Gerechten bleibe im Segen.,diß iſt eine herꝛliche verheiſſung derer ſich billich alle trewe seelſorger troͤſten vnd ſich dadurch zu groͤſſerm eiver ernſt vnd trew im ampte ſollen bewegen laſſen ſtimmet mit dem was koͤnig salomon proverb allen frommen in gemein verſprochen wenn er ſagt das gedechtnis der gerechten bleibe im segen,diss ist eine herliche uerheissung derer sich billich alle trewe seelsorger trosten und sich dadurch zu grosserm eiuer ernst und trew im ampte sollen bewegen lassen stimmet mit dem was konig salomon prouerb allen frommen in gemein uersprochen wenn er sagt das gedechtnis der gerechten bleibe im segen
523683,body,6,2,True,4,"Da wieder im Gegentheil die Schrifft allen Gottloſen drawet/ Memoria eorum putreſcet, Jhr Gedechtnis vnd jhr Name ſolle verfaulen/ verweſen/ oder zu Kot werden/ denn das Angeſicht des Herrn ſihet auff die/ die da boͤſes thun/ daß er jhr Gedechtnis außrotte von der Erden/ Pſ. 32. Es koͤmpt vmb ſampt jhnen/ Pſ. 9. oder wenn es je bleibet/ ſo wird doch jhrer nicht im beſten gedacht/ ſondern/ wie man pflegt zu ſagen/ wie des Pilati im Credo.",da wieder im gegentheil die schrifft allen gottloſen drawet memoria eorum putreſcet jhr gedechtnis vnd jhr name ſolle verfaulen verweſen oder zu kot werden denn das angeſicht des herrn ſihet auff die die da boͤſes thun daß er jhr gedechtnis außrotte von der erden pſ es koͤmpt vmb ſampt jhnen pſ oder wenn es je bleibet ſo wird doch jhrer nicht im beſten gedacht ſondern wie man pflegt zu ſagen wie des pilati im credo,da wieder im gegentheil die schrifft allen gottlosen drawet memoria eorum putrescet ihr gedechtnis und ihr name solle uerfaulen uerwesen oder zu kot werden denn das angesicht des herrn sihet auff die die da boses thun dass er ihr gedechtnis aussrotte uon der erden ps es kompt umb sampt ihnen ps oder wenn es ie bleibet so wird doch ihrer nicht im besten gedacht sondern wie man pflegt zu sagen wie des pilati im credo
523683,body,7,0,False,4,Wenn denn jr/ M. G. dieſer oͤrter/ auch ewer frommer trewer Seelſorger vnverhofft mit todt abgangen/ den wir nunmehr nach dem gerechten Willen Gottes hieher zu ſeinem Ruhebettlein begleitet/ ſo widerfehret jhm billich ſein letzter Ehrendienſt/ vnd wird ſein Gedechtnis bey dieſer Gemeine/ derer er eine geraume Zeit gedienet/ ruͤhmlich erhalten: Wie davon auch der H. Apoſtel Heb. 13. Erinnerung thut/ Gedencket an ewre Lehrer/ die euch das Wort Gottes geſagt haben/ ſchawet jhr Ende an vnd folget jhrem Glauben.,wenn denn jr m g dieſer oͤrter auch ewer frommer trewer seelſorger vnverhofft mit todt abgangen den wir nunmehr nach dem gerechten willen gottes hieher zu ſeinem ruhebettlein begleitet ſo widerfehret jhm billich ſein letzter ehrendienſt vnd wird ſein gedechtnis bey dieſer gemeine derer er eine geraume zeit gedienet ruͤhmlich erhalten wie davon auch der h apoſtel heb erinnerung thut gedencket an ewre lehrer die euch das wort gottes geſagt haben ſchawet jhr ende an vnd folget jhrem glauben,wenn denn ir m g dieser orter auch ewer frommer trewer seelsorger unuerhofft mit todt abgangen den wir nunmehr nach dem gerechten willen gottes hieher zu seinem ruhebettlein begleitet so widerfehret ihm billich sein letzter ehrendienst und wird sein gedechtnis bey dieser gemeine derer er eine geraume zeit gedienet ruhmlich erhalten wie dauon auch der h apostel heb erinnerung thut gedencket an ewre lehrer die euch das wort gottes gesagt haben schawet ihr ende an und folget ihrem glauben
