doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523537,body,0,0,True,[1],"Eine Chriſtliche Leichpredigt/ Bey dem Begraͤbnuͤß des weiland Geſtrengen/ Edlen vnd Ehrenvheſten Hanſen außm Winckel/ Erbſaſſen auff Schiraw vnd Moeſt/ Welcher den 5. Januarii des 1612. Jahres/ fruͤe zwiſchen 6. vnd 7. Vhr/ ſeliglich im HErꝛn entſchlaffen/ vnd hernachmals/ den 30. Januarii, zu Schiraw mit Chriſtlichen Ceremonien Adelich zur Erden beſtattet worden. Daſelbſten gehalten von M. Paulo Klein/ Pfarrern vnd Superintendenten zu Bitterfeld. Leipzig/ Typis Lambergianis, Gedruckt bey Johann Gluͤck/ Jm Jahr 1615.",eine chriſtliche leichpredigt bey dem begraͤbnuͤß des weiland geſtrengen edlen vnd ehrenvheſten hanſen außm winckel erbſaſſen auff schiraw vnd moeſt welcher den januarii des jahres fruͤe zwiſchen vnd vhr ſeliglich im herꝛn entſchlaffen vnd hernachmals den januarii zu schiraw mit chriſtlichen ceremonien adelich zur erden beſtattet worden daſelbſten gehalten von m paulo klein pfarrern vnd superintendenten zu bitterfeld leipzig typis lambergianis gedruckt bey johann gluͤck jm jahr,eine christliche leichpredigt bey dem begrabnuss des weiland gestrengen edlen und ehrenuhesten hansen aussm winckel erbsassen auff schiraw und moest welcher den ianuarii des iahres frue zwischen und uhr seliglich im hern entschlaffen und hernachmals den ianuarii zu schiraw mit christlichen ceremonien adelich zur erden bestattet worden daselbsten gehalten uon m paulo klein pfarrern und superintendenten zu bitterfeld leipzig typis lambergianis gedruckt bey iohann gluck im iahr
523537,body,1,0,False,[3],Dem Ehrwürdigen/ Auch Edlen/ Geſtrengen vnd Ehrnvheſten Junckern: Gottfried/ Canonico zu Merſeburg/ Hans Adolff/ Fuͤrſtlichen Anhaltiſchen Hauptmann zu Plotzſchken/ Chriſtoff Rudolff/ Churf.,dem ehrwürdigen auch edlen geſtrengen vnd ehrnvheſten junckern gottfried canonico zu merſeburg hans adolff fuͤrſtlichen anhaltiſchen hauptmann zu plotzſchken chriſtoff rudolff churf,dem ehrwurdigen auch edlen gestrengen und ehrnuhesten iunckern gottfried canonico zu merseburg hans adolff furstlichen anhaltischen hauptmann zu plotzschken christoff rudolff churf
523537,body,1,1,False,[3],S. Durchlauchtigkeit Kammer Juncker/ Hans Ernſt/ Curath Ditterich/ Otto Heinrich/ Hans Goͤrge/ Gebruͤdern/ außm Winckel/ auff Schiraw vnd Moeſt.,s durchlauchtigkeit kammer juncker hans ernſt curath ditterich otto heinrich hans goͤrge gebruͤdern außm winckel auff schiraw vnd moeſt,s durchlauchtigkeit kammer iuncker hans ernst curath ditterich otto heinrich hans gorge gebrudern aussm winckel auff schiraw und moest
523537,body,1,2,False,[3],Vnd denen auch Edlen/ Geſtrengen vñ vieltugendreichen Frawen MARIEN/ geborne von Walwirtz/ Hanſen außm Winckel/ S. hinderlaſſener Witwen zu Schiraw.,vnd denen auch edlen geſtrengen vñ vieltugendreichen frawen marien geborne von walwirtz hanſen außm winckel s hinderlaſſener witwen zu schiraw,und denen auch edlen gestrengen und uieltugendreichen frawen marien geborne uon walwirtz hansen aussm winckel s hinderlassener witwen zu schiraw
523537,body,1,3,False,[3],Vnd Fraw SABINEN/ geborne außm Winckel/ des Edlen/ Geſtrengen vnd Ehrenvheſten Junckers Volraht Rauchhaupts auff dem hohen Thurm/ ehelichen Haußfrawen.,vnd fraw sabinen geborne außm winckel des edlen geſtrengen vnd ehrenvheſten junckers volraht rauchhaupts auff dem hohen thurm ehelichen haußfrawen,und fraw sabinen geborne aussm winckel des edlen gestrengen und ehrenuhesten iunckers uolraht rauchhaupts auff dem hohen thurm ehelichen haussfrawen
523537,body,1,4,False,[3],Vnd vieltugentſamẽ Jungfrawen MAGDALENEN/ Hanſen außm Winckel S. hinderlaſſenen Tochter.,vnd vieltugentſamẽ jungfrawen magdalenen hanſen außm winckel s hinderlaſſenen tochter,und uieltugentsamen iungfrawen magdalenen hansen aussm winckel s hinderlassenen tochter
523537,body,1,5,True,[3],Wuͤnſche ich von Gott dem Allmaͤchtigen reichen Troſt vnd alle ſelige Wolfahrt an Leib vnd Seel/ durch Chriſtum Jeſum/ Amen.,wuͤnſche ich von gott dem allmaͤchtigen reichen troſt vnd alle ſelige wolfahrt an leib vnd seel durch chriſtum jeſum amen,wunsche ich uon gott dem allmachtigen reichen trost und alle selige wolfahrt an leib und seel durch christum iesum amen
523537,body,2,0,True,[4],EHrwuͤrdiger/ Auch Edele/ Geſtrenge vnd Ehrenvheſte Junckern: Auch Edele/ viel Tugendreiche/ in gebuͤr guͤnſtige Frawen/ vnd Jungfraw: Wie gar elend/ nichtig vnd vergenglich das Menſchliche Leben ſey/ werden wir/ neben der taͤglichen Erfahrung/ auch aus Gottes Wort offt vnd viel erinnert/ ſonderlich aber in LeichPredigten/ welche fuͤrnemlich dahin gerichtet ſeyn/ daß wir lernen der Welt abſterben/ vnd vns zu einem Chriſtlichen vnd ſeligen Abſchied aus dieſem Leben/ zum ewigen/ himliſchen/ gelobten Vaterlande/ bereiten vnd ſchicken/ ꝛc.,ehrwuͤrdiger auch edele geſtrenge vnd ehrenvheſte junckern auch edele viel tugendreiche in gebuͤr guͤnſtige frawen vnd jungfraw wie gar elend nichtig vnd vergenglich das menſchliche leben ſey werden wir neben der taͤglichen erfahrung auch aus gottes wort offt vnd viel erinnert ſonderlich aber in leichpredigten welche fuͤrnemlich dahin gerichtet ſeyn daß wir lernen der welt abſterben vnd vns zu einem chriſtlichen vnd ſeligen abſchied aus dieſem leben zum ewigen himliſchen gelobten vaterlande bereiten vnd ſchicken ꝛc,ehrwurdiger auch edele gestrenge und ehrenuheste iunckern auch edele uiel tugendreiche in gebur gunstige frawen und iungfraw wie gar elend nichtig und uergenglich das menschliche leben sey werden wir neben der taglichen erfahrung auch aus gottes wort offt und uiel erinnert sonderlich aber in leichpredigten welche furnemlich dahin gerichtet seyn dass wir lernen der welt absterben und uns zu einem christlichen und seligen abschied aus diesem leben zum ewigen himlischen gelobten uaterlande bereiten und schicken c
523537,body,3,0,False,[4],"Wie aber ſolche Zubereitung geſchehen ſol/ habe ich bey dem Begraͤbniß des weilend Edlen, Geſtrengen vnd Ehꝛnveſten Hanſen außm Winckel/ Ew. Ehrw. Edl. Geſtr.",wie aber ſolche zubereitung geſchehen ſol habe ich bey dem begraͤbniß des weilend edlen geſtrengen vnd ehꝛnveſten hanſen außm winckel ew ehrw edl geſtr,wie aber solche zubereitung geschehen sol habe ich bey dem begrabniss des weilend edlen gestrengen und ehnuesten hansen aussm winckel ew ehrw edl gestr
523537,body,3,1,False,[4],Herrn Vater/ vñ auch Ew. Edlen Tugenden vielgeliebten Junckern vnd Herꝛn Vatern S. auff ſchrifftliches erſuchen vnd begeren/ in gehaltener Leich Predigt/ kuͤrtzlichen vnd einfeltig/ aus Gottes Wort tractiret vnd erklaͤret.,herrn vater vñ auch ew edlen tugenden vielgeliebten junckern vnd herꝛn vatern s auff ſchrifftliches erſuchen vnd begeren in gehaltener leich predigt kuͤrtzlichen vnd einfeltig aus gottes wort tractiret vnd erklaͤret,herrn uater und auch ew edlen tugenden uielgeliebten iunckern und hern uatern s auff schrifftliches ersuchen und begeren in gehaltener leich predigt kurtzlichen und einfeltig aus gottes wort tractiret und erklaret
