doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523844,head,0,0,True,[1],MORI LUCRUM. ex Phil. 1. c. Chriſtliche Leichpredigt Bey Adelicher Sepultur vnd Begraͤbnis der Weiland Edlen/ Vielehren Tugendtſamen Frawen MAGDALENÆ Gebornen Zieglerin/ Des Edlen/ Geſtrengen vnnd Ehrnveſten Hans von vnd zu Kitſcher vielgeliebten Haußfrawen/ Welche den 5. Septembr. dieſes noch lauffenden 1615. Jahres gegen Abend vmb 5. Vhr in Chriſto ſeliglich entſchlaffen/ vnd den 18. ejuſdem in der Kirchen zu Kirſcher adelich vnd Chriſtlich iſt beygeſetzet worden. Gehalten durch TOBIAM REHEFELDT Pfarrherrn daſelbſt. Gedruckt zu Leipzig Bey Lorentz Kober/ im Jahr 1615.,mori lucrum ex phil c chriſtliche leichpredigt bey adelicher sepultur vnd begraͤbnis der weiland edlen vielehren tugendtſamen frawen magdalenæ gebornen zieglerin des edlen geſtrengen vnnd ehrnveſten hans von vnd zu kitſcher vielgeliebten haußfrawen welche den septembr dieſes noch lauffenden jahres gegen abend vmb vhr in chriſto ſeliglich entſchlaffen vnd den ejuſdem in der kirchen zu kirſcher adelich vnd chriſtlich iſt beygeſetzet worden gehalten durch tobiam rehefeldt pfarrherrn daſelbſt gedruckt zu leipzig bey lorentz kober im jahr,mori lucrum ex phil c christliche leichpredigt bey adelicher sepultur und begrabnis der weiland edlen uielehren tugendtsamen frawen magdalenae gebornen zieglerin des edlen gestrengen unnd ehrnuesten hans uon und zu kitscher uielgeliebten haussfrawen welche den septembr dieses noch lauffenden iahres gegen abend umb uhr in christo seliglich entschlaffen und den eiusdem in der kirchen zu kirscher adelich und christlich ist beygesetzet worden gehalten durch tobiam rehefeldt pfarrherrn daselbst gedruckt zu leipzig bey lorentz kober im iahr
523844,body,1,0,True,[2],Gottes Gnad vnd Segen durch vnſern lieben Herrn vnd Heyland Jeſum Chriſtum/ beneben meinem Gebet vnd ſchuͤldigen trewen dienſten zuvorn:,gottes gnad vnd segen durch vnſern lieben herrn vnd heyland jeſum chriſtum beneben meinem gebet vnd ſchuͤldigen trewen dienſten zuvorn,gottes gnad und segen durch unsern lieben herrn und heyland iesum christum beneben meinem gebet und schuldigen trewen diensten zuuorn
523844,body,2,0,False,[2],"EDler/ Geſtrenger vnnd Ehrenveſter/ inſonders großguͤnſtiger lieber Juncker/ Gevatter vnd geneigter Foͤrderer/ ob ich wol keines weges des vorhabens geweſen bin/ daß die einfeltige Leichpredigt/ ſo bey Adelicher Sepultur vnnd Leichbeſtattung E E W. vielgeliebten ſeligen Haußehre von mir vorrichtet worden/ ſolte dem druck vntergeben werden/ ſintemal/ quàm fit mihi curta ſupellex, mir nicht vnbewuſt.",edler geſtrenger vnnd ehrenveſter inſonders großguͤnſtiger lieber juncker gevatter vnd geneigter foͤrderer ob ich wol keines weges des vorhabens geweſen bin daß die einfeltige leichpredigt ſo bey adelicher sepultur vnnd leichbeſtattung e e w vielgeliebten ſeligen haußehre von mir vorrichtet worden ſolte dem druck vntergeben werden ſintemal quàm fit mihi curta ſupellex mir nicht vnbewuſt,edler gestrenger unnd ehrenuester insonders grossgunstiger lieber iuncker geuatter und geneigter forderer ob ich wol keines weges des uorhabens gewesen bin dass die einfeltige leichpredigt so bey adelicher sepultur unnd leichbestattung e e w uielgeliebten seligen haussehre uon mir uorrichtet worden solte dem druck untergeben werden sintemal quam fit mihi curta supellex mir nicht unbewust
523844,body,2,1,True,[2],Alldieweil es aber E. E. G. alſo beliebet/ vnd ſie dieſelbe von mir abgefodert: Als habe ich mich deſſen nicht vorwegern ſollen noch wollen/ ſondern jetztgedachte Leichpredigt ad mundum gebracht/ in Betrachtung/ das vnſerer ſeligverſtorbenen Jungefrawen Ehrengedaͤchtnis hierdurch zimlicher maſſen erhalten wird.,alldieweil es aber e e g alſo beliebet vnd ſie dieſelbe von mir abgefodert als habe ich mich deſſen nicht vorwegern ſollen noch wollen ſondern jetztgedachte leichpredigt ad mundum gebracht in betrachtung das vnſerer ſeligverſtorbenen jungefrawen ehrengedaͤchtnis hierdurch zimlicher maſſen erhalten wird,alldieweil es aber e e g also beliebet und sie dieselbe uon mir abgefodert als habe ich mich dessen nicht uorwegern sollen noch wollen sondern ietztgedachte leichpredigt ad mundum gebracht in betrachtung das unserer seliguerstorbenen iungefrawen ehrengedachtnis hierdurch zimlicher massen erhalten wird
523844,body,3,0,False,[2],Vbergebe demnach E. E. G. dieſelbe/ ſo gut ſie damals Gott der allmechtige in meinen andern vorgefallenen Amptgeſchefften vnd Bekuͤmmernis/ in welche ich durch den vnverhofften Todesfall meiner in Ehren guͤnſtigen vnd nunmehr ſeligen Frawen Gevatterin/ nicht wenig geſetzet worden/ vorliehen hat.,vbergebe demnach e e g dieſelbe ſo gut ſie damals gott der allmechtige in meinen andern vorgefallenen amptgeſchefften vnd bekuͤmmernis in welche ich durch den vnverhofften todesfall meiner in ehren guͤnſtigen vnd nunmehr ſeligen frawen gevatterin nicht wenig geſetzet worden vorliehen hat,ubergebe demnach e e g dieselbe so gut sie damals gott der allmechtige in meinen andern uorgefallenen amptgeschefften und bekummernis in welche ich durch den unuerhofften todesfall meiner in ehren gunstigen und nunmehr seligen frawen geuatterin nicht wenig gesetzet worden uorliehen hat
523844,body,3,1,False,[2],Vnterdienſtlich bittend/ E. E G. wollen jhr dieſe meine Predigt/ nicht allein einen Troſt in jhrem betruͤbten Witberſtande/ ſondern auch ein memorial jrer hertzgeliebten Haußehre ſeyn laſſen/ ſo wol auch mein vnd der meinigen großguͤnſtiger Juncker vnd Patron ſeyn vnd bleiben.,vnterdienſtlich bittend e e g wollen jhr dieſe meine predigt nicht allein einen troſt in jhrem betruͤbten witberſtande ſondern auch ein memorial jrer hertzgeliebten haußehre ſeyn laſſen ſo wol auch mein vnd der meinigen großguͤnſtiger juncker vnd patron ſeyn vnd bleiben,unterdienstlich bittend e e g wollen ihr diese meine predigt nicht allein einen trost in ihrem betrubten witberstande sondern auch ein memorial irer hertzgeliebten haussehre seyn lassen so wol auch mein und der meinigen grossgunstiger iuncker und patron seyn und bleiben
523844,body,3,2,False,[2],E. E. G. hier mit ſampt derſelben adelichen Kindern Goͤttlicher Gnadenprotection gantz trewlich befehlend.,e e g hier mit ſampt derſelben adelichen kindern goͤttlicher gnadenprotection gantz trewlich befehlend,e e g hier mit sampt derselben adelichen kindern gottlicher gnadenprotection gantz trewlich befehlend
523844,body,3,3,False,[2],Datum Kitſcher den 7. Novemb.,datum kitſcher den novemb,datum kitscher den nouemb
523844,body,3,4,True,[2],Anno 1615.,anno,anno
523844,body,4,0,True,[2],E. E. G. dienſtgeflieſſener G. Tobias Rehfeld P farrer,e e g dienſtgeflieſſener g tobias rehfeld p farrer,e e g dienstgefliessener g tobias rehfeld p farrer
