doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523924,head,0,0,True,[1],"Kreiſtender Frawen Hertzſterckung. Bey dem Adelichen vnnd Volckreichen Leichbegengnuͤs/ der Weyland Edlen vnd Vielehrenthugendſamen Frawen Annæ/ gebornen von Kertzſchin/ deß Edlen Geſtrengen/ Ehrenvheſten Junckern/ Ernſt Abraham von Dehnens Rotſelſers/ auff Helffenberg/ Fuͤrſtl. Saͤchſ. geweſenen Stall vnd Hoffmeiſters/ lieben Haußfrawen: Welche zu Dreßden Anno 1615. den 22. Julij nach Mittag/ zwiſchen 2. vnd 3. Vhr: Jhres Alters im 38. Jahre/ vber jhrem harten vnd ſawren Kreiſten/ ſanfft vnd ſelig entſchlaffen/ vnd folgends den 26. in der Kirchen/ zu S. Sophien/ begraben worden: Erklaͤret Von M. PAVLO REICH, der Creutzkirchen daſelbſt Diacono. Gedruckt zu Dreßden bey Gimel Bergen. Jm Jahr/ 1615.",kreiſtender frawen hertzſterckung bey dem adelichen vnnd volckreichen leichbegengnuͤs der weyland edlen vnd vielehrenthugendſamen frawen annæ gebornen von kertzſchin deß edlen geſtrengen ehrenvheſten junckern ernſt abraham von dehnens rotſelſers auff helffenberg fuͤrſtl saͤchſ geweſenen stall vnd hoffmeiſters lieben haußfrawen welche zu dreßden anno den julij nach mittag zwiſchen vnd vhr jhres alters im jahre vber jhrem harten vnd ſawren kreiſten ſanfft vnd ſelig entſchlaffen vnd folgends den in der kirchen zu s sophien begraben worden erklaͤret von m pavlo reich der creutzkirchen daſelbſt diacono gedruckt zu dreßden bey gimel bergen jm jahr,kreistender frawen hertzsterckung bey dem adelichen unnd uolckreichen leichbegengnus der weyland edlen und uielehrenthugendsamen frawen annae gebornen uon kertzschin dess edlen gestrengen ehrenuhesten iunckern ernst abraham uon dehnens rotselsers auff helffenberg furstl sachs gewesenen stall und hoffmeisters lieben haussfrawen welche zu dressden anno den iulii nach mittag zwischen und uhr ihres alters im iahre uber ihrem harten und sawren kreisten sanfft und selig entschlaffen und folgends den in der kirchen zu s sophien begraben worden erklaret uon m paulo reich der creutzkirchen daselbst diacono gedruckt zu dressden bey gimel bergen im iahr
523924,body,1,0,True,[2],DAs Weib ward verfuͤhret/ vnd hat die vbertrettung eingefuͤhret/ ſie wird aber ſelig durch Kinder zeugen/ ſo ſie bleiben im Glauben/ vnnd in der Heiligung ſampt der Zucht.,das weib ward verfuͤhret vnd hat die vbertrettung eingefuͤhret ſie wird aber ſelig durch kinder zeugen ſo ſie bleiben im glauben vnnd in der heiligung ſampt der zucht,das weib ward uerfuhret und hat die ubertrettung eingefuhret sie wird aber selig durch kinder zeugen so sie bleiben im glauben unnd in der heiligung sampt der zucht
523924,body,2,0,True,[3],EDele/ Geſtrenge/ Ehrenveſte/ Großguͤnſtige Junckern/ geneigte Foͤderer/ daß man auch Weibesperſonen/ ſo in oder ja bald nach der Geburt ſelig vorſterben/ ehrlich vnd Chriſtlich begraben vnd jhr gut gedechtnuͤs erhalten ſolle/ bezeuget das Exempel des Ertzvatern Jacobs/ welcher ſeine liebe Rahel/ die ein Feldtweges weit von Ephrath gebar/ vnd welcher es auch ſo ſawer wuͤrde/ daß jhr die Seele ausgieng vnd ſterben muſte/ an dem Wege gen Ephrath/ die nu heiſt Bethlehem/ begraben/ vnd ein mahl vber jhrem Grabe auffgerichtet hat/ welches noch auff dieſen Tag/ daß Grabmal Rahels/ genent wird.,edele geſtrenge ehrenveſte großguͤnſtige junckern geneigte foͤderer daß man auch weibesperſonen ſo in oder ja bald nach der geburt ſelig vorſterben ehrlich vnd chriſtlich begraben vnd jhr gut gedechtnuͤs erhalten ſolle bezeuget das exempel des ertzvatern jacobs welcher ſeine liebe rahel die ein feldtweges weit von ephrath gebar vnd welcher es auch ſo ſawer wuͤrde daß jhr die seele ausgieng vnd ſterben muſte an dem wege gen ephrath die nu heiſt bethlehem begraben vnd ein mahl vber jhrem grabe auffgerichtet hat welches noch auff dieſen tag daß grabmal rahels genent wird,edele gestrenge ehrenueste grossgunstige iunckern geneigte foderer dass man auch weibespersonen so in oder ia bald nach der geburt selig uorsterben ehrlich und christlich begraben und ihr gut gedechtnus erhalten solle bezeuget das exempel des ertzuatern iacobs welcher seine liebe rahel die ein feldtweges weit uon ephrath gebar und welcher es auch so sawer wurde dass ihr die seele ausgieng und sterben muste an dem wege gen ephrath die nu heist bethlehem begraben und ein mahl uber ihrem grabe auffgerichtet hat welches noch auff diesen tag dass grabmal rahels genent wird
523924,body,3,0,True,[4],Jſt demnach ruͤhmlſch/ daß E. E. G. G. jhre liebe Haußfraw vnd SchwiegerMutter/ welche gleichsfals vber jhrem: Fuͤnfftaͤgigen harten/ ſawren vnd ſchweren Kreiſten ſeliges Todes vorblichen/ nicht allein gantz Adelich vnd Chriſtlich in die Sophienkirch allhier/ darinne ſie jhr Ruhſtedtlein ſelbſt erkohren/ vor dem Predigtſtuele zur Erden haben beſtotten laſſen/ ſondern auch jhr gut gedechtnuͤs vnd zeugnuͤs ihres wolgefuͤhrten Chriſtenthumbs vnd ſeligen Abſchiedes/ zuerhalten/ ſich fleiſſig bemuͤhen.,jſt demnach ruͤhmlſch daß e e g g jhre liebe haußfraw vnd schwiegermutter welche gleichsfals vber jhrem fuͤnfftaͤgigen harten ſawren vnd ſchweren kreiſten ſeliges todes vorblichen nicht allein gantz adelich vnd chriſtlich in die sophienkirch allhier darinne ſie jhr ruhſtedtlein ſelbſt erkohren vor dem predigtſtuele zur erden haben beſtotten laſſen ſondern auch jhr gut gedechtnuͤs vnd zeugnuͤs ihres wolgefuͤhrten chriſtenthumbs vnd ſeligen abſchiedes zuerhalten ſich fleiſſig bemuͤhen,ist demnach ruhmlsch dass e e g g ihre liebe haussfraw und schwiegermutter welche gleichsfals uber ihrem funfftagigen harten sawren und schweren kreisten seliges todes uorblichen nicht allein gantz adelich und christlich in die sophienkirch allhier darinne sie ihr ruhstedtlein selbst erkohren uor dem predigtstuele zur erden haben bestotten lassen sondern auch ihr gut gedechtnus und zeugnus ihres wolgefuhrten christenthumbs und seligen abschiedes zuerhalten sich fleissig bemuhen
523924,body,4,0,False,[4],Vnd weil E. E. G. G. darzu euch der ſchlechten/ einfeltigen Leichpredigt/ ſo von mir vnwurdigen/ auff E. E. G. G anordnung/ durch Gottes huͤlff/ gehalten worden/ Abſchrifft begehret/ Als thue ich dieſelbe E. E. G. G. hiemit zuſtellen: Den Vater alles Troſtes bittende/ daß er E. E. G. G. vnd alle die jhrigen ferner troͤſten/ vnd wie er durch das am 29. Julij geborne/ vnd am 3. Auguſti getauffte junge Soͤhnlein Georg Ernſt von Kotwitz/ angefangen/ in allen gnaden fortfahren/ vnd alles vbel an Leib vnd Seele ferner abwenden wolle.,vnd weil e e g g darzu euch der ſchlechten einfeltigen leichpredigt ſo von mir vnwurdigen auff e e g g anordnung durch gottes huͤlff gehalten worden abſchrifft begehret als thue ich dieſelbe e e g g hiemit zuſtellen den vater alles troſtes bittende daß er e e g g vnd alle die jhrigen ferner troͤſten vnd wie er durch das am julij geborne vnd am auguſti getauffte junge soͤhnlein georg ernſt von kotwitz angefangen in allen gnaden fortfahren vnd alles vbel an leib vnd seele ferner abwenden wolle,und weil e e g g darzu euch der schlechten einfeltigen leichpredigt so uon mir unwurdigen auff e e g g anordnung durch gottes hulff gehalten worden abschrifft begehret als thue ich dieselbe e e g g hiemit zustellen den uater alles trostes bittende dass er e e g g und alle die ihrigen ferner trosten und wie er durch das am iulii geborne und am augusti getauffte iunge sohnlein georg ernst uon kotwitz angefangen in allen gnaden fortfahren und alles ubel an leib und seele ferner abwenden wolle
523924,body,4,1,False,[4],Dreßden den 17. Auguſti.,dreßden den auguſti,dressden den augusti
523924,body,4,2,True,[4],Anno 1615.,anno,anno
523924,body,5,0,True,[4],E. E. G. G. Williger M. Paulus Reich; der Creutzkirchen in der Churf Vheſtung Dreßden Diaconus.,e e g g williger m paulus reich der creutzkirchen in der churf vheſtung dreßden diaconus,e e g g williger m paulus reich der creutzkirchen in der churf uhestung dressden diaconus
523924,head,6,0,True,[5],ΠΑΡΑΣΚΕΥΗ CONCIONIS.,παρασκευη concionis,concionis
523924,body,7,0,False,[5],OB wol/ Geliebte vnd Außerwehlte in dem HERRN: Chriſto/ ein jedes Leichbegaͤngnuͤs ſeine Trawrigkeit mit ſich bringet/ vnd ſchwerlich eines gehalten werden kan/ darbey ſich gar niemandes detruben ſolte/ ſo haben wir doch zu dieſem mal/ ein ſehr trawriges vor Augen/ in dem wir mit Chriſtlichen Adelichen Ceremonien vnd Volckreicher verſamlung anhero zum Grab vnnd Ruhebettlein begleitet haben: Die Weyland Edle Ehrenvieltugendſame Fraw Annam/ geborne von Kertzſchin/ des Edlen/ Geſtrengen/ Ehrenveſten Junckern Ernſt Abraham von Dehnens Rotfelſers/ auff Helffenberg/ Fuͤrſtl.,ob wol geliebte vnd außerwehlte in dem herrn chriſto ein jedes leichbegaͤngnuͤs ſeine trawrigkeit mit ſich bringet vnd ſchwerlich eines gehalten werden kan darbey ſich gar niemandes detruben ſolte ſo haben wir doch zu dieſem mal ein ſehr trawriges vor augen in dem wir mit chriſtlichen adelichen ceremonien vnd volckreicher verſamlung anhero zum grab vnnd ruhebettlein begleitet haben die weyland edle ehrenvieltugendſame fraw annam geborne von kertzſchin des edlen geſtrengen ehrenveſten junckern ernſt abraham von dehnens rotfelſers auff helffenberg fuͤrſtl,ob wol geliebte und ausserwehlte in dem herrn christo ein iedes leichbegangnus seine trawrigkeit mit sich bringet und schwerlich eines gehalten werden kan darbey sich gar niemandes detruben solte so haben wir doch zu diesem mal ein sehr trawriges uor augen in dem wir mit christlichen adelichen ceremonien und uolckreicher uersamlung anhero zum grab unnd ruhebettlein begleitet haben die weyland edle ehrenuieltugendsame fraw annam geborne uon kertzschin des edlen gestrengen ehrenuesten iunckern ernst abraham uon dehnens rotfelsers auff helffenberg furstl
