doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_predige_1615,head,0,0,True,1,Ein Predige. Gethan bey der Begrebnis/ Des Ehrwürdigen GroßAchtbarn vnd Wolgelarten Herrn/ PETRI * Abten des Closters Riddageßhaussen. Am tag Andreae war der 30. Novembris Anno 1614. Durch Basilium Satler D. Hoffprediger zu Wolffenbüttel. Wolffenbüttel / Durch Julium Adolphum von Söhne / Im Jahr / 1615.,ein predige gethan bey der begrebnis des ehrwürdigen großachtbarn vnd wolgelarten herrn petri abten des closters riddageßhaussen am tag andreae war der novembris anno durch basilium satler d hoffprediger zu wolffenbüttel wolffenbüttel durch julium adolphum von söhne im jahr,ein predige gethan bey der begrebnis des ehrwurdigen grossachtbarn und wolgelarten herrn petri abten des closters riddagesshaussen am tag andreae war der nouembris anno durch basilium satler d hoffprediger zu wolffenbuttel wolffenbuttel durch iulium adolphum uon sohne im iahr
sattler_predige_1615,head,1,0,True,2,Gen. 25. v. 1.,gen v,gen u
sattler_predige_1615,body,2,0,True,2,ABraham nam wieder ein Weib / die hies Ketura / die gebar jhm Simron / vnnd Jaksan / Medan / vnnd Midian / Jeßbak / vnd Sua / Jaksan aber zeuget Seba vnd Dedan.,abraham nam wieder ein weib die hies ketura die gebar jhm simron vnnd jaksan medan vnnd midian jeßbak vnd sua jaksan aber zeuget seba vnd dedan,abraham nam wieder ein weib die hies ketura die gebar ihm simron unnd iaksan medan unnd midian iessbak und sua iaksan aber zeuget seba und dedan
sattler_predige_1615,body,3,0,False,2,Die Kinder aber von Dedan waren / Assurim / Latusim vnd Leumim.,die kinder aber von dedan waren assurim latusim vnd leumim,die kinder aber uon dedan waren assurim latusim und leumim
sattler_predige_1615,body,3,1,False,2,Die Kinder Midian waren / Epha / Epher / Hanoch / Abida / vnd Eldaa.,die kinder midian waren epha epher hanoch abida vnd eldaa,die kinder midian waren epha epher hanoch abida und eldaa
sattler_predige_1615,body,3,2,False,2,Diese sind alle Kinder der Ketura.,diese sind alle kinder der ketura,diese sind alle kinder der ketura
sattler_predige_1615,body,3,3,True,2,Vnd Abraham gab all sein Gut Isaac / aber den Kindern / die er von den Kebßweibern hatte / gab er Geschencke / vnd lies sie von seinem Sohn Isaac ziehen / weil er noch lebet / gegen dem Auffgang in das Morgen land.,vnd abraham gab all sein gut isaac aber den kindern die er von den kebßweibern hatte gab er geschencke vnd lies sie von seinem sohn isaac ziehen weil er noch lebet gegen dem auffgang in das morgen land,und abraham gab all sein gut isaac aber den kindern die er uon den kebssweibern hatte gab er geschencke und lies sie uon seinem sohn isaac ziehen weil er noch lebet gegen dem auffgang in das morgen land
sattler_predige_1615,body,4,0,False,2,Das ist aber Abrahams alter / das er gelebt hat / hundert vnd fünff vnd siebentzig Jahr / Vnd nam ab / vnd starb in einem rügihen alter / da er alt vnnd lebens satt war / Vnnd ward zu seinem Volck gesamlet.,das ist aber abrahams alter das er gelebt hat hundert vnd fünff vnd siebentzig jahr vnd nam ab vnd starb in einem rügihen alter da er alt vnnd lebens satt war vnnd ward zu seinem volck gesamlet,das ist aber abrahams alter das er gelebt hat hundert und funff und siebentzig iahr und nam ab und starb in einem rugihen alter da er alt unnd lebens satt war unnd ward zu seinem uolck gesamlet
sattler_predige_1615,body,4,1,True,4,Vnd es begruben jhn seine Söhne / Isaac vnd Ismael / in der zwifachen Höle auff dem Acker Ephron / des Sons Zoar des Hethiters / die da ligt gegen Mamre / in dem Felde / das Abraham von den Kindern Heth gekaufft hatte / Da ist Abraham begraben mit Sara seinem Weibe.,vnd es begruben jhn seine söhne isaac vnd ismael in der zwifachen höle auff dem acker ephron des sons zoar des hethiters die da ligt gegen mamre in dem felde das abraham von den kindern heth gekaufft hatte da ist abraham begraben mit sara seinem weibe,und es begruben ihn seine sohne isaac und ismael in der zwifachen hole auff dem acker ephron des sons zoar des hethiters die da ligt gegen mamre in dem felde das abraham uon den kindern heth gekaufft hatte da ist abraham begraben mit sara seinem weibe
sattler_predige_1615,head,5,0,True,4,Ausslegung.,ausslegung,ausslegung
