doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
valentin_hochzeit_1616,head,0,0,True,[1],"Chymiſche Hochzeit: Chriſtiani Roſencreuͤtz. Anno 1459. Arcana publicata vileſcunt; & gratiam prophanata amittunt. Ergo: ne Margarit as obijce porcis, ſeu Aſino ſubſterne roſas. Straßburg/ In Verlaͤgung/ Lazari Zetzners. Anno M. DC. XVI.",chymiſche hochzeit chriſtiani roſencreuͤtz anno arcana publicata vileſcunt & gratiam prophanata amittunt ergo ne margarit as obijce porcis ſeu aſino ſubſterne roſas straßburg in verlaͤgung lazari zetzners anno m dc xvi,chymische hochzeit christiani rosencreutz anno arcana publicata uilescunt et gratiam prophanata amittunt ergo ne margarit as obiice porcis seu asino substerne rosas strassburg in uerlagung lazari zetzners anno m dc xui
valentin_hochzeit_1616,head,1,0,True,3,Das Erſte Buch.,das erſte buch,das erste buch
valentin_hochzeit_1616,head,2,0,True,3,Dies I.,dies i,dies i
valentin_hochzeit_1616,body,3,0,False,3,AN einem Abend vor dem Oſtertag/ ſaß ich an einem Tiſch/ vnd wie ich mich meiner gewonheit nach mit meinem Schoͤpffer/ in meinem demuͤtigen Gebett gnugſam erſprachet: Vnd vielen groſſen Geheimnuſſen: (deren mich der Vatter deß Liechts ſeine Majeſtaͤt nit wenig ſehen laſſen) nachgedacht.,an einem abend vor dem oſtertag ſaß ich an einem tiſch vnd wie ich mich meiner gewonheit nach mit meinem schoͤpffer in meinem demuͤtigen gebett gnugſam erſprachet vnd vielen groſſen geheimnuſſen deren mich der vatter deß liechts ſeine majeſtaͤt nit wenig ſehen laſſen nachgedacht,an einem abend uor dem ostertag sass ich an einem tisch und wie ich mich meiner gewonheit nach mit meinem schopffer in meinem demutigen gebett gnugsam ersprachet und uielen grossen geheimnussen deren mich der uatter dess liechts seine maiestat nit wenig sehen lassen nachgedacht
valentin_hochzeit_1616,body,3,1,False,3,Auch nuhn mir mit meinem lieben Oſterlaͤmblein/ ein ohngeſaͤurt/ vnbeflecktes Kuͤchlein in meinem Hertzen zubereitten woͤllen/ kommet einsmals ein ſolcher grauſamer Wind daher/ das ich nit anders meinte/ dann es wurde der Berg/ darein mein Haͤußlein gegraben/ vor groſſem gewalt zerſpringen muͤſſen.,auch nuhn mir mit meinem lieben oſterlaͤmblein ein ohngeſaͤurt vnbeflecktes kuͤchlein in meinem hertzen zubereitten woͤllen kommet einsmals ein ſolcher grauſamer wind daher das ich nit anders meinte dann es wurde der berg darein mein haͤußlein gegraben vor groſſem gewalt zerſpringen muͤſſen,auch nuhn mir mit meinem lieben osterlamblein ein ohngesaurt unbeflecktes kuchlein in meinem hertzen zubereitten wollen kommet einsmals ein solcher grausamer wind daher das ich nit anders meinte dann es wurde der berg darein mein hausslein gegraben uor grossem gewalt zerspringen mussen
valentin_hochzeit_1616,body,3,2,False,3,"Weil mir aber ſolches vnd dergleichen an dem Teuffel (der mir manch leyds gethan) nit ant that/ faſſet ich einen muth/ vnd blieb in meiner Meditation, biß mich/ wider mein gewonheit jemand auff den Rucken anreget/ darvon ich dermaſſen erſchrocken/ das ich mich kaum vmbſehen doͤrffen/ noch ſtellet ich mich ſo frewdig/ als Menſchliche ſchwachheit zu dergleichen ſachen ſein kan.",weil mir aber ſolches vnd dergleichen an dem teuffel der mir manch leyds gethan nit ant that faſſet ich einen muth vnd blieb in meiner meditation biß mich wider mein gewonheit jemand auff den rucken anreget darvon ich dermaſſen erſchrocken das ich mich kaum vmbſehen doͤrffen noch ſtellet ich mich ſo frewdig als menſchliche ſchwachheit zu dergleichen ſachen ſein kan,weil mir aber solches und dergleichen an dem teuffel der mir manch leyds gethan nit ant that fasset ich einen muth und blieb in meiner meditation biss mich wider mein gewonheit iemand auff den rucken anreget daruon ich dermassen erschrocken das ich mich kaum umbsehen dorffen noch stellet ich mich so frewdig als menschliche schwachheit zu dergleichen sachen sein kan
valentin_hochzeit_1616,body,3,3,False,3,Vnd wie mich ſolch ding zu etlich mahlen beim Rock zupffet/ ſihe ich hinvmb/ da war es ein ſchoͤn herꝛlich Weibsbild/ deren Kleid gantz blaw/ vnd mit gulden Sternen/ wie der Himmel zierlich verſetzt geweſen.,vnd wie mich ſolch ding zu etlich mahlen beim rock zupffet ſihe ich hinvmb da war es ein ſchoͤn herꝛlich weibsbild deren kleid gantz blaw vnd mit gulden sternen wie der himmel zierlich verſetzt geweſen,und wie mich solch ding zu etlich mahlen beim rock zupffet sihe ich hinumb da war es ein schon herlich weibsbild deren kleid gantz blaw und mit gulden sternen wie der himmel zierlich uersetzt gewesen
valentin_hochzeit_1616,body,3,4,False,4,In der rechten Hand trug ſie ein gantz guldin Poſaun/ daran ein Nam geſtochen geweſt/ den ich wol leſen kund/ mir aber nochmahlen zu offenbaren verbotten worden: In der lincken Hand hatte ſie ein groſſes buͤſchel Brieff/ von allerley ſprachen/ die ſie (wie ich hernach erfahren) in alle Land tragen muſte: Sie hatte aber auch Fluͤgel/ groſſe vnd ſchoͤn/ voller Augen/ durch vnd durch/ mit denen ſie ſich auffſchwingen/ vnnd ſchneller dann kein Adler fliegen kundt.,in der rechten hand trug ſie ein gantz guldin poſaun daran ein nam geſtochen geweſt den ich wol leſen kund mir aber nochmahlen zu offenbaren verbotten worden in der lincken hand hatte ſie ein groſſes buͤſchel brieff von allerley ſprachen die ſie wie ich hernach erfahren in alle land tragen muſte sie hatte aber auch fluͤgel groſſe vnd ſchoͤn voller augen durch vnd durch mit denen ſie ſich auffſchwingen vnnd ſchneller dann kein adler fliegen kundt,in der rechten hand trug sie ein gantz guldin posaun daran ein nam gestochen gewest den ich wol lesen kund mir aber nochmahlen zu offenbaren uerbotten worden in der lincken hand hatte sie ein grosses buschel brieff uon allerley sprachen die sie wie ich hernach erfahren in alle land tragen muste sie hatte aber auch flugel grosse und schon uoller augen durch und durch mit denen sie sich auffschwingen unnd schneller dann kein adler fliegen kundt
valentin_hochzeit_1616,body,3,5,False,4,Ich hette vielleicht noch mehr an jhr koͤnnen notieren/ Aber weil ſie ſo kurtz bey mir geblieben/ vnd noch aller ſchreck vnd verwunderung in mir geſtecket/ muß ichs ſo ſein laſſen.,ich hette vielleicht noch mehr an jhr koͤnnen notieren aber weil ſie ſo kurtz bey mir geblieben vnd noch aller ſchreck vnd verwunderung in mir geſtecket muß ichs ſo ſein laſſen,ich hette uielleicht noch mehr an ihr konnen notieren aber weil sie so kurtz bey mir geblieben und noch aller schreck und uerwunderung in mir gestecket muss ichs so sein lassen
valentin_hochzeit_1616,body,3,6,False,4,Dann ſo bald ich mich vmbgewendet/ blaͤttert ſie jhre Brieff hin vnd wieder/ vnd zeuͤcht entlich ein klein Briefflein herauß/ welches ſie mit groſſer Reverentz auff den Tiſch gelegt/ vnd ohne einig wort/ von mir gewichen.,dann ſo bald ich mich vmbgewendet blaͤttert ſie jhre brieff hin vnd wieder vnd zeuͤcht entlich ein klein briefflein herauß welches ſie mit groſſer reverentz auff den tiſch gelegt vnd ohne einig wort von mir gewichen,dann so bald ich mich umbgewendet blattert sie ihre brieff hin und wieder und zeucht entlich ein klein briefflein herauss welches sie mit grosser reuerentz auff den tisch gelegt und ohne einig wort uon mir gewichen
