doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523543,body,0,0,True,[1],"TRIAS PRIMITIARUM Das iſt: Drey Chriſtliche Predigten/ derer: I. Pædagogia Matrũ Judaicarũ imitanda: ex Marco c. 10. Gehalten 30. Aprilis Anno 1616. bey der Adelichen Sepultur Jungfraw Anleins Schlaherin/ jhres Alters 1. Jahrs 26. Wochen 5. Tage. II. Hercules Chriſtianus coronandus, ex 2. Tim. 4. Gethan 14. Maij ejuſdem Anni, bey Leichbeſtattung Johan Chriſtophori Schlahers/ ſeines Alters 3. Jahr 37. Wochen 5. Tag. III. Infans Paralyticus Baptizandus, ex Evang. Matth. 9. verrichtet Domin. XIX. poſt. Trin. war der 30. Octobris Anno 1614. als drauff den folgenden Tag/ erſt Todesblichenes vnd nunmehr ſeligen J. Anlein Schlaherin/ dem HErꝛn Chriſto durch die H. Tauffe zugefuͤhret vnd einverleibet worden. Vnd: Zu beſondern Ehren vnd wolgefallen/ wie denn auch zu krefftigen vnd beſtendigen Troſt/ Den Edlen/ Geſtrengen vnd Ehrenveſten/ Eleazaro Schlahern/ von der Nimka/ Erbherrn auff Cloͤſterlein vnd Cella: Vnd S. G. vielgeliebten Gemaͤhlin/ etc. Welche binnen 14. Tagen obberuͤhrte zwey jhre liebe Kinderlein muͤſſen zu Grabe begleiten/ vnd jhre abgeſeelte Coͤrperlein in der Kirchen zum Cloͤſterlein/ der Erden/ vnſer allgemeinen Mutter/ reſtituirn laſſen. Auff deroſelben begehren publicirt von: M. Gabriele Güttenero, Delitiano Pfarherrn zur Obern Schlema vnd Cloͤſterlein/ am Schneberg gelegen. In fine additi ſunt Reverendi Miniſterij Schnebergenſis & alio rum Threnodiæ, in gratiam Nobiliß. Parentum conſcriptæ. Leipzig/ Jn verlegung Abraham Lambergs/ vnd Caſpar Cloſemans",trias primitiarum das iſt drey chriſtliche predigten derer i pædagogia matrũ judaicarũ imitanda ex marco c gehalten aprilis anno bey der adelichen sepultur jungfraw anleins schlaherin jhres alters jahrs wochen tage ii hercules chriſtianus coronandus ex tim gethan maij ejuſdem anni bey leichbeſtattung johan chriſtophori schlahers ſeines alters jahr wochen tag iii infans paralyticus baptizandus ex evang matth verrichtet domin xix poſt trin war der octobris anno als drauff den folgenden tag erſt todesblichenes vnd nunmehr ſeligen j anlein schlaherin dem herꝛn chriſto durch die h tauffe zugefuͤhret vnd einverleibet worden vnd zu beſondern ehren vnd wolgefallen wie denn auch zu krefftigen vnd beſtendigen troſt den edlen geſtrengen vnd ehrenveſten eleazaro schlahern von der nimka erbherrn auff cloͤſterlein vnd cella vnd s g vielgeliebten gemaͤhlin etc welche binnen tagen obberuͤhrte zwey jhre liebe kinderlein muͤſſen zu grabe begleiten vnd jhre abgeſeelte coͤrperlein in der kirchen zum cloͤſterlein der erden vnſer allgemeinen mutter reſtituirn laſſen auff deroſelben begehren publicirt von m gabriele güttenero delitiano pfarherrn zur obern schlema vnd cloͤſterlein am schneberg gelegen in fine additi ſunt reverendi miniſterij schnebergenſis & alio rum threnodiæ in gratiam nobiliß parentum conſcriptæ leipzig jn verlegung abraham lambergs vnd caſpar cloſemans,trias primitiarum das ist drey christliche predigten derer i paedagogia matrum iudaicarum imitanda ex marco c gehalten aprilis anno bey der adelichen sepultur iungfraw anleins schlaherin ihres alters iahrs wochen tage ii hercules christianus coronandus ex tim gethan maii eiusdem anni bey leichbestattung iohan christophori schlahers seines alters iahr wochen tag iii infans paralyticus baptizandus ex euang matth uerrichtet domin xix post trin war der octobris anno als drauff den folgenden tag erst todesblichenes und nunmehr seligen i anlein schlaherin dem hern christo durch die h tauffe zugefuhret und einuerleibet worden und zu besondern ehren und wolgefallen wie denn auch zu krefftigen und bestendigen trost den edlen gestrengen und ehrenuesten eleazaro schlahern uon der nimka erbherrn auff closterlein und cella und s g uielgeliebten gemahlin etc welche binnen tagen obberuhrte zwey ihre liebe kinderlein mussen zu grabe begleiten und ihre abgeseelte corperlein in der kirchen zum closterlein der erden unser allgemeinen mutter restituirn lassen auff deroselben begehren publicirt uon m gabriele guttenero delitiano pfarherrn zur obern schlema und closterlein am schneberg gelegen in fine additi sunt reuerendi ministerii schnebergensis et alio rum threnodiae in gratiam nobiliss parentum conscriptae leipzig in uerlegung abraham lambergs und caspar closemans
523543,body,1,0,True,1,EDler/ Geſtrenger/ vnd Ehrnveſter inſonders großguͤnſtiger Juncker/ vnd hochgeehrter Patron/ auch Gottfuͤrchtige/ Edle/ vnd Tugendreiche Fraw/ beyde liebe Gerattern/ vnd trewe Freunde.,edler geſtrenger vnd ehrnveſter inſonders großguͤnſtiger juncker vnd hochgeehrter patron auch gottfuͤrchtige edle vnd tugendreiche fraw beyde liebe gerattern vnd trewe freunde,edler gestrenger und ehrnuester insonders grossgunstiger iuncker und hochgeehrter patron auch gottfurchtige edle und tugendreiche fraw beyde liebe gerattern und trewe freunde
523543,body,2,0,False,2,Mir zweiffelt nicht/ es werden E. G. als fleiſſige KirchenKinder/ vnd ſehr Andaͤchtige Hertzen/ ſich noch erinnern koͤnnen/ des ſeligen Troſts/ welchen deroſelben ich vnwirdig/ aus GOttes vnfehlbahrn Worte/ nach anleitung der begehrten Bibliſchen Texte/ vnd aus dem vermoͤgen/ ſo Gott dargereichet/ vorgehalten habe/ als GOtt der Herr/ in deſſen Buch alle vnſere Tage auffgezeichnet ſind/ vnlengſt an dieſelbe E. G. wie ein gewaltiger lauffen/ vnd jhnen/ durch den zwiefachen riß vnter jhren lieben Kinderlein/ eine Wunde vber die andere machen thete: Oder aber/ da jhnen etwa ausgefallen were (wie wir denn alle in terra oblivionis wandeln) ſich/ als fleiſſige Schuͤler Gottes des heiligen Geiſtes/ anderweit vnd mehrers Troſts/ aus heiliger Goͤttlicher Schrifft/ aus welchen aller vnſer Troſt/ gleich als aus einem ſtarcken Quel vnd HauptBrunnen/ entſpringen vnd herflieſſen thut/ erholet/ vnd damit wider alle vbermuͤtige Gedancken gnungſam præſerviret haben: Dahero es vielleicht des Abdrucks meiner gehaltenen einfaͤltigen Predigten nicht ſo gar ſehr bedurfft hette.,mir zweiffelt nicht es werden e g als fleiſſige kirchenkinder vnd ſehr andaͤchtige hertzen ſich noch erinnern koͤnnen des ſeligen troſts welchen deroſelben ich vnwirdig aus gottes vnfehlbahrn worte nach anleitung der begehrten bibliſchen texte vnd aus dem vermoͤgen ſo gott dargereichet vorgehalten habe als gott der herr in deſſen buch alle vnſere tage auffgezeichnet ſind vnlengſt an dieſelbe e g wie ein gewaltiger lauffen vnd jhnen durch den zwiefachen riß vnter jhren lieben kinderlein eine wunde vber die andere machen thete oder aber da jhnen etwa ausgefallen were wie wir denn alle in terra oblivionis wandeln ſich als fleiſſige schuͤler gottes des heiligen geiſtes anderweit vnd mehrers troſts aus heiliger goͤttlicher schrifft aus welchen aller vnſer troſt gleich als aus einem ſtarcken quel vnd hauptbrunnen entſpringen vnd herflieſſen thut erholet vnd damit wider alle vbermuͤtige gedancken gnungſam præſerviret haben dahero es vielleicht des abdrucks meiner gehaltenen einfaͤltigen predigten nicht ſo gar ſehr bedurfft hette,mir zweiffelt nicht es werden e g als fleissige kirchenkinder und sehr andachtige hertzen sich noch erinnern konnen des seligen trosts welchen deroselben ich unwirdig aus gottes unfehlbahrn worte nach anleitung der begehrten biblischen texte und aus dem uermogen so gott dargereichet uorgehalten habe als gott der herr in dessen buch alle unsere tage auffgezeichnet sind unlengst an dieselbe e g wie ein gewaltiger lauffen und ihnen durch den zwiefachen riss unter ihren lieben kinderlein eine wunde uber die andere machen thete oder aber da ihnen etwa ausgefallen were wie wir denn alle in terra obliuionis wandeln sich als fleissige schuler gottes des heiligen geistes anderweit und mehrers trosts aus heiliger gottlicher schrifft aus welchen aller unser trost gleich als aus einem starcken quel und hauptbrunnen entspringen und herfliessen thut erholet und damit wider alle ubermutige gedancken gnungsam praeseruiret haben dahero es uielleicht des abdrucks meiner gehaltenen einfaltigen predigten nicht so gar sehr bedurfft hette
523543,body,2,1,True,3,"Vnd ich bezeuge im grunde der Warheit/ daß ich niemals willens geweſen/ dieſelbe zu divulgirn, ſondern mir daran gar gerne gnuͤgen zulaſſen/ wann nur E. G. hierdurch in jrem betruͤbnis moͤchte getroͤſtet/ vnd neben der Ehre Gottes/ ſolche Predigten von meinen damals geweſenen Chriſtlichen vñ ſtatlichen Auditorio, mit andacht vnd Chriſtlichen Eyver (wie ich nicht zweiffele) auffgenommen worden ſeyn.",vnd ich bezeuge im grunde der warheit daß ich niemals willens geweſen dieſelbe zu divulgirn ſondern mir daran gar gerne gnuͤgen zulaſſen wann nur e g hierdurch in jrem betruͤbnis moͤchte getroͤſtet vnd neben der ehre gottes ſolche predigten von meinen damals geweſenen chriſtlichen vñ ſtatlichen auditorio mit andacht vnd chriſtlichen eyver wie ich nicht zweiffele auffgenommen worden ſeyn,und ich bezeuge im grunde der warheit dass ich niemals willens gewesen dieselbe zu diuulgirn sondern mir daran gar gerne gnugen zulassen wann nur e g hierdurch in irem betrubnis mochte getrostet und neben der ehre gottes solche predigten uon meinen damals gewesenen christlichen und statlichen auditorio mit andacht und christlichen eyuer wie ich nicht zweiffele auffgenommen worden seyn
523543,body,3,0,False,3,"Demnach aber E. G. alſobalde damals/ als Gott/ der Herr vnſers Lebens/ daß liebe vnd nunmehr ſelige Hans Chriſtofflein abgefodert hat/ vnd ich auff erfoderung bey derſelben auffwarten thete/ einmuͤtig begehrten/ auch ſeydhero bey mir vnterſchiedlich angehalten/ daß dieſelben jhnen durch den Druck communicirt vñ ertheilt werden moͤchten/ vielleicht zu einem Memorial vnd Gedaͤchtnis jhrer ſeligen lieben Kindlein: Als haben E. G. ich billich gratificirn/ vnd zu willen leben ſollen: vngeachtet die wuͤnderlichen judicia, etlicher Empæctarum, quorum hîc fertilis admod & ſeges & ager eſt, Jch weiß zwar ſubſtwol/ vñ darff mirs niemand allererſt ſagen/ daß in dieſen meinen Predigten wenig Kunſt zu finden iſt: Darumb ich auch wol mit denſelben hette daheime bleiben moͤgen/ vnd ſie vnter meinen andern Scartecken in occulto liegen laſſen: Aber wie kan E. G. die ein anders von mir begehren/ ich widerſtreben?",demnach aber e g alſobalde damals als gott der herr vnſers lebens daß liebe vnd nunmehr ſelige hans chriſtofflein abgefodert hat vnd ich auff erfoderung bey derſelben auffwarten thete einmuͤtig begehrten auch ſeydhero bey mir vnterſchiedlich angehalten daß dieſelben jhnen durch den druck communicirt vñ ertheilt werden moͤchten vielleicht zu einem memorial vnd gedaͤchtnis jhrer ſeligen lieben kindlein als haben e g ich billich gratificirn vnd zu willen leben ſollen vngeachtet die wuͤnderlichen judicia etlicher empæctarum quorum hîc fertilis admod & ſeges & ager eſt jch weiß zwar ſubſtwol vñ darff mirs niemand allererſt ſagen daß in dieſen meinen predigten wenig kunſt zu finden iſt darumb ich auch wol mit denſelben hette daheime bleiben moͤgen vnd ſie vnter meinen andern scartecken in occulto liegen laſſen aber wie kan e g die ein anders von mir begehren ich widerſtreben,demnach aber e g alsobalde damals als gott der herr unsers lebens dass liebe und nunmehr selige hans christofflein abgefodert hat und ich auff erfoderung bey derselben auffwarten thete einmutig begehrten auch seydhero bey mir unterschiedlich angehalten dass dieselben ihnen durch den druck communicirt und ertheilt werden mochten uielleicht zu einem memorial und gedachtnis ihrer seligen lieben kindlein als haben e g ich billich gratificirn und zu willen leben sollen ungeachtet die wunderlichen iudicia etlicher empaectarum quorum hic fertilis admod et seges et ager est ich weiss zwar substwol und darff mirs niemand allererst sagen dass in diesen meinen predigten wenig kunst zu finden ist darumb ich auch wol mit denselben hette daheime bleiben mogen und sie unter meinen andern scartecken in occulto liegen lassen aber wie kan e g die ein anders uon mir begehren ich widerstreben
523543,body,3,1,True,4,"Denn dieſelben beyderſeits/ ſich/ nicht allein/ den wahren Gottesdienſt in jhrer Kirchen zum Cloͤſterlein zubefoͤdern/ vnd das arme GottesHaus deſto beſſer anzurichten vnd zuſchmuͤcken/ mit auffwendung vieler koſten/ hoͤchlich bemuͤhen/ ſondern auch mir vnd den meinigen/ vber das ordentliche ſalarium, ſo ich Jaͤhrlich von E. G. zugewarten habe/ mit ſo vielfeltigen gut- vnd wolthaten erſcheinen/ daß ich nechſt Gott/ vnd meinen lieben Eltern/ E. G. vor meinen groͤſſeſten Gutthaͤter halte/ vnd darumb mit hoͤchſter danckbarkeit gegen dieſelbe mich zuerweiſen mich pflichtſchuͤldig erkenne.",denn dieſelben beyderſeits ſich nicht allein den wahren gottesdienſt in jhrer kirchen zum cloͤſterlein zubefoͤdern vnd das arme gotteshaus deſto beſſer anzurichten vnd zuſchmuͤcken mit auffwendung vieler koſten hoͤchlich bemuͤhen ſondern auch mir vnd den meinigen vber das ordentliche ſalarium ſo ich jaͤhrlich von e g zugewarten habe mit ſo vielfeltigen gut vnd wolthaten erſcheinen daß ich nechſt gott vnd meinen lieben eltern e g vor meinen groͤſſeſten gutthaͤter halte vnd darumb mit hoͤchſter danckbarkeit gegen dieſelbe mich zuerweiſen mich pflichtſchuͤldig erkenne,denn dieselben beyderseits sich nicht allein den wahren gottesdienst in ihrer kirchen zum closterlein zubefodern und das arme gotteshaus desto besser anzurichten und zuschmucken mit auffwendung uieler kosten hochlich bemuhen sondern auch mir und den meinigen uber das ordentliche salarium so ich iahrlich uon e g zugewarten habe mit so uielfeltigen gut und wolthaten erscheinen dass ich nechst gott und meinen lieben eltern e g uor meinen grossesten gutthater halte und darumb mit hochster danckbarkeit gegen dieselbe mich zuerweisen mich pflichtschuldig erkenne
523543,body,4,0,True,4,"Ob ich aber nun wol von Hertzen wuͤnſchen wolte/ wenn wuͤnſchen gelten ſolte/ daß ich E. G. in etwas andern vnd froͤlichern begehren hette wilfahren ſollen: Wañ es aber doch der hohen Goͤttlichen Majeſtet alſo beliebet/ vnnd numehr nicht zu endern iſt/ was nach ſeinem Goͤttlichen willen geſchehen iſt: So mag ſolcher Abdruck vnd Dedication dieſer meiner einfeltigen Leichpredigten/ wie ich ſie/ durch Gottes gnade/ gehalten/ (wie denn auch noch einer andern/ welche ich alſo/ auff eignes gutachtẽ/ Gott/ zu Chrẽ E. G. zu Troſt/ vñ meinen anbefohlenen Kirch Schaͤfftein zũ vnterricht verrichtet habe/ vnd den erſten zweyen/ propter materiæ convenientiam, zugleich mit affigiren laſſen/ welches E. G. nicht anders als wolgemeinet erkennẽ vnd auffnemen wolle) im Namen Gottes fortgehen vnd E. G. vnd deroſelben anjetzo einigen vnd Hertzlieben Soͤhnlein Hans Heinrichen/ jetzo vnd in kuͤnfftigen ein Memorial jhrer Hertzlieben Kinderlein vnd Geſchwiſterlein ſeyn: Mir aber auch zugleich darzu dienen/ daß ich hiermit bey denſelben meinen Gratial, vor alle allbereit geſchehene/ vnnd noch kuͤnfftige wolthaten moͤge deponiren vnd einantworten.",ob ich aber nun wol von hertzen wuͤnſchen wolte wenn wuͤnſchen gelten ſolte daß ich e g in etwas andern vnd froͤlichern begehren hette wilfahren ſollen wañ es aber doch der hohen goͤttlichen majeſtet alſo beliebet vnnd numehr nicht zu endern iſt was nach ſeinem goͤttlichen willen geſchehen iſt so mag ſolcher abdruck vnd dedication dieſer meiner einfeltigen leichpredigten wie ich ſie durch gottes gnade gehalten wie denn auch noch einer andern welche ich alſo auff eignes gutachtẽ gott zu chrẽ e g zu troſt vñ meinen anbefohlenen kirch schaͤfftein zũ vnterricht verrichtet habe vnd den erſten zweyen propter materiæ convenientiam zugleich mit affigiren laſſen welches e g nicht anders als wolgemeinet erkennẽ vnd auffnemen wolle im namen gottes fortgehen vnd e g vnd deroſelben anjetzo einigen vnd hertzlieben soͤhnlein hans heinrichen jetzo vnd in kuͤnfftigen ein memorial jhrer hertzlieben kinderlein vnd geſchwiſterlein ſeyn mir aber auch zugleich darzu dienen daß ich hiermit bey denſelben meinen gratial vor alle allbereit geſchehene vnnd noch kuͤnfftige wolthaten moͤge deponiren vnd einantworten,ob ich aber nun wol uon hertzen wunschen wolte wenn wunschen gelten solte dass ich e g in etwas andern und frolichern begehren hette wilfahren sollen wann es aber doch der hohen gottlichen maiestet also beliebet unnd numehr nicht zu endern ist was nach seinem gottlichen willen geschehen ist so mag solcher abdruck und dedication dieser meiner einfeltigen leichpredigten wie ich sie durch gottes gnade gehalten wie denn auch noch einer andern welche ich also auff eignes gutachten gott zu chren e g zu trost und meinen anbefohlenen kirch schafftein zum unterricht uerrichtet habe und den ersten zweyen propter materiae conuenientiam zugleich mit affigiren lassen welches e g nicht anders als wolgemeinet erkennen und auffnemen wolle im namen gottes fortgehen und e g und deroselben anietzo einigen und hertzlieben sohnlein hans heinrichen ietzo und in kunfftigen ein memorial ihrer hertzlieben kinderlein und geschwisterlein seyn mir aber auch zugleich darzu dienen dass ich hiermit bey denselben meinen gratial uor alle allbereit geschehene unnd noch kunfftige wolthaten moge deponiren und einantworten
523543,body,5,0,False,5,Der getrewe vnd Barmhertzige Gott verleihe E. G. beyderſeits/ vnd jrem lieben Soͤhnlein/ fernere Geſundheit/ vnd langes Leben/ troͤſte ſie in noch waͤrenden betruͤbnis/ vnd behuͤte ſie vor allem Leid vnd Vbel/ laſſe auch ſonſten ſein Gnaden Antlitz ſtets vber ſie erhoben vnd erleuchtet ſeyn/ daß ſie mit Sara/ Tob. 3. ſich troͤſten/ vnd ruͤhmen koͤnnen: Das weis ich fuͤrwar/ wer Gott dienet/ der wird nach der anfechtũg getroͤſtet/ vnd aus der truͤbſal erloͤſet vnd nach der zuͤchtigung findet er gnade/ deñ du haſt nit luſt an vnſerm verderbẽ.,der getrewe vnd barmhertzige gott verleihe e g beyderſeits vnd jrem lieben soͤhnlein fernere geſundheit vnd langes leben troͤſte ſie in noch waͤrenden betruͤbnis vnd behuͤte ſie vor allem leid vnd vbel laſſe auch ſonſten ſein gnaden antlitz ſtets vber ſie erhoben vnd erleuchtet ſeyn daß ſie mit sara tob ſich troͤſten vnd ruͤhmen koͤnnen das weis ich fuͤrwar wer gott dienet der wird nach der anfechtũg getroͤſtet vnd aus der truͤbſal erloͤſet vnd nach der zuͤchtigung findet er gnade deñ du haſt nit luſt an vnſerm verderbẽ,der getrewe und barmhertzige gott uerleihe e g beyderseits und irem lieben sohnlein fernere gesundheit und langes leben troste sie in noch warenden betrubnis und behute sie uor allem leid und ubel lasse auch sonsten sein gnaden antlitz stets uber sie erhoben und erleuchtet seyn dass sie mit sara tob sich trosten und ruhmen konnen das weis ich furwar wer gott dienet der wird nach der anfechtung getrostet und aus der trubsal erloset und nach der zuchtigung findet er gnade denn du hast nit lust an unserm uerderben
523543,body,5,1,False,9[6],Deñ nach dem vngewitter leſſeſtu die Sonne wider ſcheinen/ vñ nach dem heulen vnd weinen vberſchuͤtteſtu vns mit frewden.,deñ nach dem vngewitter leſſeſtu die sonne wider ſcheinen vñ nach dem heulen vnd weinen vberſchuͤtteſtu vns mit frewden,denn nach dem ungewitter lessestu die sonne wider scheinen und nach dem heulen und weinen uberschuttestu uns mit frewden
523543,body,5,2,False,9[6],Deinem Namẽ ſey ewiglich Ehr vñ Lob/ du Gott Jſrael.,deinem namẽ ſey ewiglich ehr vñ lob du gott jſrael,deinem namen sey ewiglich ehr und lob du gott israel
