doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kepler_messekunst_1616,body,0,0,True,1,Außzug auß der Vralten MeſſeKunſt Archimedis Vnd deroſelben newlich in Latein auſzgangener Ergentzung/ betreffend Rechnung der Coͤrperlichen Figuren/ holen Gefeſſen vnd Weinfaͤſſer/ ſonderlich deß Oeſterreichiſchen/ ſo vnder allen anderen den artigiſten Schick hat. Erklaͤrung vnnd beſtaͤttigung der Oeſterreichiſchen Weinbiſier Ruthen/ vnd deroſelben ſonderbaren gantz leichten vnd behenden Gebrauchs an den Landfaͤſſern: Erweitterung deſſen auff die außlaͤndiſche/ ſo auch auff das Geſchuͤtz vnnd Kugeln. Sampt einem ſehr nutzlichen Anhang Von vergleichung deß Landtgebraͤuchigen Gewichts/ Elen/ Klaffter/ Schuch/ Wein- vnd Traid Maaß/ vnder einander/ vnd mit andern außlaͤndiſchen/ auch Alt Roͤmiſchen. Allen vnnd jeden Obrigkeiten/ Beampteten/ Kriegs Obriſten/ Handelsleuten/ Buͤxen-Muͤntz-Baw- vnd Rechen Meiſtern/ Wein Viſierern/ Haußwuͤrthen/ vnd meniglichen in vnd auſſer Lands/ faſt dienſtlich: ſonderlich aber dem Kunſt- vnnd Antiquitetliebenden Leſern annaͤmlich. Geſtelt durch Johann Kepplern/ der Roͤm. Kayſ. Mt. vnd Dero getrewer Loͤbl. Landſchafft deß Ertzhoͤrtzogthumbs Oeſterreich Ob der Enß Mathematicum. Prov. XVI. Rechte Waag vnd Gewicht iſt vom Herren/ vnd alle pfunde im Sack ſind ſeine Wercke. Vom Authore verlegt/ vnnd gedruckt zu Lintz durch Hanſen Blancken. ANNO M. DC. XVI. Mit Kayſ. Freyheit auff XV. Jahr nicht nach zu drucken.,außzug auß der vralten meſſekunſt archimedis vnd deroſelben newlich in latein auſzgangener ergentzung betreffend rechnung der coͤrperlichen figuren holen gefeſſen vnd weinfaͤſſer ſonderlich deß oeſterreichiſchen ſo vnder allen anderen den artigiſten schick hat erklaͤrung vnnd beſtaͤttigung der oeſterreichiſchen weinbiſier ruthen vnd deroſelben ſonderbaren gantz leichten vnd behenden gebrauchs an den landfaͤſſern erweitterung deſſen auff die außlaͤndiſche ſo auch auff das geſchuͤtz vnnd kugeln sampt einem ſehr nutzlichen anhang von vergleichung deß landtgebraͤuchigen gewichts elen klaffter schuch wein vnd traid maaß vnder einander vnd mit andern außlaͤndiſchen auch alt roͤmiſchen allen vnnd jeden obrigkeiten beampteten kriegs obriſten handelsleuten buͤxenmuͤntzbaw vnd rechen meiſtern wein viſierern haußwuͤrthen vnd meniglichen in vnd auſſer lands faſt dienſtlich ſonderlich aber dem kunſt vnnd antiquitetliebenden leſern annaͤmlich geſtelt durch johann kepplern der roͤm kayſ mt vnd dero getrewer loͤbl landſchafft deß ertzhoͤrtzogthumbs oeſterreich ob der enß mathematicum prov xvi rechte waag vnd gewicht iſt vom herren vnd alle pfunde im sack ſind ſeine wercke vom authore verlegt vnnd gedruckt zu lintz durch hanſen blancken anno m dc xvi mit kayſ freyheit auff xv jahr nicht nach zu drucken,ausszug auss der uralten messekunst archimedis und deroselben newlich in latein auszgangener ergentzung betreffend rechnung der corperlichen figuren holen gefessen und weinfasser sonderlich dess oesterreichischen so under allen anderen den artigisten schick hat erklarung unnd bestattigung der oesterreichischen weinbisier ruthen und deroselben sonderbaren gantz leichten und behenden gebrauchs an den landfassern erweitterung dessen auff die ausslandische so auch auff das geschutz unnd kugeln sampt einem sehr nutzlichen anhang uon uergleichung dess landtgebrauchigen gewichts elen klaffter schuch wein und traid maass under einander und mit andern ausslandischen auch alt romischen allen unnd ieden obrigkeiten beampteten kriegs obristen handelsleuten buxenmuntzbaw und rechen meistern wein uisierern hausswurthen und meniglichen in und ausser lands fast dienstlich sonderlich aber dem kunst unnd antiquitetliebenden lesern annamlich gestelt durch iohann kepplern der rom kays mt und dero getrewer lobl landschafft dess ertzhortzogthumbs oesterreich ob der enss mathematicum prou xui rechte waag und gewicht ist uom herren und alle pfunde im sack sind seine wercke uom authore uerlegt unnd gedruckt zu lintz durch hansen blancken anno m dc xui mit kays freyheit auff xu iahr nicht nach zu drucken
kepler_messekunst_1616,body,1,0,True,3,Denen Edlen/ Veſten/ auch Ehrnveſten/ Erſamen/ Fuͤrnemen/ Fuͤrſichtigen vnd Wolweiſen/ Herrn Burgermeiſtern/ Richtern vnd Raͤhtender Loͤblichen Staͤtte deß Ertzhoͤrzogthumbs Oeſterreich Vnder vnnd Ob der Enß: Meinen Groß- vnnd Guͤnſtigen Herren.,denen edlen veſten auch ehrnveſten erſamen fuͤrnemen fuͤrſichtigen vnd wolweiſen herrn burgermeiſtern richtern vnd raͤhtender loͤblichen staͤtte deß ertzhoͤrzogthumbs oeſterreich vnder vnnd ob der enß meinen groß vnnd guͤnſtigen herren,denen edlen uesten auch ehrnuesten ersamen furnemen fursichtigen und wolweisen herrn burgermeistern richtern und rahtender loblichen statte dess ertzhorzogthumbs oesterreich under unnd ob der enss meinen gross unnd gunstigen herren
kepler_messekunst_1616,body,2,0,False,3,EDle/ Veſte/ auch Ehrnveſte/ Ehrſame/ Fuͤrneme/ Fuͤrſichtige/ Wolweiſe/ Groß- vnd Guͤnſtige Herꝛen.,edle veſte auch ehrnveſte ehrſame fuͤrneme fuͤrſichtige wolweiſe groß vnd guͤnſtige herꝛen,edle ueste auch ehrnueste ehrsame furneme fursichtige wolweise gross und gunstige heren
kepler_messekunst_1616,body,2,1,False,3,Das Vralte Muͤtterlein aller vnd jeder Obrigkeiten/ Gemainden/ guter Wuͤrte/ vernuͤnfftiger Kauffleute/ Freykuͤnſtler vnd Handwercker/ namens Geometria/ mein gebiettende Fraw/ leſſet E. V. E. F. W. vnd G. als einem groſſen vnd ſehr lieben thail jhrer Kinder vnd Angehoͤrigen/ jhren muͤtterlichen Gruß/ vnnd nebens ſoviel vermelden: wann es der Loͤb.,das vralte muͤtterlein aller vnd jeder obrigkeiten gemainden guter wuͤrte vernuͤnfftiger kauffleute freykuͤnſtler vnd handwercker namens geometria mein gebiettende fraw leſſet e v e f w vnd g als einem groſſen vnd ſehr lieben thail jhrer kinder vnd angehoͤrigen jhren muͤtterlichen gruß vnnd nebens ſoviel vermelden wann es der loͤb,das uralte mutterlein aller und ieder obrigkeiten gemainden guter wurte uernunfftiger kauffleute freykunstler und handwercker namens geometria mein gebiettende fraw lesset e u e f w und g als einem grossen und sehr lieben thail ihrer kinder und angehorigen ihren mutterlichen gruss unnd nebens souiel uermelden wann es der lob
kepler_messekunst_1616,body,2,2,False,3,Obrigkeit in jhrer Regierung/ vnd jedem nachgeſetzten inn ſeinem Handel vnd Wandel wol ergehe/ vnd er ſich alſo/ wie Sie jhne gelehet/ ehrlich vnd reichlich mit den ſeinigen nehre vn̄ hinauß bringe/ ſolches jhr ein ſonderliche Frewde ſey zu vernemen.,obrigkeit in jhrer regierung vnd jedem nachgeſetzten inn ſeinem handel vnd wandel wol ergehe vnd er ſich alſo wie sie jhne gelehet ehrlich vnd reichlich mit den ſeinigen nehre vn̄ hinauß bringe ſolches jhr ein ſonderliche frewde ſey zu vernemen,obrigkeit in ihrer regierung und iedem nachgesetzten inn seinem handel und wandel wol ergehe und er sich also wie sie ihne gelehet ehrlich und reichlich mit den seinigen nehre und hinauss bringe solches ihr ein sonderliche frewde sey zu uernemen
kepler_messekunst_1616,body,2,3,False,3,Ferners vnnd demnach ſie von mir verſtanden/ das Jch/ als jhr geſchworner Diener/ mich kurtzer Jahren im Land Oeſterreich Ob der Euß/ vnd deſſen Hauptſtatt Lintz/ vermittelſt Kayſerlicher/ vnd von derſelben Loͤbl.,ferners vnnd demnach ſie von mir verſtanden das jch als jhr geſchworner diener mich kurtzer jahren im land oeſterreich ob der euß vnd deſſen hauptſtatt lintz vermittelſt kayſerlicher vnd von derſelben loͤbl,ferners unnd demnach sie uon mir uerstanden das ich als ihr geschworner diener mich kurtzer iahren im land oesterreich ob der euss und dessen hauptstatt lintz uermittelst kayserlicher und uon derselben lobl
kepler_messekunst_1616,body,2,4,False,3,Landſchafft habender Beſtallung/ nidergerichtet/ in Hoffnung/ alda die von Je mir auffgetragne Raittungen/ betreffend alle theil jres Gebiets inn der Obern vn̄ Nidern Welt/ mit mehrer ruhe/ vermittelſt Goͤttliches willens zuvolfuͤhren vnnd zuſchlieſſen: Als hat ſie jhr baldes/ dieſe einer gantzen Loͤblichen Landtſchafft gutwilligkeit vnd ehrerbietung gegen Jr/ ſo auch mein reſolution vnd entliches verfahren wol gefallen laſſen: mit dermeldung/ daß ſie das gantze Land Oeſterreich/ ſonderlich von deß edlen Rebenſaffts wegen/ vor andern Laͤndernlieb habe/ vnd zu auffzucht eines von Leibsgſtalt vn̄ guten Sittẽ wol proportionirten Volcks/ groſſen fleiß angewendet/ auch jr eigene Herberg in dem Oeſterreichiſchen Weinfaß habe/ alda ſie ordentlich pflege einzukehren.,landſchafft habender beſtallung nidergerichtet in hoffnung alda die von je mir auffgetragne raittungen betreffend alle theil jres gebiets inn der obern vn̄ nidern welt mit mehrer ruhe vermittelſt goͤttliches willens zuvolfuͤhren vnnd zuſchlieſſen als hat ſie jhr baldes dieſe einer gantzen loͤblichen landtſchafft gutwilligkeit vnd ehrerbietung gegen jr ſo auch mein reſolution vnd entliches verfahren wol gefallen laſſen mit dermeldung daß ſie das gantze land oeſterreich ſonderlich von deß edlen rebenſaffts wegen vor andern laͤndernlieb habe vnd zu auffzucht eines von leibsgſtalt vn̄ guten sittẽ wol proportionirten volcks groſſen fleiß angewendet auch jr eigene herberg in dem oeſterreichiſchen weinfaß habe alda ſie ordentlich pflege einzukehren,landschafft habender bestallung nidergerichtet in hoffnung alda die uon ie mir auffgetragne raittungen betreffend alle theil ires gebiets inn der obern und nidern welt mit mehrer ruhe uermittelst gottliches willens zuuolfuhren unnd zuschliessen als hat sie ihr baldes diese einer gantzen loblichen landtschafft gutwilligkeit und ehrerbietung gegen ir so auch mein resolution und entliches uerfahren wol gefallen lassen mit dermeldung dass sie das gantze land oesterreich sonderlich uon dess edlen rebensaffts wegen uor andern landernlieb habe und zu auffzucht eines uon leibsgstalt und guten sitten wol proportionirten uolcks grossen fleiss angewendet auch ir eigene herberg in dem oesterreichischen weinfass habe alda sie ordentlich pflege einzukehren
kepler_messekunst_1616,body,2,5,False,3,"Derohalben vnd obwol Sie alt/ vnd nunmehr vnvermuͤglich/ alß die jhr Haab vnd Gut maiſten theils jhren Kindern vbergeben/ dem Tiſchler das Winckelmaaß/ dem Binder den Circkel vnnd Hemſtab/ dem Wagner die Teichſel vnd das Rad/ dem Schiffman das Ruder/ dem Mahler die perſpectiv vnd Sonnenvhr/ dem Kauffman die Waag vnd Arithmetic, dem Buͤxenmeiſter den Maaßſtab/ dem Bawmeiſter die Mechanicam, vnnd ſo fort an: Jedoch zu muͤglicher belohnung fuͤr die empfangene Ehr/ vnd damit Sie jr noch muͤtterliches Hertz gegen jhren Kindern auch einmal mit einem geringen erzeigete: hat ſie hiermit noch einen alten Beutpfenning auß jhrem Schatz herfůr geſucht/ den ſie einsmals/ als ſie in beſagter jrer Herberg mit einer Viſierruthen vmbgeſtuͤret/ ohn gefehr gefunden: ſolchen mir auff ein Teutſche Manier fleiſſig auß zupoliren/ vnd E. V. vn̄ G. ſamptlich/ mit gebuͤrender Ehrerbiettung/ von Jhr vnnd Mein ſelbſtwegen/ zuverehren geſtattet vnd befohlen: freundtlich anſinnend/ ſolchen von Jhrentwegen auff zubehalten/ inn fůrfallenden Gelegenheiten/ zu befuͤrderung alles Handels vnd Wandels zugebrauchen/ vnd Jhr als einer wolverdienten getreuen Mutter darbey danckbarlich zugedencken: deſſen fernern erbiettens/ jren lieben Kindern auch fuͤrders/ wo Sie etwa anſtehen wurden/ mit Raht vnd angreiffung jhres vbrigen Schatzes (der gleichwol noch nicht erſchoͤpffet) notdurfftiglich beyzuſpringen: Vnnd verſihet ſich hingegen/ E. V. auch E. F. W. vnd G. werden eintheils/ im Land ob der Enß/ nach der Roͤm. Keyſ.",derohalben vnd obwol sie alt vnd nunmehr vnvermuͤglich alß die jhr haab vnd gut maiſten theils jhren kindern vbergeben dem tiſchler das winckelmaaß dem binder den circkel vnnd hemſtab dem wagner die teichſel vnd das rad dem schiffman das ruder dem mahler die perſpectiv vnd sonnenvhr dem kauffman die waag vnd arithmetic dem buͤxenmeiſter den maaßſtab dem bawmeiſter die mechanicam vnnd ſo fort an jedoch zu muͤglicher belohnung fuͤr die empfangene ehr vnd damit sie jr noch muͤtterliches hertz gegen jhren kindern auch einmal mit einem geringen erzeigete hat ſie hiermit noch einen alten beutpfenning auß jhrem schatz herfůr geſucht den ſie einsmals als ſie in beſagter jrer herberg mit einer viſierruthen vmbgeſtuͤret ohn gefehr gefunden ſolchen mir auff ein teutſche manier fleiſſig auß zupoliren vnd e v vn̄ g ſamptlich mit gebuͤrender ehrerbiettung von jhr vnnd mein ſelbſtwegen zuverehren geſtattet vnd befohlen freundtlich anſinnend ſolchen von jhrentwegen auff zubehalten inn fůrfallenden gelegenheiten zu befuͤrderung alles handels vnd wandels zugebrauchen vnd jhr als einer wolverdienten getreuen mutter darbey danckbarlich zugedencken deſſen fernern erbiettens jren lieben kindern auch fuͤrders wo sie etwa anſtehen wurden mit raht vnd angreiffung jhres vbrigen schatzes der gleichwol noch nicht erſchoͤpffet notdurfftiglich beyzuſpringen vnnd verſihet ſich hingegen e v auch e f w vnd g werden eintheils im land ob der enß nach der roͤm keyſ,derohalben und obwol sie alt und nunmehr unuermuglich alss die ihr haab und gut maisten theils ihren kindern ubergeben dem tischler das winckelmaass dem binder den circkel unnd hemstab dem wagner die teichsel und das rad dem schiffman das ruder dem mahler die perspectiu und sonnenuhr dem kauffman die waag und arithmetic dem buxenmeister den maassstab dem bawmeister die mechanicam unnd so fort an iedoch zu muglicher belohnung fur die empfangene ehr und damit sie ir noch mutterliches hertz gegen ihren kindern auch einmal mit einem geringen erzeigete hat sie hiermit noch einen alten beutpfenning auss ihrem schatz herfur gesucht den sie einsmals als sie in besagter irer herberg mit einer uisierruthen umbgesturet ohn gefehr gefunden solchen mir auff ein teutsche manier fleissig auss zupoliren und e u und g samptlich mit geburender ehrerbiettung uon ihr unnd mein selbstwegen zuuerehren gestattet und befohlen freundtlich ansinnend solchen uon ihrentwegen auff zubehalten inn furfallenden gelegenheiten zu befurderung alles handels und wandels zugebrauchen und ihr als einer woluerdienten getreuen mutter darbey danckbarlich zugedencken dessen fernern erbiettens iren lieben kindern auch furders wo sie etwa anstehen wurden mit raht und angreiffung ihres ubrigen schatzes der gleichwol noch nicht erschopffet notdurfftiglich beyzuspringen unnd uersihet sich hingegen e u auch e f w und g werden eintheils im land ob der enss nach der rom keys
kepler_messekunst_1616,body,2,6,False,4,Mt. vnſers Allergſten Herrins wolgefallen/ mit vnd neben andern fuͤrnemen Glidern deß Landes/ in angefangner guͤnſtiger beſchutz- vnd befuͤrderung jhre der Geometriæ getreuer Diener/ vnd denen obligender anderer/ obwol nicht gemeiner/ doch zur Ehr Gottes reichender verrichtungen continuiren: andern theils aber/ im Land Vnder der Enß/ diſem ruͤhmlichen Exempel nachvolgen/ weil jhnen Gott hierzu viel beſſere Mittel beſcheret/ vnd ſie mit vberfluß Traids vnd ſonderlich deß koͤſtlichen Oeſt.,mt vnſers allergſten herrins wolgefallen mit vnd neben andern fuͤrnemen glidern deß landes in angefangner guͤnſtiger beſchutz vnd befuͤrderung jhre der geometriæ getreuer diener vnd denen obligender anderer obwol nicht gemeiner doch zur ehr gottes reichender verrichtungen continuiren andern theils aber im land vnder der enß diſem ruͤhmlichen exempel nachvolgen weil jhnen gott hierzu viel beſſere mittel beſcheret vnd ſie mit vberfluß traids vnd ſonderlich deß koͤſtlichen oeſt,mt unsers allergsten herrins wolgefallen mit und neben andern furnemen glidern dess landes in angefangner gunstiger beschutz und befurderung ihre der geometriae getreuer diener und denen obligender anderer obwol nicht gemeiner doch zur ehr gottes reichender uerrichtungen continuiren andern theils aber im land under der enss disem ruhmlichen exempel nachuolgen weil ihnen gott hierzu uiel bessere mittel bescheret und sie mit uberfluss traids und sonderlich dess kostlichen oest
kepler_messekunst_1616,body,2,7,True,4,Weins ſo reichlich geſegnet.,weins ſo reichlich geſegnet,weins so reichlich gesegnet
