doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523923,head,0,0,True,[1],Glaubens Prob Bringt ſieg vnd Lob. Auß der Hiſtorien Jſaacs/ wie ihn ſein Vater aufopfern ſolte/ Beim Begraͤbnuß des wolgezogenen fromen Knabens/ vnd Gottſeligen fleiſſigen Schuͤllers LUCÆ Reinhards Des weiland Edlen Ehrenfeſten vnnd wolbenambten Herrn Lucæ Reinhardts der Roͤm: Kay: May: Obriſten Einnemers der Biergefelle im Briegiſchen Fuͤrſtenthumb/ vnd Buͤrgers zum Brieg/ (ſeligen) hinderlaſſenen Soͤhnes. Gehandelt Durch JOHANNEM NEOMENIVM. Fuͤrſtlichen Hofepredigern zum Brieg/ vnnd deſſelbigen Fuͤrſtenthumbs Superintendenten. Eſaiæ 56. v. 13. Die gerechten werden weggerafft fuͤr dem vngluͤck. ꝛc. Gedruckt in der Fuͤrſtlichen Stadt Brieg/ durch CASPARVM SIGFRIDVM. Ao. 1616.,glaubens prob bringt ſieg vnd lob auß der hiſtorien jſaacs wie ihn ſein vater aufopfern ſolte beim begraͤbnuß des wolgezogenen fromen knabens vnd gottſeligen fleiſſigen schuͤllers lucæ reinhards des weiland edlen ehrenfeſten vnnd wolbenambten herrn lucæ reinhardts der roͤm kay may obriſten einnemers der biergefelle im briegiſchen fuͤrſtenthumb vnd buͤrgers zum brieg ſeligen hinderlaſſenen soͤhnes gehandelt durch johannem neomenivm fuͤrſtlichen hofepredigern zum brieg vnnd deſſelbigen fuͤrſtenthumbs superintendenten eſaiæ v die gerechten werden weggerafft fuͤr dem vngluͤck ꝛc gedruckt in der fuͤrſtlichen stadt brieg durch casparvm sigfridvm ao,glaubens prob bringt sieg und lob auss der historien isaacs wie ihn sein uater aufopfern solte beim begrabnuss des wolgezogenen fromen knabens und gottseligen fleissigen schullers lucae reinhards des weiland edlen ehrenfesten unnd wolbenambten herrn lucae reinhardts der rom kay may obristen einnemers der biergefelle im briegischen furstenthumb und burgers zum brieg seligen hinderlassenen sohnes gehandelt durch iohannem neomenium furstlichen hofepredigern zum brieg unnd desselbigen furstenthumbs superintendenten esaiae u die gerechten werden weggerafft fur dem ungluck c gedruckt in der furstlichen stadt brieg durch casparum sigfridum ao
523923,body,1,0,False,[2],Der Erbahren viel Ehr vnd Tugentreichen Frawen Marthæ/ gebohrnen Schreerin von Franckſtein/ des Weiland Edlen Ehrenfeſten vnd wolbenambten Herrn Lucæ Reinhardts/ der Roͤm. Kay. May.,der erbahren viel ehr vnd tugentreichen frawen marthæ gebohrnen schreerin von franckſtein des weiland edlen ehrenfeſten vnd wolbenambten herrn lucæ reinhardts der roͤm kay may,der erbahren uiel ehr und tugentreichen frawen marthae gebohrnen schreerin uon franckstein des weiland edlen ehrenfesten und wolbenambten herrn lucae reinhardts der rom kay may
523923,body,1,1,True,[2],Obriſten einemer der biergefaͤlle/ im Briegiſchen Fuͤrſtenthumb/ (ſeligen/) hinterlaſſenen Witfrawen/ ſeiner in ehren vielguͤnſtigen Frawen Gevatterin.,obriſten einemer der biergefaͤlle im briegiſchen fuͤrſtenthumb ſeligen hinterlaſſenen witfrawen ſeiner in ehren vielguͤnſtigen frawen gevatterin,obristen einemer der biergefalle im briegischen furstenthumb seligen hinterlassenen witfrawen seiner in ehren uielgunstigen frawen geuatterin
523923,body,2,0,False,[2],uͤbergiebet nach jhrem willen vnd begeren ſolche Predigt.,uͤbergiebet nach jhrem willen vnd begeren ſolche predigt,ubergiebet nach ihrem willen und begeren solche predigt
523923,body,2,1,True,[2],J. N. F.,j n f,i n f
523923,head,3,0,True,[3],Chriſtliche Leichpredigt.,chriſtliche leichpredigt,christliche leichpredigt
523923,body,4,0,False,[3],ALß zu den zeiten Koͤnig Salemonis elne trewe Mutter hoͤrete/ das jhr Sohn/ welcher jhr bey eitelem ſchlaffe in der Nacht genommen/ vnnd an ſeine ſtadt ein todter hingeleget war/ ſolte nach des Koͤniges vrtheil/ (damit er auff dieſen weg/ das Natuͤrliche Mutterhertz des lebendigen Kindes erkennen moͤchte) mit einem ſcharffen Schwert in zwey theil zur hawen/ vnnd den beyden zanckenden Weibern/ jederer ein theil deſſelben zugeſtellet werden/ wallete der Rechten vnd Natuͤrlichen Mutter jhr liebreiches hertz gegen dem Kinde dermaſſen in jhrem leibe das ſie mit weinenden augen zum Koͤnige ſaget.,alß zu den zeiten koͤnig salemonis elne trewe mutter hoͤrete das jhr sohn welcher jhr bey eitelem ſchlaffe in der nacht genommen vnnd an ſeine ſtadt ein todter hingeleget war ſolte nach des koͤniges vrtheil damit er auff dieſen weg das natuͤrliche mutterhertz des lebendigen kindes erkennen moͤchte mit einem ſcharffen schwert in zwey theil zur hawen vnnd den beyden zanckenden weibern jederer ein theil deſſelben zugeſtellet werden wallete der rechten vnd natuͤrlichen mutter jhr liebreiches hertz gegen dem kinde dermaſſen in jhrem leibe das ſie mit weinenden augen zum koͤnige ſaget,alss zu den zeiten konig salemonis elne trewe mutter horete das ihr sohn welcher ihr bey eitelem schlaffe in der nacht genommen unnd an seine stadt ein todter hingeleget war solte nach des koniges urtheil damit er auff diesen weg das naturliche mutterhertz des lebendigen kindes erkennen mochte mit einem scharffen schwert in zwey theil zur hawen unnd den beyden zanckenden weibern iederer ein theil desselben zugestellet werden wallete der rechten und naturlichen mutter ihr liebreiches hertz gegen dem kinde dermassen in ihrem leibe das sie mit weinenden augen zum konige saget
523923,body,4,1,False,[3],Ach mein Herr gebt dieſer/ meiner wiederſacherin/ das Kind lebendig/ vnnd toͤdtet es nur nicht: Denn jhr Muͤtterliches hertz war jhr entbrand uͤber jhrem Sohne/ das ſie jhn nicht kondte alſo jaͤmmerlich zertheilet ſehen.,ach mein herr gebt dieſer meiner wiederſacherin das kind lebendig vnnd toͤdtet es nur nicht denn jhr muͤtterliches hertz war jhr entbrand uͤber jhrem sohne das ſie jhn nicht kondte alſo jaͤmmerlich zertheilet ſehen,ach mein herr gebt dieser meiner wiedersacherin das kind lebendig unnd todtet es nur nicht denn ihr mutterliches hertz war ihr entbrand uber ihrem sohne das sie ihn nicht kondte also iammerlich zertheilet sehen
523923,body,4,2,True,[3],Darauß denn der Koͤnig die rechte Mutter des lebendigen Kindes pruͤfet/ vnd es derſelben friſch vnd geſund wiederumb zuſtellet.,darauß denn der koͤnig die rechte mutter des lebendigen kindes pruͤfet vnd es derſelben friſch vnd geſund wiederumb zuſtellet,darauss denn der konig die rechte mutter des lebendigen kindes prufet und es derselben frisch und gesund wiederumb zustellet
523923,body,5,0,True,[3],Mit was hertzlichen liebes vnnd leides thraͤnen die frome Mutter zu Nain/ jhrem geſtorbenen Sohne das geleite zur Stadt hinauß zu ſeinem begraͤbnuͤß gegeben/ iſt E. L. aus dem Evangelio bekandt/ das auch Chriſtus/ ohne hertzliches mitleiden vnnd erbarmen ſie nicht anſehen kan/ ſondern muß ſie troͤſten vnd jhr helffen.,mit was hertzlichen liebes vnnd leides thraͤnen die frome mutter zu nain jhrem geſtorbenen sohne das geleite zur stadt hinauß zu ſeinem begraͤbnuͤß gegeben iſt e l aus dem evangelio bekandt das auch chriſtus ohne hertzliches mitleiden vnnd erbarmen ſie nicht anſehen kan ſondern muß ſie troͤſten vnd jhr helffen,mit was hertzlichen liebes unnd leides thranen die frome mutter zu nain ihrem gestorbenen sohne das geleite zur stadt hinauss zu seinem begrabnuss gegeben ist e l aus dem euangelio bekandt das auch christus ohne hertzliches mitleiden unnd erbarmen sie nicht ansehen kan sondern muss sie trosten und ihr helffen
523923,body,6,0,False,[3],Mit was trawrigem Mutterhertzen heute die betruͤbte Fraw Wittib jhrem lieben Sohne ſein begraͤbnuͤß außrichtet/ vnnd jhn todt auff der Bahre da ſehen muͤſſe/ bedencke/ wer ein trewes redliches aufftichtiges Vater vnnd Mutterhertz hat gegen ſeine liebe Kinder.,mit was trawrigem mutterhertzen heute die betruͤbte fraw wittib jhrem lieben sohne ſein begraͤbnuͤß außrichtet vnnd jhn todt auff der bahre da ſehen muͤſſe bedencke wer ein trewes redliches aufftichtiges vater vnnd mutterhertz hat gegen ſeine liebe kinder,mit was trawrigem mutterhertzen heute die betrubte fraw wittib ihrem lieben sohne sein begrabnuss aussrichtet unnd ihn todt auff der bahre da sehen musse bedencke wer ein trewes redliches aufftichtiges uater unnd mutterhertz hat gegen seine liebe kinder
523923,body,6,1,False,[4],Ach Kinder ſterben leſt ſich nicht ſo ſchlecht vnd leicht vorſchmuͤrtzen/ wie vnbeſunnene Leute meinen/ ſondern es greifft ins inwendige hienein/ in die geheimeſten Kammern des hertzens/ da es den Eltern wehe thut/ vnd ſuchet den ſchmertzen wo er am hefftigſten iſt/ das das gantze hertz voller angſt/ das gantze angeſicht voller thraͤnen/ vnd der gantze Menſch mit allen ſeinen geberden voller leides vnd traurigkeit geſehen wird.,ach kinder ſterben leſt ſich nicht ſo ſchlecht vnd leicht vorſchmuͤrtzen wie vnbeſunnene leute meinen ſondern es greifft ins inwendige hienein in die geheimeſten kammern des hertzens da es den eltern wehe thut vnd ſuchet den ſchmertzen wo er am hefftigſten iſt das das gantze hertz voller angſt das gantze angeſicht voller thraͤnen vnd der gantze menſch mit allen ſeinen geberden voller leides vnd traurigkeit geſehen wird,ach kinder sterben lest sich nicht so schlecht und leicht uorschmurtzen wie unbesunnene leute meinen sondern es greifft ins inwendige hienein in die geheimesten kammern des hertzens da es den eltern wehe thut und suchet den schmertzen wo er am hefftigsten ist das das gantze hertz uoller angst das gantze angesicht uoller thranen und der gantze mensch mit allen seinen geberden uoller leides und traurigkeit gesehen wird
523923,body,6,2,False,[4],Zumahl/ wann ſich der Sohn wol angelaſſen/ des Vaters Nahmen getragen/ vnd von ſich nichts anders/ denn allen kindlichen gehorſam mit Chriſtlichen gutten tugenden hat blicken laſſen/ wie allhie bey dieſem ſelig vorblichenen Knaben geſchehen.,zumahl wann ſich der sohn wol angelaſſen des vaters nahmen getragen vnd von ſich nichts anders denn allen kindlichen gehorſam mit chriſtlichen gutten tugenden hat blicken laſſen wie allhie bey dieſem ſelig vorblichenen knaben geſchehen,zumahl wann sich der sohn wol angelassen des uaters nahmen getragen und uon sich nichts anders denn allen kindlichen gehorsam mit christlichen gutten tugenden hat blicken lassen wie allhie bey diesem selig uorblichenen knaben geschehen
523923,body,6,3,False,[4],Da wird warlich/ der hertzbetruͤbten Fraw Mutter/ das leid vnd hertzens angſt vernewert/ die kaum fuͤr dreyen Jahren/ jhren lieben Herrn vnd Eheliches haupt/ als jhr trewes hertz vnd teuerſten ſchatz zugrabe beleitet.,da wird warlich der hertzbetruͤbten fraw mutter das leid vnd hertzens angſt vernewert die kaum fuͤr dreyen jahren jhren lieben herrn vnd eheliches haupt als jhr trewes hertz vnd teuerſten ſchatz zugrabe beleitet,da wird warlich der hertzbetrubten fraw mutter das leid und hertzens angst uernewert die kaum fur dreyen iahren ihren lieben herrn und eheliches haupt als ihr trewes hertz und teuersten schatz zugrabe beleitet
523923,body,6,4,False,[4],Nun die verfloſſene zeit den Jammer ein wenig geſtillet/ vnd ſie vormeinet/ an dieſem jhrem Elteſten Sohne einen andern Vater (der auch feinen Namen gefuͤhret/ vnd ſich ſehr wol angelaſſen/ an dem ſie einen rechten Augenſpiegel vnnd hertzensfreude gehabt) auffzuziehen/ ſo kompt nach des gerechten Gottes vntadelichem gericht vnnd Rath/ der todt auch uͤber denſelbigen/ reiſſet jhn inn ſeiner beſten bluͤtte der Jugend dahin/ das er ſeine Seele außblaſen vnd zur leich ewerden muß.,nun die verfloſſene zeit den jammer ein wenig geſtillet vnd ſie vormeinet an dieſem jhrem elteſten sohne einen andern vater der auch feinen namen gefuͤhret vnd ſich ſehr wol angelaſſen an dem ſie einen rechten augenſpiegel vnnd hertzensfreude gehabt auffzuziehen ſo kompt nach des gerechten gottes vntadelichem gericht vnnd rath der todt auch uͤber denſelbigen reiſſet jhn inn ſeiner beſten bluͤtte der jugend dahin das er ſeine seele außblaſen vnd zur leich ewerden muß,nun die uerflossene zeit den iammer ein wenig gestillet und sie uormeinet an diesem ihrem eltesten sohne einen andern uater der auch feinen namen gefuhret und sich sehr wol angelassen an dem sie einen rechten augenspiegel unnd hertzensfreude gehabt auffzuziehen so kompt nach des gerechten gottes untadelichem gericht unnd rath der todt auch uber denselbigen reisset ihn inn seiner besten blutte der iugend dahin das er seine seele aussblasen und zur leich ewerden muss
523923,body,6,5,False,[4],Wie koͤnte ſie ſich der ſchmertzlichen liebesthraͤnen enthalten/ das ſie nicht klagen ſolte wie die Naemi.,wie koͤnte ſie ſich der ſchmertzlichen liebesthraͤnen enthalten das ſie nicht klagen ſolte wie die naemi,wie konte sie sich der schmertzlichen liebesthranen enthalten das sie nicht klagen solte wie die naemi
523923,body,6,6,False,[4],Ach der Herr hat mich ſehr betruͤbt/ meinen lieben Mañ hat er mir genommen/ nun muß ich auch ſeines vnnd meines Sohnes beraubet werden.,ach der herr hat mich ſehr betruͤbt meinen lieben mañ hat er mir genommen nun muß ich auch ſeines vnnd meines sohnes beraubet werden,ach der herr hat mich sehr betrubt meinen lieben mann hat er mir genommen nun muss ich auch seines unnd meines sohnes beraubet werden
523923,body,6,7,True,[5],O elend vber alles elend.,o elend vber alles elend,o elend uber alles elend
523923,body,7,0,True,[5],Wann es aber nun nicht kan geaͤndert/ noch der verſtorbene Juͤngling durch vnſere klage wiederumb in diß zeitliche leben gebracht werden/ ſondern Gottes vnwandelbaret wille muß den vorzug behalten vnd fortgehen/ als wollen wir von vnſerer klage ein wenig ſtille halten/ vnd bey des Herren wort vns Rathts vnd troſts erholen/ das wird vns in ſolchem fall trefflich wol dienen,wann es aber nun nicht kan geaͤndert noch der verſtorbene juͤngling durch vnſere klage wiederumb in diß zeitliche leben gebracht werden ſondern gottes vnwandelbaret wille muß den vorzug behalten vnd fortgehen als wollen wir von vnſerer klage ein wenig ſtille halten vnd bey des herren wort vns rathts vnd troſts erholen das wird vns in ſolchem fall trefflich wol dienen,wann es aber nun nicht kan geandert noch der uerstorbene iungling durch unsere klage wiederumb in diss zeitliche leben gebracht werden sondern gottes unwandelbaret wille muss den uorzug behalten und fortgehen als wollen wir uon unserer klage ein wenig stille halten und bey des herren wort uns rathts und trosts erholen das wird uns in solchem fall trefflich wol dienen
523923,body,8,0,True,[5],Damit wir aber an hertz vnd Seel dardurch erquicket vnd erfriſchet werden moͤgen/ wollen wir alle zuſammen ſetzen/ vnd von grund vnſers hertzens beten/ Vnſer Vater/ ꝛc.,damit wir aber an hertz vnd seel dardurch erquicket vnd erfriſchet werden moͤgen wollen wir alle zuſammen ſetzen vnd von grund vnſers hertzens beten vnſer vater ꝛc,damit wir aber an hertz und seel dardurch erquicket und erfrischet werden mogen wollen wir alle zusammen setzen und uon grund unsers hertzens beten unser uater c
523923,head,9,0,True,[5],Textus Geneſ. 22. à ꝟ 1. ad 15. usq;.,textus geneſ à ꝟ ad usq,textus genes a ad usq
523923,body,10,0,False,[5],NAch dieſen Geſchiechten verſuchte Gott Abraham/ vnd ſprach zu jhm.,nach dieſen geſchiechten verſuchte gott abraham vnd ſprach zu jhm,nach diesen geschiechten uersuchte gott abraham und sprach zu ihm
