doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523929,body,0,0,True,[1],"Chriſtliche Leichpredigt/ Vber den Seeligen Abſcheidt auß dieſem Leben/ Weilandt der Ehr vnnd Tugentſamen Frawen Kuͤnigundae/ des Ehrngeachten vnd Vornehmen Petri Sonnenſchmidts/ Ober Amptſchreibers auff Reinfels/ etc. Ehelichen Haußfrawen/ welche Dinſtages den 21. Novembris, Anno Chriſti 1615. ſanfft vnd ſeeliglich im Herrn entſchlaffen/ vnd nachfolgenden 23. Tag Chriſtlich vnd Ehrlich zur erden beſtattet worden. Gehalten zu S. Goaͤr Durch CHRISTIANUM RUPELIUM, PRO TEMpore Stadt: vnd Schloßpredigern daſelbſten. Gedruckt zu Marpurg/ Durch Rudolff Hutwelcker/ im Jahr/ 1616.",chriſtliche leichpredigt vber den seeligen abſcheidt auß dieſem leben weilandt der ehr vnnd tugentſamen frawen kuͤnigundae des ehrngeachten vnd vornehmen petri sonnenſchmidts ober amptſchreibers auff reinfels etc ehelichen haußfrawen welche dinſtages den novembris anno chriſti ſanfft vnd ſeeliglich im herrn entſchlaffen vnd nachfolgenden tag chriſtlich vnd ehrlich zur erden beſtattet worden gehalten zu s goaͤr durch christianum rupelium pro tempore stadt vnd schloßpredigern daſelbſten gedruckt zu marpurg durch rudolff hutwelcker im jahr,christliche leichpredigt uber den seeligen abscheidt auss diesem leben weilandt der ehr unnd tugentsamen frawen kunigundae des ehrngeachten und uornehmen petri sonnenschmidts ober amptschreibers auff reinfels etc ehelichen haussfrawen welche dinstages den nouembris anno christi sanfft und seeliglich im herrn entschlaffen und nachfolgenden tag christlich und ehrlich zur erden bestattet worden gehalten zu s goar durch christianum rupelium pro tempore stadt und schlosspredigern daselbsten gedruckt zu marpurg durch rudolff hutwelcker im iahr
523929,head,1,0,True,[3],Textus,textus,textus
523929,head,2,0,True,[3],Außlegung.,außlegung,ausslegung
523929,body,3,0,False,[3],GEliebte vnd Außerwehlte im Herren Chriſto/ daß vnſer zeitliche Todt/ fuͤr Gott dem Herren anders nichts ſey/ deñ ein ſanffter vnd ſuͤſſer ſchlaf/ das bezeuget die Heilige Schrifft an vielen orten: Zu dem Propheten vnd Mann Gottes Moiſi ſpricht Gott der Herr ſelber: Siehe du wirſt ſchlaffen mit deinen Vaͤttern/ Deut. 31. Vnd von dem Koͤnige David wird geſagt/ daß er entſchlaffen ſey mit ſeinen Vaͤttern/ 1. Reg. 2. Alſo wird auch geſagt von dem Koͤnig Salomone/ 1. Reg. 11. Von Jerobeam/ 1. Reg. 14. Von Abia 1. Reg. 15. Von Joſaphat/ 2. Reg. 12. Viel ſo vnder der Erden ſchlaffen ligen/ Dan. 12. Die ruhen in jhren Kammern/ Eſa. 29. Das Maͤgdlein iſt nicht todt/ ſondern es ſchlaͤfft/ ſpricht der HErr Chriſtus von des Jairi verſtorbenen Toͤchterlein/ Matth. 9. Marc. 5. Luc. 8. Lazarus vnſer Freundt ſchlaͤfft/ Joh. 11. Stephanus entſchlieff/ Act. 7. Etliche ſeind entſchlaffen/ 1. Cor. 15. Wir wollen euch/ lieben Bruͤdere nicht verhalten von denen die da ſchlaffen/ 1. Theſſ. 4. Vnd hieher gehoͤret/ daß der Koͤnigliche Prophet David ſagt in vnſerm verleſenen textui.,geliebte vnd außerwehlte im herren chriſto daß vnſer zeitliche todt fuͤr gott dem herren anders nichts ſey deñ ein ſanffter vnd ſuͤſſer ſchlaf das bezeuget die heilige schrifft an vielen orten zu dem propheten vnd mann gottes moiſi ſpricht gott der herr ſelber siehe du wirſt ſchlaffen mit deinen vaͤttern deut vnd von dem koͤnige david wird geſagt daß er entſchlaffen ſey mit ſeinen vaͤttern reg alſo wird auch geſagt von dem koͤnig salomone reg von jerobeam reg von abia reg von joſaphat reg viel ſo vnder der erden ſchlaffen ligen dan die ruhen in jhren kammern eſa das maͤgdlein iſt nicht todt ſondern es ſchlaͤfft ſpricht der herr chriſtus von des jairi verſtorbenen toͤchterlein matth marc luc lazarus vnſer freundt ſchlaͤfft joh stephanus entſchlieff act etliche ſeind entſchlaffen cor wir wollen euch lieben bruͤdere nicht verhalten von denen die da ſchlaffen theſſ vnd hieher gehoͤret daß der koͤnigliche prophet david ſagt in vnſerm verleſenen textui,geliebte und ausserwehlte im herren christo dass unser zeitliche todt fur gott dem herren anders nichts sey denn ein sanffter und susser schlaf das bezeuget die heilige schrifft an uielen orten zu dem propheten und mann gottes moisi spricht gott der herr selber siehe du wirst schlaffen mit deinen uattern deut und uon dem konige dauid wird gesagt dass er entschlaffen sey mit seinen uattern reg also wird auch gesagt uon dem konig salomone reg uon ierobeam reg uon abia reg uon iosaphat reg uiel so under der erden schlaffen ligen dan die ruhen in ihren kammern esa das magdlein ist nicht todt sondern es schlafft spricht der herr christus uon des iairi uerstorbenen tochterlein matth marc luc lazarus unser freundt schlafft ioh stephanus entschlieff act etliche seind entschlaffen cor wir wollen euch lieben brudere nicht uerhalten uon denen die da schlaffen thess und hieher gehoret dass der konigliche prophet dauid sagt in unserm uerlesenen textui
523929,body,3,1,False,[4],Jch liege vnd ſchlaffe gantz mit frieden.,jch liege vnd ſchlaffe gantz mit frieden,ich liege und schlaffe gantz mit frieden
523929,body,3,2,False,[4],Denn vnder allen dingen iſt nichts/ daß dem Todt ſo gleich vnnd ehnlich ſey/ als der ſchlaff.,denn vnder allen dingen iſt nichts daß dem todt ſo gleich vnnd ehnlich ſey als der ſchlaff,denn under allen dingen ist nichts dass dem todt so gleich unnd ehnlich sey als der schlaff
523929,body,3,3,True,[4],"Darumb er denn von dem weyſen Heyden Seneca, Frater mortis, das iſt ein Bruder des Todts/ vnd ingemein imago mortis, das iſt ein Bild des Todts genant wirdt/ nach dem bekanten vers des Poeten:",darumb er denn von dem weyſen heyden seneca frater mortis das iſt ein bruder des todts vnd ingemein imago mortis das iſt ein bild des todts genant wirdt nach dem bekanten vers des poeten,darumb er denn uon dem weysen heyden seneca frater mortis das ist ein bruder des todts und ingemein imago mortis das ist ein bild des todts genant wirdt nach dem bekanten uers des poeten
523929,body,4,0,True,[4],Du Narr ein Bildt des Todts iſt/,du narr ein bildt des todts iſt,du narr ein bildt des todts ist
523929,body,5,0,True,[4],Der Schlaff/ den du ergeben biſt.,der schlaff den du ergeben biſt,der schlaff den du ergeben bist
523929,body,6,0,True,[4],Dieſe betrachtung woͤllen wir bey gegen wertiger Leichbegaͤngnuß/ zum Troſt der Betruͤbten/ vnd zum vnderricht der Einfeltigen/ etwas weitleufftiger außfuͤhren/ vnd ewere Lieb von dieſem einigen puncten berichten/ Nemblich:,dieſe betrachtung woͤllen wir bey gegen wertiger leichbegaͤngnuß zum troſt der betruͤbten vnd zum vnderricht der einfeltigen etwas weitleufftiger außfuͤhren vnd ewere lieb von dieſem einigen puncten berichten nemblich,diese betrachtung wollen wir bey gegen wertiger leichbegangnuss zum trost der betrubten und zum underricht der einfeltigen etwas weitleufftiger aussfuhren und ewere lieb uon diesem einigen puncten berichten nemblich
