doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_leichpredigt_1616,head,0,0,True,1,"Leichpredigt/ Gethan bey der Begräbnis deß Weyland Ehrnvesten vnd Wolgelarten Herrn Veit Trullen/ Fürstlichen Braunschw, Cämmerers / so den 27. Octobris Anno 1616. in Christo dem HErrn selig entschlaffen. Durch BASILIUM Sattler / D. Hoffprediger zu Wolffenbüttel. Wolffenbüttel/ Gedruckt durch Eliam Holwein/F. Br. Buchdrucker vnd Formschneider/Im Jahr 1616.",leichpredigt gethan bey der begräbnis deß weyland ehrnvesten vnd wolgelarten herrn veit trullen fürstlichen braunschw cämmerers so den octobris anno in christo dem herrn selig entschlaffen durch basilium sattler d hoffprediger zu wolffenbüttel wolffenbüttel gedruckt durch eliam holwein f br buchdrucker vnd formschneider im jahr,leichpredigt gethan bey der begrabnis dess weyland ehrnuesten und wolgelarten herrn ueit trullen furstlichen braunschw cammerers so den octobris anno in christo dem herrn selig entschlaffen durch basilium sattler d hoffprediger zu wolffenbuttel wolffenbuttel gedruckt durch eliam holwein f br buchdrucker und formschneider im iahr
sattler_leichpredigt_1616,head,1,0,True,3,1. Petri 1.,petri,petri
sattler_leichpredigt_1616,body,2,0,False,3,VNd machet keusch ewre Seelen im gehorsam der Warheit durch den Geist / zu vngeferbter Bruder Liebe / vnnd habt euch vnter einander brünstig lieb aus reinem Hertzen / als die da wiederümb gebohren sind / nicht auß vergänglichem sondern aus vnvergenglichem Samen nemblich auß dem lebendigem Wort Gottes / daß da ewiglich bleibet.,vnd machet keusch ewre seelen im gehorsam der warheit durch den geist zu vngeferbter bruder liebe vnnd habt euch vnter einander brünstig lieb aus reinem hertzen als die da wiederümb gebohren sind nicht auß vergänglichem sondern aus vnvergenglichem samen nemblich auß dem lebendigem wort gottes daß da ewiglich bleibet,und machet keusch ewre seelen im gehorsam der warheit durch den geist zu ungeferbter bruder liebe unnd habt euch unter einander brunstig lieb aus reinem hertzen als die da wiederumb gebohren sind nicht auss uerganglichem sondern aus unuergenglichem samen nemblich auss dem lebendigem wort gottes dass da ewiglich bleibet
sattler_leichpredigt_1616,body,2,1,False,3,Denn alles Fleisch ist wie Graß / vnd alle Herrligkeit der Menschen wie deß Grases Blumen daß Graß ist verdorret / vnd die Blume ist abgefallen.,denn alles fleisch ist wie graß vnd alle herrligkeit der menschen wie deß grases blumen daß graß ist verdorret vnd die blume ist abgefallen,denn alles fleisch ist wie grass und alle herrligkeit der menschen wie dess grases blumen dass grass ist uerdorret und die blume ist abgefallen
sattler_leichpredigt_1616,body,2,2,False,3,Aber deß HERREN Wort bleibet in Ewigkeit.,aber deß herren wort bleibet in ewigkeit,aber dess herren wort bleibet in ewigkeit
sattler_leichpredigt_1616,body,2,3,True,3,Das ist aber das Wort das vnter euch verkündiget ist.,das ist aber das wort das vnter euch verkündiget ist,das ist aber das wort das unter euch uerkundiget ist
sattler_leichpredigt_1616,head,3,0,True,4,Außlegung.,außlegung,ausslegung
sattler_leichpredigt_1616,body,4,0,False,4,GEliebte im HErrn Jesu Christo / wir lesen im Buche der Schöpffung am Funfftzigsten Capittel / als der Ertzvater Jacob in Egypten gestorben war / dz sein Leichnam viertzig Tage gesalbet sey vnd die Egypter jhn siebentzig Tag beklaget / darnach haben die Eltesten Pharaonis vnd die Egypter mit einem grossen Heer zu Roß vnd Fuß biß an das Landt Canaan die Leiche begleitet.,geliebte im herrn jesu christo wir lesen im buche der schöpffung am funfftzigsten capittel als der ertzvater jacob in egypten gestorben war dz sein leichnam viertzig tage gesalbet sey vnd die egypter jhn siebentzig tag beklaget darnach haben die eltesten pharaonis vnd die egypter mit einem grossen heer zu roß vnd fuß biß an das landt canaan die leiche begleitet,geliebte im herrn iesu christo wir lesen im buche der schopffung am funfftzigsten capittel als der ertzuater iacob in egypten gestorben war dz sein leichnam uiertzig tage gesalbet sey und die egypter ihn siebentzig tag beklaget darnach haben die eltesten pharaonis und die egypter mit einem grossen heer zu ross und fuss biss an das landt canaan die leiche begleitet
sattler_leichpredigt_1616,body,4,1,False,4,In welchem Lande jhn seine Kinder in dem Begräbniß / dz er bestalt begraben haben.,in welchem lande jhn seine kinder in dem begräbniß dz er bestalt begraben haben,in welchem lande ihn seine kinder in dem begrabniss dz er bestalt begraben haben
sattler_leichpredigt_1616,body,4,2,False,4,Dieses Geprenge mit dem Todten Leichnam Jacob ist gar nicht herkommen auß Hoffart / wie man es ansehen möchte / wie leyder jetzt allzusehr auch mit den Begräbnissen Hoffart getrieben wird / Sondern sie haben damit bezeugen wollen / Weil sie der Joseph Gottes Wort vnd Himlische Weißheit gelehret / Wie im 105 Ps. stehet / daß es vmb der frommen oder gleubigen Leut todten Cörper nicht so ein schlecht oder auch abschewlich ding sey für Gott / wie es für der vernunfft scheinet / Sondern es sey ein Edel Kleinoth / das man billich ehrlich beysetzen vnd verwahren sol / dann der Leichnam ist ein theil des Menschen / welcher anfenglich zu GOTTES Ebenbilde erschaffen / Hernach durch das Blut Christi erlöset / der auch in diesem Leben nicht allein eine Wohnung des Heyligen Geistes ist / Sondern auch ein Werckzeug / dardurch viel gutes geschaffet vnd außgerichtet / wie denn er auch wider aufferstehen vnd bey Gott ewig leben sol.,dieses geprenge mit dem todten leichnam jacob ist gar nicht herkommen auß hoffart wie man es ansehen möchte wie leyder jetzt allzusehr auch mit den begräbnissen hoffart getrieben wird sondern sie haben damit bezeugen wollen weil sie der joseph gottes wort vnd himlische weißheit gelehret wie im ps stehet daß es vmb der frommen oder gleubigen leut todten cörper nicht so ein schlecht oder auch abschewlich ding sey für gott wie es für der vernunfft scheinet sondern es sey ein edel kleinoth das man billich ehrlich beysetzen vnd verwahren sol dann der leichnam ist ein theil des menschen welcher anfenglich zu gottes ebenbilde erschaffen hernach durch das blut christi erlöset der auch in diesem leben nicht allein eine wohnung des heyligen geistes ist sondern auch ein werckzeug dardurch viel gutes geschaffet vnd außgerichtet wie denn er auch wider aufferstehen vnd bey gott ewig leben sol,dieses geprenge mit dem todten leichnam iacob ist gar nicht herkommen auss hoffart wie man es ansehen mochte wie leyder ietzt allzusehr auch mit den begrabnissen hoffart getrieben wird sondern sie haben damit bezeugen wollen weil sie der ioseph gottes wort und himlische weissheit gelehret wie im ps stehet dass es umb der frommen oder gleubigen leut todten corper nicht so ein schlecht oder auch abschewlich ding sey fur gott wie es fur der uernunfft scheinet sondern es sey ein edel kleinoth das man billich ehrlich beysetzen und uerwahren sol dann der leichnam ist ein theil des menschen welcher anfenglich zu gottes ebenbilde erschaffen hernach durch das blut christi erloset der auch in diesem leben nicht allein eine wohnung des heyligen geistes ist sondern auch ein werckzeug dardurch uiel gutes geschaffet und aussgerichtet wie denn er auch wider aufferstehen und bey gott ewig leben sol
