doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
thumbshirn_oeconomia_1616,body,0,0,True,5,"OECONOMIA, Oder Nothwendiger Vnterricht vnd anleitung/ wie eine gantze Haußhaltung am nuͤtzlichſten vnd beſten (ſo fern GOttes Segen vnnd gedeyen darbey) kan angeſtellet/ Jtem Vom Ackerbaw/ wie derſelbe beſtellet vnnd beſchickt/ in gleichen/ wie die Schaͤffereyen/ Forbergs- vnnd andere Guͤtere ſollen ausgethan vnd verpachter werden/ Auff anordnung Churfuͤrſtens Auguſti Chriſtſeliger gedechtnuͤß durch einen vornehmen vom Adel auff die Chur fuͤrſtlichen Vorberge geſtellet. Darzu auch Ein außfuͤhrlicher Vnterricht/ wie man die Maulwuͤrffe aus den Gaͤrten/ Wieſen vnd Feldern/ leichtlichen vnd gaͤntzlichen außtilgen vnd los werden kan. Jetzo erſtlich in Druck verordnet/ vnnd maͤnniglichen zum beſten an Tag gegeben: Durch CASPARUM JUGELIUM CRIMMICENSEM. Leipzig/ Typis Groſianis. ANNO M. DC. XVI.",oeconomia oder nothwendiger vnterricht vnd anleitung wie eine gantze haußhaltung am nuͤtzlichſten vnd beſten ſo fern gottes segen vnnd gedeyen darbey kan angeſtellet jtem vom ackerbaw wie derſelbe beſtellet vnnd beſchickt in gleichen wie die schaͤffereyen forbergs vnnd andere guͤtere ſollen ausgethan vnd verpachter werden auff anordnung churfuͤrſtens auguſti chriſtſeliger gedechtnuͤß durch einen vornehmen vom adel auff die chur fuͤrſtlichen vorberge geſtellet darzu auch ein außfuͤhrlicher vnterricht wie man die maulwuͤrffe aus den gaͤrten wieſen vnd feldern leichtlichen vnd gaͤntzlichen außtilgen vnd los werden kan jetzo erſtlich in druck verordnet vnnd maͤnniglichen zum beſten an tag gegeben durch casparum jugelium crimmicensem leipzig typis groſianis anno m dc xvi,oeconomia oder nothwendiger unterricht und anleitung wie eine gantze hausshaltung am nutzlichsten und besten so fern gottes segen unnd gedeyen darbey kan angestellet item uom ackerbaw wie derselbe bestellet unnd beschickt in gleichen wie die schaffereyen forbergs unnd andere gutere sollen ausgethan und uerpachter werden auff anordnung churfurstens augusti christseliger gedechtnuss durch einen uornehmen uom adel auff die chur furstlichen uorberge gestellet darzu auch ein aussfuhrlicher unterricht wie man die maulwurffe aus den garten wiesen und feldern leichtlichen und gantzlichen ausstilgen und los werden kan ietzo erstlich in druck uerordnet unnd manniglichen zum besten an tag gegeben durch casparum iugelium crimmicensem leipzig typis grosianis anno m dc xui
thumbshirn_oeconomia_1616,body,1,0,False,7,Dem Edlen Geſtrengen vnd Ehrenveſten Veit Joachim von Wiedebach auff Thum/ Herolt vnnd Trepach etc.,dem edlen geſtrengen vnd ehrenveſten veit joachim von wiedebach auff thum herolt vnnd trepach etc,dem edlen gestrengen und ehrenuesten ueit ioachim uon wiedebach auff thum herolt unnd trepach etc
thumbshirn_oeconomia_1616,body,1,1,True,7,Meinen guͤnſtigen lieben Junckern vnd maͤchtigen Foͤrderern.,meinen guͤnſtigen lieben junckern vnd maͤchtigen foͤrderern,meinen gunstigen lieben iunckern und machtigen forderern
thumbshirn_oeconomia_1616,body,2,0,True,7,EDler Geſtrenger vnnd Ehrenveſter guͤnſtiger lieber Juncker vnd maͤchtiger Foͤrderer: Daß vnſer lieber GOTT (Wie im erſten Buch Moyſis zu leſen) beneben aufferlegter arbeit vnd kummer des Menſchen/ auch die Erde zweymahl verflucht/ einmal darumb/ das vnſere erſte Eltern im Paradiß ſein goͤttlich Gebot vbertreten/ Zum andern/ daß Cain ſeinen Bruder erſchlagen/ ſpuͤret ſolches noch heut zu tage ein jeder frommer Haußvater/ zuvoraus der die Erde pfluͤget vnd arbeitet/ denn er mus bekennen/ daß der Erdboden je lenger vnd mehr vnfruchtbarer werde/ vnd daß es auch noch biß dieſe Stunde je mehr je mehr nach dem außſpruch des Mundes Gottes gehet/ Verſtucht ſey der Acker vmb deinet willen/ mit Kummer ſoltu dich drauff nehren dein Lebenlang/ Dorn vnnd Diſteln ſol er dir tragen/ vnd ſolt das Kraut auff dem Felde eſſen/ im ſchweiß deines Angeſichts ſoltu dein Brodt eſſen/ biß daß du wieder zur Erden werdeſt/ davon du genommen biſt.,edler geſtrenger vnnd ehrenveſter guͤnſtiger lieber juncker vnd maͤchtiger foͤrderer daß vnſer lieber gott wie im erſten buch moyſis zu leſen beneben aufferlegter arbeit vnd kummer des menſchen auch die erde zweymahl verflucht einmal darumb das vnſere erſte eltern im paradiß ſein goͤttlich gebot vbertreten zum andern daß cain ſeinen bruder erſchlagen ſpuͤret ſolches noch heut zu tage ein jeder frommer haußvater zuvoraus der die erde pfluͤget vnd arbeitet denn er mus bekennen daß der erdboden je lenger vnd mehr vnfruchtbarer werde vnd daß es auch noch biß dieſe stunde je mehr je mehr nach dem außſpruch des mundes gottes gehet verſtucht ſey der acker vmb deinet willen mit kummer ſoltu dich drauff nehren dein lebenlang dorn vnnd diſteln ſol er dir tragen vnd ſolt das kraut auff dem felde eſſen im ſchweiß deines angeſichts ſoltu dein brodt eſſen biß daß du wieder zur erden werdeſt davon du genommen biſt,edler gestrenger unnd ehrenuester gunstiger lieber iuncker und machtiger forderer dass unser lieber gott wie im ersten buch moysis zu lesen beneben aufferlegter arbeit und kummer des menschen auch die erde zweymahl uerflucht einmal darumb das unsere erste eltern im paradiss sein gottlich gebot ubertreten zum andern dass cain seinen bruder erschlagen spuret solches noch heut zu tage ein ieder frommer haussuater zuuoraus der die erde pfluget und arbeitet denn er mus bekennen dass der erdboden ie lenger und mehr unfruchtbarer werde und dass es auch noch biss diese stunde ie mehr ie mehr nach dem aussspruch des mundes gottes gehet uerstucht sey der acker umb deinet willen mit kummer soltu dich drauff nehren dein lebenlang dorn unnd disteln sol er dir tragen und solt das kraut auff dem felde essen im schweiss deines angesichts soltu dein brodt essen biss dass du wieder zur erden werdest dauon du genommen bist
thumbshirn_oeconomia_1616,body,3,0,False,8,Vnd weil Todtſchlag vnd andere Suͤnden ſich taͤglich mehren/ iſt vnleugbar/ daß es nicht allein ſtetig mehr muͤhe/ Kummer vnd arbeit im felde habe/ man Arbeite/ Rode vnd hacke/ wie man kan/ Sondern es hat auch vber das noch der Fluch GOTtes jmmer den nachdruck/ vnd iſt deſſen kein auffhoͤren/ daß es auch bey groſſer arbeit faſt nirgend mehr fort wil/ vnd erfehrets auch mancher mit ſeinem groſſen ſchaden/ daß man viel außſehet/ vnnd wenig einerndet/ vnd daß der Acker vber alle angewandte arbeit Diſteln vnd Dorn treget/ vnd alſo wird Suͤnde/ Arbeit/ Kummer vnd Fluch mit einander geheuffet.,vnd weil todtſchlag vnd andere suͤnden ſich taͤglich mehren iſt vnleugbar daß es nicht allein ſtetig mehr muͤhe kummer vnd arbeit im felde habe man arbeite rode vnd hacke wie man kan sondern es hat auch vber das noch der fluch gottes jmmer den nachdruck vnd iſt deſſen kein auffhoͤren daß es auch bey groſſer arbeit faſt nirgend mehr fort wil vnd erfehrets auch mancher mit ſeinem groſſen ſchaden daß man viel außſehet vnnd wenig einerndet vnd daß der acker vber alle angewandte arbeit diſteln vnd dorn treget vnd alſo wird suͤnde arbeit kummer vnd fluch mit einander geheuffet,und weil todtschlag und andere sunden sich taglich mehren ist unleugbar dass es nicht allein stetig mehr muhe kummer und arbeit im felde habe man arbeite rode und hacke wie man kan sondern es hat auch uber das noch der fluch gottes immer den nachdruck und ist dessen kein auffhoren dass es auch bey grosser arbeit fast nirgend mehr fort wil und erfehrets auch mancher mit seinem grossen schaden dass man uiel ausssehet unnd wenig einerndet und dass der acker uber alle angewandte arbeit disteln und dorn treget und also wird sunde arbeit kummer und fluch mit einander geheuffet
thumbshirn_oeconomia_1616,body,3,1,True,8,Es kan aber dennoch durch ein embſiges/ Gottfuͤrchtiges gebet neben fleiſſiger handarbeit ſolche malediction vnd boͤſer Fluch/ wo nicht gar/ doch theils weggenommen vnd gelindert werden/ daß der Acker nicht eitel Diſteln vnd Dorn/ Sondern auch noch gut getreide zu Brot trage/ doch bleibet arbeit alſo/ daß auch S. Paulus ſagt: Wer nicht arbeitet/ ſol auch nit eſſen/ vnd wer da iſſet vnd nicht arbeitet/ der vnterzeucht ſich Gottes gebot vnd ſtraffe/ fellet darbey in Kranckheit vnd ſuͤnde.,es kan aber dennoch durch ein embſiges gottfuͤrchtiges gebet neben fleiſſiger handarbeit ſolche malediction vnd boͤſer fluch wo nicht gar doch theils weggenommen vnd gelindert werden daß der acker nicht eitel diſteln vnd dorn sondern auch noch gut getreide zu brot trage doch bleibet arbeit alſo daß auch s paulus ſagt wer nicht arbeitet ſol auch nit eſſen vnd wer da iſſet vnd nicht arbeitet der vnterzeucht ſich gottes gebot vnd ſtraffe fellet darbey in kranckheit vnd ſuͤnde,es kan aber dennoch durch ein embsiges gottfurchtiges gebet neben fleissiger handarbeit solche malediction und boser fluch wo nicht gar doch theils weggenommen und gelindert werden dass der acker nicht eitel disteln und dorn sondern auch noch gut getreide zu brot trage doch bleibet arbeit also dass auch s paulus sagt wer nicht arbeitet sol auch nit essen und wer da isset und nicht arbeitet der unterzeucht sich gottes gebot und straffe fellet darbey in kranckheit und sunde
thumbshirn_oeconomia_1616,body,4,0,False,9,Zwar von der Gottesfurcht handeln der Theologen Buͤcher vnd die Prediger in der Kirchen/ von der Arbeit/ vnnd Feldbawhandel/ Weltweiſer Leute ſchafften/ vnter welche mit guten rechte dieſes Tractaͤtlein oder Oeconomia zu zehlen.,zwar von der gottesfurcht handeln der theologen buͤcher vnd die prediger in der kirchen von der arbeit vnnd feldbawhandel weltweiſer leute ſchafften vnter welche mit guten rechte dieſes tractaͤtlein oder oeconomia zu zehlen,zwar uon der gottesfurcht handeln der theologen bucher und die prediger in der kirchen uon der arbeit unnd feldbawhandel weltweiser leute schafften unter welche mit guten rechte dieses tractatlein oder oeconomia zu zehlen
thumbshirn_oeconomia_1616,body,4,1,False,9,Denn ob es ſchon kurtz von Worten/ dennoch faſſet eine richte beſtallunge einer gantzen Haußhaltung/ ſo genaw vnnd richtig/ daß ſich ein verſtaͤndiger Haußvater daruͤber verwundern muͤſſe/ Es iſt vor vielen Jaren auff gnaͤdigſtes anbefehlen Churf.,denn ob es ſchon kurtz von worten dennoch faſſet eine richte beſtallunge einer gantzen haußhaltung ſo genaw vnnd richtig daß ſich ein verſtaͤndiger haußvater daruͤber verwundern muͤſſe es iſt vor vielen jaren auff gnaͤdigſtes anbefehlen churf,denn ob es schon kurtz uon worten dennoch fasset eine richte bestallunge einer gantzen hausshaltung so genaw unnd richtig dass sich ein uerstandiger haussuater daruber uerwundern musse es ist uor uielen iaren auff gnadigstes anbefehlen churf
thumbshirn_oeconomia_1616,body,4,2,False,9,Auguſti Chriſtſeliger gedechtnuͤß/ S. Churf.,auguſti chriſtſeliger gedechtnuͤß s churf,augusti christseliger gedechtnuss s churf
thumbshirn_oeconomia_1616,body,4,3,True,9,Gnaden forberge zum beſten/ von Weiland dem Edelen/ Geſtrengen vnd Ehren veſten Abraham von Thumbshirn/ auff Francken hauſen Ponitz/ Kauffungen/ etc.,gnaden forberge zum beſten von weiland dem edelen geſtrengen vnd ehren veſten abraham von thumbshirn auff francken hauſen ponitz kauffungen etc,gnaden forberge zum besten uon weiland dem edelen gestrengen und ehren uesten abraham uon thumbshirn auff francken hausen ponitz kauffungen etc
