doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
tuckermann_predigt_1616,head,0,0,True,1,Huldigungs Predigt/ Gethan zu Braunschweig im Thumb/ Als Dem Durchleuchtigen und Hochgebornen Fürsten vnd Herrn / Herrn Friederich Ulrich/ Hertzogen zu Braunschweig und Lüneburg/ etc. Unserm gnedigen Fürsten vnnd Herrn/ S.F.G. Underthanen in der Stadt Braunschweig Gehuldiget vnnd geschworen. Durch M.Petrum Tuckerman Hoffprediger Wolffenbüttel/ Gedruckt durch Elias Holwein Fürstl. Braunschw. Buchdrucker vnnd Formbschneider/ Im Jahr 1616.,huldigungs predigt gethan zu braunschweig im thumb als dem durchleuchtigen und hochgebornen fürsten vnd herrn herrn friederich ulrich hertzogen zu braunschweig und lüneburg etc unserm gnedigen fürsten vnnd herrn s f g underthanen in der stadt braunschweig gehuldiget vnnd geschworen durch m petrum tuckerman hoffprediger wolffenbüttel gedruckt durch elias holwein fürstl braunschw buchdrucker vnnd formbschneider im jahr,huldigungs predigt gethan zu braunschweig im thumb als dem durchleuchtigen und hochgebornen fursten und herrn herrn friederich ulrich hertzogen zu braunschweig und luneburg etc unserm gnedigen fursten unnd herrn s f g underthanen in der stadt braunschweig gehuldiget unnd geschworen durch m petrum tuckerman hoffprediger wolffenbuttel gedruckt durch elias holwein furstl braunschw buchdrucker unnd formbschneider im iahr
tuckermann_predigt_1616,head,1,0,True,3,Luce am 11. Cap.,luce am cap,luce am cap
tuckermann_predigt_1616,body,2,0,True,3,JEsus sprach zu jhnen: Ein jeglich Reich / so es mit jhm selbst Vneins wird / das wird Wüste / vnd ein Hauß fellet vber das ander.,jesus sprach zu jhnen ein jeglich reich so es mit jhm selbst vneins wird das wird wüste vnd ein hauß fellet vber das ander,iesus sprach zu ihnen ein ieglich reich so es mit ihm selbst uneins wird das wird wuste und ein hauss fellet uber das ander
tuckermann_predigt_1616,body,3,0,False,3,GOtt der HERR hat dem Menschlichen Geschlecht zu gute / fürnemblich drey Stände verordnet / den einen zur Bekehrung / den andern zur Regierung / den dritten zur Vermehrunge.,gott der herr hat dem menschlichen geschlecht zu gute fürnemblich drey stände verordnet den einen zur bekehrung den andern zur regierung den dritten zur vermehrunge,gott der herr hat dem menschlichen geschlecht zu gute furnemblich drey stande uerordnet den einen zur bekehrung den andern zur regierung den dritten zur uermehrunge
tuckermann_predigt_1616,body,3,1,True,3,Der Stand / der zur Bekehrung ist eingesetzt / ist der geistliche / der sonsten der Lehrstand genant wird / denn die Lehr / Gesetzes vnnd Evangelij / sambt dem Gebrauch der heiligen vnd hochwürdigen Sacramenten / darinnen getrieben wird / dadurch GOtt krefftig ist vnnd sein wil / zur Menschen Bekehrunge vnd Seligkeit / wie wir 1. Cor. 1. lesen: Dieweil die Welt durch jhre Weißheit Gott in seiner Weißheit nicht erkante / gefiel es Gott wol / durch thörichte Predigt Selig zumachen / die / so daran gleuben.,der stand der zur bekehrung ist eingesetzt ist der geistliche der sonsten der lehrstand genant wird denn die lehr gesetzes vnnd evangelij sambt dem gebrauch der heiligen vnd hochwürdigen sacramenten darinnen getrieben wird dadurch gott krefftig ist vnnd sein wil zur menschen bekehrunge vnd seligkeit wie wir cor lesen dieweil die welt durch jhre weißheit gott in seiner weißheit nicht erkante gefiel es gott wol durch thörichte predigt selig zumachen die so daran gleuben,der stand der zur bekehrung ist eingesetzt ist der geistliche der sonsten der lehrstand genant wird denn die lehr gesetzes unnd euangelii sambt dem gebrauch der heiligen und hochwurdigen sacramenten darinnen getrieben wird dadurch gott krefftig ist unnd sein wil zur menschen bekehrunge und seligkeit wie wir cor lesen dieweil die welt durch ihre weissheit gott in seiner weissheit nicht erkante gefiel es gott wol durch thorichte predigt selig zumachen die so daran gleuben
tuckermann_predigt_1616,body,4,0,True,3,Der Stand zur Regierung eingesetzt / ist der Weltliche / der sonst der Wehrstand genant wird / deñ Gott hat der Oberkeit darinnen das Schwert in die Hand gegeben / daß sie dem Bösen stewren vnd wehren / vnd das Gute schützen vnnd fortsetzen sol / wie Rom. 13. bezeuget wird: Die Gewaltigen sind nicht den guten Wercken / sondern den Bösen zu fürchten / wiltu dich aber nicht fürchten für der Oberkeit / so thu guts / so wirstu Lob von derselben haben / denn sie ist Gottes Dienerin dir zu gut: Thustu aber böses / so fürchte dich / denn sie tregt das Schwert nicht vmbsonst / sie ist GOttes Dienerin / eine Racherin zur Straffe vber den / der Böses thut.,der stand zur regierung eingesetzt ist der weltliche der sonst der wehrstand genant wird deñ gott hat der oberkeit darinnen das schwert in die hand gegeben daß sie dem bösen stewren vnd wehren vnd das gute schützen vnnd fortsetzen sol wie rom bezeuget wird die gewaltigen sind nicht den guten wercken sondern den bösen zu fürchten wiltu dich aber nicht fürchten für der oberkeit so thu guts so wirstu lob von derselben haben denn sie ist gottes dienerin dir zu gut thustu aber böses so fürchte dich denn sie tregt das schwert nicht vmbsonst sie ist gottes dienerin eine racherin zur straffe vber den der böses thut,der stand zur regierung eingesetzt ist der weltliche der sonst der wehrstand genant wird denn gott hat der oberkeit darinnen das schwert in die hand gegeben dass sie dem bosen stewren und wehren und das gute schutzen unnd fortsetzen sol wie rom bezeuget wird die gewaltigen sind nicht den guten wercken sondern den bosen zu furchten wiltu dich aber nicht furchten fur der oberkeit so thu guts so wirstu lob uon derselben haben denn sie ist gottes dienerin dir zu gut thustu aber boses so furchte dich denn sie tregt das schwert nicht umbsonst sie ist gottes dienerin eine racherin zur straffe uber den der boses thut
tuckermann_predigt_1616,body,5,0,False,4,Der Stand der zur Vermehrung eingesetzt / ist der Haußstand / der sonsten der Nehrstand genant wird / denn Gott wil daß das Menschliche Geschlechte dadurch vermehret vnd ernehret sol werden.,der stand der zur vermehrung eingesetzt ist der haußstand der sonsten der nehrstand genant wird denn gott wil daß das menschliche geschlechte dadurch vermehret vnd ernehret sol werden,der stand der zur uermehrung eingesetzt ist der haussstand der sonsten der nehrstand genant wird denn gott wil dass das menschliche geschlechte dadurch uermehret und ernehret sol werden
tuckermann_predigt_1616,body,5,1,False,4,Von der Vermehrung stehet Genes. 1. GOtt Schuff sich ein Mänlein vnd Fräwlein / vnnd segnet sie / vnnd sprach zu jhnen / seyd Fruchtbahr vnd mehret euch / vnd füllet die Erden / vnd macht sit euch Vnderthan.,von der vermehrung stehet genes gott schuff sich ein mänlein vnd fräwlein vnnd segnet sie vnnd sprach zu jhnen seyd fruchtbahr vnd mehret euch vnd füllet die erden vnd macht sit euch vnderthan,uon der uermehrung stehet genes gott schuff sich ein manlein und frawlein unnd segnet sie unnd sprach zu ihnen seyd fruchtbahr und mehret euch und fullet die erden und macht sit euch underthan
tuckermann_predigt_1616,body,5,2,False,4,Von der Ernehrung aber sagt David im 37. Psalm: Bleyb im Lande vnd Nehre dich redlich: Vnnd im 128. Psalm: Du wirst dich Nehren deiner Hände arbeit.,von der ernehrung aber sagt david im psalm bleyb im lande vnd nehre dich redlich vnnd im psalm du wirst dich nehren deiner hände arbeit,uon der ernehrung aber sagt dauid im psalm bleyb im lande und nehre dich redlich unnd im psalm du wirst dich nehren deiner hande arbeit
tuckermann_predigt_1616,body,5,3,True,4,Für diese drey Ständ haben wir billig GOtt von Hertzen zu dancken / denn wehren sie nicht / so könten wir nicht bekehret / in Frieden Regieret / noch vermehret vnd Ernehret werden.,für diese drey ständ haben wir billig gott von hertzen zu dancken denn wehren sie nicht so könten wir nicht bekehret in frieden regieret noch vermehret vnd ernehret werden,fur diese drey stand haben wir billig gott uon hertzen zu dancken denn wehren sie nicht so konten wir nicht bekehret in frieden regieret noch uermehret und ernehret werden
tuckermann_predigt_1616,body,6,0,True,5,Nun schreibt der H. Apostel Paulus Rom. 12. Man sol sich in die Zeit schicken: sollen wir dem Befehl nach setzen / wie billig / so kan einjeder bey sich selbst leicht abnehmen / das sichs gebühren wil / für dißmal eygentlich vom Regier oder Wehrstand zureden / denn vnsere allerseits von GOtt verordnete hohe Oberkeit vnd seiner Fürstlichen Gnaden Vnderthanen jetzt zur Hüldigung bey einander seyn / darbey die Oberkeit jhres obliegenden Ampts / vnd die Vnderthanen jhrer schüldigen Pflicht nothwendig müssen erinnert werden.,nun schreibt der h apostel paulus rom man sol sich in die zeit schicken sollen wir dem befehl nach setzen wie billig so kan einjeder bey sich selbst leicht abnehmen das sichs gebühren wil für dißmal eygentlich vom regier oder wehrstand zureden denn vnsere allerseits von gott verordnete hohe oberkeit vnd seiner fürstlichen gnaden vnderthanen jetzt zur hüldigung bey einander seyn darbey die oberkeit jhres obliegenden ampts vnd die vnderthanen jhrer schüldigen pflicht nothwendig müssen erinnert werden,nun schreibt der h apostel paulus rom man sol sich in die zeit schicken sollen wir dem befehl nach setzen wie billig so kan einieder bey sich selbst leicht abnehmen das sichs gebuhren wil fur dissmal eygentlich uom regier oder wehrstand zureden denn unsere allerseits uon gott uerordnete hohe oberkeit und seiner furstlichen gnaden underthanen ietzt zur huldigung bey einander seyn darbey die oberkeit ihres obliegenden ampts und die underthanen ihrer schuldigen pflicht nothwendig mussen erinnert werden
tuckermann_predigt_1616,body,7,0,False,5,"Im alten Testament finden wir / wenn hohe Oberkeit von Gott gleich zur Hüldigung eingeführt / daß alßdan die Priester mit Posaunen geblasen / vnd daß Volck vnd Vnderthanen jhr Glück gewünschet / vnnd zugeruffen haben: vivat Rex, vivat Rex, Glück dem Könige / oder Gott lasse den König lange leben / wie 1. Reg. 1. vom Salomone auffgezeichnet.",im alten testament finden wir wenn hohe oberkeit von gott gleich zur hüldigung eingeführt daß alßdan die priester mit posaunen geblasen vnd daß volck vnd vnderthanen jhr glück gewünschet vnnd zugeruffen haben vivat rex vivat rex glück dem könige oder gott lasse den könig lange leben wie reg vom salomone auffgezeichnet,im alten testament finden wir wenn hohe oberkeit uon gott gleich zur huldigung eingefuhrt dass alssdan die priester mit posaunen geblasen und dass uolck und underthanen ihr gluck gewunschet unnd zugeruffen haben uiuat rex uiuat rex gluck dem konige oder gott lasse den konig lange leben wie reg uom salomone auffgezeichnet
tuckermann_predigt_1616,body,7,1,False,5,Der Vnderthanen Glückwünschung ist vnd sol sein noch auff den heutigen Tag bey Hüldigungen ein andechtiges Gebett für jhre liebe Oberkeit / vnd daran werdens fromme Hertzen jetzo bey sich nicht manglen lassen.,der vnderthanen glückwünschung ist vnd sol sein noch auff den heutigen tag bey hüldigungen ein andechtiges gebett für jhre liebe oberkeit vnd daran werdens fromme hertzen jetzo bey sich nicht manglen lassen,der underthanen gluckwunschung ist und sol sein noch auff den heutigen tag bey huldigungen ein andechtiges gebett fur ihre liebe oberkeit und daran werdens fromme hertzen ietzo bey sich nicht manglen lassen
tuckermann_predigt_1616,body,7,2,True,5,Der Priester Posaunenblasen aber ist die Predigt / Esa. 58. Cap. Erhebe deine Stimme / wie eine Posaune / vnd Joel. 2. Blaset die Posaunen zu Zion: Daß wollen wir vns durch Gottes Hülff lassen befohlen seyn.,der priester posaunenblasen aber ist die predigt esa cap erhebe deine stimme wie eine posaune vnd joel blaset die posaunen zu zion daß wollen wir vns durch gottes hülff lassen befohlen seyn,der priester posaunenblasen aber ist die predigt esa cap erhebe deine stimme wie eine posaune und ioel blaset die posaunen zu zion dass wollen wir uns durch gottes hulff lassen befohlen seyn
