doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524988,head,0,0,True,[1],Chriſtliche Einfeltige Leichpredigt/ Bey der Sepultur vnd Leichbegaͤngnuͤß des Weyland Ehrwuͤrdigen vnd Wolgegelarten Herrn/ JOHANNIS Schwan Engel/ Wolverdienten Pfarrherrs zu Oldißleben: Welcher allda den 14. Maij morgens vmb 7. Vhr in Gott ſanfft vnd ſelig entſchlaffen/ vnd den 16. deſſelben vmb 1. Vhr Chriſtlich vnd Ehrlich zur Erden beſtattet vnd begraben worden. Gehalten durch M. NICOLAUM ECCARdi Mæno-Francofurtenſem Pfarrherrn zu Gorßleben. Jehna/ Gedruckt bey Johan Weidner Anno 1617.,chriſtliche einfeltige leichpredigt bey der sepultur vnd leichbegaͤngnuͤß des weyland ehrwuͤrdigen vnd wolgegelarten herrn johannis schwan engel wolverdienten pfarrherrs zu oldißleben welcher allda den maij morgens vmb vhr in gott ſanfft vnd ſelig entſchlaffen vnd den deſſelben vmb vhr chriſtlich vnd ehrlich zur erden beſtattet vnd begraben worden gehalten durch m nicolaum eccardi mænofrancofurtenſem pfarrherrn zu gorßleben jehna gedruckt bey johan weidner anno,christliche einfeltige leichpredigt bey der sepultur und leichbegangnuss des weyland ehrwurdigen und wolgegelarten herrn iohannis schwan engel woluerdienten pfarrherrs zu oldissleben welcher allda den maii morgens umb uhr in gott sanfft und selig entschlaffen und den desselben umb uhr christlich und ehrlich zur erden bestattet und begraben worden gehalten durch m nicolaum eccardi maenofrancofurtensem pfarrherrn zu gorssleben iehna gedruckt bey iohan weidner anno
524988,body,1,0,True,[2],WIrd dieſe zu letzten Ehrngedechtniß/ des Seligen Verſtorbenen Herrn Pfarrherrs gethane Leichpredigt/ aus guter affection vnterdienſtlich dedicirt/ vnd hierbey ſeines geweſenen lieben Seelſorgers vnnd Prieſters hinterlaſſene Wittwe vnd Waͤyſen/ (die ſonſt mit allen andern jhres gleichen bey der Gottloſen vndanckbarn Welt nicht viel Troſts vnd ſchutz zugewarten haben) in deren Amptsſchutz/ Gunſt/ vnd Fuͤrderung trewlich befohlen.,wird dieſe zu letzten ehrngedechtniß des seligen verſtorbenen herrn pfarrherrs gethane leichpredigt aus guter affection vnterdienſtlich dedicirt vnd hierbey ſeines geweſenen lieben seelſorgers vnnd prieſters hinterlaſſene wittwe vnd waͤyſen die ſonſt mit allen andern jhres gleichen bey der gottloſen vndanckbarn welt nicht viel troſts vnd ſchutz zugewarten haben in deren amptsſchutz gunſt vnd fuͤrderung trewlich befohlen,wird diese zu letzten ehrngedechtniss des seligen uerstorbenen herrn pfarrherrs gethane leichpredigt aus guter affection unterdienstlich dedicirt und hierbey seines gewesenen lieben seelsorgers unnd priesters hinterlassene wittwe und waysen die sonst mit allen andern ihres gleichen bey der gottlosen undanckbarn welt nicht uiel trosts und schutz zugewarten haben in deren amptsschutz gunst und furderung trewlich befohlen
524988,body,2,0,True,[2],Den 12. Junij Anno 1617. M. Nicolaus Eccardi P. G.,den junij anno m nicolaus eccardi p g,den iunii anno m nicolaus eccardi p g
524988,item,3,0,True,3,"M. Samueli, Rectorn zu Weymar. Herrn Johanni. Herrn Daniel/ Ph. & Theol. Studioſo. Eobano. Philippo. Vnd der tugendſamen Jungfrawen Juliana.SchwanEngeln.",m samueli rectorn zu weymar herrn johanni herrn daniel ph & theol studioſo eobano philippo vnd der tugendſamen jungfrawen juliana schwanengeln,m samueli rectorn zu weymar herrn iohanni herrn daniel ph et theol studioso eobano philippo und der tugendsamen iungfrawen iuliana schwanengeln
524988,body,4,0,False,4,ERbare vnd Tugendſame/ Auch Achtbare/ Erbare/ Wolgelarte/ meine in Ehren guͤnſtige gute Freund.,erbare vnd tugendſame auch achtbare erbare wolgelarte meine in ehren guͤnſtige gute freund,erbare und tugendsame auch achtbare erbare wolgelarte meine in ehren gunstige gute freund
524988,body,4,1,False,4,Dieſe ewers lieben Herren/ vnd Vaters ſeligen von mir gehaltene Leichpredigt vermeint ich gnug zu ſeyn/ daß ſie damals/ in Chriſtlicher Einfalt/ nach dem Vermoͤgen/ das Gott dargereicht/ gethan/ vnd war gantz nicht Willens ſolche zu publiciren/ vnd das nicht allein/ weil in hoc aureo & literatiſsimo ſeculo Jch mich/ als ein Junger Pfarherr vnd Vnwuͤrdiger Diener am Wort Gottes/ viel zu wenig achte/ etwas in Druck zu geben/ ſondern auch/ weil auff dieſe Leichpredigt zu meditirn/ ich nicht viel vber ein halben Tag zeit gehabt.,dieſe ewers lieben herren vnd vaters ſeligen von mir gehaltene leichpredigt vermeint ich gnug zu ſeyn daß ſie damals in chriſtlicher einfalt nach dem vermoͤgen das gott dargereicht gethan vnd war gantz nicht willens ſolche zu publiciren vnd das nicht allein weil in hoc aureo & literatiſsimo ſeculo jch mich als ein junger pfarherr vnd vnwuͤrdiger diener am wort gottes viel zu wenig achte etwas in druck zu geben ſondern auch weil auff dieſe leichpredigt zu meditirn ich nicht viel vber ein halben tag zeit gehabt,diese ewers lieben herren und uaters seligen uon mir gehaltene leichpredigt uermeint ich gnug zu seyn dass sie damals in christlicher einfalt nach dem uermogen das gott dargereicht gethan und war gantz nicht willens solche zu publiciren und das nicht allein weil in hoc aureo et literatissimo seculo ich mich als ein iunger pfarherr und unwurdiger diener am wort gottes uiel zu wenig achte etwas in druck zu geben sondern auch weil auff diese leichpredigt zu meditirn ich nicht uiel uber ein halben tag zeit gehabt
524988,body,4,2,True,4,"Denn neben andern Ampts: vnd damals fuͤrfallender Hochzeit Predigt/ ich auff ewers lieben Herrn vnd Vaters ſeligen Bitte/ welches dann ſein letzte Bitte an mich geweſen/ des Tages zuvor war der 15. Maij/ auch ein Leichpredigt bey euch verrichtet/ vnd alſo die Materi dieſer Predigt nicht nach Wuͤrden ponderirn vnd tractirn koͤnnen/ wie ich ſie denn auch vornemlich auff den præſentem caſum, ſo viel der Text klar mit ſich gebracht gerichtet/ zugeſchweigen anderer meiner Wenigkeit/ ſo mich etwas zu publiciren abhalten ſolten.",denn neben andern ampts vnd damals fuͤrfallender hochzeit predigt ich auff ewers lieben herrn vnd vaters ſeligen bitte welches dann ſein letzte bitte an mich geweſen des tages zuvor war der maij auch ein leichpredigt bey euch verrichtet vnd alſo die materi dieſer predigt nicht nach wuͤrden ponderirn vnd tractirn koͤnnen wie ich ſie denn auch vornemlich auff den præſentem caſum ſo viel der text klar mit ſich gebracht gerichtet zugeſchweigen anderer meiner wenigkeit ſo mich etwas zu publiciren abhalten ſolten,denn neben andern ampts und damals furfallender hochzeit predigt ich auff ewers lieben herrn und uaters seligen bitte welches dann sein letzte bitte an mich gewesen des tages zuuor war der maii auch ein leichpredigt bey euch uerrichtet und also die materi dieser predigt nicht nach wurden ponderirn und tractirn konnen wie ich sie denn auch uornemlich auff den praesentem casum so uiel der text klar mit sich gebracht gerichtet zugeschweigen anderer meiner wenigkeit so mich etwas zu publiciren abhalten solten
524988,body,5,0,False,4,Alldieweil aber jhr ſeithero vnterſchiedlich vnd bittlich bey mir angehalten/ dieſe Predigt euch im Druck zu communicirn/ Ewerm lieben Herrn vnd Vater ſeligen zu letzten Ehren/ euch zu Troſt/ vnd andern ſeinen lieben Pfarrkindern vnd Freunden zu mehrer Erinnerung/ daß ſie hierbey jhres lieben Pfarrers vnd Seelſorgers deſto beſſer gedencken koͤnten.,alldieweil aber jhr ſeithero vnterſchiedlich vnd bittlich bey mir angehalten dieſe predigt euch im druck zu communicirn ewerm lieben herrn vnd vater ſeligen zu letzten ehren euch zu troſt vnd andern ſeinen lieben pfarrkindern vnd freunden zu mehrer erinnerung daß ſie hierbey jhres lieben pfarrers vnd seelſorgers deſto beſſer gedencken koͤnten,alldieweil aber ihr seithero unterschiedlich und bittlich bey mir angehalten diese predigt euch im druck zu communicirn ewerm lieben herrn und uater seligen zu letzten ehren euch zu trost und andern seinen lieben pfarrkindern und freunden zu mehrer erinnerung dass sie hierbey ihres lieben pfarrers und seelsorgers desto besser gedencken konten
524988,body,5,1,False,5,Als habe ich endlich ſolche Bitte nicht lenger verweigern wollen/ ſonderlich weil gedachte Predigt ob ſie zwar einfeltig/ doch Gottes Wort gemeß iſt/ vnd weils gemeint/ zu letzten Ehren dem Verſtorbenen ſeligen/ mit dem ich die 4. Jar meins Ampts allhier vertrawliche Freundſchafft vnd Bruͤderliche Nachtbarſchafft gehabt/ wiewol/ wenns Gottes Will geweſen were/ ich lieber in einem andern caſu euch gratificiren wollen.,als habe ich endlich ſolche bitte nicht lenger verweigern wollen ſonderlich weil gedachte predigt ob ſie zwar einfeltig doch gottes wort gemeß iſt vnd weils gemeint zu letzten ehren dem verſtorbenen ſeligen mit dem ich die jar meins ampts allhier vertrawliche freundſchafft vnd bruͤderliche nachtbarſchafft gehabt wiewol wenns gottes will geweſen were ich lieber in einem andern caſu euch gratificiren wollen,als habe ich endlich solche bitte nicht lenger uerweigern wollen sonderlich weil gedachte predigt ob sie zwar einfeltig doch gottes wort gemess ist und weils gemeint zu letzten ehren dem uerstorbenen seligen mit dem ich die iar meins ampts allhier uertrawliche freundschafft und bruderliche nachtbarschafft gehabt wiewol wenns gottes will gewesen were ich lieber in einem andern casu euch gratificiren wollen
524988,body,5,2,False,5,Vberſende euch demnach hiermit im Namen Gottes/ bittend ob den Verzug/ dz ich ſie euch nit ehe geſchickt/ kein mißfallen zu haben/ (daß vber obige Vrſachen/ ich die darauff folgende Bett oder Creutzwoche/ ſechs Predigten/ das Pfingſtfeſt aber ſieben Predigten halten muͤſſen/ vnd alſo durch aus keine zeit gehabt zu revidiren) mit dem erbieten ſo ich nach meinem geringen vermoͤgen/ anderweit euch in Ehren angenehme dienſt zu erzeigen wuͤſte vnd koͤnte/ wolte ich allezeit willig vnd bereit erfunden werden/ vns allen hiermit Gottes Vaͤterlichem gnedigen ſchutz trewlich empfelende.,vberſende euch demnach hiermit im namen gottes bittend ob den verzug dz ich ſie euch nit ehe geſchickt kein mißfallen zu haben daß vber obige vrſachen ich die darauff folgende bett oder creutzwoche ſechs predigten das pfingſtfeſt aber ſieben predigten halten muͤſſen vnd alſo durch aus keine zeit gehabt zu revidiren mit dem erbieten ſo ich nach meinem geringen vermoͤgen anderweit euch in ehren angenehme dienſt zu erzeigen wuͤſte vnd koͤnte wolte ich allezeit willig vnd bereit erfunden werden vns allen hiermit gottes vaͤterlichem gnedigen ſchutz trewlich empfelende,ubersende euch demnach hiermit im namen gottes bittend ob den uerzug dz ich sie euch nit ehe geschickt kein missfallen zu haben dass uber obige ursachen ich die darauff folgende bett oder creutzwoche sechs predigten das pfingstfest aber sieben predigten halten mussen und also durch aus keine zeit gehabt zu reuidiren mit dem erbieten so ich nach meinem geringen uermogen anderweit euch in ehren angenehme dienst zu erzeigen wuste und konte wolte ich allezeit willig und bereit erfunden werden uns allen hiermit gottes uaterlichem gnedigen schutz trewlich empfelende
