doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508269,body,0,0,True,[1],"Geiſtl: Ring vnd Leibliche Sterbkunſt/ Des im dritten Himmel gekroͤnten Ritters vnd Maͤrtyrers des Hocherlauchten Heyligen Apoſtels Pauli: Auſs Gottes Wort: Am Faſtnacht Donnerſtage/ war der 9. Febr. 1617. Bey oͤffentlicher Anſehnlichen vnd Volckreichen Funeration vnd Deduction, Des Weyland Ehꝛwürdigen/ Achtbarn Wolgelehrten Heꝛrn Pauli Bresleri Olſn. Pfarꝛherꝛn vñ Seniorn zur Bernſtadt/ Welchen Gott nach ſeiner vnfeylbarn Providentz, den 1. Febr. Mitwoch nach Sexageſimæ, am Tag Brigittæ, vnd nachm alten Calender Vincentij abends vor Liechtmeß/ nach vberhaufftem Kampff/ Langwirigen Hauß Creutzes vnd Niederlag/ mit vernuͤnfftiger Segnung ſeiner lieben Kinder vnd geſegnung ſeines Hertzgeliebten jetzo Hochbetruͤbten Ehegattens vnd aller vmbſtehenden/ in wunderbarn gedult/ ſanfft/ ſelig/ ſtill vnd vnvermerckt/ auß dem Laſtkarn des Muͤhſamen Lebens/ durch den Zeitlichen todt außgeſpannt/ vnd zum recht beſtendigen Ewigen frewden leben verſetzet hat. Den als einen recht Rittermeſſigen Vincentium, Gott dermal eins froͤlich Aufferwecken wolle/ Gezeiget: Durch M. Johannem Gebauerum P. L. C. Pfarꝛern vnd Conſeniorn zu Stampen vnd Boꝛa/ Jm Olßniſchen Fuͤrſtenthumb. Gedꝛuckt Zur Olſſe/ bey Joh: Boͤſſemeſſern.",geiſtl ring vnd leibliche sterbkunſt des im dritten himmel gekroͤnten ritters vnd maͤrtyrers des hocherlauchten heyligen apoſtels pauli auſs gottes wort am faſtnacht donnerſtage war der febr bey oͤffentlicher anſehnlichen vnd volckreichen funeration vnd deduction des weyland ehꝛwürdigen achtbarn wolgelehrten heꝛrn pauli bresleri olſn pfarꝛherꝛn vñ seniorn zur bernſtadt welchen gott nach ſeiner vnfeylbarn providentz den febr mitwoch nach sexageſimæ am tag brigittæ vnd nachm alten calender vincentij abends vor liechtmeß nach vberhaufftem kampff langwirigen hauß creutzes vnd niederlag mit vernuͤnfftiger segnung ſeiner lieben kinder vnd geſegnung ſeines hertzgeliebten jetzo hochbetruͤbten ehegattens vnd aller vmbſtehenden in wunderbarn gedult ſanfft ſelig ſtill vnd vnvermerckt auß dem laſtkarn des muͤhſamen lebens durch den zeitlichen todt außgeſpannt vnd zum recht beſtendigen ewigen frewden leben verſetzet hat den als einen recht rittermeſſigen vincentium gott dermal eins froͤlich aufferwecken wolle gezeiget durch m johannem gebauerum p l c pfarꝛern vnd conſeniorn zu stampen vnd boꝛa jm olßniſchen fuͤrſtenthumb gedꝛuckt zur olſſe bey joh boͤſſemeſſern,geistl ring und leibliche sterbkunst des im dritten himmel gekronten ritters und martyrers des hocherlauchten heyligen apostels pauli auss gottes wort am fastnacht donnerstage war der febr bey offentlicher ansehnlichen und uolckreichen funeration und deduction des weyland ehwurdigen achtbarn wolgelehrten hern pauli bresleri olsn pfarhern und seniorn zur bernstadt welchen gott nach seiner unfeylbarn prouidentz den febr mitwoch nach sexagesimae am tag brigittae und nachm alten calender uincentii abends uor liechtmess nach uberhaufftem kampff langwirigen hauss creutzes und niederlag mit uernunfftiger segnung seiner lieben kinder und gesegnung seines hertzgeliebten ietzo hochbetrubten ehegattens und aller umbstehenden in wunderbarn gedult sanfft selig still und unuermerckt auss dem lastkarn des muhsamen lebens durch den zeitlichen todt aussgespannt und zum recht bestendigen ewigen frewden leben uersetzet hat den als einen recht rittermessigen uincentium gott dermal eins frolich aufferwecken wolle gezeiget durch m iohannem gebauerum p l c pfarern und conseniorn zu stampen und boa im olssnischen furstenthumb geduckt zur olsse bey ioh bossemessern
508269,body,1,0,True,[2],"Paraphraſis Thematis concionis metrica, ê 2. Timoth. 4.",paraphraſis thematis concionis metrica ê timoth,paraphrasis thematis concionis metrica e timoth
508269,body,2,0,True,[2],"VIta quid eſt hominũ? Certamen, curſus & ar-",vita quid eſt hominũ certamen curſus & ar,uita quid est hominum certamen cursus et ar
508269,body,3,0,True,[2],"Lux fidei, cujus ſplendor ad aſtra volat.",lux fidei cujus ſplendor ad aſtra volat,lux fidei cuius splendor ad astra uolat
508269,body,4,0,True,[2],[dens,dens,dens
508269,body,5,0,True,[2],"Mors quid? Victima, diſceſſus & tempus in orbe,",mors quid victima diſceſſus & tempus in orbe,mors quid uictima discessus et tempus in orbe
508269,body,6,0,True,[2],"Clauſula mœſticiæ, lætitiæꝙ́ capit.",clauſula mœſticiæ lætitiæꝙ́ capit,clausula moesticiae laetitiaequod capit
508269,body,7,0,True,[2],Quis vitæ & mortis comes eſt? precioſa corona,quis vitæ & mortis comes eſt precioſa corona,quis uitae et mortis comes est preciosa corona
508269,body,8,0,True,[2],Justiciæ; Judex quam dabit Æquus ibi.,justiciæ judex quam dabit æquus ibi,iusticiae iudex quam dabit aequus ibi
508269,body,9,0,True,[2],"Cûi dabit hanc? Mihi. nec ſaltẽ mihi, ſed pote cun-",cûi dabit hanc mihi nec ſaltẽ mihi ſed pote cun,cui dabit hanc mihi nec salten mihi sed pote cun
