doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523541,body,0,0,True,[1],OPTIMUS MULIERUM Ornatus: Beſter Weiber Schmuck. Eine kurtze Leichpredigt/ vber den Spruch des H. Apoſtels Pauli/ 1. Tim. 2. Sie wird ſelig werden durch Kinder zeugen/ etc. Bey Anſehliger vnd Volckreicher Leichbegaͤngnis/ der Edlen vnd Ehrentugendſamen Frawen MARTHA geborner Mildin von Lenckersdorff/ etc. Des Ehrenvheſten/ Achtbarn vnd Wolgelarten Herrn M. JOHANN Mißlers/ Churf. Saͤchſiſchen AmptSchoͤſſers zu Arnßhaugk vielgeliebter Ehlicher Haußfrawen/ welche den 8. Januarij des 1617. Jahrs/ Abends zwiſchen 7. vnd 8. Vhr auff dem Schloß Arnßhaugk in Gott ſelig verſchieden/ vnd den 13. Tag hernach Chriſtlich: vnd Ehrlicher weiß zur Erden beſtattet worden: Gehalten in der Pfarrkirchen S. Johannis zur Newſtadt an der Orla/ etc. Durch M. MELCHIOR Lehen/ Pfarrern vnd Superintendenten daſelbſt. Gedruckt zu Jehna/ bey Johann Weidnern/ Jm Jahr M. DC. XVII.,optimus mulierum ornatus beſter weiber schmuck eine kurtze leichpredigt vber den spruch des h apoſtels pauli tim sie wird ſelig werden durch kinder zeugen etc bey anſehliger vnd volckreicher leichbegaͤngnis der edlen vnd ehrentugendſamen frawen martha geborner mildin von lenckersdorff etc des ehrenvheſten achtbarn vnd wolgelarten herrn m johann mißlers churf saͤchſiſchen amptschoͤſſers zu arnßhaugk vielgeliebter ehlicher haußfrawen welche den januarij des jahrs abends zwiſchen vnd vhr auff dem schloß arnßhaugk in gott ſelig verſchieden vnd den tag hernach chriſtlich vnd ehrlicher weiß zur erden beſtattet worden gehalten in der pfarrkirchen s johannis zur newſtadt an der orla etc durch m melchior lehen pfarrern vnd superintendenten daſelbſt gedruckt zu jehna bey johann weidnern jm jahr m dc xvii,optimus mulierum ornatus bester weiber schmuck eine kurtze leichpredigt uber den spruch des h apostels pauli tim sie wird selig werden durch kinder zeugen etc bey ansehliger und uolckreicher leichbegangnis der edlen und ehrentugendsamen frawen martha geborner mildin uon lenckersdorff etc des ehrenuhesten achtbarn und wolgelarten herrn m iohann misslers churf sachsischen amptschossers zu arnsshaugk uielgeliebter ehlicher haussfrawen welche den ianuarii des iahrs abends zwischen und uhr auff dem schloss arnsshaugk in gott selig uerschieden und den tag hernach christlich und ehrlicher weiss zur erden bestattet worden gehalten in der pfarrkirchen s iohannis zur newstadt an der orla etc durch m melchior lehen pfarrern und superintendenten daselbst gedruckt zu iehna bey iohann weidnern im iahr m dc xuii
523541,body,1,0,True,[2],"Ad Virum Amplißimum, morum dexteritate, eruditâ doctriná, politicarumꝙ́ rerum peritiâ ſpectatißimum, Dn. M. JOHANNEM MISLERUM Quæſtorem in Electorali Arce Arnshaugk, Compatrem & Amicum ſuum ut veterem, ita multis nominibus plurimùm colendum.",ad virum amplißimum morum dexteritate eruditâ doctriná politicarumꝙ́ rerum peritiâ ſpectatißimum dn m johannem mislerum quæſtorem in electorali arce arnshaugk compatrem & amicum ſuum ut veterem ita multis nominibus plurimùm colendum,ad uirum amplissimum morum dexteritate erudita doctrina politicarumquod rerum peritia spectatissimum dn m iohannem mislerum quaestorem in electorali arce arnshaugk compatrem et amicum suum ut ueterem ita multis nominibus plurimum colendum
523541,body,2,0,True,[2],"ARcis Arenshagiæ Mislere Amplißime Quæſtor,",arcis arenshagiæ mislere amplißime quæſtor,arcis arenshagiae mislere amplissime quaestor
523541,body,3,0,True,[2],Carminis autorem carminis autor amas.,carminis autorem carminis autor amas,carminis autorem carminis autor amas
523541,body,4,0,True,[2],"Scribis enim Muſis dignos & Apolline verſus,",scribis enim muſis dignos & apolline verſus,scribis enim musis dignos et apolline uersus
523541,body,5,0,True,[2],"Utꝙ Tibi tales det mea Muſa, rogas.",utꝙ tibi tales det mea muſa rogas,utquod tibi tales det mea musa rogas
523541,body,6,0,True,[2],"Nec ſatis hoc, dum ſic exoptas carmina: Leſſum",nec ſatis hoc dum ſic exoptas carmina leſſum,nec satis hoc dum sic exoptas carmina lessum
523541,body,7,0,True,[2],Poſcis apud Marthæ funera mœſta tuæ.,poſcis apud marthæ funera mœſta tuæ,poscis apud marthae funera moesta tuae
523541,body,8,0,True,[2],Imò nec hic ſatis est: hæc inter funera ſparſum,imò nec hic ſatis est hæc inter funera ſparſum,imo nec hic satis est haec inter funera sparsum
523541,body,9,0,True,[2],Sermonem ſacrâ poſcis ab æde meum.,sermonem ſacrâ poſcis ab æde meum,sermonem sacra poscis ab aede meum
523541,body,10,0,True,[2],"Quid faciam? Dubito: Curam mens anxia librat,",quid faciam dubito curam mens anxia librat,quid faciam dubito curam mens anxia librat
