doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524109,body,0,0,True,[1],Ein Chriſtliche Leich- Klag- vnd TroſtPredigt auß dem 39. Pſalmen Davids: BEy Begꝛaͤbniß weiland deß Ehrnhafften vnd Wolvornehmen Herꝛn Martin Vlothen/ geweſenen Fuͤrſtlichen Heſſiſchen Kellnern zu Liechtenberg in der Oberngraffſchafft Catzenelnbogen: Welcher in dieſem jetztlauffenden 1617. Jar am 8. Tag Febr. Abends vmb 5. Vhr/ vnter ſeinen vnd vieler vmbſtehenden Chriſten innbruͤnſtigem Gebett in GOtt ſeliglich abgeſtorben/ vnd hernach am 12. deſſelben Monats zu Biberaw in die Hauptkirche/ bey groſſer Verſamblung beyd Adelichen Perſonen/ vnnd dann auß dem gantzen Ampt/ auß ſo vielen Dorffſchafften zuſammenkommenden angehoͤrigen/ Chriſtlich vnd Ehrlich in ſein Ruhbeth gelegt vnd begraben worden. Gehalten von HENRICO LEUCHTERO D. Pfarrer vnd Superint. daſelbſt. Darmbſtatt/ truckts Balthaſar Hofmann. 1617.,ein chriſtliche leich klag vnd troſtpredigt auß dem pſalmen davids bey begꝛaͤbniß weiland deß ehrnhafften vnd wolvornehmen herꝛn martin vlothen geweſenen fuͤrſtlichen heſſiſchen kellnern zu liechtenberg in der oberngraffſchafft catzenelnbogen welcher in dieſem jetztlauffenden jar am tag febr abends vmb vhr vnter ſeinen vnd vieler vmbſtehenden chriſten innbruͤnſtigem gebett in gott ſeliglich abgeſtorben vnd hernach am deſſelben monats zu biberaw in die hauptkirche bey groſſer verſamblung beyd adelichen perſonen vnnd dann auß dem gantzen ampt auß ſo vielen dorffſchafften zuſammenkommenden angehoͤrigen chriſtlich vnd ehrlich in ſein ruhbeth gelegt vnd begraben worden gehalten von henrico leuchtero d pfarrer vnd superint daſelbſt darmbſtatt truckts balthaſar hofmann,ein christliche leich klag und trostpredigt auss dem psalmen dauids bey begabniss weiland dess ehrnhafften und woluornehmen hern martin ulothen gewesenen furstlichen hessischen kellnern zu liechtenberg in der oberngraffschafft catzenelnbogen welcher in diesem ietztlauffenden iar am tag febr abends umb uhr unter seinen und uieler umbstehenden christen innbrunstigem gebett in gott seliglich abgestorben und hernach am desselben monats zu biberaw in die hauptkirche bey grosser uersamblung beyd adelichen personen unnd dann auss dem gantzen ampt auss so uielen dorffschafften zusammenkommenden angehorigen christlich und ehrlich in sein ruhbeth gelegt und begraben worden gehalten uon henrico leuchtero d pfarrer und superint daselbst darmbstatt truckts balthasar hofmann
524109,body,1,0,False,3,MEin andaͤchtiges Gebett/ Ehrengruß vnnd Chriſtliche Dienſte jederzeit zuvor: Erbare vnd Tugendreiche Fraw/ vnnd in Chriſto liebe Freundin/ Es iſt mir in warheit gantz ſchmertzlich vorkommen/ Ewers geweſenen hertzlieben Herꝛn vnd Ehevogtsſ. ſein/ euch vnnd mir gantz vnverhoffter weiß vorkommender auß dieſer boͤſen Welt beſchehener Abtritt: hette gehoffet/ wir vns noch lange zeit mit einander froͤlich wolten begangen haben.,mein andaͤchtiges gebett ehrengruß vnnd chriſtliche dienſte jederzeit zuvor erbare vnd tugendreiche fraw vnnd in chriſto liebe freundin es iſt mir in warheit gantz ſchmertzlich vorkommen ewers geweſenen hertzlieben herꝛn vnd ehevogtsſ ſein euch vnnd mir gantz vnverhoffter weiß vorkommender auß dieſer boͤſen welt beſchehener abtritt hette gehoffet wir vns noch lange zeit mit einander froͤlich wolten begangen haben,mein andachtiges gebett ehrengruss unnd christliche dienste iederzeit zuuor erbare und tugendreiche fraw unnd in christo liebe freundin es ist mir in warheit gantz schmertzlich uorkommen ewers gewesenen hertzlieben hern und eheuogtss sein euch unnd mir gantz unuerhoffter weiss uorkommender auss dieser bosen welt beschehener abtritt hette gehoffet wir uns noch lange zeit mit einander frolich wolten begangen haben
524109,body,1,1,False,3,"Dann 1. ſind wir geweſen Landsleuthe/ auß einem Heymath vnd Statt/ vnd haben vns gemeynet/ nicht wie das loſe Sprichwort lautet/ Landsmann Schandsmann/ wie man derſelbigen vnverſtendigen Doͤlpel vil findet/ ſonder wie redliche/ auffrichtige/ vnd nach der von Natur in einem Patria vnd Lufft/ vnnd vnter einem Himmel eingepflantzer Neigung/ wol vnnd ehrlich vnnd freundlich. 2. So ſind wir geweſen miteinander in einer Schul/ vnd vnter einer Diſciplin/ vnd haben viel Schulcreutz/ wie es die Zeit vnd Gelegenheit gibt/ miteinander erlitten/ nach dem Sprichwort/ Multa tulit, fecitq́; puer, ſudauit & alſit.",dann ſind wir geweſen landsleuthe auß einem heymath vnd statt vnd haben vns gemeynet nicht wie das loſe sprichwort lautet landsmann schandsmann wie man derſelbigen vnverſtendigen doͤlpel vil findet ſonder wie redliche auffrichtige vnd nach der von natur in einem patria vnd lufft vnnd vnter einem himmel eingepflantzer neigung wol vnnd ehrlich vnnd freundlich so ſind wir geweſen miteinander in einer schul vnd vnter einer diſciplin vnd haben viel schulcreutz wie es die zeit vnd gelegenheit gibt miteinander erlitten nach dem sprichwort multa tulit fecitq́ puer ſudauit & alſit,dann sind wir gewesen landsleuthe auss einem heymath und statt und haben uns gemeynet nicht wie das lose sprichwort lautet landsmann schandsmann wie man derselbigen unuerstendigen dolpel uil findet sonder wie redliche auffrichtige und nach der uon natur in einem patria und lufft unnd unter einem himmel eingepflantzer neigung wol unnd ehrlich unnd freundlich so sind wir gewesen miteinander in einer schul und unter einer disciplin und haben uiel schulcreutz wie es die zeit und gelegenheit gibt miteinander erlitten nach dem sprichwort multa tulit fecitq puer sudauit et alsit
524109,body,1,2,False,4,Ach Gott es gehet offtmals ſeltzam zu 3. Nach dem wir vns aber wunderlich vnnd ſeltzam einer hie der ander da/ einer ſo/ der ander anders ſich verſuchet/ vnnd alſo von vielem Widerſtand vnd Creutz zuſagen gewuſt/ ſo hat vns der from̃e getrewe Gott in dieſer loͤblichen Graveſchafft wider zuſammen gefuͤgt/ gantz vnverhofft/ aber O wie wol vnd wie erwuͤnſcht!,ach gott es gehet offtmals ſeltzam zu nach dem wir vns aber wunderlich vnnd ſeltzam einer hie der ander da einer ſo der ander anders ſich verſuchet vnnd alſo von vielem widerſtand vnd creutz zuſagen gewuſt ſo hat vns der from̃e getrewe gott in dieſer loͤblichen graveſchafft wider zuſammen gefuͤgt gantz vnverhofft aber o wie wol vnd wie erwuͤnſcht,ach gott es gehet offtmals seltzam zu nach dem wir uns aber wunderlich unnd seltzam einer hie der ander da einer so der ander anders sich uersuchet unnd also uon uielem widerstand und creutz zusagen gewust so hat uns der fromme getrewe gott in dieser loblichen graueschafft wider zusammen gefugt gantz unuerhofft aber o wie wol und wie erwunscht
524109,body,1,3,False,4,Jch bin auß meinem Heymat geſchickt worden/ nach Hirſchfeld/ im Jahr 1571. als das fuͤrtrefflich Gymnaſium daſelbſt auffgerichtet worden war/ ſage dem Allmaͤchtigen Danck/ daß zu ſolchem Gymnaſio ich auch gebracht worden bin/ der liebe Gott ſegne die Statt (welche ich auch halte vor mein Heymat) vnd die Schule/ daß ſie der Jugend/ vnnd der Kirchen Gottes zue Ehr vñ allem guten Gedeyen moͤge/ Amen.,jch bin auß meinem heymat geſchickt worden nach hirſchfeld im jahr als das fuͤrtrefflich gymnaſium daſelbſt auffgerichtet worden war ſage dem allmaͤchtigen danck daß zu ſolchem gymnaſio ich auch gebracht worden bin der liebe gott ſegne die statt welche ich auch halte vor mein heymat vnd die schule daß ſie der jugend vnnd der kirchen gottes zue ehr vñ allem guten gedeyen moͤge amen,ich bin auss meinem heymat geschickt worden nach hirschfeld im iahr als das furtrefflich gymnasium daselbst auffgerichtet worden war sage dem allmachtigen danck dass zu solchem gymnasio ich auch gebracht worden bin der liebe gott segne die statt welche ich auch halte uor mein heymat und die schule dass sie der iugend unnd der kirchen gottes zue ehr und allem guten gedeyen moge amen
524109,body,1,4,False,4,Darnach ſo bin ich von dannen gen Marpurg geſchickt worden/ an welchem Ort ich faſt in ſtudijs biß auff die zehen Jahr verblieben.,darnach ſo bin ich von dannen gen marpurg geſchickt worden an welchem ort ich faſt in ſtudijs biß auff die zehen jahr verblieben,darnach so bin ich uon dannen gen marpurg geschickt worden an welchem ort ich fast in studiis biss auff die zehen iahr uerblieben
524109,body,1,5,False,5,Von dannen als ich alle meine Ehrenſtaͤnde/ ſo in Academijs vnd hohen Schulen zuerlangen/ erreichet/ bin nach Kirtorff von dem Durchleuchtigen vnnd Hochgebornen Fuͤrſten vnnd Herꝛn/ Herꝛn Ludwig dem Eltern/ Landgr.,von dannen als ich alle meine ehrenſtaͤnde ſo in academijs vnd hohen schulen zuerlangen erreichet bin nach kirtorff von dem durchleuchtigen vnnd hochgebornen fuͤrſten vnnd herꝛn herꝛn ludwig dem eltern landgr,uon dannen als ich alle meine ehrenstande so in academiis und hohen schulen zuerlangen erreichet bin nach kirtorff uon dem durchleuchtigen unnd hochgebornen fursten unnd hern hern ludwig dem eltern landgr
524109,body,1,6,False,5,Chriſtmilter Gedaͤchtnuß ich zum Predigampt vnverhoffter Weiſe erfordert worden/ hab ſolch Ampt außgeſtanden/ vnd hoffe mit der Zuhoͤrer nutzen/ welches ſie vnd Gott bezeugen werden.,chriſtmilter gedaͤchtnuß ich zum predigampt vnverhoffter weiſe erfordert worden hab ſolch ampt außgeſtanden vnd hoffe mit der zuhoͤrer nutzen welches ſie vnd gott bezeugen werden,christmilter gedachtnuss ich zum predigampt unuerhoffter weise erfordert worden hab solch ampt aussgestanden und hoffe mit der zuhorer nutzen welches sie und gott bezeugen werden
524109,body,1,7,False,5,Als ich aber nicht gar 4. Jahr mich daſelb auffgehalten/ werde ich nicht allein wider verhoffen/ ſonder auch wider alle mein bitten vnnd flehen/ ja mit ernſter Bedraͤwung nach Marpurg gebracht/ an welchem Ort von Gott dem Allmechtigen ich zuvor all meine nach Gottes willen mir zugemeſſene Gabe (ach Gott jhrer wehren viel) empfangen habe/ Gott ſey darfuͤr Danck geſagt/ vnnd derſelbige ehre dieſe Statt/ vnnd verleyhe jhr alles gutes/ GOtt weiß mein Hertz.,als ich aber nicht gar jahr mich daſelb auffgehalten werde ich nicht allein wider verhoffen ſonder auch wider alle mein bitten vnnd flehen ja mit ernſter bedraͤwung nach marpurg gebracht an welchem ort von gott dem allmechtigen ich zuvor all meine nach gottes willen mir zugemeſſene gabe ach gott jhrer wehren viel empfangen habe gott ſey darfuͤr danck geſagt vnnd derſelbige ehre dieſe statt vnnd verleyhe jhr alles gutes gott weiß mein hertz,als ich aber nicht gar iahr mich daselb auffgehalten werde ich nicht allein wider uerhoffen sonder auch wider alle mein bitten unnd flehen ia mit ernster bedrawung nach marpurg gebracht an welchem ort uon gott dem allmechtigen ich zuuor all meine nach gottes willen mir zugemessene gabe ach gott ihrer wehren uiel empfangen habe gott sey darfur danck gesagt unnd derselbige ehre diese statt unnd uerleyhe ihr alles gutes gott weiss mein hertz
524109,body,1,8,False,5,Was ich aber dieſes Orts außgeſtanden/ was ich geſehen/ vnd was ich geſuchet/ auch was ich gearbeitet habe/ das weiß der liebe Gott/ der er alles gegeben/ vnd jhm ſey auch Lob vnnd Danck geſagt.,was ich aber dieſes orts außgeſtanden was ich geſehen vnd was ich geſuchet auch was ich gearbeitet habe das weiß der liebe gott der er alles gegeben vnd jhm ſey auch lob vnnd danck geſagt,was ich aber dieses orts aussgestanden was ich gesehen und was ich gesuchet auch was ich gearbeitet habe das weiss der liebe gott der er alles gegeben und ihm sey auch lob unnd danck gesagt
