doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
524965,body,0,0,True,[1],"Chriſtliche Leichpredigt Beim begraͤbnus des weyland Ehrwuͤrdigen/ Achtbarn vnd wolgelahrten Herꝛn JOHANNIS SEBALDI, geweſenen trewen Pfarrers vnd Seelſorgers der Deutzſchen Kyrchen in der Fuͤrſtlichen Stadt Olaw/ Vnd der benachbarten Prieſterſchafft Senioris. WElcher nach dem willen GOttes/ auf ſeinem Sichbettlein am verfloſſenen Oſterdonnerſtage/ war der 30 Martij, in wahrem erkentnus vnd bekentnuͤs Chriſti/ zur Ohlaw ſeliglich eingeſchlaffen/ vnd folgents den 5. Aprilis, Chriſtlichem brauch nach/ in ſein Ruhbettlein verſetzet worden. Gehalten zur Ohlaw/ vnd auf begehren ſeiner hertzbetruͤbten Fraw wittiben zum druck vorfertiget. Durch Johannem Neomenium Fuͤrſtlichen Hofepredigern zum Brieg/ vnd ſelbigen Fuͤrſtenthumbs Superintendenten. Dracontius Vetus Poëta Chriſtianus. Mors Mundanorum requies eſt certa laborum. Gedruckt in der Fuͤrſtlichen Stadt Brieg/ durch Caſparum Sigfried. Jm Jahr/ 1617.",chriſtliche leichpredigt beim begraͤbnus des weyland ehrwuͤrdigen achtbarn vnd wolgelahrten herꝛn johannis sebaldi geweſenen trewen pfarrers vnd seelſorgers der deutzſchen kyrchen in der fuͤrſtlichen stadt olaw vnd der benachbarten prieſterſchafft senioris welcher nach dem willen gottes auf ſeinem sichbettlein am verfloſſenen oſterdonnerſtage war der martij in wahrem erkentnus vnd bekentnuͤs chriſti zur ohlaw ſeliglich eingeſchlaffen vnd folgents den aprilis chriſtlichem brauch nach in ſein ruhbettlein verſetzet worden gehalten zur ohlaw vnd auf begehren ſeiner hertzbetruͤbten fraw wittiben zum druck vorfertiget durch johannem neomenium fuͤrſtlichen hofepredigern zum brieg vnd ſelbigen fuͤrſtenthumbs superintendenten dracontius vetus poëta chriſtianus mors mundanorum requies eſt certa laborum gedruckt in der fuͤrſtlichen stadt brieg durch caſparum sigfried jm jahr,christliche leichpredigt beim begrabnus des weyland ehrwurdigen achtbarn und wolgelahrten hern iohannis sebaldi gewesenen trewen pfarrers und seelsorgers der deutzschen kyrchen in der furstlichen stadt olaw und der benachbarten priesterschafft senioris welcher nach dem willen gottes auf seinem sichbettlein am uerflossenen osterdonnerstage war der martii in wahrem erkentnus und bekentnus christi zur ohlaw seliglich eingeschlaffen und folgents den aprilis christlichem brauch nach in sein ruhbettlein uersetzet worden gehalten zur ohlaw und auf begehren seiner hertzbetrubten fraw wittiben zum druck uorfertiget durch iohannem neomenium furstlichen hofepredigern zum brieg und selbigen furstenthumbs superintendenten dracontius uetus poeta christianus mors mundanorum requies est certa laborum gedruckt in der furstlichen stadt brieg durch casparum sigfried im iahr
524965,body,1,0,True,[2],"Der Ehrbaren vnd Tugentſamen Frawen Marien/ gebohrnen Glodin/ von Breßlaw/ des Weiland Ehrwůrdigen Achtbarn vnnd wolgelahrten Herrn Johannis Sebaldi, geweſenen trewen Pfarrers vnd Seelſorgers der Deutſchen Kyrchen zur Ohlaw/ vnnd der benachbarten Prieſterſchafft Senioris, hinterlaſſenen Wittiben.",der ehrbaren vnd tugentſamen frawen marien gebohrnen glodin von breßlaw des weiland ehrwůrdigen achtbarn vnnd wolgelahrten herrn johannis sebaldi geweſenen trewen pfarrers vnd seelſorgers der deutſchen kyrchen zur ohlaw vnnd der benachbarten prieſterſchafft senioris hinterlaſſenen wittiben,der ehrbaren und tugentsamen frawen marien gebohrnen glodin uon bresslaw des weiland ehrwurdigen achtbarn unnd wolgelahrten herrn iohannis sebaldi gewesenen trewen pfarrers und seelsorgers der deutschen kyrchen zur ohlaw unnd der benachbarten priesterschafft senioris hinterlassenen wittiben
524965,body,2,0,True,[2],uͤbergiebt auff jhr begehren dieſe Leichpredigt Joh: Neomenius.,uͤbergiebt auff jhr begehren dieſe leichpredigt joh neomenius,ubergiebt auff ihr begehren diese leichpredigt ioh neomenius
524965,body,3,0,True,[3],Chꝛiſtliche Leichpredigt.,chꝛiſtliche leichpredigt,chistliche leichpredigt
524965,body,4,0,True,[3],BEdencke HERR/ wie kurtz mein Leben iſt ꝛc: Vnd Wo iſt ein Menſch/ der da lebet/ vnd den Todt nicht ſehe/ redet vnd klaget die Chriſtliche Kyrche/ weil ſie noch auf Erden vnd im Jammerthal ſchwebet/ Da es nur alſo zugehet/ das vnvorſehens vnd ploͤtzlich/ wenn wir die wenigſten gedancken darauf haben/ der Todt mit ſeinen breiten fuͤſſen/ vnd ſcharffen pfeilen/ aufm Rantzenbogen/ geſchlichen kompt/ vnd ſcheuſt Todt die Menſchenkinder/ vmb der Suͤnde willen/ wie er ſie antrifft/ vnd der Gerechte GOtt/ nach ſeinem vntadelichen gericht/ jhm dieſelben in die Ordnung ſtellet.,bedencke herr wie kurtz mein leben iſt ꝛc vnd wo iſt ein menſch der da lebet vnd den todt nicht ſehe redet vnd klaget die chriſtliche kyrche weil ſie noch auf erden vnd im jammerthal ſchwebet da es nur alſo zugehet das vnvorſehens vnd ploͤtzlich wenn wir die wenigſten gedancken darauf haben der todt mit ſeinen breiten fuͤſſen vnd ſcharffen pfeilen aufm rantzenbogen geſchlichen kompt vnd ſcheuſt todt die menſchenkinder vmb der suͤnde willen wie er ſie antrifft vnd der gerechte gott nach ſeinem vntadelichen gericht jhm dieſelben in die ordnung ſtellet,bedencke herr wie kurtz mein leben ist c und wo ist ein mensch der da lebet und den todt nicht sehe redet und klaget die christliche kyrche weil sie noch auf erden und im iammerthal schwebet da es nur also zugehet das unuorsehens und plotzlich wenn wir die wenigsten gedancken darauf haben der todt mit seinen breiten fussen und scharffen pfeilen aufm rantzenbogen geschlichen kompt und scheust todt die menschenkinder umb der sunde willen wie er sie antrifft und der gerechte gott nach seinem untadelichen gericht ihm dieselben in die ordnung stellet
524965,body,5,0,True,[3],Da ſchonet er dann Niemandes/ er ſey Jung oder alt/ ſchoͤn oder vngeſtalt/ ſtarck oder ſchwach/ Reich oder arm/ Hoch oder Niedrig/ Geiſtlich oder Weltlich/ ſondern wetzt vnd ſetzt ſeine pfeile an alle Adams kinder/ das ſie dahin fallen wie graß/ vnd wie die blumen verwelcken.,da ſchonet er dann niemandes er ſey jung oder alt ſchoͤn oder vngeſtalt ſtarck oder ſchwach reich oder arm hoch oder niedrig geiſtlich oder weltlich ſondern wetzt vnd ſetzt ſeine pfeile an alle adams kinder das ſie dahin fallen wie graß vnd wie die blumen verwelcken,da schonet er dann niemandes er sey iung oder alt schon oder ungestalt starck oder schwach reich oder arm hoch oder niedrig geistlich oder weltlich sondern wetzt und setzt seine pfeile an alle adams kinder das sie dahin fallen wie grass und wie die blumen uerwelcken
524965,body,6,0,False,[3],Deſſen ſehen wir ſtetz viel Exempel fuͤr augen/ vnd giebts dieſe gegenwertige Chriſtliche Leich auch jtzo vns zu betrachten/ wie in der Welt nichts beſtaͤndiges/ vnnd das Leben der Menſchen nur ſehr gebrechlich/ vnd grawſam wegfluͤchtig iſt.,deſſen ſehen wir ſtetz viel exempel fuͤr augen vnd giebts dieſe gegenwertige chriſtliche leich auch jtzo vns zu betrachten wie in der welt nichts beſtaͤndiges vnnd das leben der menſchen nur ſehr gebrechlich vnd grawſam wegfluͤchtig iſt,dessen sehen wir stetz uiel exempel fur augen und giebts diese gegenwertige christliche leich auch itzo uns zu betrachten wie in der welt nichts bestandiges unnd das leben der menschen nur sehr gebrechlich und grawsam wegfluchtig ist
524965,body,6,1,False,[3],"Es iſt ja nicht viel uͤbers Jahr/ als ich eben von dieſer Cantzel/ gleich wie heute/ dieſer Kyrchen Pfarrern/ vnd der benachbarten Seniori, die Leichpredigt gethan/ da hette warlich/ ich/ vnd vielleicht kein Menſch/ ihme die gedancken gemacht/ das ich ſo bald dieſe Cantzel betreten/ vnd wiederumb dem New angezogenen Pfarrern vnd Seniori, zu ſeinem begraͤbnuͤß dieſe heutige Leichpredigt vorrichten ſolte/ wie ich denn in warheit dieſem fromen Manne/ vnd meinem geweſenem lieben Collegen, ſein leben hertzlich gerne laͤnger wolte gegoͤnnet haben: Aber vnſern gedancken vnd geſpannetem Tuch iſt viel abgegangen.",es iſt ja nicht viel uͤbers jahr als ich eben von dieſer cantzel gleich wie heute dieſer kyrchen pfarrern vnd der benachbarten seniori die leichpredigt gethan da hette warlich ich vnd vielleicht kein menſch ihme die gedancken gemacht das ich ſo bald dieſe cantzel betreten vnd wiederumb dem new angezogenen pfarrern vnd seniori zu ſeinem begraͤbnuͤß dieſe heutige leichpredigt vorrichten ſolte wie ich denn in warheit dieſem fromen manne vnd meinem geweſenem lieben collegen ſein leben hertzlich gerne laͤnger wolte gegoͤnnet haben aber vnſern gedancken vnd geſpannetem tuch iſt viel abgegangen,es ist ia nicht uiel ubers iahr als ich eben uon dieser cantzel gleich wie heute dieser kyrchen pfarrern und der benachbarten seniori die leichpredigt gethan da hette warlich ich und uielleicht kein mensch ihme die gedancken gemacht das ich so bald diese cantzel betreten und wiederumb dem new angezogenen pfarrern und seniori zu seinem begrabnuss diese heutige leichpredigt uorrichten solte wie ich denn in warheit diesem fromen manne und meinem gewesenem lieben collegen sein leben hertzlich gerne langer wolte gegonnet haben aber unsern gedancken und gespannetem tuch ist uiel abgegangen
524965,body,6,2,False,[4],Gott hats gar anders beſchloſſen/ wie wirs itzt im außgang mercken/ vnd augenſcheinlich ſehẽ/ das leider der grimmige Todt abermals den Leuchter dieſer Kyrchen vmbgefellet/ vñ den lehrer weggeriſſen/ die Cantzel zur waiſẽ/ vñ die verſamblung zur witwen gemacht hat.,gott hats gar anders beſchloſſen wie wirs itzt im außgang mercken vnd augenſcheinlich ſehẽ das leider der grimmige todt abermals den leuchter dieſer kyrchen vmbgefellet vñ den lehrer weggeriſſen die cantzel zur waiſẽ vñ die verſamblung zur witwen gemacht hat,gott hats gar anders beschlossen wie wirs itzt im aussgang mercken und augenscheinlich sehen das leider der grimmige todt abermals den leuchter dieser kyrchen umbgefellet und den lehrer weggerissen die cantzel zur waisen und die uersamblung zur witwen gemacht hat
524965,body,6,3,True,[4],Ach GOtt/ wie gar nichts ſind doch alle Menſchen/ bringen wir doch vnſere Jahre zu wie ein geſchwetz?,ach gott wie gar nichts ſind doch alle menſchen bringen wir doch vnſere jahre zu wie ein geſchwetz,ach gott wie gar nichts sind doch alle menschen bringen wir doch unsere iahre zu wie ein geschwetz
