doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
sattler_predigt_1617,head,0,0,True,1,Eine Predigt/gehalten bey der Begrebnus/ Des Weyland / Hochwürdigen / Durchleuchtigen/ Hochgebornen Fürsten vnd Herrn/ Herrn Julij Augusti/Hertzogen zu Braunschweig vnd Lüneburg/etc. Apten zu Michelnstein/ Thumbprobsten des Stiffts S. Blasij zu Braun schweig. Durch Basilium Sattler D. Hoffprediger zu Wolffenbüttel. Gedruckt zu Wulffenbüttel / durch Eliam Holwein / Fürstl. Braunsch. Buchdrucker vnd Formschn. Im Jahr 1617.,eine predigt gehalten bey der begrebnus des weyland hochwürdigen durchleuchtigen hochgebornen fürsten vnd herrn herrn julij augusti hertzogen zu braunschweig vnd lüneburg etc apten zu michelnstein thumbprobsten des stiffts s blasij zu braun schweig durch basilium sattler d hoffprediger zu wolffenbüttel gedruckt zu wulffenbüttel durch eliam holwein fürstl braunsch buchdrucker vnd formschn im jahr,eine predigt gehalten bey der begrebnus des weyland hochwurdigen durchleuchtigen hochgebornen fursten und herrn herrn iulii augusti hertzogen zu braunschweig und luneburg etc apten zu michelnstein thumbprobsten des stiffts s blasii zu braun schweig durch basilium sattler d hoffprediger zu wolffenbuttel gedruckt zu wulffenbuttel durch eliam holwein furstl braunsch buchdrucker und formschn im iahr
sattler_predigt_1617,head,1,0,True,3,Lucae am 10.,lucae am,lucae am
sattler_predigt_1617,body,2,0,False,3,JESVS wandte sich zu seinen Jüngern / vnd sprach zu ihnen in sonderheit: Seelig seind die Augen die da sehen / daß ihr sehet.,jesvs wandte sich zu seinen jüngern vnd sprach zu ihnen in sonderheit seelig seind die augen die da sehen daß ihr sehet,iesus wandte sich zu seinen iungern und sprach zu ihnen in sonderheit seelig seind die augen die da sehen dass ihr sehet
sattler_predigt_1617,body,2,1,True,3,Denn ich sage euch / viel Propheten vnd Könige wolten sehen / daß ihr sehet / vnnd habens nicht gesehen / vnnd hören / daß ihr höret / vnnd habens nicht gehöret.,denn ich sage euch viel propheten vnd könige wolten sehen daß ihr sehet vnnd habens nicht gesehen vnnd hören daß ihr höret vnnd habens nicht gehöret,denn ich sage euch uiel propheten und konige wolten sehen dass ihr sehet unnd habens nicht gesehen unnd horen dass ihr horet unnd habens nicht gehoret
sattler_predigt_1617,head,3,0,True,3,Außlegung.,außlegung,ausslegung
sattler_predigt_1617,body,4,0,False,3,GEliebte im HErrn Christo / es schreibet der Prediger Salomo am 7. Capittel / es ist besser in das Klaghauß gehen / denn in das Trinckcauß / es ist besser trawren / denn lachen.,geliebte im herrn christo es schreibet der prediger salomo am capittel es ist besser in das klaghauß gehen denn in das trinckcauß es ist besser trawren denn lachen,geliebte im herrn christo es schreibet der prediger salomo am capittel es ist besser in das klaghauss gehen denn in das trinckcauss es ist besser trawren denn lachen
sattler_predigt_1617,body,4,1,False,3,Solches klinget gar vngereumet / vnnd sertzam in den Ohren der Weltkinder.,solches klinget gar vngereumet vnnd sertzam in den ohren der weltkinder,solches klinget gar ungereumet unnd sertzam in den ohren der weltkinder
sattler_predigt_1617,body,4,2,False,3,Die sind gar einer andern meinung / vnd lassen sich bedüncken / es sey viel besser lustig sein vnd zun Hochzeiten / Gastereyen vnd auff die Trinckstuben / alß mit der Leich gehen.,die sind gar einer andern meinung vnd lassen sich bedüncken es sey viel besser lustig sein vnd zun hochzeiten gastereyen vnd auff die trinckstuben alß mit der leich gehen,die sind gar einer andern meinung und lassen sich beduncken es sey uiel besser lustig sein und zun hochzeiten gastereyen und auff die trinckstuben alss mit der leich gehen
sattler_predigt_1617,body,4,3,True,3,Denn der Kirchhoff vnd Grabstett sey ein melancholischer Ort / da Todten Bein liegen / vnd die Leute weinen vnd man gleich den Todt für sich sehe / da einem aller lust vnd frewde vergehet.,denn der kirchhoff vnd grabstett sey ein melancholischer ort da todten bein liegen vnd die leute weinen vnd man gleich den todt für sich sehe da einem aller lust vnd frewde vergehet,denn der kirchhoff und grabstett sey ein melancholischer ort da todten bein liegen und die leute weinen und man gleich den todt fur sich sehe da einem aller lust und frewde uergehet
sattler_predigt_1617,body,5,0,True,4,Aber der Prediger Solomo bringet dessen wichtige vrsachen.,aber der prediger solomo bringet dessen wichtige vrsachen,aber der prediger solomo bringet dessen wichtige ursachen
sattler_predigt_1617,body,6,0,False,4,Denn / in Jenem: spricht er / nemblich / im Klaghauß / ist das ende aller Menschen / vnd der Lebendige nimbts zu hertzen.,denn in jenem spricht er nemblich im klaghauß ist das ende aller menschen vnd der lebendige nimbts zu hertzen,denn in ienem spricht er nemblich im klaghauss ist das ende aller menschen und der lebendige nimbts zu hertzen
sattler_predigt_1617,body,6,1,False,4,Vñ / durch trawren wird das hertz gebessert.,vñ durch trawren wird das hertz gebessert,und durch trawren wird das hertz gebessert
sattler_predigt_1617,body,6,2,True,4,Denn gleich wie ein Mensch der jmmer zu Gast vnd zur Geselschafft gehet / vnd im Sause lebet / sicher vnd ruchloß wird / daß er seines endes / ja GOttes vnd seiner Seeligkeit vergisset / lebet / stirbt vnd fehret vbel.,denn gleich wie ein mensch der jmmer zu gast vnd zur geselschafft gehet vnd im sause lebet sicher vnd ruchloß wird daß er seines endes ja gottes vnd seiner seeligkeit vergisset lebet stirbt vnd fehret vbel,denn gleich wie ein mensch der immer zu gast und zur geselschafft gehet und im sause lebet sicher und ruchloss wird dass er seines endes ia gottes und seiner seeligkeit uergisset lebet stirbt und fehret ubel
