doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523530,head,0,0,True,[1],"QUOUSQUE DAVIDICUM: Das iſt/ Gottſelige Betrachtung vnd Erklaͤrung deß XIII. Pſal. Koͤnigs vnd Propheten Davids/ vorgetragen in der Pfarꝛkirchen zu Darmbſtatt/ den 10. Martij. Bey hochanſehnlicher/ Volckreicher vñ Chriſtlicher Begraͤbnuß/ weyland deß Geſtrengen/ Edlen vnd Veſten Reinhard Henrichs von Laerbach/ deß Durchleuchtigen Hochgebornen Fuͤrſten vnd Herꝛn/ Herꝛn Ludwigs Landgraven zu Heſſen/ Graven zu Catzenelnbogen/ Dietz/ Zigenhain vnd Nidda/ ꝛc. geheimbden Rath/ Hof Marſchaln vnd Amptmanns zu Ruͤſſelsheim/ Chriſtſeliger gedaͤchtnuß/ welcher den 26 Februarii dieſes Jahrs 1617. ſanfft vnd ſelig von dieſer Welt abgeſchieden. Vff Fuͤrſtlichen Befehl in Druck geben: Durch Johannem Vietorem, D. HofPredigern. Getruckt zu Darmbſtatt/ bey Balthaſar Hofmann.",quousque davidicum das iſt gottſelige betrachtung vnd erklaͤrung deß xiii pſal koͤnigs vnd propheten davids vorgetragen in der pfarꝛkirchen zu darmbſtatt den martij bey hochanſehnlicher volckreicher vñ chriſtlicher begraͤbnuß weyland deß geſtrengen edlen vnd veſten reinhard henrichs von laerbach deß durchleuchtigen hochgebornen fuͤrſten vnd herꝛn herꝛn ludwigs landgraven zu heſſen graven zu catzenelnbogen dietz zigenhain vnd nidda ꝛc geheimbden rath hof marſchaln vnd amptmanns zu ruͤſſelsheim chriſtſeliger gedaͤchtnuß welcher den februarii dieſes jahrs ſanfft vnd ſelig von dieſer welt abgeſchieden vff fuͤrſtlichen befehl in druck geben durch johannem vietorem d hofpredigern getruckt zu darmbſtatt bey balthaſar hofmann,quousque dauidicum das ist gottselige betrachtung und erklarung dess xiii psal konigs und propheten dauids uorgetragen in der pfarkirchen zu darmbstatt den martii bey hochansehnlicher uolckreicher und christlicher begrabnuss weyland dess gestrengen edlen und uesten reinhard henrichs uon laerbach dess durchleuchtigen hochgebornen fursten und hern hern ludwigs landgrauen zu hessen grauen zu catzenelnbogen dietz zigenhain und nidda c geheimbden rath hof marschaln und amptmanns zu russelsheim christseliger gedachtnuss welcher den februarii dieses iahrs sanfft und selig uon dieser welt abgeschieden uff furstlichen befehl in druck geben durch iohannem uietorem d hofpredigern getruckt zu darmbstatt bey balthasar hofmann
523530,head,1,0,True,3,Eingang zur Predigt.,eingang zur predigt,eingang zur predigt
523530,item,2,0,True,3,Die Gnade Gottes/ der Fried Jeſu Chriſti/ vnd die troſtreiche Gemeinſchafft deß H. Geiſtes ſey mit vns jetzt vnd zu allen zeiten/ Amen.,die gnade gottes der fried jeſu chriſti vnd die troſtreiche gemeinſchafft deß h geiſtes ſey mit vns jetzt vnd zu allen zeiten amen,die gnade gottes der fried iesu christi und die trostreiche gemeinschafft dess h geistes sey mit uns ietzt und zu allen zeiten amen
523530,body,3,0,False,3,GEliebte vnd Andaͤchtige in dem Herrn Chriſto/ Wir ſind jetzunder nach dem allein weiſen Rath vnd willen Gottes/ im Klag- vnd Trawerhauß zuſam̃en kommen/ vnd haben aber einmal von Hof auß/ in einer zwar Volckreichen aber ſehr betruͤbten trawrigen Proceſſion biß anhero zu ſeinem Ruhebettlein begleitet/ weyland den Geſtrengen/ Edlen vñ Veſten Reinhard Henrichen von Laerbach/ deß Durchleuchtigen Hochgebornen Fuͤrſten vnnd Herꝛn/ Herꝛn Ludwigs Landgraffen zu Heſſen/ Graven zu Catzenelnbogen/ Dietz/ Zigenhain vnd Nidda/ ꝛc. vnſers gnaͤdigen Fuͤrſten vnd Herꝛns vornehmen geheimbden Rath/ Hofmarſchaln vnd Amptmann zu Ruͤſſelsheim/ Chriſtſeliger gedaͤchtnuß.,geliebte vnd andaͤchtige in dem herrn chriſto wir ſind jetzunder nach dem allein weiſen rath vnd willen gottes im klag vnd trawerhauß zuſam̃en kommen vnd haben aber einmal von hof auß in einer zwar volckreichen aber ſehr betruͤbten trawrigen proceſſion biß anhero zu ſeinem ruhebettlein begleitet weyland den geſtrengen edlen vñ veſten reinhard henrichen von laerbach deß durchleuchtigen hochgebornen fuͤrſten vnnd herꝛn herꝛn ludwigs landgraffen zu heſſen graven zu catzenelnbogen dietz zigenhain vnd nidda ꝛc vnſers gnaͤdigen fuͤrſten vnd herꝛns vornehmen geheimbden rath hofmarſchaln vnd amptmann zu ruͤſſelsheim chriſtſeliger gedaͤchtnuß,geliebte und andachtige in dem herrn christo wir sind ietzunder nach dem allein weisen rath und willen gottes im klag und trawerhauss zusammen kommen und haben aber einmal uon hof auss in einer zwar uolckreichen aber sehr betrubten trawrigen procession biss anhero zu seinem ruhebettlein begleitet weyland den gestrengen edlen und uesten reinhard henrichen uon laerbach dess durchleuchtigen hochgebornen fursten unnd hern hern ludwigs landgraffen zu hessen grauen zu catzenelnbogen dietz zigenhain und nidda c unsers gnadigen fursten und herns uornehmen geheimbden rath hofmarschaln und amptmann zu russelsheim christseliger gedachtnuss
523530,body,3,1,False,3,Woͤllen bey ſo betruͤbtem Zuſtand vnd letzter Ehr/ die wir jhm auß Chriſtſchuldiger vnd williger Affection erzeiget/ beyd das ſeligmachende Wort Gottes mit einander anhoͤren/ vnd dann auch von ſeinem ſeligen Abſchied/ weil je deß Gerechten nicht ſoll vergeſſen werden/ ein etwas reden vnd fuͤrtragen.,woͤllen bey ſo betruͤbtem zuſtand vnd letzter ehr die wir jhm auß chriſtſchuldiger vnd williger affection erzeiget beyd das ſeligmachende wort gottes mit einander anhoͤren vnd dann auch von ſeinem ſeligen abſchied weil je deß gerechten nicht ſoll vergeſſen werden ein etwas reden vnd fuͤrtragen,wollen bey so betrubtem zustand und letzter ehr die wir ihm auss christschuldiger und williger affection erzeiget beyd das seligmachende wort gottes mit einander anhoren und dann auch uon seinem seligen abschied weil ie dess gerechten nicht soll uergessen werden ein etwas reden und furtragen
523530,body,3,2,True,3,Daſſelbige aber damit es alſo verrichtet werden moͤge/ daß es gereiche zuforderſt Gott zu ehren/ zu außbreitung ſeiner lieben Kirchen vnnd Gemein/ zu ſtaͤrckung vnſers ſchwachen Glaubens/ zu troſt vnd vnterricht alien betruͤbten vnd trawrigen/ vnd dann auch zu vnſerer aller Seelen Heyl vud Seligkeit/ wirdt ſich euwer Chriſtliche Lieb mit mir vnter die gewaltige Hand Gottes zu demuͤtigen wiſſen/ vnd von Hertzen beten helffen das jenige Gebett welches Chriſtus ſelbſt gelehret hat/ vngezweiffelter hoffnung/ er werde vns ſeiner Zuſag nach/ gnaͤdiglich erhoͤren/ Sprecht derhalben Vatter vnſer/ ꝛc.,daſſelbige aber damit es alſo verrichtet werden moͤge daß es gereiche zuforderſt gott zu ehren zu außbreitung ſeiner lieben kirchen vnnd gemein zu ſtaͤrckung vnſers ſchwachen glaubens zu troſt vnd vnterricht alien betruͤbten vnd trawrigen vnd dann auch zu vnſerer aller seelen heyl vud seligkeit wirdt ſich euwer chriſtliche lieb mit mir vnter die gewaltige hand gottes zu demuͤtigen wiſſen vnd von hertzen beten helffen das jenige gebett welches chriſtus ſelbſt gelehret hat vngezweiffelter hoffnung er werde vns ſeiner zuſag nach gnaͤdiglich erhoͤren sprecht derhalben vatter vnſer ꝛc,dasselbige aber damit es also uerrichtet werden moge dass es gereiche zuforderst gott zu ehren zu aussbreitung seiner lieben kirchen unnd gemein zu starckung unsers schwachen glaubens zu trost und unterricht alien betrubten und trawrigen und dann auch zu unserer aller seelen heyl uud seligkeit wirdt sich euwer christliche lieb mit mir unter die gewaltige hand gottes zu demutigen wissen und uon hertzen beten helffen das ienige gebett welches christus selbst gelehret hat ungezweiffelter hoffnung er werde uns seiner zusag nach gnadiglich erhoren sprecht derhalben uatter unser c
523530,head,4,0,True,4,Textus,textus,textus
523530,body,5,0,False,4,HErr wie lang wiltu mein ſo gar vergeſſen?,herr wie lang wiltu mein ſo gar vergeſſen,herr wie lang wiltu mein so gar uergessen
523530,body,5,1,True,4,Wie lang verbirgeſt du dein Antlitz fuͤr mir?,wie lang verbirgeſt du dein antlitz fuͤr mir,wie lang uerbirgest du dein antlitz fur mir
523530,body,6,0,True,4,Wie lang ſol ich ſorgen in meiner Seele/ vnd mich aͤngſten in meinem Hertzen taͤglich?,wie lang ſol ich ſorgen in meiner seele vnd mich aͤngſten in meinem hertzen taͤglich,wie lang sol ich sorgen in meiner seele und mich angsten in meinem hertzen taglich
