doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523615,body,0,0,True,[1],Chriſtlicher Leich Sermon Bey dem Begraͤbnuß Der EhrenTugentſamen vnnd Gottſeligen Frawen Dorotheæ Reinhardin/ ſeeligen Gedaͤchtnuß/ ſo den 5. Auguſti zu Grunberg in Chriſto ſelig entſchlaffen/ vnd den 7. ſelbigen Monats im Jahr 1617. daſelbſt Chriſtlich vnd Ehrlich in der Kirchen zu S. Pauln zur Erden beſtattet worden. Gehalten vnnd auff Begehren in Truck gegeben. Durch M. Hartman. Braun Pharherꝛn daſelbſten. Gedruckt zu Gieſſen bey Caſpar Chemlin Anno 1618.,chriſtlicher leich sermon bey dem begraͤbnuß der ehrentugentſamen vnnd gottſeligen frawen dorotheæ reinhardin ſeeligen gedaͤchtnuß ſo den auguſti zu grunberg in chriſto ſelig entſchlaffen vnd den ſelbigen monats im jahr daſelbſt chriſtlich vnd ehrlich in der kirchen zu s pauln zur erden beſtattet worden gehalten vnnd auff begehren in truck gegeben durch m hartman braun pharherꝛn daſelbſten gedruckt zu gieſſen bey caſpar chemlin anno,christlicher leich sermon bey dem begrabnuss der ehrentugentsamen unnd gottseligen frawen dorotheae reinhardin seeligen gedachtnuss so den augusti zu grunberg in christo selig entschlaffen und den selbigen monats im iahr daselbst christlich und ehrlich in der kirchen zu s pauln zur erden bestattet worden gehalten unnd auff begehren in truck gegeben durch m hartman braun pharhern daselbsten gedruckt zu giessen bey caspar chemlin anno
523615,body,1,0,False,[2],Der Seligen verſtorbenen/ vnd nun im Fried ruhenden Frawen Dorotheen Reinhardin/ hinderlaſſenen Soͤhnen/ Ehemannen/ Bruͤdern vnd Schweſter Mannen/ R. & Clariſs.,der seligen verſtorbenen vnd nun im fried ruhenden frawen dorotheen reinhardin hinderlaſſenen soͤhnen ehemannen bruͤdern vnd schweſter mannen r & clariſs,der seligen uerstorbenen und nun im fried ruhenden frawen dorotheen reinhardin hinderlassenen sohnen ehemannen brudern und schwester mannen r et clariss
523615,body,1,1,False,[2],Dn. Doct.,dn doct,dn doct
523615,body,1,2,False,[2],"Henrico Eckardten, Fil.",henrico eckardten fil,henrico eckardten fil
523615,body,1,3,False,[2],"Dn. Danieli Eckardten, Fil.",dn danieli eckardten fil,dn danieli eckardten fil
523615,body,1,4,False,[2],Dn. Johanni Schnabeln hinderlaſſenen Eheman/ vnnd Witwen.,dn johanni schnabeln hinderlaſſenen eheman vnnd witwen,dn iohanni schnabeln hinderlassenen eheman unnd witwen
523615,body,1,5,False,[2],Dn. Caſparo Reinhardo frat. Not. pub.,dn caſparo reinhardo frat not pub,dn casparo reinhardo frat not pub
523615,body,1,6,False,[2],& Senat.,& senat,et senat
523615,body,1,7,True,[2],Dn. Petro Semlern/ Rhatsherꝛn/ Schweſter Mann.,dn petro semlern rhatsherꝛn schweſter mann,dn petro semlern rhatshern schwester mann
523615,body,2,0,True,[2],Samptlich vnd ſonderlichen wuͤnſchet Hartmann Braun Pharherꝛ in Grunberg/ Gottes Gnad/ Troſt vnd Reichen Segen zu zeitlicher vnd ewiger Wolfahrt.,samptlich vnd ſonderlichen wuͤnſchet hartmann braun pharherꝛ in grunberg gottes gnad troſt vnd reichen segen zu zeitlicher vnd ewiger wolfahrt,samptlich und sonderlichen wunschet hartmann braun pharher in grunberg gottes gnad trost und reichen segen zu zeitlicher und ewiger wolfahrt
523615,body,3,0,True,[3],Die Wort ſo wir zu dieſem mal bey dieſer Chriſtlichen Leich in der Furcht deß HErren anhoͤren/ behertzigen vnd betrachten wollen/ werden vns beſchrieben in der Offenbahrung S. Johannis am 14. Capitel vnnd lauten in vnſer Sprachen alſo:,die wort ſo wir zu dieſem mal bey dieſer chriſtlichen leich in der furcht deß herren anhoͤren behertzigen vnd betrachten wollen werden vns beſchrieben in der offenbahrung s johannis am capitel vnnd lauten in vnſer sprachen alſo,die wort so wir zu diesem mal bey dieser christlichen leich in der furcht dess herren anhoren behertzigen und betrachten wollen werden uns beschrieben in der offenbahrung s iohannis am capitel unnd lauten in unser sprachen also
523615,head,4,0,True,[3],Eingang.,eingang,eingang
523615,body,5,0,False,[3],WJr ſind jetzunder/ Ihr Geliebte vñ Außerwehlte in CHriſto dem HErꝛn in der Ernden Zeit/ darinnen man ſich frewet/ Eſaiæ 7. verſ. 3. Jauchtzet vnd ſinget/ Pſal. 65. verſ. 14. vnd da ſchon etliche Fromme vnnd Gottsfoͤrchtige Chriſten in der Erndte Zeit vrſache haben zu trawren/ in dem jhnen der liebe Gott einen Scheidebrieff ins Hauß ſchicket vnd mit jhnen theilet/ nimmet jhnen durch den zeitlichen Todt die liebſten an der Seiten hin weg/ vnd rucket ſie jhnen auß den Augen/ wie Judith die fromme Matron vnnd Jſraels Kron in der Erndte Zeit vrſach bekommen zutrawren vnd zuweinen/ in dem jhr Gott der HErꝛ/ der die Menſchen ſterben leſſet/ Pſal. 90. verſ. 4. jhren Mañ den Manaſſen in der Gerſten Erndte hat laſſen ſterben/ Judith cap. 8. verſ. 2. vnnd auch in dieſer Stunde fromme Gottsfoͤrchtige ehrliche Leute/ vnnd deren liebe Kinder mit maſſen Augen vnnd verhuͤlletem Angeſicht im Klage Hauß allhier ſtehen/ in deme der liebe fromme getrewe Gott/ mit vns in vnſer Chriſtlichen gemeine getheilet/ vñ eine Fromme vnnd Gottsfoͤrchtige Kinder Mutter vnnd Haußzierde/ vnd Mannes Krone/ durch den Zeitlichen Todt abgefordert/ deren hinderlaſſenen Leichnam wir zu dieſem mal Chriſtlich vnnd Ehrlich zu ſeinem Ruhbetlein bekleidet.,wjr ſind jetzunder ihr geliebte vñ außerwehlte in chriſto dem herꝛn in der ernden zeit darinnen man ſich frewet eſaiæ verſ jauchtzet vnd ſinget pſal verſ vnd da ſchon etliche fromme vnnd gottsfoͤrchtige chriſten in der erndte zeit vrſache haben zu trawren in dem jhnen der liebe gott einen scheidebrieff ins hauß ſchicket vnd mit jhnen theilet nimmet jhnen durch den zeitlichen todt die liebſten an der seiten hin weg vnd rucket ſie jhnen auß den augen wie judith die fromme matron vnnd jſraels kron in der erndte zeit vrſach bekommen zutrawren vnd zuweinen in dem jhr gott der herꝛ der die menſchen ſterben leſſet pſal verſ jhren mañ den manaſſen in der gerſten erndte hat laſſen ſterben judith cap verſ vnnd auch in dieſer stunde fromme gottsfoͤrchtige ehrliche leute vnnd deren liebe kinder mit maſſen augen vnnd verhuͤlletem angeſicht im klage hauß allhier ſtehen in deme der liebe fromme getrewe gott mit vns in vnſer chriſtlichen gemeine getheilet vñ eine fromme vnnd gottsfoͤrchtige kinder mutter vnnd haußzierde vnd mannes krone durch den zeitlichen todt abgefordert deren hinderlaſſenen leichnam wir zu dieſem mal chriſtlich vnnd ehrlich zu ſeinem ruhbetlein bekleidet,wir sind ietzunder ihr geliebte und ausserwehlte in christo dem hern in der ernden zeit darinnen man sich frewet esaiae uers iauchtzet und singet psal uers und da schon etliche fromme unnd gottsforchtige christen in der erndte zeit ursache haben zu trawren in dem ihnen der liebe gott einen scheidebrieff ins hauss schicket und mit ihnen theilet nimmet ihnen durch den zeitlichen todt die liebsten an der seiten hin weg und rucket sie ihnen auss den augen wie iudith die fromme matron unnd israels kron in der erndte zeit ursach bekommen zutrawren und zuweinen in dem ihr gott der her der die menschen sterben lesset psal uers ihren mann den manassen in der gersten erndte hat lassen sterben iudith cap uers unnd auch in dieser stunde fromme gottsforchtige ehrliche leute unnd deren liebe kinder mit massen augen unnd uerhulletem angesicht im klage hauss allhier stehen in deme der liebe fromme getrewe gott mit uns in unser christlichen gemeine getheilet und eine fromme unnd gottsforchtige kinder mutter unnd hausszierde und mannes krone durch den zeitlichen todt abgefordert deren hinderlassenen leichnam wir zu diesem mal christlich unnd ehrlich zu seinem ruhbetlein bekleidet
523615,body,5,1,False,[4],Ach/ ſo frewen ſie ſich doch/ ſie frewen ſich in GOTT dem Herrn/ vnd wiſſen ſich in GOtt dem HErꝛn zu frewen allezeit/ in Lieb vnnd im Leid/ nach der Apoſtoliſchen Vermahnung.,ach ſo frewen ſie ſich doch ſie frewen ſich in gott dem herrn vnd wiſſen ſich in gott dem herꝛn zu frewen allezeit in lieb vnnd im leid nach der apoſtoliſchen vermahnung,ach so frewen sie sich doch sie frewen sich in gott dem herrn und wissen sich in gott dem hern zu frewen allezeit in lieb unnd im leid nach der apostolischen uermahnung
523615,body,5,2,True,[4],Frewet euch in dem HErꝛn allwege/ ſie frewen ſich auff die groſſe Erndte/ die Chriſtus JEſus halten wird an dem lieben Juͤngſten Tage/ da die Außerwehlten/ als die Edle/ reine vnd feine Weitzen Koͤrnlein in die Himliſche Schewer deß ewigen Lebens/ durch die Himliſche Schnitter/ die liebe heylige Engelein vnnd Frongeiſterlein ſollen eingeſamlet werden/ wann dargegen die Gottloſen vnd Vngleubigen/ als Stroh vnd Stoppeln zuſammen gebunden/ in den Helliſchen Feweroffen ſollen geworffen werden.,frewet euch in dem herꝛn allwege ſie frewen ſich auff die groſſe erndte die chriſtus jeſus halten wird an dem lieben juͤngſten tage da die außerwehlten als die edle reine vnd feine weitzen koͤrnlein in die himliſche schewer deß ewigen lebens durch die himliſche schnitter die liebe heylige engelein vnnd frongeiſterlein ſollen eingeſamlet werden wann dargegen die gottloſen vnd vngleubigen als stroh vnd stoppeln zuſammen gebunden in den helliſchen feweroffen ſollen geworffen werden,frewet euch in dem hern allwege sie frewen sich auff die grosse erndte die christus iesus halten wird an dem lieben iungsten tage da die ausserwehlten als die edle reine und feine weitzen kornlein in die himlische schewer dess ewigen lebens durch die himlische schnitter die liebe heylige engelein unnd frongeisterlein sollen eingesamlet werden wann dargegen die gottlosen und ungleubigen als stroh und stoppeln zusammen gebunden in den hellischen feweroffen sollen geworffen werden
523615,body,6,0,True,[5],Dieſer groſſen Erndte wird gedacht in vorgeleſenen Worten/ welche wir zu dieſem mal der in Chriſto verſtorbenen Mitſchweſtern zu letzter Ehr/ vns vbrigen aber zu Lehr/ Troſt vnd Vermahnung/ in der Furcht deß HErꝛen behertzigen vnnd betrachten wollen/ darzu vns auff allen Seiten der HErꝛ der Erndte/ CHriſtus JEſus/ Gnade vnnd deß H. Geiſtes Gabe/ vmb ſeines Namens willen/ verleihen vnd geben wolle/ Amen.,dieſer groſſen erndte wird gedacht in vorgeleſenen worten welche wir zu dieſem mal der in chriſto verſtorbenen mitſchweſtern zu letzter ehr vns vbrigen aber zu lehr troſt vnd vermahnung in der furcht deß herꝛen behertzigen vnnd betrachten wollen darzu vns auff allen seiten der herꝛ der erndte chriſtus jeſus gnade vnnd deß h geiſtes gabe vmb ſeines namens willen verleihen vnd geben wolle amen,dieser grossen erndte wird gedacht in uorgelesenen worten welche wir zu diesem mal der in christo uerstorbenen mitschwestern zu letzter ehr uns ubrigen aber zu lehr trost und uermahnung in der furcht dess heren behertzigen unnd betrachten wollen darzu uns auff allen seiten der her der erndte christus iesus gnade unnd dess h geistes gabe umb seines namens willen uerleihen und geben wolle amen
523615,head,7,0,True,[5],Erklaͤrung.,erklaͤrung,erklarung
523615,body,8,0,False,[5],DJe Erklaͤrung der Worten belangendt/ Jhr Geliebte im HErꝛn Chriſto/ ſo ſpricht Johannes der Theologus alſo: Vnnd ich ſahe/ will ſagen/ Jch Johannes ein Knecht deß HErꝛen JEſu CHriſti/ ſahe im Geiſt geoffenbahret/ vnnd ſiehe/ O du Frommer Chriſt/ ſiehe du es auch/ ſiehe es mit den Augen deß Hertzens/ eine weiſſe Wolcke/ vnd auff der Wolcken ſitzen einen/ der gleich war eines Menſchen Sohn/ der hatte eine guͤldene Kron auff ſeinem Haupt/ vñ in ſeiner Hand eine ſcharpffe. Sichel.,dje erklaͤrung der worten belangendt jhr geliebte im herꝛn chriſto ſo ſpricht johannes der theologus alſo vnnd ich ſahe will ſagen jch johannes ein knecht deß herꝛen jeſu chriſti ſahe im geiſt geoffenbahret vnnd ſiehe o du frommer chriſt ſiehe du es auch ſiehe es mit den augen deß hertzens eine weiſſe wolcke vnd auff der wolcken ſitzen einen der gleich war eines menſchen sohn der hatte eine guͤldene kron auff ſeinem haupt vñ in ſeiner hand eine ſcharpffe sichel,die erklarung der worten belangendt ihr geliebte im hern christo so spricht iohannes der theologus also unnd ich sahe will sagen ich iohannes ein knecht dess heren iesu christi sahe im geist geoffenbahret unnd siehe o du frommer christ siehe du es auch siehe es mit den augen dess hertzens eine weisse wolcke und auff der wolcken sitzen einen der gleich war eines menschen sohn der hatte eine guldene kron auff seinem haupt und in seiner hand eine scharpffe sichel
