doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523607,body,0,0,True,[1],SCIPIO DAVIDIS. Geiſtliches Stoͤggelgeſchlecht. Leich: Ehr/ vnd gedechtniß Predigt Auß den worten des 23. Pſalms/ ꝟ. 4. Dein Stecken/ vnd Stab troͤſten mich. Angeſtellet/ vnd gehalten/ bey dem Chriſtlichen Volckreichen Begraͤbniß/ vnd Leichbegengniß/ deß Weylandt Ehrenveſten/ vnd wolbenambten/ auch Achtbaren/ vnd wolgelarten Herrn HELISÆI Stoͤggels Vornehmen Buͤrgers/ vnd getrew-fleiſſigen wolverdienten Apoteckers zu Glatz/ welcher an S. Jacobi Tag/ war der 25. Julij. ☿ auffn abend zwiſchen 9. vnd 10. der halben Vhr/ aldar ſeliglichen im Herren verſchieden/ vnd den 2. Aug: dieſes 1618. Jahres/ dem Coͤrper nach/ Ehrlicher vnd Chriſtlicher weiſe/ in die Pfarrkirchen iſt zur Erden beſtattet worden. Seines alters 70. Jahr. 6. wochen/ 1. Tag vnd 6. Stunden. Durch M. MATTHIAM KHEIL Franckenſtein. Der Evangeliſchen/ durch Chriſti Blut gar thewer erkaufften Gemein zu Glatz Pfarrern. ❡ Gedruckt zu Prag/ bey Paul Seſſen/ Anno 1618.,scipio davidis geiſtliches stoͤggelgeſchlecht leich ehr vnd gedechtniß predigt auß den worten des pſalms ꝟ dein stecken vnd stab troͤſten mich angeſtellet vnd gehalten bey dem chriſtlichen volckreichen begraͤbniß vnd leichbegengniß deß weylandt ehrenveſten vnd wolbenambten auch achtbaren vnd wolgelarten herrn helisæi stoͤggels vornehmen buͤrgers vnd getrewfleiſſigen wolverdienten apoteckers zu glatz welcher an s jacobi tag war der julij auffn abend zwiſchen vnd der halben vhr aldar ſeliglichen im herren verſchieden vnd den aug dieſes jahres dem coͤrper nach ehrlicher vnd chriſtlicher weiſe in die pfarrkirchen iſt zur erden beſtattet worden seines alters jahr wochen tag vnd stunden durch m matthiam kheil franckenſtein der evangeliſchen durch chriſti blut gar thewer erkaufften gemein zu glatz pfarrern gedruckt zu prag bey paul seſſen anno,scipio dauidis geistliches stoggelgeschlecht leich ehr und gedechtniss predigt auss den worten des psalms dein stecken und stab trosten mich angestellet und gehalten bey dem christlichen uolckreichen begrabniss und leichbegengniss dess weylandt ehrenuesten und wolbenambten auch achtbaren und wolgelarten herrn helisaei stoggels uornehmen burgers und getrewfleissigen woluerdienten apoteckers zu glatz welcher an s iacobi tag war der iulii auffn abend zwischen und der halben uhr aldar seliglichen im herren uerschieden und den aug dieses iahres dem corper nach ehrlicher und christlicher weise in die pfarrkirchen ist zur erden bestattet worden seines alters iahr wochen tag und stunden durch m matthiam kheil franckenstein der euangelischen durch christi blut gar thewer erkaufften gemein zu glatz pfarrern gedruckt zu prag bey paul sessen anno
523607,body,1,0,True,[2],WVnſche ich von GOtt/ gnade/ vnd beſtaͤndigen Hertz erquickenden Troſt durch Chriſtum vnſern Groß Fuͤrſten Michaelem/ in krafft des H. Geiſtes jtzt vnd am Seligen Lebens ende/ Amen.,wvnſche ich von gott gnade vnd beſtaͤndigen hertz erquickenden troſt durch chriſtum vnſern groß fuͤrſten michaelem in krafft des h geiſtes jtzt vnd am seligen lebens ende amen,wunsche ich uon gott gnade und bestandigen hertz erquickenden trost durch christum unsern gross fursten michaelem in krafft des h geistes itzt und am seligen lebens ende amen
523607,body,2,0,False,[2],Vnnd vbergebe Euch hiemit auff begeren/ die bey Ewers vielgeliebten/ nun in GOtt ſeligen Herren/ vnd Herren Vatters begraͤbniß/ gehaltene Leichpredigt/ Jhme/ vnd Euch zuehren/ vnd dann auch zu gutem gedechtniß/ vnd ſchuldiger danckbarkeit derer von Jhme/ gegen mir/ vnd den meinen erzeigeten Wolthaten; mit hertzlichem Wunſch vnd Gebet/ daß der fromme liebe GOtt/ mit dem Geiſtlichen Troſt Stecken/ vnd Stab ſeines ſeligmachenden Worts/ Euch in ewrem betruͤbniß ferner troͤſten/ vnd nach anweiſung dieſer Leichſermon/ vns zu ſeiner jhm wolgefaͤlligen/ vnd vns allerſeits ſeligen zeit/ vnd ſtunde/ als ſeine gleubige/ durch Chriſti vnſers allergetreweſten Seelenhirtens/ Roſinfarbes Blut bezeichnete Liebe außerwelte Schaͤfflin/ auß dem Noht/ vnd Angſtall dieſes elenden muͤhſeligen Lebens leiten/ verſetzen/ vnd einfuͤhren wolle in dem Himliſchen Schaffſtall/ vnd frewden Saal deß ewigen Lebens/ Amen: Das helff vns Chriſtus/ Amen.,vnnd vbergebe euch hiemit auff begeren die bey ewers vielgeliebten nun in gott ſeligen herren vnd herren vatters begraͤbniß gehaltene leichpredigt jhme vnd euch zuehren vnd dann auch zu gutem gedechtniß vnd ſchuldiger danckbarkeit derer von jhme gegen mir vnd den meinen erzeigeten wolthaten mit hertzlichem wunſch vnd gebet daß der fromme liebe gott mit dem geiſtlichen troſt stecken vnd stab ſeines ſeligmachenden worts euch in ewrem betruͤbniß ferner troͤſten vnd nach anweiſung dieſer leichſermon vns zu ſeiner jhm wolgefaͤlligen vnd vns allerſeits ſeligen zeit vnd ſtunde als ſeine gleubige durch chriſti vnſers allergetreweſten seelenhirtens roſinfarbes blut bezeichnete liebe außerwelte schaͤfflin auß dem noht vnd angſtall dieſes elenden muͤhſeligen lebens leiten verſetzen vnd einfuͤhren wolle in dem himliſchen schaffſtall vnd frewden saal deß ewigen lebens amen das helff vns chriſtus amen,unnd ubergebe euch hiemit auff begeren die bey ewers uielgeliebten nun in gott seligen herren und herren uatters begrabniss gehaltene leichpredigt ihme und euch zuehren und dann auch zu gutem gedechtniss und schuldiger danckbarkeit derer uon ihme gegen mir und den meinen erzeigeten wolthaten mit hertzlichem wunsch und gebet dass der fromme liebe gott mit dem geistlichen trost stecken und stab seines seligmachenden worts euch in ewrem betrubniss ferner trosten und nach anweisung dieser leichsermon uns zu seiner ihm wolgefalligen und uns allerseits seligen zeit und stunde als seine gleubige durch christi unsers allergetrewesten seelenhirtens rosinfarbes blut bezeichnete liebe ausserwelte schafflin auss dem noht und angstall dieses elenden muhseligen lebens leiten uersetzen und einfuhren wolle in dem himlischen schaffstall und frewden saal dess ewigen lebens amen das helff uns christus amen
523607,body,2,1,True,[3],Datum am Tag deß H. Ertzengels Michaelis deme/ vnd ſeinem gnaͤdigen ſchutz/ vnd ſtarcken ob acht/ zu dieſer bekuͤmmerlichen zeit vns trewlich empfelende/ mit bitt/ den vnverhofften verzug im vmbſchreiben/ im beſten zuvermercken/ vnd ſolchen nicht allein der groſſen vnmuß/ vnd vngelegenheit der zeit/ ſonderen auch meinem/ vnd der meinen/ heiligem/ vnd heilſamen lieben Haußcreutz zuzuſchreiben/ Anno 1618.,datum am tag deß h ertzengels michaelis deme vnd ſeinem gnaͤdigen ſchutz vnd ſtarcken ob acht zu dieſer bekuͤmmerlichen zeit vns trewlich empfelende mit bitt den vnverhofften verzug im vmbſchreiben im beſten zuvermercken vnd ſolchen nicht allein der groſſen vnmuß vnd vngelegenheit der zeit ſonderen auch meinem vnd der meinen heiligem vnd heilſamen lieben haußcreutz zuzuſchreiben anno,datum am tag dess h ertzengels michaelis deme und seinem gnadigen schutz und starcken ob acht zu dieser bekummerlichen zeit uns trewlich empfelende mit bitt den unuerhofften uerzug im umbschreiben im besten zuuermercken und solchen nicht allein der grossen unmuss und ungelegenheit der zeit sonderen auch meinem und der meinen heiligem und heilsamen lieben hausscreutz zuzuschreiben anno
523607,body,3,0,True,[3],M. Matthias Kheil Pfarrer.,m matthias kheil pfarrer,m matthias kheil pfarrer
523607,head,4,0,False,[4],EXORDIUM,exordium,exordium
523607,body,4,1,True,[4],GENERALE. Eingang der Leichpredigt.,generale eingang der leichpredigt,generale eingang der leichpredigt
523607,body,5,0,True,[4],DEr Vater aller gnaden/ Barmhertzigkeit/ vnd Troſts/ welcher in ſeinen Haͤnden hat Tod vnd Leben/ Leſt die Menſchen ſterben/ vnd ſpricht: Kom̃et wieder Menſchen Kinder/ ſey mit kegenwertigen/ theils auch abweſenden Leidtragenden hochbtruͤbten Hertzen/ Welchen wir jhren lieben Ohem/ Vetter/ groß Vater/ Herrn/ vnd freundt/ auch vornehmen wolverdienten Kirchen/ Schul/ vnd Hoſpital freundt zur Erden beſtatten/ vnd erfuͤlle in jhnen daß kraͤfftige Troſtwort ſeines Sohnes/ da er ſaget: Selig ſind die da Leidt tragen/ den ſie ſollen getroͤſtet werden/ vnd mit vns allen/ AMEN.,der vater aller gnaden barmhertzigkeit vnd troſts welcher in ſeinen haͤnden hat tod vnd leben leſt die menſchen ſterben vnd ſpricht kom̃et wieder menſchen kinder ſey mit kegenwertigen theils auch abweſenden leidtragenden hochbtruͤbten hertzen welchen wir jhren lieben ohem vetter groß vater herrn vnd freundt auch vornehmen wolverdienten kirchen schul vnd hoſpital freundt zur erden beſtatten vnd erfuͤlle in jhnen daß kraͤfftige troſtwort ſeines sohnes da er ſaget selig ſind die da leidt tragen den ſie ſollen getroͤſtet werden vnd mit vns allen amen,der uater aller gnaden barmhertzigkeit und trosts welcher in seinen handen hat tod und leben lest die menschen sterben und spricht kommet wieder menschen kinder sey mit kegenwertigen theils auch abwesenden leidtragenden hochbtrubten hertzen welchen wir ihren lieben ohem uetter gross uater herrn und freundt auch uornehmen woluerdienten kirchen schul und hospital freundt zur erden bestatten und erfulle in ihnen dass krafftige trostwort seines sohnes da er saget selig sind die da leidt tragen den sie sollen getrostet werden und mit uns allen amen
523607,body,6,0,False,[4],GEliebte/ vnd allerſeits hochbetruͤbte/ andechtige/ vnd außerwelte in Chriſto denn HErren.,geliebte vnd allerſeits hochbetruͤbte andechtige vnd außerwelte in chriſto denn herren,geliebte und allerseits hochbetrubte andechtige und ausserwelte in christo denn herren
523607,body,6,1,False,[4],Nach dem bißdaher innerhalb weniger zeit etliche feine liebe Grawhaͤupter dieſer Cantzel kegenvber/ Vns auß den Augen/ vnd mittel/ aber nicht auß dem Sinn/ vnd Hertzen kommen/ vnd durch den zeitlichen todt nach vberſtandener jhrer Pilgramſchafft/ hinweg genommen ſindt/ Als hatt nun auch/ nach dem vnwandelbahren/ aber allerheiligſten/ vnd heilſamſten willen des gerechten/ vnd gnaͤdigen Gottes/ die Rey/ vnd Ordnung getroffen den Weylandt/ Ehrenveſten/ wolbenambten/ achtbaren/ vnd Wolgelahrten Herrn Heliſæum Steckel/ der Geburt/ vnd ankunfft von Breßlaw/ getrewen/ fleiſſigen Apoteckern/ vnd vornehmen Buͤrgern allhier in dieſer Gemein.,nach dem bißdaher innerhalb weniger zeit etliche feine liebe grawhaͤupter dieſer cantzel kegenvber vns auß den augen vnd mittel aber nicht auß dem sinn vnd hertzen kommen vnd durch den zeitlichen todt nach vberſtandener jhrer pilgramſchafft hinweg genommen ſindt als hatt nun auch nach dem vnwandelbahren aber allerheiligſten vnd heilſamſten willen des gerechten vnd gnaͤdigen gottes die rey vnd ordnung getroffen den weylandt ehrenveſten wolbenambten achtbaren vnd wolgelahrten herrn heliſæum steckel der geburt vnd ankunfft von breßlaw getrewen fleiſſigen apoteckern vnd vornehmen buͤrgern allhier in dieſer gemein,nach dem bissdaher innerhalb weniger zeit etliche feine liebe grawhaupter dieser cantzel kegenuber uns auss den augen und mittel aber nicht auss dem sinn und hertzen kommen und durch den zeitlichen todt nach uberstandener ihrer pilgramschafft hinweg genommen sindt als hatt nun auch nach dem unwandelbahren aber allerheiligsten und heilsamsten willen des gerechten und gnadigen gottes die rey und ordnung getroffen den weylandt ehrenuesten wolbenambten achtbaren und wolgelahrten herrn helisaeum steckel der geburt und ankunfft uon bresslaw getrewen fleissigen apoteckern und uornehmen burgern allhier in dieser gemein
