doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523612,head,0,0,True,[1],Leichpredig Bey der Chriſtlichen Beſtattung Der weyland Edlen vnd Vieltugendſamen Frawen Magdalenen/ Deß Edlen Geſtrengen vnnd Veſten Sittichen von Berlepſchen Hertzlieben Haußfrawen/ geborner von Werſebe/ ſeligen/ welche Sonnabends vor Oſtern/ war der 14. April. im Mittage vmb 11. Vhr/ Anno 1618. zu Schlitz in Gott ſeliglich entſchlaffen. Gehalten Freytags den 20. Aprilis/ in Adelicher/ Volckreicher verſamlung zu Schlitz/ Durch CHRISTOPHORUM Schellenbergern/ Pfarꝛherꝛn daſelbſten. Getruckt zu Gieſſen/ bey Caſpar Chemlin. Jm Jahr M. DC XIIX.,leichpredig bey der chriſtlichen beſtattung der weyland edlen vnd vieltugendſamen frawen magdalenen deß edlen geſtrengen vnnd veſten sittichen von berlepſchen hertzlieben haußfrawen geborner von werſebe ſeligen welche sonnabends vor oſtern war der april im mittage vmb vhr anno zu schlitz in gott ſeliglich entſchlaffen gehalten freytags den aprilis in adelicher volckreicher verſamlung zu schlitz durch christophorum schellenbergern pfarꝛherꝛn daſelbſten getruckt zu gieſſen bey caſpar chemlin jm jahr m dc xiix,leichpredig bey der christlichen bestattung der weyland edlen und uieltugendsamen frawen magdalenen dess edlen gestrengen unnd uesten sittichen uon berlepschen hertzlieben haussfrawen geborner uon wersebe seligen welche sonnabends uor ostern war der april im mittage umb uhr anno zu schlitz in gott seliglich entschlaffen gehalten freytags den aprilis in adelicher uolckreicher uersamlung zu schlitz durch christophorum schellenbergern pfarhern daselbsten getruckt zu giessen bey caspar chemlin im iahr m dc xiix
523612,head,1,0,True,[3],TEXTUS.,textus,textus
523612,head,2,0,True,[3],Postilla.,postilla,postilla
523612,body,3,0,True,[3],JHr Geliebte vnd Außerwehlte in dem HErren Chriſto/ Es ſpricht der weiſe Koͤnig Salomon in ſeinem Prediger cap. 1. verſ. 9. Es geſchicht nichts newes vnter der Sonnen.,jhr geliebte vnd außerwehlte in dem herren chriſto es ſpricht der weiſe koͤnig salomon in ſeinem prediger cap verſ es geſchicht nichts newes vnter der sonnen,ihr geliebte und ausserwehlte in dem herren christo es spricht der weise konig salomon in seinem prediger cap uers es geschicht nichts newes unter der sonnen
523612,body,4,0,False,[3],Jſt demnach auch diß nichts newes/ daß der allein weiſe vnd gerechte Gott/ am nechſtverſchienen Sonnabend/ im Mittage vmb eilff Vhr/ den Edlen/ Geſtrengen vnnd Veſten Sittichen von Berlepſchen/ vnſern/ in Vormundtſchafft/ gebietenden lieben Junckern/ zu einem leydmuͤtigen vnd betruͤbten Witwer allhie gemacht/ in deme er jhm ſeine Hertzliebe Haußfraw/ die weiland Edle vnnd Vieltugendſame Fraw Magdalena von Berlepſch/ geborne von Werſebe/ ſeligen/ als ſeiner Augen vnd ſeines Hertzen Luſt/ durch den zeitlichen Tod hinweg genommen.,jſt demnach auch diß nichts newes daß der allein weiſe vnd gerechte gott am nechſtverſchienen sonnabend im mittage vmb eilff vhr den edlen geſtrengen vnnd veſten sittichen von berlepſchen vnſern in vormundtſchafft gebietenden lieben junckern zu einem leydmuͤtigen vnd betruͤbten witwer allhie gemacht in deme er jhm ſeine hertzliebe haußfraw die weiland edle vnnd vieltugendſame fraw magdalena von berlepſch geborne von werſebe ſeligen als ſeiner augen vnd ſeines hertzen luſt durch den zeitlichen tod hinweg genommen,ist demnach auch diss nichts newes dass der allein weise und gerechte gott am nechstuerschienen sonnabend im mittage umb eilff uhr den edlen gestrengen unnd uesten sittichen uon berlepschen unsern in uormundtschafft gebietenden lieben iunckern zu einem leydmutigen und betrubten witwer allhie gemacht in deme er ihm seine hertzliebe haussfraw die weiland edle unnd uieltugendsame fraw magdalena uon berlepsch geborne uon wersebe seligen als seiner augen und seines hertzen lust durch den zeitlichen tod hinweg genommen
523612,body,4,1,True,[3],Deren Seel der liebe Gott genaden/ vnd dem Leib eine ſelige vnd froͤliche Aufferſtehung verleihen wolle.,deren seel der liebe gott genaden vnd dem leib eine ſelige vnd froͤliche aufferſtehung verleihen wolle,deren seel der liebe gott genaden und dem leib eine selige und froliche aufferstehung uerleihen wolle
523612,body,5,0,False,[3],Daß aber diß nichts newes ſey/ doͤrffen wir mit frembden Exempeln nicht beweiſen.,daß aber diß nichts newes ſey doͤrffen wir mit frembden exempeln nicht beweiſen,dass aber diss nichts newes sey dorffen wir mit frembden exempeln nicht beweisen
523612,body,5,1,True,4,Wir haben leyder lebendige Exempel vnd Zeugen allhie vor vnſern Augen ſtehen/ an Adelichen Witwern vnd Witwinnen.,wir haben leyder lebendige exempel vnd zeugen allhie vor vnſern augen ſtehen an adelichen witwern vnd witwinnen,wir haben leyder lebendige exempel und zeugen allhie uor unsern augen stehen an adelichen witwern und witwinnen
523612,body,6,0,True,4,Dann es ſind vnlangſt/ vmb den nechſtvergangenen heiligen drey Koͤnigen Tag/ acht Jahr geweſen/ daß der groſſe vñ ſtarcke Gott den weiland Edlen Geſtrengẽ vnd veſten/ Johan Euſtachium von Schlitz genandt von Goͤrtz/ vnſern gebietenden lieben Junckern ſeligen/ durch den zeitlichen Todt von dieſem Jammerthal abgefordert/ vnnd dardurch die gegenwertige Edle vnd Vieltugendſame Fraw Anna Maria von Schlitz/ genande von Goͤrtz/ geborne von Berlepſch/ zu einer betruͤbten Witwen/ vnd jhre fuͤnff kleine vnd vnerzogene Kinder zu leydmuͤtigen Waiſen gemacht.,dann es ſind vnlangſt vmb den nechſtvergangenen heiligen drey koͤnigen tag acht jahr geweſen daß der groſſe vñ ſtarcke gott den weiland edlen geſtrengẽ vnd veſten johan euſtachium von schlitz genandt von goͤrtz vnſern gebietenden lieben junckern ſeligen durch den zeitlichen todt von dieſem jammerthal abgefordert vnnd dardurch die gegenwertige edle vnd vieltugendſame fraw anna maria von schlitz genande von goͤrtz geborne von berlepſch zu einer betruͤbten witwen vnd jhre fuͤnff kleine vnd vnerzogene kinder zu leydmuͤtigen waiſen gemacht,dann es sind unlangst umb den nechstuergangenen heiligen drey konigen tag acht iahr gewesen dass der grosse und starcke gott den weiland edlen gestrengen und uesten iohan eustachium uon schlitz genandt uon gortz unsern gebietenden lieben iunckern seligen durch den zeitlichen todt uon diesem iammerthal abgefordert unnd dardurch die gegenwertige edle und uieltugendsame fraw anna maria uon schlitz genande uon gortz geborne uon berlepsch zu einer betrubten witwen und ihre funff kleine und unerzogene kinder zu leydmutigen waisen gemacht
523612,body,7,0,True,4,Jtem/ es ſind noch nicht fuͤnff Jahr/ dz der allein weiſe vnd gerechte GOTT die weyland edle vnd vieltugendſame Fraw MARGRETEN von Schlitz genandt von Goͤrtz/ geborne Riedeſelin zu Eyſenbach/ ſelige/ von dieſem Jammerthal abgefordert/ vnd dadurch den gegen wertigen Edlen Geſtrengẽ vnd Veſten/ Wilhelm Balthaſarn von Schlitz/ genandt von Goͤrtz/ Erb Marſchalck deß Stiffts Fulda vnſern gepietenden lieben Junckern/ zu einẽ betruͤbten Witwer/ vnd ſeine zehen kleine vner zogene Pflaͤntzlein zu Mutterloſen Kindern gemacht.,jtem es ſind noch nicht fuͤnff jahr dz der allein weiſe vnd gerechte gott die weyland edle vnd vieltugendſame fraw margreten von schlitz genandt von goͤrtz geborne riedeſelin zu eyſenbach ſelige von dieſem jammerthal abgefordert vnd dadurch den gegen wertigen edlen geſtrengẽ vnd veſten wilhelm balthaſarn von schlitz genandt von goͤrtz erb marſchalck deß stiffts fulda vnſern gepietenden lieben junckern zu einẽ betruͤbten witwer vnd ſeine zehen kleine vner zogene pflaͤntzlein zu mutterloſen kindern gemacht,item es sind noch nicht funff iahr dz der allein weise und gerechte gott die weyland edle und uieltugendsame fraw margreten uon schlitz genandt uon gortz geborne riedeselin zu eysenbach selige uon diesem iammerthal abgefordert und dadurch den gegen wertigen edlen gestrengen und uesten wilhelm balthasarn uon schlitz genandt uon gortz erb marschalck dess stiffts fulda unsern gepietenden lieben iunckern zu einen betrubten witwer und seine zehen kleine uner zogene pflantzlein zu mutterlosen kindern gemacht
523612,body,8,0,True,4,Allermaſſen/ wie gleich 7. Tage hernach/ dem Edlen Geſtrengen vnd Veſten/ Eytel von Berlepſchen/ vnſerm gebietenden lieben Junckern auch geſchehen/ in dem jhm der liebe Gott ſeine Hertzliebe Haußfrawen/ die weiland edle vnd vieltugentſame Fraw MARGRETEN von Berlepſch geborne von Doͤringenberg ſelige/ durch den zeitlichẽ Todt von der Seiten hinweg geriſſen/ vnd jhme drey vnerzogene Kinder gelaſſen.,allermaſſen wie gleich tage hernach dem edlen geſtrengen vnd veſten eytel von berlepſchen vnſerm gebietenden lieben junckern auch geſchehen in dem jhm der liebe gott ſeine hertzliebe haußfrawen die weiland edle vnd vieltugentſame fraw margreten von berlepſch geborne von doͤringenberg ſelige durch den zeitlichẽ todt von der seiten hinweg geriſſen vnd jhme drey vnerzogene kinder gelaſſen,allermassen wie gleich tage hernach dem edlen gestrengen und uesten eytel uon berlepschen unserm gebietenden lieben iunckern auch geschehen in dem ihm der liebe gott seine hertzliebe haussfrawen die weiland edle und uieltugentsame fraw margreten uon berlepsch geborne uon doringenberg selige durch den zeitlichen todt uon der seiten hinweg gerissen und ihme drey unerzogene kinder gelassen
523612,body,9,0,True,4,Ja es ſind jetzo vor wenig Tagen allererſt 3. Jar geweſen/ daß nach deß Allmaͤchtigen Gottes Raht vnd Gutduncken die weiland edle vnd vieltugendſame Fraw ANNA von vnd zu Schachten/ geborne Spiegeln zu Pickelsheim/ ſelige/ jhrem Hertzlieben Ehman/ den gegenwertigen Edlen Geſtrengẽ vnd Veſten Dietrichen/ von vnd zu Schachten/ vnſern gebietenden lieben Junckern/ zu ſampt acht vnerzogenen vnd kleinen Kindern verlaſſen muͤſſen.,ja es ſind jetzo vor wenig tagen allererſt jar geweſen daß nach deß allmaͤchtigen gottes raht vnd gutduncken die weiland edle vnd vieltugendſame fraw anna von vnd zu schachten geborne spiegeln zu pickelsheim ſelige jhrem hertzlieben ehman den gegenwertigen edlen geſtrengẽ vnd veſten dietrichen von vnd zu schachten vnſern gebietenden lieben junckern zu ſampt acht vnerzogenen vnd kleinen kindern verlaſſen muͤſſen,ia es sind ietzo uor wenig tagen allererst iar gewesen dass nach dess allmachtigen gottes raht und gutduncken die weiland edle und uieltugendsame fraw anna uon und zu schachten geborne spiegeln zu pickelsheim selige ihrem hertzlieben ehman den gegenwertigen edlen gestrengen und uesten dietrichen uon und zu schachten unsern gebietenden lieben iunckern zu sampt acht unerzogenen und kleinen kindern uerlassen mussen
523612,body,10,0,False,5,Duͤrffen derowegen/ ſage ich/ mit frembden Exempeln nit erweiſen/ daß der Spruch Salomonis wahr ſey/ wann er ſagt: Es geſchicht nichts newes vnter der Sonnen.,duͤrffen derowegen ſage ich mit frembden exempeln nit erweiſen daß der spruch salomonis wahr ſey wann er ſagt es geſchicht nichts newes vnter der sonnen,durffen derowegen sage ich mit frembden exempeln nit erweisen dass der spruch salomonis wahr sey wann er sagt es geschicht nichts newes unter der sonnen
523612,body,10,1,True,5,Dann die leydmuͤtige lebendige Exempel/ ſtehen vns leyder vor ſichtlichen Augen.,dann die leydmuͤtige lebendige exempel ſtehen vns leyder vor ſichtlichen augen,dann die leydmutige lebendige exempel stehen uns leyder uor sichtlichen augen
523612,body,11,0,False,5,Gleich wie aber diß nichts newes iſt/ daß ob wol gedachter vnſer gebietender lieber Juncker Sittich von Berlepſch/ zu einem einſamen Witwer worden: Alſo iſt auch dz nichts newes/ dz jhm der toͤdliche Abgang ſeiner Hertzliebẽ Haußfrawen S. tieffe vñ weite wunden in ſein Hertz geſchnittẽ vnd noch ſchneidet.,gleich wie aber diß nichts newes iſt daß ob wol gedachter vnſer gebietender lieber juncker sittich von berlepſch zu einem einſamen witwer worden alſo iſt auch dz nichts newes dz jhm der toͤdliche abgang ſeiner hertzliebẽ haußfrawen s tieffe vñ weite wunden in ſein hertz geſchnittẽ vnd noch ſchneidet,gleich wie aber diss nichts newes ist dass ob wol gedachter unser gebietender lieber iuncker sittich uon berlepsch zu einem einsamen witwer worden also ist auch dz nichts newes dz ihm der todliche abgang seiner hertzlieben haussfrawen s tieffe und weite wunden in sein hertz geschnitten und noch schneidet
523612,body,11,1,False,5,Dann es haben es die jetzt angezogene adeliche Witwer vnd Witwinnẽ/ ſo wol andere gegenwertige/ mit Schmertzen auch erfahren.,dann es haben es die jetzt angezogene adeliche witwer vnd witwinnẽ ſo wol andere gegenwertige mit schmertzen auch erfahren,dann es haben es die ietzt angezogene adeliche witwer und witwinnen so wol andere gegenwertige mit schmertzen auch erfahren
523612,body,11,2,False,5,Deren Hertzen jetzo mit dieſem/ gleichſam auff ein newes wider um Blutriſſig werden/ wie jhre jetzige Zehren vnnd Thraͤnen außweiſen.,deren hertzen jetzo mit dieſem gleichſam auff ein newes wider um blutriſſig werden wie jhre jetzige zehren vnnd thraͤnen außweiſen,deren hertzen ietzo mit diesem gleichsam auff ein newes wider um blutrissig werden wie ihre ietzige zehren unnd thranen aussweisen
523612,body,11,3,False,5,Wolan/ weil vnſer lieber HErꝛ vnnd Seligmacher Jeſus Chriſtus ſeinen verſtorbenen Freund Lazarum ſelbſten mit Thraͤnen beweinet/ Joh. 11. v. 34. ſo koͤnnen vnd ſollen wir ſolches an den Chriſten auch nit ſcheltẽ vnd ſtraffen/ bevorab/ weil Gott ſolche natuͤrliche Affecten vnnd Zuneigungen ſelbſt in der Menſchen Hertzen gepflantzet.,wolan weil vnſer lieber herꝛ vnnd seligmacher jeſus chriſtus ſeinen verſtorbenen freund lazarum ſelbſten mit thraͤnen beweinet joh v ſo koͤnnen vnd ſollen wir ſolches an den chriſten auch nit ſcheltẽ vnd ſtraffen bevorab weil gott ſolche natuͤrliche affecten vnnd zuneigungen ſelbſt in der menſchen hertzen gepflantzet,wolan weil unser lieber her unnd seligmacher iesus christus seinen uerstorbenen freund lazarum selbsten mit thranen beweinet ioh u so konnen und sollen wir solches an den christen auch nit schelten und straffen beuorab weil gott solche naturliche affecten unnd zuneigungen selbst in der menschen hertzen gepflantzet
