doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508439,head,0,0,True,,Σὺν Θεῷ. Pactum Vetustissimum. Der allererſte vnd aͤlteſte Bund auß dem Buch Sirach am 14. Capit. Bey dem anſehelichen vnd Volckreichen Begraͤbniß Des Weiland Ehrnveſten/ Achtbarn vnnd Wolweiſen Herrn Laurentii Kuͤchlers Buͤrgermeiſters der Koͤniglichen Haupt Stadt Lucca im Marggraffthumb Niederlauſitz gelegen/ welcher den 15. Decemb. zu Abend gegen drey vhr/ als man zehlete nach vnſers HErrn Chriſti Geburt 1617. Jahr/ im HErrn ſeliglich verſchieden/ vnnd bald darauff den 17. dieſes/ in der Pfarrkirchen Chriſtlich vnnd Ehrlich zur Erden beſtattet worden. Erklaͤret durch M. PAULUM TRESCOVIUM Paſtorem Primarium daſelbſten. Wittenberg/ Gedruckt durch Paul Schetlern Im Jahr 1618.,σὺν θεῷ pactum vetustissimum der allererſte vnd aͤlteſte bund auß dem buch sirach am capit bey dem anſehelichen vnd volckreichen begraͤbniß des weiland ehrnveſten achtbarn vnnd wolweiſen herrn laurentii kuͤchlers buͤrgermeiſters der koͤniglichen haupt stadt lucca im marggraffthumb niederlauſitz gelegen welcher den decemb zu abend gegen drey vhr als man zehlete nach vnſers herrn chriſti geburt jahr im herrn ſeliglich verſchieden vnnd bald darauff den dieſes in der pfarrkirchen chriſtlich vnnd ehrlich zur erden beſtattet worden erklaͤret durch m paulum trescovium paſtorem primarium daſelbſten wittenberg gedruckt durch paul schetlern im jahr,pactum uetustissimum der allererste und alteste bund auss dem buch sirach am capit bey dem ansehelichen und uolckreichen begrabniss des weiland ehrnuesten achtbarn unnd wolweisen herrn laurentii kuchlers burgermeisters der koniglichen haupt stadt lucca im marggraffthumb niederlausitz gelegen welcher den decemb zu abend gegen drey uhr als man zehlete nach unsers herrn christi geburt iahr im herrn seliglich uerschieden unnd bald darauff den dieses in der pfarrkirchen christlich unnd ehrlich zur erden bestattet worden erklaret durch m paulum trescouium pastorem primarium daselbsten wittenberg gedruckt durch paul schetlern im iahr
508439,body,1,0,False,2,Denen Edlen/ Ehrnveſten/ Achtbarn/ Hoch vnd Wolgelarten auch Wolbenambten Herrn Samueli Rûmplero der Medicin beruͤmeten Doctorn in Schleſten zu Sprotta/ Herrn Michaeli EXSIO Notario Publico vnd Wolbeſtalten Fuͤrſtlichen Ertzbiſchefflichen Magdeburgiſchen Ampt Schoͤſſer zur Dahma etc.,denen edlen ehrnveſten achtbarn hoch vnd wolgelarten auch wolbenambten herrn samueli rûmplero der medicin beruͤmeten doctorn in schleſten zu sprotta herrn michaeli exsio notario publico vnd wolbeſtalten fuͤrſtlichen ertzbiſchefflichen magdeburgiſchen ampt schoͤſſer zur dahma etc,denen edlen ehrnuesten achtbarn hoch und wolgelarten auch wolbenambten herrn samueli rumplero der medicin berumeten doctorn in schlesten zu sprotta herrn michaeli exsio notario publico und wolbestalten furstlichen ertzbischefflichen magdeburgischen ampt schosser zur dahma etc
508439,body,1,1,True,2,Herrn Buͤrgermeiſters beyden anſehelichen Herrn Eydmaͤnnern/ Item Herrn Adam Kuͤchler fuͤrnehmen Buͤrger vnd Handelsmann zu Lucca Herrn Buͤrgermeiſters S. einigen Sohn/ Vnd Denen Erbarn/ Vielehrentugendreichen vnd Gottliebenden Matronen/ Frawen Margaretæ Draberin/ Herrn Buͤrgermeiſters Frawen Wittib/ Frawen Mariæ Kuͤchlerin obgedachten Herrn Mich. Exſ. eheliche Haußehre/ Frawen Annæ Kuͤchlerin H. D. Sam. Rumpl. eheliche Haußehre/ Herrn Buͤrgermeiſters S. Frawen Toͤchtern/ Frawen Doro theæ Klebiſſen Herrn Adam Kuͤchlers Eheliche Haußehre als Erben Sampt vnd ſonders/ Meinen freundlichen lieben Herrn Gevattern vnnd geneigeten guten Freunden/ auch lieben Frawen Gevatterin/ vnnd in Ehrengebuͤhr guten Freundin.,herrn buͤrgermeiſters beyden anſehelichen herrn eydmaͤnnern item herrn adam kuͤchler fuͤrnehmen buͤrger vnd handelsmann zu lucca herrn buͤrgermeiſters s einigen sohn vnd denen erbarn vielehrentugendreichen vnd gottliebenden matronen frawen margaretæ draberin herrn buͤrgermeiſters frawen wittib frawen mariæ kuͤchlerin obgedachten herrn mich exſ eheliche haußehre frawen annæ kuͤchlerin h d sam rumpl eheliche haußehre herrn buͤrgermeiſters s frawen toͤchtern frawen doro theæ klebiſſen herrn adam kuͤchlers eheliche haußehre als erben sampt vnd ſonders meinen freundlichen lieben herrn gevattern vnnd geneigeten guten freunden auch lieben frawen gevatterin vnnd in ehrengebuͤhr guten freundin,herrn burgermeisters beyden ansehelichen herrn eydmannern item herrn adam kuchler furnehmen burger und handelsmann zu lucca herrn burgermeisters s einigen sohn und denen erbarn uielehrentugendreichen und gottliebenden matronen frawen margaretae draberin herrn burgermeisters frawen wittib frawen mariae kuchlerin obgedachten herrn mich exs eheliche haussehre frawen annae kuchlerin h d sam rumpl eheliche haussehre herrn burgermeisters s frawen tochtern frawen doro theae klebissen herrn adam kuchlers eheliche haussehre als erben sampt und sonders meinen freundlichen lieben herrn geuattern unnd geneigeten guten freunden auch lieben frawen geuatterin unnd in ehrengebuhr guten freundin
508439,body,2,0,False,3,EDle/ Ehrnveſte/ Achtbare/ Hoch vnnd Wolgelarte/ Wolbenambte/ freundliche liebe Herrn Gevattern vnd geneigete gute Freunde/ auch Ehrbare Vielehrentugendſame Frawen Gevatterin vnnd in Ehrengebuͤhr gute Freundin/ das es Fleiſch vnd Blut bitterlich wehe thut/ weñ der allgewaltige Gott nach ſeinem vnerforſchlichen Rath vnd willen vnſere Anverwanten durch den toͤdtlichen hintrit von dieſer Welt abfordert/ vnnd vns alſo aus den Augen hinweg ruͤcket/ vervrſachet die ςοργὴ oder natuͤrliche zuneigung vnd liebe/ welche die weſentliche Liebe/ Gott ſelbſten/ vns Menſchen eingepflantzet.,edle ehrnveſte achtbare hoch vnnd wolgelarte wolbenambte freundliche liebe herrn gevattern vnd geneigete gute freunde auch ehrbare vielehrentugendſame frawen gevatterin vnnd in ehrengebuͤhr gute freundin das es fleiſch vnd blut bitterlich wehe thut weñ der allgewaltige gott nach ſeinem vnerforſchlichen rath vnd willen vnſere anverwanten durch den toͤdtlichen hintrit von dieſer welt abfordert vnnd vns alſo aus den augen hinweg ruͤcket vervrſachet die ςοργὴ oder natuͤrliche zuneigung vnd liebe welche die weſentliche liebe gott ſelbſten vns menſchen eingepflantzet,edle ehrnueste achtbare hoch unnd wolgelarte wolbenambte freundliche liebe herrn geuattern und geneigete gute freunde auch ehrbare uielehrentugendsame frawen geuatterin unnd in ehrengebuhr gute freundin das es fleisch und blut bitterlich wehe thut wenn der allgewaltige gott nach seinem unerforschlichen rath und willen unsere anuerwanten durch den todtlichen hintrit uon dieser welt abfordert unnd uns also aus den augen hinweg rucket uerursachet die oder naturliche zuneigung und liebe welche die wesentliche liebe gott selbsten uns menschen eingepflantzet
508439,body,2,1,False,4,Vnnd treget der liebe Gott daran kein vngefallen/ wenn man nur Chriſtliche maſz vnd beſcheidenheit darinnen helt.,vnnd treget der liebe gott daran kein vngefallen wenn man nur chriſtliche maſz vnd beſcheidenheit darinnen helt,unnd treget der liebe gott daran kein ungefallen wenn man nur christliche masz und bescheidenheit darinnen helt
508439,body,2,2,False,4,Im maſſen denn auch nicht allein die Patriarchen vnd Propheten die jhren lugiret vnd betrawret/ ſondern auch dem Sohn Gottes ſelbſtẽ die Liebezaͤhren/ wegen ſeines lieben Freundes Lazari toͤdlichen abgangs vber die Wangen gefloſſen ſeyn.,im maſſen denn auch nicht allein die patriarchen vnd propheten die jhren lugiret vnd betrawret ſondern auch dem sohn gottes ſelbſtẽ die liebezaͤhren wegen ſeines lieben freundes lazari toͤdlichen abgangs vber die wangen gefloſſen ſeyn,im massen denn auch nicht allein die patriarchen und propheten die ihren lugiret und betrawret sondern auch dem sohn gottes selbsten die liebezahren wegen seines lieben freundes lazari todlichen abgangs uber die wangen geflossen seyn
508439,body,2,3,False,4,Vnnd ſind gewiſz die ἄςοργοι die liebloſen Leute einer boͤſen vnartigen verkehreten Natur/ die ſich gar nichts oder ja ſehr wenig/ vber der jhren toͤdlichen hintrit bekuͤmmern/ ſondern thun/ als ob ſie (wie wir im Sprichwort ſagen) eine alte Taſche verlohren hetten.,vnnd ſind gewiſz die ἄςοργοι die liebloſen leute einer boͤſen vnartigen verkehreten natur die ſich gar nichts oder ja ſehr wenig vber der jhren toͤdlichen hintrit bekuͤmmern ſondern thun als ob ſie wie wir im sprichwort ſagen eine alte taſche verlohren hetten,unnd sind gewisz die die lieblosen leute einer bosen unartigen uerkehreten natur die sich gar nichts oder ia sehr wenig uber der ihren todlichen hintrit bekummern sondern thun als ob sie wie wir im sprichwort sagen eine alte tasche uerlohren hetten
508439,body,2,4,False,5,Solche Leute ſind rechte Rabenleute/ dieweil ſie Raben art an ſich haben/ welche jhre Jungen nichts achten vnd boͤſzlich verlaſſen.,solche leute ſind rechte rabenleute dieweil ſie raben art an ſich haben welche jhre jungen nichts achten vnd boͤſzlich verlaſſen,solche leute sind rechte rabenleute dieweil sie raben art an sich haben welche ihre iungen nichts achten und boszlich uerlassen
508439,body,2,5,True,5,Doch ſollen wir im trawren vber die vnſern die gebuͤhrliche Grentze nicht vberſchreiten/ nicht trawren wie die Heyden ſo von Gott nichts wiſſen vñ keine Hoffnung haben.,doch ſollen wir im trawren vber die vnſern die gebuͤhrliche grentze nicht vberſchreiten nicht trawren wie die heyden ſo von gott nichts wiſſen vñ keine hoffnung haben,doch sollen wir im trawren uber die unsern die gebuhrliche grentze nicht uberschreiten nicht trawren wie die heyden so uon gott nichts wissen und keine hoffnung haben
508439,body,3,0,True,5,Dieweil denn nun/ Groſzguͤnſtige Herrn Gevattern vnnd geneigete gute Freunde/ ſowol freundliche liebe Frawen Gevatterin vnd gute goͤnnerin/ der Allmechtige Gott einen groſſen Riſz in derſelben loͤblichen Freundſchafft gethan/ vnnd Ewer Exell: Achtb: Gunſt: vñ Erbarn Tugendſamk: lieben Herrn Vater vnd Schweher/ durch den zeitlichen natuͤrlichen Todt von dieſer Welt abgefordert/ vnd dieſelben daher ſehr betruͤbet: ſo wil denſelben als vernuͤnfftigen Chriſtlichen Hertzen gebuͤhren/ jhren luctum zu moderiren/ vnd gebuͤhrliche maſz hierin zuhalten.,dieweil denn nun groſzguͤnſtige herrn gevattern vnnd geneigete gute freunde ſowol freundliche liebe frawen gevatterin vnd gute goͤnnerin der allmechtige gott einen groſſen riſz in derſelben loͤblichen freundſchafft gethan vnnd ewer exell achtb gunſt vñ erbarn tugendſamk lieben herrn vater vnd schweher durch den zeitlichen natuͤrlichen todt von dieſer welt abgefordert vnd dieſelben daher ſehr betruͤbet ſo wil denſelben als vernuͤnfftigen chriſtlichen hertzen gebuͤhren jhren luctum zu moderiren vnd gebuͤhrliche maſz hierin zuhalten,dieweil denn nun groszgunstige herrn geuattern unnd geneigete gute freunde sowol freundliche liebe frawen geuatterin und gute gonnerin der allmechtige gott einen grossen risz in derselben loblichen freundschafft gethan unnd ewer exell achtb gunst und erbarn tugendsamk lieben herrn uater und schweher durch den zeitlichen naturlichen todt uon dieser welt abgefordert und dieselben daher sehr betrubet so wil denselben als uernunfftigen christlichen hertzen gebuhren ihren luctum zu moderiren und gebuhrliche masz hierin zuhalten
