doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523616,head,0,0,True,[1],"Chriſtliche Leichpredigt/ Bey der Leich vnd Begraͤbnuß/ weylandt deß Edlen vnd Ehrnveſten WOLFFGANGI Pogwitſch ſeligen/ Herꝛn BENEDICTI Pogwitſchen zur Newſtatt im Landt zu Holſtein nachgelaſſenen einigen Sohns/ Welcher zu Marpurg in Heſſen den 8. Septembris Chriſtlich auß dieſem Leben abgeſchieden/ vnd folgendes den 10. Ehrlichen iſt zur Erden beſtattet worden. Genommen auß dem 7. Capitel deß Evangeliſten Lucæ, darinnen der Zuſtandt hertzbetruͤbter Wittwen/ welchen nach abſterben jhrer verſtorbenen Ehvoͤgte/ jhre einige Kinder/ darauff ſie nechſt GOtt all jhr Hoffnung geſetzet toͤdtlich verfahren/ Gehalten durch JOANNEM Weißhaͤupt MARSBER GIANUM Mitdienern am Wort Gottes der Kirchin zu Marpurg. Getruckt zu Marpurg/ durch Jonam Saurn/ Jm Jahr/ M. DC. X VIII.",chriſtliche leichpredigt bey der leich vnd begraͤbnuß weylandt deß edlen vnd ehrnveſten wolffgangi pogwitſch ſeligen herꝛn benedicti pogwitſchen zur newſtatt im landt zu holſtein nachgelaſſenen einigen sohns welcher zu marpurg in heſſen den septembris chriſtlich auß dieſem leben abgeſchieden vnd folgendes den ehrlichen iſt zur erden beſtattet worden genommen auß dem capitel deß evangeliſten lucæ darinnen der zuſtandt hertzbetruͤbter wittwen welchen nach abſterben jhrer verſtorbenen ehvoͤgte jhre einige kinder darauff ſie nechſt gott all jhr hoffnung geſetzet toͤdtlich verfahren gehalten durch joannem weißhaͤupt marsber gianum mitdienern am wort gottes der kirchin zu marpurg getruckt zu marpurg durch jonam saurn jm jahr m dc x viii,christliche leichpredigt bey der leich und begrabnuss weylandt dess edlen und ehrnuesten wolffgangi pogwitsch seligen hern benedicti pogwitschen zur newstatt im landt zu holstein nachgelassenen einigen sohns welcher zu marpurg in hessen den septembris christlich auss diesem leben abgeschieden und folgendes den ehrlichen ist zur erden bestattet worden genommen auss dem capitel dess euangelisten lucae darinnen der zustandt hertzbetrubter wittwen welchen nach absterben ihrer uerstorbenen ehuogte ihre einige kinder darauff sie nechst gott all ihr hoffnung gesetzet todtlich uerfahren gehalten durch ioannem weisshaupt marsber gianum mitdienern am wort gottes der kirchin zu marpurg getruckt zu marpurg durch ionam saurn im iahr m dc x uiii
523616,body,1,0,True,3,NAch dem Edle vnd viel Tugendtſame Fraw/ Gott der Allmaͤchtig nach ſeinem Vaͤtterlichen willen vñ wolgefallen/ E. Adel: Tugentſ. vielgeliebten einigen Sohn/ vor einem Jahre im September an dieſem Ort nicht allein mit ſchwerer Leibs ſchwachheit heimgeſuchet/ ſondern dieſelbe ſich auch alſo geheuffet/ daß er auß allen ſeinen Kraͤfften verſtanden/ wie daß ſein Sterbſtuͤndtlein verhanden/ vnd der L. GOtt jhn auß dieſem Jammerthal abfordern woͤlle.,nach dem edle vnd viel tugendtſame fraw gott der allmaͤchtig nach ſeinem vaͤtterlichen willen vñ wolgefallen e adel tugentſ vielgeliebten einigen sohn vor einem jahre im september an dieſem ort nicht allein mit ſchwerer leibs ſchwachheit heimgeſuchet ſondern dieſelbe ſich auch alſo geheuffet daß er auß allen ſeinen kraͤfften verſtanden wie daß ſein sterbſtuͤndtlein verhanden vnd der l gott jhn auß dieſem jammerthal abfordern woͤlle,nach dem edle und uiel tugendtsame fraw gott der allmachtig nach seinem uatterlichen willen und wolgefallen e adel tugents uielgeliebten einigen sohn uor einem iahre im september an diesem ort nicht allein mit schwerer leibs schwachheit heimgesuchet sondern dieselbe sich auch also geheuffet dass er auss allen seinen krafften uerstanden wie dass sein sterbstundtlein uerhanden und der l gott ihn auss diesem iammerthal abfordern wolle
523616,body,2,0,True,4,Demnach hat er als ein Liebhaber deß H. Goͤttlichen worts deß morgens vor ſeinem Ende mich zu ſich fordern laſſen/ auch in gegenwart anderer Adelicher vnd vnadelicher Herꝛn Studioſis ſich mit GOtt wegen ſeiner Suͤnde verſoͤhnet/ vnd zum zeichen der gnedigen vergebung der Suͤnden/ das H. Hochwirdig Abendmal vnſers HErꝛn Jeſu Chriſti gehalten/ vñ nach gethaner Danckſagung/ im heiligen Chriſtlichen Gebet neben mir vnd andern verharret/ biß er zwiſchen zwoͤlff vnd einem Schlage nach Mittage ſeinen Geiſt auffgeben/ vnd mit groſſer ſanfftmuth vñ ſtill auß dieſer Welt ſeinen Abſchiedt genom̃en.,demnach hat er als ein liebhaber deß h goͤttlichen worts deß morgens vor ſeinem ende mich zu ſich fordern laſſen auch in gegenwart anderer adelicher vnd vnadelicher herꝛn studioſis ſich mit gott wegen ſeiner suͤnde verſoͤhnet vnd zum zeichen der gnedigen vergebung der suͤnden das h hochwirdig abendmal vnſers herꝛn jeſu chriſti gehalten vñ nach gethaner danckſagung im heiligen chriſtlichen gebet neben mir vnd andern verharret biß er zwiſchen zwoͤlff vnd einem schlage nach mittage ſeinen geiſt auffgeben vnd mit groſſer ſanfftmuth vñ ſtill auß dieſer welt ſeinen abſchiedt genom̃en,demnach hat er als ein liebhaber dess h gottlichen worts dess morgens uor seinem ende mich zu sich fordern lassen auch in gegenwart anderer adelicher und unadelicher hern studiosis sich mit gott wegen seiner sunde uersohnet und zum zeichen der gnedigen uergebung der sunden das h hochwirdig abendmal unsers hern iesu christi gehalten und nach gethaner dancksagung im heiligen christlichen gebet neben mir und andern uerharret biss er zwischen zwolff und einem schlage nach mittage seinen geist auffgeben und mit grosser sanfftmuth und still auss dieser welt seinen abschiedt genommen
523616,body,3,0,False,4,Dieweil mir aber kundt gethan/ wie daß er ein einiger Sohne/ vnd ſeine Mutter ein Wittwe ſey.,dieweil mir aber kundt gethan wie daß er ein einiger sohne vnd ſeine mutter ein wittwe ſey,dieweil mir aber kundt gethan wie dass er ein einiger sohne und seine mutter ein wittwe sey
523616,body,3,1,True,4,Demnach habe ich zum Troſt aller betruͤbten Wittwen/ welche dieſe oder dergleichen todts Faͤlle erfahren/ oder noch zuerwarten habẽ/ zur Leichpredigt vor mich genom̃en/ die trawrige vnd zugleich troſtreiche Hiſtorien von dem todt vñ aufferweckung der Wittwẽ Sohn zu Naim/ darin ſonderlich angezeigt wird/ wie Gott der Allmaͤchtige betruͤbte Wittwen/ welche zuvor hoch betruͤbt/ mit dieſen vñ dergleichen klaͤglichen todts faͤllen heimſuche/ vnd weß ſie ſich in denſelbigen haben zu troͤſten.,demnach habe ich zum troſt aller betruͤbten wittwen welche dieſe oder dergleichen todts faͤlle erfahren oder noch zuerwarten habẽ zur leichpredigt vor mich genom̃en die trawrige vnd zugleich troſtreiche hiſtorien von dem todt vñ aufferweckung der wittwẽ sohn zu naim darin ſonderlich angezeigt wird wie gott der allmaͤchtige betruͤbte wittwen welche zuvor hoch betruͤbt mit dieſen vñ dergleichen klaͤglichen todts faͤllen heimſuche vnd weß ſie ſich in denſelbigen haben zu troͤſten,demnach habe ich zum trost aller betrubten wittwen welche diese oder dergleichen todts falle erfahren oder noch zuerwarten haben zur leichpredigt uor mich genommen die trawrige und zugleich trostreiche historien uon dem todt und aufferweckung der wittwen sohn zu naim darin sonderlich angezeigt wird wie gott der allmachtige betrubte wittwen welche zuuor hoch betrubt mit diesen und dergleichen klaglichen todts fallen heimsuche und wess sie sich in denselbigen haben zu trosten
523616,body,4,0,False,4,Damit nun Edle viel tugendreiche Fraw/ E. Adel. Tugendſ. in dieſem jhren Wittwen Standt vnd betruͤbten Fall ſich zu troͤſten habe.,damit nun edle viel tugendreiche fraw e adel tugendſ in dieſem jhren wittwen standt vnd betruͤbten fall ſich zu troͤſten habe,damit nun edle uiel tugendreiche fraw e adel tugends in diesem ihren wittwen standt und betrubten fall sich zu trosten habe
523616,body,4,1,False,4,Demnach vberſende E. Adel. Tugendſ. ich ſolche meine gethane Leichpredigt/ mit angehenckter bitt/ E. A. T. woͤlle dieſelbe von mir vor gut auff vnd annehmen/ ſie fleiſſig durchleſen/ Jhr Adel. Tugendſ. betruͤbtes Hertz darauß ſtercken vnd troͤſten/ dero vngezweiffelten Zuverſicht/ GOtt der HErꝛ werde E. A. Tugendſ. in keiner noth verachten/ ſondern reichen Troſt widerfahren laſſen.,demnach vberſende e adel tugendſ ich ſolche meine gethane leichpredigt mit angehenckter bitt e a t woͤlle dieſelbe von mir vor gut auff vnd annehmen ſie fleiſſig durchleſen jhr adel tugendſ betruͤbtes hertz darauß ſtercken vnd troͤſten dero vngezweiffelten zuverſicht gott der herꝛ werde e a tugendſ in keiner noth verachten ſondern reichen troſt widerfahren laſſen,demnach ubersende e adel tugends ich solche meine gethane leichpredigt mit angehenckter bitt e a t wolle dieselbe uon mir uor gut auff und annehmen sie fleissig durchlesen ihr adel tugends betrubtes hertz darauss stercken und trosten dero ungezweiffelten zuuersicht gott der her werde e a tugends in keiner noth uerachten sondern reichen trost widerfahren lassen
523616,body,4,2,False,5,Vnd thue hiemit E. Adel. Tugendſ.,vnd thue hiemit e adel tugendſ,und thue hiemit e adel tugends
523616,body,4,3,False,5,Gott dem Allmaͤchtigen in ſeiner Gnaden Schutz empfehlen.,gott dem allmaͤchtigen in ſeiner gnaden schutz empfehlen,gott dem allmachtigen in seiner gnaden schutz empfehlen
523616,body,4,4,True,5,Geben Marpurg,geben marpurg,geben marpurg
