doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509201,body,0,0,True,1,"Chriſtliche Leichpredigt. Vber den ſchoͤnen Spruch des Geiſtreichen Hocherlauchten Apoſtels S. Pauli/ 2. Timoth. 4. verſ. 7. Jch habe einen gutten Kampff gekaͤmpffet/ ꝛc. Bey dem Begraͤbnuͤs Weylandt Des Ehꝛwürdigen/ Achtbaren vñ Wolgelarten Ehꝛn Chꝛiſtoff Fruͤmters/ beyder Gemeinden zu Korſchlitz vnd Stronnen geweſenen Pfarꝛers/ vnd des Ehrwuͤrdigen Presbyterii, im Olßniſchen Fürſtenthumb Wolverdienten Senioris biß ins 27 Jahr/ Welcher den 20. Tag Monats Martij vmb Veſperzeit auß dieſem Thraͤnenthal/ in den Himmeliſchen Frewden Saal iſt abgefordert/ vnd verſetzet worden: Deſſelben Chriſtliche Leiche den 27. Tag gedachten Monats in der Kirchen zu Korſchlitz Ehrlichen zur Erden beſtattet worden. Gehalten Bey Volckreicher Verſamlung/ beyder Gemeinden zu Korſchlitz vnd Stronnen. Durch Georgium Wellichium Olſnâ-Sileſium Beyder Gemeinden zu Korſchlitz vnd Stronnen Diaconum. Gedruckt zur Olſſe/ Bey Johan: Boͤſſemeſſern. 1618.",chriſtliche leichpredigt vber den ſchoͤnen spruch des geiſtreichen hocherlauchten apoſtels s pauli timoth verſ jch habe einen gutten kampff gekaͤmpffet ꝛc bey dem begraͤbnuͤs weylandt des ehꝛwürdigen achtbaren vñ wolgelarten ehꝛn chꝛiſtoff fruͤmters beyder gemeinden zu korſchlitz vnd stronnen geweſenen pfarꝛers vnd des ehrwuͤrdigen presbyterii im olßniſchen fürſtenthumb wolverdienten senioris biß ins jahr welcher den tag monats martij vmb veſperzeit auß dieſem thraͤnenthal in den himmeliſchen frewden saal iſt abgefordert vnd verſetzet worden deſſelben chriſtliche leiche den tag gedachten monats in der kirchen zu korſchlitz ehrlichen zur erden beſtattet worden gehalten bey volckreicher verſamlung beyder gemeinden zu korſchlitz vnd stronnen durch georgium wellichium olſnâsileſium beyder gemeinden zu korſchlitz vnd stronnen diaconum gedruckt zur olſſe bey johan boͤſſemeſſern,christliche leichpredigt uber den schonen spruch des geistreichen hocherlauchten apostels s pauli timoth uers ich habe einen gutten kampff gekampffet c bey dem begrabnus weylandt des ehwurdigen achtbaren und wolgelarten ehn chistoff frumters beyder gemeinden zu korschlitz und stronnen gewesenen pfarers und des ehrwurdigen presbyterii im olssnischen furstenthumb woluerdienten senioris biss ins iahr welcher den tag monats martii umb uesperzeit auss diesem thranenthal in den himmelischen frewden saal ist abgefordert und uersetzet worden desselben christliche leiche den tag gedachten monats in der kirchen zu korschlitz ehrlichen zur erden bestattet worden gehalten bey uolckreicher uersamlung beyder gemeinden zu korschlitz und stronnen durch georgium wellichium olsnasilesium beyder gemeinden zu korschlitz und stronnen diaconum gedruckt zur olsse bey iohan bossemessern
509201,body,1,0,False,2,Denen Erbahren/ Ehren Tugendtſamen/ auch Erbahren vnnd Vorſichtigen Frawen Chriſtina/ gedachten Ern Pfarꝛers ſeligen hinterlaſſenen betruͤbten Wittiben: So wol Samueln/ Frawen Annœ/ Catharinœ/ vnnd Jungfraw Chriſtinœ/ als ſeine hinterlaſſenen betruͤbten Sohn/ vnd Toͤchtern.,denen erbahren ehren tugendtſamen auch erbahren vnnd vorſichtigen frawen chriſtina gedachten ern pfarꝛers ſeligen hinterlaſſenen betruͤbten wittiben so wol samueln frawen annœ catharinœ vnnd jungfraw chriſtinœ als ſeine hinterlaſſenen betruͤbten sohn vnd toͤchtern,denen erbahren ehren tugendtsamen auch erbahren unnd uorsichtigen frawen christina gedachten ern pfarers seligen hinterlassenen betrubten wittiben so wol samueln frawen annoe catharinoe unnd iungfraw christinoe als seine hinterlassenen betrubten sohn und tochtern
509201,body,1,1,False,2,ERbahre/ Ehꝛentugendſame/ auch Erbahrer vnd Vorſichtiger/ ꝛc. Es iſt ein Loͤblicher gebꝛauch/ das man der vnſerigen/ die im HErꝛn entſchlaffen ſein/ jhꝛe Chꝛiſtliche LeichPredigten/ nicht allein offentlich halten: ſondern auch in offenen Druck verfertigen laſſe/ damit nicht alleine/ die Hinterlaſſenen betruͤbten Erben jhꝛes Gottſeligen Ehemannes/ Vatern oder Freundes: Sondern auch andere neben Chꝛiſten in dergleichen betruͤbten Faͤllen/ Chꝛiſtlichen Lebens/ Wandels/ vnnd ſeligen Abſchiedes/ auß dieſer Welt/ ein Gedaͤchtnuͤß/ Troſt vnnd Exempel haben moͤchten.,erbahre ehꝛentugendſame auch erbahrer vnd vorſichtiger ꝛc es iſt ein loͤblicher gebꝛauch das man der vnſerigen die im herꝛn entſchlaffen ſein jhꝛe chꝛiſtliche leichpredigten nicht allein offentlich halten ſondern auch in offenen druck verfertigen laſſe damit nicht alleine die hinterlaſſenen betruͤbten erben jhꝛes gottſeligen ehemannes vatern oder freundes sondern auch andere neben chꝛiſten in dergleichen betruͤbten faͤllen chꝛiſtlichen lebens wandels vnnd ſeligen abſchiedes auß dieſer welt ein gedaͤchtnuͤß troſt vnnd exempel haben moͤchten,erbahre ehentugendsame auch erbahrer und uorsichtiger c es ist ein loblicher gebauch das man der unserigen die im hern entschlaffen sein ihe chistliche leichpredigten nicht allein offentlich halten sondern auch in offenen druck uerfertigen lasse damit nicht alleine die hinterlassenen betrubten erben ihes gottseligen ehemannes uatern oder freundes sondern auch andere neben chisten in dergleichen betrubten fallen chistlichen lebens wandels unnd seligen abschiedes auss dieser welt ein gedachtnuss trost unnd exempel haben mochten
509201,body,1,2,True,2,Vmb welches willen/ Jch dann Ewerm Chꝛiſtlichen begehꝛen auch habe ſtatt thun/ vnd folgende Pꝛedigt Publiciren vnd in Druck außgehen laſſen wollen: Helffe der Trewe Gott/ das jhr vnnd alle frome Chꝛiſten die ſie leſen werden/ Lehr/ Troſt vnd Warnung darauß ſchoͤpffen moͤchten.,vmb welches willen jch dann ewerm chꝛiſtlichen begehꝛen auch habe ſtatt thun vnd folgende pꝛedigt publiciren vnd in druck außgehen laſſen wollen helffe der trewe gott das jhr vnnd alle frome chꝛiſten die ſie leſen werden lehr troſt vnd warnung darauß ſchoͤpffen moͤchten,umb welches willen ich dann ewerm chistlichen begehen auch habe statt thun und folgende pedigt publiciren und in druck aussgehen lassen wollen helffe der trewe gott das ihr unnd alle frome chisten die sie lesen werden lehr trost und warnung darauss schopffen mochten
509201,body,2,0,True,2,"Georgius Wellichius, beyder Gemeinden zu Korſchlitz vnd Stronnen Subſtitut oder Diaconus.",georgius wellichius beyder gemeinden zu korſchlitz vnd stronnen subſtitut oder diaconus,georgius wellichius beyder gemeinden zu korschlitz und stronnen substitut oder diaconus
509201,body,3,0,True,3,Die Gnade vnnd Barmhertzigkeit Gottes des Ewigen Vaters/ der vber Todt vnd Leben ein HERR iſt/ die Vnaußſpꝛechliche Liebe ſeines Sohnes JEſu Chꝛiſti/ welcher iſt die Aufferſtehung vnd das Leben/ Jn mitwuͤrckender krafft Gottes des H. Geiſtes/ welcher iſt ein Troͤſter in aller Noth/ ſey vnd bleibe mit vns allen/ in dieſem Elenden/ Muͤheſeligem/ vnd vergaͤnglichem Traurleben/ biß in die lang gewuͤnſchete Ewige Frewd vnd Seligkeit/ AMEN.,die gnade vnnd barmhertzigkeit gottes des ewigen vaters der vber todt vnd leben ein herr iſt die vnaußſpꝛechliche liebe ſeines sohnes jeſu chꝛiſti welcher iſt die aufferſtehung vnd das leben jn mitwuͤrckender krafft gottes des h geiſtes welcher iſt ein troͤſter in aller noth ſey vnd bleibe mit vns allen in dieſem elenden muͤheſeligem vnd vergaͤnglichem traurleben biß in die lang gewuͤnſchete ewige frewd vnd seligkeit amen,die gnade unnd barmhertzigkeit gottes des ewigen uaters der uber todt und leben ein herr ist die unaussspechliche liebe seines sohnes iesu chisti welcher ist die aufferstehung und das leben in mitwurckender krafft gottes des h geistes welcher ist ein troster in aller noth sey und bleibe mit uns allen in diesem elenden muheseligem und uerganglichem traurleben biss in die lang gewunschete ewige frewd und seligkeit amen
509201,body,4,0,False,3,JHꝛ geliebten in vnſerm Hochgeliebten HERRN vnnd Heylande JEſu Chriſto.,jhꝛ geliebten in vnſerm hochgeliebten herrn vnnd heylande jeſu chriſto,ih geliebten in unserm hochgeliebten herrn unnd heylande iesu christo
509201,body,4,1,False,3,Als der Geiſtreiche Hocherlauchte Koͤnigliche Pꝛophet David in ſeinem 91. Pſalm/ die groſſe Wolthaten vnſers Gottes/ die Er den jenigen/ welche vnter ſeinem Schutz vnd Schirm ſein vnd verbleiben/ zuerzeigen pfleget/ nach der lenge gerhuͤmet: So ſchleuſt Er endlich an ſtatt GOttes mit dieſen Worten gedachten Pſalm: Jch wil jhn Saͤttigen mit langem Leben/ vnd wil jhme zeigen mein Heyl.,als der geiſtreiche hocherlauchte koͤnigliche pꝛophet david in ſeinem pſalm die groſſe wolthaten vnſers gottes die er den jenigen welche vnter ſeinem schutz vnd schirm ſein vnd verbleiben zuerzeigen pfleget nach der lenge gerhuͤmet so ſchleuſt er endlich an ſtatt gottes mit dieſen worten gedachten pſalm jch wil jhn saͤttigen mit langem leben vnd wil jhme zeigen mein heyl,als der geistreiche hocherlauchte konigliche pophet dauid in seinem psalm die grosse wolthaten unsers gottes die er den ienigen welche unter seinem schutz und schirm sein und uerbleiben zuerzeigen pfleget nach der lenge gerhumet so schleust er endlich an statt gottes mit diesen worten gedachten psalm ich wil ihn sattigen mit langem leben und wil ihme zeigen mein heyl
509201,body,4,2,False,3,Damit der Prophet Zweyerley wolthaten Gottes anzeiget/ die er ſeinen Glaͤubigen in dieſer Welt erzeiget/ als: Das Er ſie Erſtlich ſaͤttige mit langem Leben: vnd dann auch jhnen ſein Gnaden Heyl zeige.,damit der prophet zweyerley wolthaten gottes anzeiget die er ſeinen glaͤubigen in dieſer welt erzeiget als das er ſie erſtlich ſaͤttige mit langem leben vnd dann auch jhnen ſein gnaden heyl zeige,damit der prophet zweyerley wolthaten gottes anzeiget die er seinen glaubigen in dieser welt erzeiget als das er sie erstlich sattige mit langem leben und dann auch ihnen sein gnaden heyl zeige
509201,body,4,3,True,3,Ob nun zwar der Trewe liebe Gott/ nicht allen menſchẽ zugleich ſolche beyderley er zeiget: ſo befinden wir doch/ wenn wir die H. Schrifft durch ſehẽ/ Drey vornehme H. Maͤnner/ in den drey vnterſchiedenen Haͤuptſtaͤnden/ an welchen GOtt beydes nacheinander erfuͤllet/ als das Er ſie mit langem Leben geſaͤttiget: vnd auch jhnen ſein Heyl gezeiget hat/ wie denn faſt von allen dreyen gemeldet wird/ das ſie in einem ruhigem Alter/ vnd Lebens ſatt/ von dieſer Welt abgeſchieden ſein.,ob nun zwar der trewe liebe gott nicht allen menſchẽ zugleich ſolche beyderley er zeiget ſo befinden wir doch wenn wir die h schrifft durch ſehẽ drey vornehme h maͤnner in den drey vnterſchiedenen haͤuptſtaͤnden an welchen gott beydes nacheinander erfuͤllet als das er ſie mit langem leben geſaͤttiget vnd auch jhnen ſein heyl gezeiget hat wie denn faſt von allen dreyen gemeldet wird das ſie in einem ruhigem alter vnd lebens ſatt von dieſer welt abgeſchieden ſein,ob nun zwar der trewe liebe gott nicht allen menschen zugleich solche beyderley er zeiget so befinden wir doch wenn wir die h schrifft durch sehen drey uornehme h manner in den drey unterschiedenen hauptstanden an welchen gott beydes nacheinander erfullet als das er sie mit langem leben gesattiget und auch ihnen sein heyl gezeiget hat wie denn fast uon allen dreyen gemeldet wird das sie in einem ruhigem alter und lebens satt uon dieser welt abgeschieden sein
