doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
braunschweig_abschiede_1619,head,0,0,True,2,"Landtages Abschiede Der Löblichen Fürsten zu Braunschweig etc. mit Jhrer F. F. G. G. Landständen Wolffenbüttelschen vnd Calenbergischen Theils Jn Annis 1597. zu Saltzthalem / 1601. zu Gandersheimb vnd 1619. zu Wolffenbüttel vffgerichtet. Mit angehengten offentlichen Constitutionibus, wie es in derselben Landen mit den Hülffen in Schuldsachen / vereusserung Lehen: vnd anderer Güter / dem dritten Pfennig vnd sonsten allenthalben gehalten werden sol. Menniglich vnd sonderlich den Vnterthanen / zur nachrichtung vnd gutem / in offenbaren Druck außgangen. Gedruckt zu Wolffenbüttel Durch Eliam Holwein / Fürstl. Br. Buchdrucker vnd Formschneider / Anno M. DC. XIX.",landtages abschiede der löblichen fürsten zu braunschweig etc mit jhrer f f g g landständen wolffenbüttelschen vnd calenbergischen theils jn annis zu saltzthalem zu gandersheimb vnd zu wolffenbüttel vffgerichtet mit angehengten offentlichen constitutionibus wie es in derselben landen mit den hülffen in schuldsachen vereusserung lehen vnd anderer güter dem dritten pfennig vnd sonsten allenthalben gehalten werden sol menniglich vnd sonderlich den vnterthanen zur nachrichtung vnd gutem in offenbaren druck außgangen gedruckt zu wolffenbüttel durch eliam holwein fürstl br buchdrucker vnd formschneider anno m dc xix,landtages abschiede der loblichen fursten zu braunschweig etc mit ihrer f f g g landstanden wolffenbuttelschen und calenbergischen theils in annis zu saltzthalem zu gandersheimb und zu wolffenbuttel uffgerichtet mit angehengten offentlichen constitutionibus wie es in derselben landen mit den hulffen in schuldsachen uereusserung lehen und anderer guter dem dritten pfennig und sonsten allenthalben gehalten werden sol menniglich und sonderlich den unterthanen zur nachrichtung und gutem in offenbaren druck aussgangen gedruckt zu wolffenbuttel durch eliam holwein furstl br buchdrucker und formschneider anno m dc xix
braunschweig_abschiede_1619,body,1,0,False,3,Von Gottes Gnaden Wir Friderich Vlrich / Hertzog zu Braunschweig vnd Lüneburgk / etc.,von gottes gnaden wir friderich vlrich hertzog zu braunschweig vnd lüneburgk etc,uon gottes gnaden wir friderich ulrich hertzog zu braunschweig und luneburgk etc
braunschweig_abschiede_1619,body,1,1,True,3,"Bekennen hiemit offentlich / daß zufolge des zwischen vns vnd vnser gehorsamb vnd Getrewen Landschafft vnsers Fürstenthumbs Braunschweig Wulffenbüttelschen theils / in Anno 1614. den 12. Octobris / in vnser Stadt Alfeld auff gerichtet / vñ publicirten Landtags Abschieds / gethaner gnädigen Versprechnüs / wir in gnaden angeordnet / daß die von vnserer Getrewen Landschafft Wulffenbütelschen theils / dazumahl vbergebene Gravamina / durch nachbenante deputirte, als nemlich vnsern Stadthalter / Cantzler / Vice Cantzler / Land Drosten / Kriegs Commissarien General / Geheimbte Cammer: auch Hoff: vnnd Consistorial Rähte / Ampt vnd Bergk Secretarien / Anthon von der Streidthorst auff Schliestedt / Eberharten von Weihe / Joachimb von der Streidthorst / Henning von Rheden / Friederichen von Vhder / Ericum Clacium der Rechten Doctorn vnnd Bartolden Rittern: Vnd dann auff der Landtschafft seiten / Vnsern Apten vnsers Closters Ringelheimb / Ern Renerum, Item Ern Valentin Möllern Decanum vnsers Stiffts S. Blasii in vnser Stadt Braunschweig / Statz von Münchausen / Hans von Olderßhausen / Adrian von Wrißbergk vnnd Tedel Burchardten von Wahnoden / Heinrich Ernsten / Rahtsfreundt der Stadt Helmstadt / vnnd Andreassen Kyhnen / Syndicum der Stadt Alfeld / wie im gleichen Ludolff Garssen / als vorerwehuter Wolffenbüttelschen Landschafft bestalten Syndicum in verhöer vnnd tractat ziehen / vnnd endlich nach befundener beschaffenheit / jedoch vorbehaltlich voriger Landtages Abschiede / welche nach wie vor in jhren vollen Würden vnd Krefften verbleiben sollen / heute dato verabscheiden lassen / Wie folget:",bekennen hiemit offentlich daß zufolge des zwischen vns vnd vnser gehorsamb vnd getrewen landschafft vnsers fürstenthumbs braunschweig wulffenbüttelschen theils in anno den octobris in vnser stadt alfeld auff gerichtet vñ publicirten landtags abschieds gethaner gnädigen versprechnüs wir in gnaden angeordnet daß die von vnserer getrewen landschafft wulffenbütelschen theils dazumahl vbergebene gravamina durch nachbenante deputirte als nemlich vnsern stadthalter cantzler vice cantzler land drosten kriegs commissarien general geheimbte cammer auch hoff vnnd consistorial rähte ampt vnd bergk secretarien anthon von der streidthorst auff schliestedt eberharten von weihe joachimb von der streidthorst henning von rheden friederichen von vhder ericum clacium der rechten doctorn vnnd bartolden rittern vnd dann auff der landtschafft seiten vnsern apten vnsers closters ringelheimb ern renerum item ern valentin möllern decanum vnsers stiffts s blasii in vnser stadt braunschweig statz von münchausen hans von olderßhausen adrian von wrißbergk vnnd tedel burchardten von wahnoden heinrich ernsten rahtsfreundt der stadt helmstadt vnnd andreassen kyhnen syndicum der stadt alfeld wie im gleichen ludolff garssen als vorerwehuter wolffenbüttelschen landschafft bestalten syndicum in verhöer vnnd tractat ziehen vnnd endlich nach befundener beschaffenheit jedoch vorbehaltlich voriger landtages abschiede welche nach wie vor in jhren vollen würden vnd krefften verbleiben sollen heute dato verabscheiden lassen wie folget,bekennen hiemit offentlich dass zufolge des zwischen uns und unser gehorsamb und getrewen landschafft unsers furstenthumbs braunschweig wulffenbuttelschen theils in anno den octobris in unser stadt alfeld auff gerichtet und publicirten landtags abschieds gethaner gnadigen uersprechnus wir in gnaden angeordnet dass die uon unserer getrewen landschafft wulffenbutelschen theils dazumahl ubergebene grauamina durch nachbenante deputirte als nemlich unsern stadthalter cantzler uice cantzler land drosten kriegs commissarien general geheimbte cammer auch hoff unnd consistorial rahte ampt und bergk secretarien anthon uon der streidthorst auff schliestedt eberharten uon weihe ioachimb uon der streidthorst henning uon rheden friederichen uon uhder ericum clacium der rechten doctorn unnd bartolden rittern und dann auff der landtschafft seiten unsern apten unsers closters ringelheimb ern renerum item ern ualentin mollern decanum unsers stiffts s blasii in unser stadt braunschweig statz uon munchausen hans uon oldersshausen adrian uon wrissbergk unnd tedel burchardten uon wahnoden heinrich ernsten rahtsfreundt der stadt helmstadt unnd andreassen kyhnen syndicum der stadt alfeld wie im gleichen ludolff garssen als uorerwehuter wolffenbuttelschen landschafft bestalten syndicum in uerhoer unnd tractat ziehen unnd endlich nach befundener beschaffenheit iedoch uorbehaltlich uoriger landtages abschiede welche nach wie uor in ihren uollen wurden und krefften uerbleiben sollen heute dato uerabscheiden lassen wie folget
braunschweig_abschiede_1619,body,2,0,True,4,"ALs nemblich vnnd vors Erste / sollen alle drey Stende vnnd gemeine Vnterthanen dieses vnsers Fürstenthumbs bey rechter / wahrer / erkandter vnnd bekandter Religion der Augspurgischen vnverenderten Confession / in Anno der weiniger zahl 30. vffm Reichstage zu Augspurg vbergeben: Item Corpore Doctrinae Iulio vnd Kirchenordnung dieses Fürstenthumbs gemeß jnhalts dero dieserwegen außgegebenen Fürstlichen Reversen vnd Assecurationen, manutenirt, geschützt / vnd darvber in keinerley wege beschwert werden.",als nemblich vnnd vors erste sollen alle drey stende vnnd gemeine vnterthanen dieses vnsers fürstenthumbs bey rechter wahrer erkandter vnnd bekandter religion der augspurgischen vnverenderten confession in anno der weiniger zahl vffm reichstage zu augspurg vbergeben item corpore doctrinae iulio vnd kirchenordnung dieses fürstenthumbs gemeß jnhalts dero dieserwegen außgegebenen fürstlichen reversen vnd assecurationen manutenirt geschützt vnd darvber in keinerley wege beschwert werden,als nemblich unnd uors erste sollen alle drey stende unnd gemeine unterthanen dieses unsers furstenthumbs bey rechter wahrer erkandter unnd bekandter religion der augspurgischen unuerenderten confession in anno der weiniger zahl uffm reichstage zu augspurg ubergeben item corpore doctrinae iulio und kirchenordnung dieses furstenthumbs gemess inhalts dero dieserwegen aussgegebenen furstlichen reuersen und assecurationen manutenirt geschutzt und daruber in keinerley wege beschwert werden
braunschweig_abschiede_1619,body,3,0,True,4,"WJe dann auch vors Ander / keine frembde Lehr / wie die nahmen haben mag / als dieselbe in Corpore Doctrinae Iulio vnd der Fürstlichen Kirchenordnung specificirt vnnd außgesetzt seyn / viel weniger aber die Vngleubige / Gotteslesterliche Juden / vermüge des Saltzdalmschen Abschieds Art. 24. noch jemands anders / so verdächtige Lehre spargiren, defendiren oder propagiren wolte / gelitten / vnnd damit man sich deßfals desto weniger vnheils vnd verwirrung in Religionssachen zubesorgen haben müge / nicht allein die specialvisitationes der Pastoren, vnnd Kirchen fleissig gehalten / die befundene mengel ins Fürstliche Consistorium eingeschickt / daselbsten abgeschafft / vnd da nöhtig / die allgemeine visitatio angestellt / Sondern auch bey annehmung der Geist: vnnd Weltlichen Rähte / Secretarien / vnd anderer vornehmer Officirer allhie im Consistorio / bey Hoffe vnd auff dem Lande / wie auch vornemblich der Professoren in der Iulius Vniversitet zu Helmstadt in vffrichtender bestallung (gestalt die jenige Professoren zu Helmstadt / welche allbereits in der Iulius Vniversitet in bestallung seyn / sich dazu habilitirt machen sollen) in acht genommen / vnnd darauff die Aydespflicht abgelegt werden / daß sie vnnd ein jeder sich zu der vn verenderten Augspurgischen Confession vnd Corpore Doctrinae Iulio bekennen / darvber steiff vnd fest halten / vnd dagegen nichts einreissen lassen wollen / do aber all vorigem zuwider etwas einreissen vnd gespürt würde / daß darauff die Pastoren vnd Superintendenten gute achtung geben / vnd die befindung vnserm Consistorio berichten sollen.",wje dann auch vors ander keine frembde lehr wie die nahmen haben mag als dieselbe in corpore doctrinae iulio vnd der fürstlichen kirchenordnung specificirt vnnd außgesetzt seyn viel weniger aber die vngleubige gotteslesterliche juden vermüge des saltzdalmschen abschieds art noch jemands anders so verdächtige lehre spargiren defendiren oder propagiren wolte gelitten vnnd damit man sich deßfals desto weniger vnheils vnd verwirrung in religionssachen zubesorgen haben müge nicht allein die specialvisitationes der pastoren vnnd kirchen fleissig gehalten die befundene mengel ins fürstliche consistorium eingeschickt daselbsten abgeschafft vnd da nöhtig die allgemeine visitatio angestellt sondern auch bey annehmung der geist vnnd weltlichen rähte secretarien vnd anderer vornehmer officirer allhie im consistorio bey hoffe vnd auff dem lande wie auch vornemblich der professoren in der iulius vniversitet zu helmstadt in vffrichtender bestallung gestalt die jenige professoren zu helmstadt welche allbereits in der iulius vniversitet in bestallung seyn sich dazu habilitirt machen sollen in acht genommen vnnd darauff die aydespflicht abgelegt werden daß sie vnnd ein jeder sich zu der vn verenderten augspurgischen confession vnd corpore doctrinae iulio bekennen darvber steiff vnd fest halten vnd dagegen nichts einreissen lassen wollen do aber all vorigem zuwider etwas einreissen vnd gespürt würde daß darauff die pastoren vnd superintendenten gute achtung geben vnd die befindung vnserm consistorio berichten sollen,wie dann auch uors ander keine frembde lehr wie die nahmen haben mag als dieselbe in corpore doctrinae iulio und der furstlichen kirchenordnung specificirt unnd aussgesetzt seyn uiel weniger aber die ungleubige gotteslesterliche iuden uermuge des saltzdalmschen abschieds art noch iemands anders so uerdachtige lehre spargiren defendiren oder propagiren wolte gelitten unnd damit man sich dessfals desto weniger unheils und uerwirrung in religionssachen zubesorgen haben muge nicht allein die specialuisitationes der pastoren unnd kirchen fleissig gehalten die befundene mengel ins furstliche consistorium eingeschickt daselbsten abgeschafft und da nohtig die allgemeine uisitatio angestellt sondern auch bey annehmung der geist unnd weltlichen rahte secretarien und anderer uornehmer officirer allhie im consistorio bey hoffe und auff dem lande wie auch uornemblich der professoren in der iulius uniuersitet zu helmstadt in uffrichtender bestallung gestalt die ienige professoren zu helmstadt welche allbereits in der iulius uniuersitet in bestallung seyn sich dazu habilitirt machen sollen in acht genommen unnd darauff die aydespflicht abgelegt werden dass sie unnd ein ieder sich zu der un uerenderten augspurgischen confession und corpore doctrinae iulio bekennen daruber steiff und fest halten und dagegen nichts einreissen lassen wollen do aber all uorigem zuwider etwas einreissen und gespurt wurde dass darauff die pastoren und superintendenten gute achtung geben und die befindung unserm consistorio berichten sollen
braunschweig_abschiede_1619,body,4,0,False,5,Als auch vors Dritte / die Fürstl.,als auch vors dritte die fürstl,als auch uors dritte die furstl
braunschweig_abschiede_1619,body,4,1,True,5,"Iulius Vniversitet zu Helmstadt zu dieser Lande ewigem Rhum mit schweren kosten gestifftet vnd vnterhalten / vnd aber bey derselben allerhand grosser mangel befunden wird: So sol dieselbe mit zuziehung etzlicher aus den Landstenden / zu deren behueff dann die Landschafft allbereits gewisse Personen benennt / mit ernstem fleiß / sobald jmmer müglich / vnnd man darzu / wegen anderer heuffig ein: vnnd vorfallender sachen / gerahten kan / visitirt, die mengel im profitiren vnnd lesen auch vbermessige libertet der studirenden Jugend / sonderlich aber vñ bevorab der Stipendiaten / so aus den Klöstern allererst dahin promovirt, welches dann / wie auch daß denselben sonderbahre Inspectores gesetzt / vnnd die examina semestria mit denselben wieder angeordnet bey künfftiger anderwert anstellenden visitation in sonderbahre vffacht genommen / corrigirt vnnd abgeschaffet / dieselbe in bessern Stand gebracht / vnd vber denen hiebevorn gegebenen Visitations Abschieden der gebühr / vnnd besser / als bißhero geschehen / gehalten / auch dero behueff nach befindung noch ferner nützliche Ordnung bey zukünfftiger visitation vnd sonsten gemacht werden.",iulius vniversitet zu helmstadt zu dieser lande ewigem rhum mit schweren kosten gestifftet vnd vnterhalten vnd aber bey derselben allerhand grosser mangel befunden wird so sol dieselbe mit zuziehung etzlicher aus den landstenden zu deren behueff dann die landschafft allbereits gewisse personen benennt mit ernstem fleiß sobald jmmer müglich vnnd man darzu wegen anderer heuffig ein vnnd vorfallender sachen gerahten kan visitirt die mengel im profitiren vnnd lesen auch vbermessige libertet der studirenden jugend sonderlich aber vñ bevorab der stipendiaten so aus den klöstern allererst dahin promovirt welches dann wie auch daß denselben sonderbahre inspectores gesetzt vnnd die examina semestria mit denselben wieder angeordnet bey künfftiger anderwert anstellenden visitation in sonderbahre vffacht genommen corrigirt vnnd abgeschaffet dieselbe in bessern stand gebracht vnd vber denen hiebevorn gegebenen visitations abschieden der gebühr vnnd besser als bißhero geschehen gehalten auch dero behueff nach befindung noch ferner nützliche ordnung bey zukünfftiger visitation vnd sonsten gemacht werden,iulius uniuersitet zu helmstadt zu dieser lande ewigem rhum mit schweren kosten gestifftet und unterhalten und aber bey derselben allerhand grosser mangel befunden wird so sol dieselbe mit zuziehung etzlicher aus den landstenden zu deren behueff dann die landschafft allbereits gewisse personen benennt mit ernstem fleiss sobald immer muglich unnd man darzu wegen anderer heuffig ein unnd uorfallender sachen gerahten kan uisitirt die mengel im profitiren unnd lesen auch ubermessige libertet der studirenden iugend sonderlich aber und beuorab der stipendiaten so aus den klostern allererst dahin promouirt welches dann wie auch dass denselben sonderbahre inspectores gesetzt unnd die examina semestria mit denselben wieder angeordnet bey kunfftiger anderwert anstellenden uisitation in sonderbahre uffacht genommen corrigirt unnd abgeschaffet dieselbe in bessern stand gebracht und uber denen hiebeuorn gegebenen uisitations abschieden der gebuhr unnd besser als bisshero geschehen gehalten auch dero behueff nach befindung noch ferner nutzliche ordnung bey zukunfftiger uisitation und sonsten gemacht werden
braunschweig_abschiede_1619,body,5,0,True,6,Es sollen auch zum Vierdten / die Klöster in gutem Stande erhalten / dieselbe mit newen oneribus nicht belegt / in den Herrn Klöstern die Schulen mit guter Ordnung verbessert / vnnd die Knaben nicht nach Gunst vnd ohn vnterscheid / sondern nach anweisung der Fürstlichen Kirchenordnung vberal / vnnd die jenige eingenommen / zu welchen man gute Hoffnung hat: Auch die Jungfrawen Klöstern mit dürfftigen Adelichen / vnnd andern züchtigen Jungfrawen besetzt / gute disciplin darinn gehalten / vnd junge Mägdlein Adelichen vnd Bürgerlichen Stands / vmb ein liederliches Kostgeld vff gnedige verordnung vnterhalten / in Gottesfurcht erzogen / vnnd im nehen / lesen vnd schreiben vnterwiesen werden.,es sollen auch zum vierdten die klöster in gutem stande erhalten dieselbe mit newen oneribus nicht belegt in den herrn klöstern die schulen mit guter ordnung verbessert vnnd die knaben nicht nach gunst vnd ohn vnterscheid sondern nach anweisung der fürstlichen kirchenordnung vberal vnnd die jenige eingenommen zu welchen man gute hoffnung hat auch die jungfrawen klöstern mit dürfftigen adelichen vnnd andern züchtigen jungfrawen besetzt gute disciplin darinn gehalten vnd junge mägdlein adelichen vnd bürgerlichen stands vmb ein liederliches kostgeld vff gnedige verordnung vnterhalten in gottesfurcht erzogen vnnd im nehen lesen vnd schreiben vnterwiesen werden,es sollen auch zum uierdten die kloster in gutem stande erhalten dieselbe mit newen oneribus nicht belegt in den herrn klostern die schulen mit guter ordnung uerbessert unnd die knaben nicht nach gunst und ohn unterscheid sondern nach anweisung der furstlichen kirchenordnung uberal unnd die ienige eingenommen zu welchen man gute hoffnung hat auch die iungfrawen klostern mit durfftigen adelichen unnd andern zuchtigen iungfrawen besetzt gute disciplin darinn gehalten und iunge magdlein adelichen und burgerlichen stands umb ein liederliches kostgeld uff gnedige uerordnung unterhalten in gottesfurcht erzogen unnd im nehen lesen und schreiben unterwiesen werden
braunschweig_abschiede_1619,body,6,0,True,6,"Das Geistliche Consistorium sol sich / vors Fünffte / vermüge vnd jnhalts der Kirchenordnung dieses Fürstenthumbs vnnd gemeiner Rechte / in den Schrancken Ecclesiasticae Jurisdictionis verhalten / vnd dieselbe nicht vberschreiten / auch in vorfallenden sachen den Geistlichen zur vngebühr vor den Weltlichen nicht favorisirt / viel weniger denselben vbergeholffen / Sondern nach befindung mit gehörigem Ernst angesehen / auch in klaren vndisputirlichen Schuldsachen / vor den Superintendenten jedes orts / wider sie procediret, vnd nach befindung der Gerichtsherr daselbsten von den Superintendenten vmb erlangung der Execution requirirt vnnd angeruffen / Wie imgleichen bey den Pastorn der mißbrauch mit holhippen / boldern schnarchen / verbannen vff: vnnd ausser der Cantzel (jedoch vorbeheltlich des hochnothwendigen Straffampts) abgeschaffet / zu deme Consistoria generalia alljährlich / vnnd so offt es die notturfft erfordert / angestellt vnnd gehalten / Die vbermessige zehrung vnnd vffgangk bey den Kirchen visitationen vnnd Rechnungen eingezogen / vnd jedes orts die Gerichtsherrn neben den Superintendenten allein darzu gezogen / vnd da die vom Adel / vnnd andere die Gerichte haben / oder coercition bestendiger vnnd rechtmessiger weise hergebracht die Beamptẽ darzu nicht verstattet / Noch auch den Kirchvätern zugelassen werden / den Pastoribus vnnd Superintendenten, von den Kirchen Geldern / ohne vorwissen des Consiorii / wie auch dero der Augspurgischen Confession verwandten / vnd allhie in diesem Fürstenthumb Braunschweig gesessenen Patronen etwas vorzustrecken / viel weniger aber sie die Kirchväter etwas davon zu jhrem eignen gebrauch zu nehmen / vnd da dergleichen beschehen / jhnen hiemit vfferlegt seyn / solches zwischen dato vnnd bevorstehenden Ostern ein: vnd wieder herbey zubringen / vnnd an andere sichere örter vmb Zins / vff genugsame vnterpfendtliche versicherung auß zuthun.",das geistliche consistorium sol sich vors fünffte vermüge vnd jnhalts der kirchenordnung dieses fürstenthumbs vnnd gemeiner rechte in den schrancken ecclesiasticae jurisdictionis verhalten vnd dieselbe nicht vberschreiten auch in vorfallenden sachen den geistlichen zur vngebühr vor den weltlichen nicht favorisirt viel weniger denselben vbergeholffen sondern nach befindung mit gehörigem ernst angesehen auch in klaren vndisputirlichen schuldsachen vor den superintendenten jedes orts wider sie procediret vnd nach befindung der gerichtsherr daselbsten von den superintendenten vmb erlangung der execution requirirt vnnd angeruffen wie imgleichen bey den pastorn der mißbrauch mit holhippen boldern schnarchen verbannen vff vnnd ausser der cantzel jedoch vorbeheltlich des hochnothwendigen straffampts abgeschaffet zu deme consistoria generalia alljährlich vnnd so offt es die notturfft erfordert angestellt vnnd gehalten die vbermessige zehrung vnnd vffgangk bey den kirchen visitationen vnnd rechnungen eingezogen vnd jedes orts die gerichtsherrn neben den superintendenten allein darzu gezogen vnd da die vom adel vnnd andere die gerichte haben oder coercition bestendiger vnnd rechtmessiger weise hergebracht die beamptẽ darzu nicht verstattet noch auch den kirchvätern zugelassen werden den pastoribus vnnd superintendenten von den kirchen geldern ohne vorwissen des consiorii wie auch dero der augspurgischen confession verwandten vnd allhie in diesem fürstenthumb braunschweig gesessenen patronen etwas vorzustrecken viel weniger aber sie die kirchväter etwas davon zu jhrem eignen gebrauch zu nehmen vnd da dergleichen beschehen jhnen hiemit vfferlegt seyn solches zwischen dato vnnd bevorstehenden ostern ein vnd wieder herbey zubringen vnnd an andere sichere örter vmb zins vff genugsame vnterpfendtliche versicherung auß zuthun,das geistliche consistorium sol sich uors funffte uermuge und inhalts der kirchenordnung dieses furstenthumbs unnd gemeiner rechte in den schrancken ecclesiasticae iurisdictionis uerhalten und dieselbe nicht uberschreiten auch in uorfallenden sachen den geistlichen zur ungebuhr uor den weltlichen nicht fauorisirt uiel weniger denselben ubergeholffen sondern nach befindung mit gehorigem ernst angesehen auch in klaren undisputirlichen schuldsachen uor den superintendenten iedes orts wider sie procediret und nach befindung der gerichtsherr daselbsten uon den superintendenten umb erlangung der execution requirirt unnd angeruffen wie imgleichen bey den pastorn der missbrauch mit holhippen boldern schnarchen uerbannen uff unnd ausser der cantzel iedoch uorbeheltlich des hochnothwendigen straffampts abgeschaffet zu deme consistoria generalia alliahrlich unnd so offt es die notturfft erfordert angestellt unnd gehalten die ubermessige zehrung unnd uffgangk bey den kirchen uisitationen unnd rechnungen eingezogen und iedes orts die gerichtsherrn neben den superintendenten allein darzu gezogen und da die uom adel unnd andere die gerichte haben oder coercition bestendiger unnd rechtmessiger weise hergebracht die beampten darzu nicht uerstattet noch auch den kirchuatern zugelassen werden den pastoribus unnd superintendenten uon den kirchen geldern ohne uorwissen des consiorii wie auch dero der augspurgischen confession uerwandten und allhie in diesem furstenthumb braunschweig gesessenen patronen etwas uorzustrecken uiel weniger aber sie die kirchuater etwas dauon zu ihrem eignen gebrauch zu nehmen und da dergleichen beschehen ihnen hiemit ufferlegt seyn solches zwischen dato unnd beuorstehenden ostern ein und wieder herbey zubringen unnd an andere sichere orter umb zins uff genugsame unterpfendtliche uersicherung auss zuthun
braunschweig_abschiede_1619,body,7,0,False,7,"Damit auch zum Sechsten / die Liebe Iustitz schleunig befürdert werde / als sollen die Gerichte jedes orts / mit Gelarten / vnnd der Rechte wolerfahrnen Personen besetzt / die sachen durch die Referenten vnnachlessig befordert / die vnnötige vnnd außflüchtige dilationes, wie auch vnnötige handlungen nicht verstattet / wie imgleichen in klaren / richtigen vnd vndisputirlichen schuldsachen / klagendem theile / vnvffheltlich verholffen / vnd darwieder vnnd vor beschehener bezahlung keine Supplicationes, Appellationes, Inhibitiones, noch auch andere Exceptiones, es were dann daß beklagter Solutionem in Continenti beweisen könte / oder liquidationem praetendirte, attendirt / die Relationes in richtigen sachen / sonderlich da definitivè zuerkennen / durch die Rähte trewlich verrichtet / vnd also vnpartheiliche Justitz menniglichen administriret, zu welcher behueff die Fürstliche Cantzley vnnd Hoffgerichts Ordnungen / mit zuziehung etzlicher aus der Landschafft / worzu der gnedige Landes-Fürst sich dann vor dißmahl aus Fürstlicher mildigkeit erboten hat / revidirt vnnd publicirt, auch die zweiffelhafftige fälle in gewisse Constitutiones verfasset / die Extrajudicial Decreta nicht attendirt, wie dann an Magistratum jedes orts / so schleunig keine Inhibitiones in extrajudicial sachen / erkandt / sondern zu forderst vmb bericht geschrieben werden / auch zu dem ende daß in Jagt: Forst: vnnd Amptsachen: vnd daß darinnen / so weinig an Fürstl.",damit auch zum sechsten die liebe iustitz schleunig befürdert werde als sollen die gerichte jedes orts mit gelarten vnnd der rechte wolerfahrnen personen besetzt die sachen durch die referenten vnnachlessig befordert die vnnötige vnnd außflüchtige dilationes wie auch vnnötige handlungen nicht verstattet wie imgleichen in klaren richtigen vnd vndisputirlichen schuldsachen klagendem theile vnvffheltlich verholffen vnd darwieder vnnd vor beschehener bezahlung keine supplicationes appellationes inhibitiones noch auch andere exceptiones es were dann daß beklagter solutionem in continenti beweisen könte oder liquidationem praetendirte attendirt die relationes in richtigen sachen sonderlich da definitivè zuerkennen durch die rähte trewlich verrichtet vnd also vnpartheiliche justitz menniglichen administriret zu welcher behueff die fürstliche cantzley vnnd hoffgerichts ordnungen mit zuziehung etzlicher aus der landschafft worzu der gnedige landesfürst sich dann vor dißmahl aus fürstlicher mildigkeit erboten hat revidirt vnnd publicirt auch die zweiffelhafftige fälle in gewisse constitutiones verfasset die extrajudicial decreta nicht attendirt wie dann an magistratum jedes orts so schleunig keine inhibitiones in extrajudicial sachen erkandt sondern zu forderst vmb bericht geschrieben werden auch zu dem ende daß in jagt forst vnnd amptsachen vnd daß darinnen so weinig an fürstl,damit auch zum sechsten die liebe iustitz schleunig befurdert werde als sollen die gerichte iedes orts mit gelarten unnd der rechte wolerfahrnen personen besetzt die sachen durch die referenten unnachlessig befordert die unnotige unnd aussfluchtige dilationes wie auch unnotige handlungen nicht uerstattet wie imgleichen in klaren richtigen und undisputirlichen schuldsachen klagendem theile unuffheltlich uerholffen und darwieder unnd uor beschehener bezahlung keine supplicationes appellationes inhibitiones noch auch andere exceptiones es were dann dass beklagter solutionem in continenti beweisen konte oder liquidationem praetendirte attendirt die relationes in richtigen sachen sonderlich da definitiue zuerkennen durch die rahte trewlich uerrichtet und also unpartheiliche iustitz menniglichen administriret zu welcher behueff die furstliche cantzley unnd hoffgerichts ordnungen mit zuziehung etzlicher aus der landschafft worzu der gnedige landesfurst sich dann uor dissmahl aus furstlicher mildigkeit erboten hat reuidirt unnd publicirt auch die zweiffelhafftige falle in gewisse constitutiones uerfasset die extraiudicial decreta nicht attendirt wie dann an magistratum iedes orts so schleunig keine inhibitiones in extraiudicial sachen erkandt sondern zu forderst umb bericht geschrieben werden auch zu dem ende dass in iagt forst unnd amptsachen und dass darinnen so weinig an furstl
