doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
friderici_musica_1619,body,0,0,True,[1],"MUSICA FIGURALIS, Oder Newe Klaͤrliche Richtige/ vnd vorſtentliche vnterweiſung/ Der SingeKunſt. Mit gewiſſen Regulen, klaren vnd verſtendigen Exemplen, neben vollkommener erklaͤrung der Modorum Muſicorum. Vor die Particular Schul zu Roſtock zugerichtet Von DANIELE FRIDERICI Isleb. S. S. Th. St. vnd Cant. Primar. doſelbſt. Gedruckt zu Roſtock durch Jochim Fueß/ Bey Joh. Hallervordt zu finden. ANNO M. DC. XIX.",musica figuralis oder newe klaͤrliche richtige vnd vorſtentliche vnterweiſung der singekunſt mit gewiſſen regulen klaren vnd verſtendigen exemplen neben vollkommener erklaͤrung der modorum muſicorum vor die particular schul zu roſtock zugerichtet von daniele friderici isleb s s th st vnd cant primar doſelbſt gedruckt zu roſtock durch jochim fueß bey joh hallervordt zu finden anno m dc xix,musica figuralis oder newe klarliche richtige und uorstentliche unterweisung der singekunst mit gewissen regulen klaren und uerstendigen exemplen neben uollkommener erklarung der modorum musicorum uor die particular schul zu rostock zugerichtet uon daniele friderici isleb s s th st und cant primar doselbst gedruckt zu rostock durch iochim fuess bey ioh halleruordt zu finden anno m dc xix
friderici_musica_1619,body,1,0,True,[2],Denen GOttesfuͤrchtigen/ Zuͤchtigen vnd Ehrliebenden Jungen Geſellen vnd Knaben.,denen gottesfuͤrchtigen zuͤchtigen vnd ehrliebenden jungen geſellen vnd knaben,denen gottesfurchtigen zuchtigen und ehrliebenden iungen gesellen und knaben
friderici_musica_1619,body,2,0,False,[2],"Simoni Pauli, Joachimo Fuͤlbier/ Johanni Kaͤntzeler/ Michaeli Schulten/ Johanni Dunckern/ Conrado Beckman/ Zachariæ Schummern Joachimo Schoͤnerma.",simoni pauli joachimo fuͤlbier johanni kaͤntzeler michaeli schulten johanni dunckern conrado beckman zachariæ schummern joachimo schoͤnerma,simoni pauli ioachimo fulbier iohanni kantzeler michaeli schulten iohanni dunckern conrado beckman zachariae schummern ioachimo schonerma
friderici_musica_1619,body,2,1,False,[2],Joachimo Weſtphal/ Michaeli Geißmar/ Davidi Deutſchen/ Jacobo Nettelblat/ Joanni Maeß/ Chriſtiano Freitag/ Joanni Stavenow/ Joachimo Wedege/ Michaeli Schwaben/ Heinrico Wendt/ Heinrico Bueck.,joachimo weſtphal michaeli geißmar davidi deutſchen jacobo nettelblat joanni maeß chriſtiano freitag joanni stavenow joachimo wedege michaeli schwaben heinrico wendt heinrico bueck,ioachimo westphal michaeli geissmar dauidi deutschen iacobo nettelblat ioanni maess christiano freitag ioanni stauenow ioachimo wedege michaeli schwaben heinrico wendt heinrico bueck
friderici_musica_1619,body,2,2,True,[2],Georgio Kuͤſtern.,georgio kuͤſtern,georgio kustern
friderici_musica_1619,body,3,0,True,[2],Wie dann auch allen vnnd jedern Knaben/ der Particular Schul zu Roſtock/,wie dann auch allen vnnd jedern knaben der particular schul zu roſtock,wie dann auch allen unnd iedern knaben der particular schul zu rostock
friderici_musica_1619,body,4,0,True,[2],Seinen lieben Diſcipulis zur wolmeinenden anreitzung in der Muſic Kunſt ſich fleiſſig zu vben/,seinen lieben diſcipulis zur wolmeinenden anreitzung in der muſic kunſt ſich fleiſſig zu vben,seinen lieben discipulis zur wolmeinenden anreitzung in der music kunst sich fleissig zu uben
friderici_musica_1619,body,5,0,True,[2],Vorehret diß Buͤchlein der Author.,vorehret diß buͤchlein der author,uorehret diss buchlein der author
friderici_musica_1619,head,6,0,True,[3],Von der Muſica,von der muſica,uon der musica
friderici_musica_1619,head,7,0,True,[3],CAPUT I.,caput i,caput i
friderici_musica_1619,body,8,0,True,[3],Was iſt die Muſica?,was iſt die muſica,was ist die musica
