doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523619a,head,0,0,True,[1],Chriſtliche Leichpredigt/ Bey der Sepultur deß Adelichen Juͤnglings Carll Chriſtoff von Gellhorn/ Deß Edlen wol Ehrenveſten/ auch Wolbenampten Herren Friederiches von Gellhorn vnd Petterßdorff/ auff Jacobin vnd Conradt hertzliebſten Sohnes/ welcher den 15. Januarii dieſes inſtehenden 1619. Jahres in der Kirchen zu Bripſen iſt zur Erden beſtetiget worden. Erklaͤret von Nicolao Ropilio Trewen Seelſorgern daſelbſt. Lucæ 22. Cap. Jhr ſeyt es die jhr bey mir verharret habet in meinen Anfechtungen/ vnd ich wil euch das Reich beſcheiden/ wie mir mein Vater beſcheiden hat/ daß jhr eſſen vnd trincken ſolt vber meinem Tiſche in meinem Reiche.,chriſtliche leichpredigt bey der sepultur deß adelichen juͤnglings carll chriſtoff von gellhorn deß edlen wol ehrenveſten auch wolbenampten herren friederiches von gellhorn vnd petterßdorff auff jacobin vnd conradt hertzliebſten sohnes welcher den januarii dieſes inſtehenden jahres in der kirchen zu bripſen iſt zur erden beſtetiget worden erklaͤret von nicolao ropilio trewen seelſorgern daſelbſt lucæ cap jhr ſeyt es die jhr bey mir verharret habet in meinen anfechtungen vnd ich wil euch das reich beſcheiden wie mir mein vater beſcheiden hat daß jhr eſſen vnd trincken ſolt vber meinem tiſche in meinem reiche,christliche leichpredigt bey der sepultur dess adelichen iunglings carll christoff uon gellhorn dess edlen wol ehrenuesten auch wolbenampten herren friederiches uon gellhorn und petterssdorff auff iacobin und conradt hertzliebsten sohnes welcher den ianuarii dieses instehenden iahres in der kirchen zu bripsen ist zur erden bestetiget worden erklaret uon nicolao ropilio trewen seelsorgern daselbst lucae cap ihr seyt es die ihr bey mir uerharret habet in meinen anfechtungen und ich wil euch das reich bescheiden wie mir mein uater bescheiden hat dass ihr essen und trincken solt uber meinem tische in meinem reiche
523619a,head,1,0,True,[3],Textus Sapien. 4.,textus sapien,textus sapien
523619a,body,2,0,True,[3],Außlegung deß Textes.,außlegung deß textes,ausslegung dess textes
523619a,body,3,0,False,[3],"WIr leſen von dem Hochweiſen vnd Beruͤhmbten Manne Cicerone, daß als jhm ſeine Tochter Tullia mit dem Tode verblichen/ daß er gantz ein jaͤmmerliches Klagen gefuͤhret/ daß der Servius Sulpitius verurſacht/ jhn als einen Trewen Freund zu troͤſten/ vnd fuͤhrt jhme zu Gemuͤte: Erſtlich/ Er ſolle betrachten/ daß das wiederwertige Gluͤck alle Menſchen hinweg rucket/ was jhnen am liebſten iſt/ oder geweſt.",wir leſen von dem hochweiſen vnd beruͤhmbten manne cicerone daß als jhm ſeine tochter tullia mit dem tode verblichen daß er gantz ein jaͤmmerliches klagen gefuͤhret daß der servius sulpitius verurſacht jhn als einen trewen freund zu troͤſten vnd fuͤhrt jhme zu gemuͤte erſtlich er ſolle betrachten daß das wiederwertige gluͤck alle menſchen hinweg rucket was jhnen am liebſten iſt oder geweſt,wir lesen uon dem hochweisen und beruhmbten manne cicerone dass als ihm seine tochter tullia mit dem tode uerblichen dass er gantz ein iammerliches klagen gefuhret dass der seruius sulpitius uerursacht ihn als einen trewen freund zu trosten und fuhrt ihme zu gemute erstlich er solle betrachten dass das wiederwertige gluck alle menschen hinweg rucket was ihnen am liebsten ist oder gewest
523619a,body,3,1,False,[4],Ferner ſo ſagt er/ Cicero ſol betrachten/ daß ſeine Tochter erlebt hette die hoͤchſte Ehre/ welche er vnter dem Roͤmiſchen Volcke erlangt/ vnd ſie auch ſelbſt einen trefflichen Roͤmiſchen Herrn vom Adel zur Ehe gehabt/ bey jhm viel gutes in jhrem Leben eingenommen vnd empfangen.,ferner ſo ſagt er cicero ſol betrachten daß ſeine tochter erlebt hette die hoͤchſte ehre welche er vnter dem roͤmiſchen volcke erlangt vnd ſie auch ſelbſt einen trefflichen roͤmiſchen herrn vom adel zur ehe gehabt bey jhm viel gutes in jhrem leben eingenommen vnd empfangen,ferner so sagt er cicero sol betrachten dass seine tochter erlebt hette die hochste ehre welche er unter dem romischen uolcke erlangt und sie auch selbst einen trefflichen romischen herrn uom adel zur ehe gehabt bey ihm uiel gutes in ihrem leben eingenommen und empfangen
523619a,body,3,2,False,[4],Vnd fuͤrs dritte hat er jhn troͤſten wollen/ damit daß Tullia ſeine Tochter geſtorben were/ gleich zur vngluͤckſeligen zeit/ da gleich das Roͤmiſche Reich vnd Regiment zuriſſen/ vnd durch Zwitracht eingefallen war.,vnd fuͤrs dritte hat er jhn troͤſten wollen damit daß tullia ſeine tochter geſtorben were gleich zur vngluͤckſeligen zeit da gleich das roͤmiſche reich vnd regiment zuriſſen vnd durch zwitracht eingefallen war,und furs dritte hat er ihn trosten wollen damit dass tullia seine tochter gestorben were gleich zur ungluckseligen zeit da gleich das romische reich und regiment zurissen und durch zwitracht eingefallen war
523619a,body,3,3,True,[4],Vnd endlich fuͤhret er jhme zu Gemuͤt/ daß alle Menſchen die geboren werden/ muͤſſen ſterben vnd zeitlich vergehen.,vnd endlich fuͤhret er jhme zu gemuͤt daß alle menſchen die geboren werden muͤſſen ſterben vnd zeitlich vergehen,und endlich fuhret er ihme zu gemut dass alle menschen die geboren werden mussen sterben und zeitlich uergehen
523619a,body,4,0,False,[4],"Diß waren die Argumenta, mit welchen der Sulpitius ſeinen Trewen Freund aus der Heydniſchen Philoſophia jhme dem Ciceroni ſein Trauriges Gemuͤt/ troͤſten vnnd auffrichten wollen.",diß waren die argumenta mit welchen der sulpitius ſeinen trewen freund aus der heydniſchen philoſophia jhme dem ciceroni ſein trauriges gemuͤt troͤſten vnnd auffrichten wollen,diss waren die argumenta mit welchen der sulpitius seinen trewen freund aus der heydnischen philosophia ihme dem ciceroni sein trauriges gemut trosten unnd auffrichten wollen
523619a,body,4,1,True,[4],"Aber in Angſt vnd Truͤbſeligkeit gelten gar nichts ſolche Philoſophiſche Argumenta, vnd vergehen eher denn ſtuppel im Fewer.",aber in angſt vnd truͤbſeligkeit gelten gar nichts ſolche philoſophiſche argumenta vnd vergehen eher denn ſtuppel im fewer,aber in angst und trubseligkeit gelten gar nichts solche philosophische argumenta und uergehen eher denn stuppel im fewer
523619a,body,5,0,False,[4],Ach was fuͤr Argumenta ſol ich dann nehmen vmb ſchuldiger pflicht/ die ich ſchuldig bin zu troͤſten/ die betruͤbten vnd hertzlich weinenden Edle Eltern/ Herren Vater vnd Fraw Mutter/ dieſes verblichenen Leichleins/ der ich mich viel zu wenig hierzu erkenne/ Vnd ſol nicht das Fewer deß Betruͤbnis vnterſchieren/ ſondern leſchen/ weil Gott ſelber alle Prediger ermahnet zu troͤſten/ mit dieſen worten/ ſprechend bey dem Propheten Eſaia: Troͤſtet/ Troͤſtet mein Volck/ redet mit (dem betruͤbten) Hieruſalem freundlich.,ach was fuͤr argumenta ſol ich dann nehmen vmb ſchuldiger pflicht die ich ſchuldig bin zu troͤſten die betruͤbten vnd hertzlich weinenden edle eltern herren vater vnd fraw mutter dieſes verblichenen leichleins der ich mich viel zu wenig hierzu erkenne vnd ſol nicht das fewer deß betruͤbnis vnterſchieren ſondern leſchen weil gott ſelber alle prediger ermahnet zu troͤſten mit dieſen worten ſprechend bey dem propheten eſaia troͤſtet troͤſtet mein volck redet mit dem betruͤbten hieruſalem freundlich,ach was fur argumenta sol ich dann nehmen umb schuldiger pflicht die ich schuldig bin zu trosten die betrubten und hertzlich weinenden edle eltern herren uater und fraw mutter dieses uerblichenen leichleins der ich mich uiel zu wenig hierzu erkenne und sol nicht das fewer dess betrubnis unterschieren sondern leschen weil gott selber alle prediger ermahnet zu trosten mit diesen worten sprechend bey dem propheten esaia trostet trostet mein uolck redet mit dem betrubten hierusalem freundlich
523619a,body,5,1,False,[5],Vnd Gott ſelbſt eben in dieſem Propheten den Troſt allen betruͤbten zuſpricht/ mit dieſen Worten: Zion ſpricht der HErr hat mein vergeſſen/ Kan auch ein Weib jhres Kindes vergeſſen/ daß ſie ſich nicht erbarme vber den Sohn jhres Leibes?,vnd gott ſelbſt eben in dieſem propheten den troſt allen betruͤbten zuſpricht mit dieſen worten zion ſpricht der herr hat mein vergeſſen kan auch ein weib jhres kindes vergeſſen daß ſie ſich nicht erbarme vber den sohn jhres leibes,und gott selbst eben in diesem propheten den trost allen betrubten zuspricht mit diesen worten zion spricht der herr hat mein uergessen kan auch ein weib ihres kindes uergessen dass sie sich nicht erbarme uber den sohn ihres leibes
523619a,body,5,2,False,[5],Vnd ob ſie deſſelben vergeſſe/ So wil ich doch deiner nicht vergeſſen.,vnd ob ſie deſſelben vergeſſe so wil ich doch deiner nicht vergeſſen,und ob sie desselben uergesse so wil ich doch deiner nicht uergessen
523619a,body,5,3,False,[5],Solcher Goͤttlichen Spruͤche hat die heilige Bibel hin vnd da/ an vnterſchiedlichen Orten/ bey den Propheten vnd im Newen Teſtament: Wie loͤblich troͤſtet der HERR Chriſtus die betruͤbte Wittib/ da er ſpricht: Weine nicht.,solcher goͤttlichen spruͤche hat die heilige bibel hin vnd da an vnterſchiedlichen orten bey den propheten vnd im newen teſtament wie loͤblich troͤſtet der herr chriſtus die betruͤbte wittib da er ſpricht weine nicht,solcher gottlichen spruche hat die heilige bibel hin und da an unterschiedlichen orten bey den propheten und im newen testament wie loblich trostet der herr christus die betrubte wittib da er spricht weine nicht
