doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
schnyerer_wunder_1619,body,0,0,True,3,Wunder/ Die ſich zur zeit der Geburt des HErrn JEſu Chriſti/ als Er zu Bethlehem im VieheStalle/ fuͤr 1618. Jahren auff dieſe Welt geboren worden/ am Firmament des Himmels/ ſo wol auff Erden zugetragen/ vnd begeben haben/ in kurtze deutſche Rhythmos verfaſſet Durch Pancratium Schnyererum Zittavienſem Pfarrern zur Diſa. DJß iſt der Tag/ den der Herr gemacht hat/ laſt vns frewen/ und froͤlich drinnen ſein/ O Herr hilff/ O Herr laß wolgelingen. Pſalm. 118.,wunder die ſich zur zeit der geburt des herrn jeſu chriſti als er zu bethlehem im viehestalle fuͤr jahren auff dieſe welt geboren worden am firmament des himmels ſo wol auff erden zugetragen vnd begeben haben in kurtze deutſche rhythmos verfaſſet durch pancratium schnyererum zittavienſem pfarrern zur diſa djß iſt der tag den der herr gemacht hat laſt vns frewen und froͤlich drinnen ſein o herr hilff o herr laß wolgelingen pſalm,wunder die sich zur zeit der geburt des herrn iesu christi als er zu bethlehem im uiehestalle fur iahren auff diese welt geboren worden am firmament des himmels so wol auff erden zugetragen und begeben haben in kurtze deutsche rhythmos uerfasset durch pancratium schnyererum zittauiensem pfarrern zur disa diss ist der tag den der herr gemacht hat last uns frewen und frolich drinnen sein o herr hilff o herr lass wolgelingen psalm
schnyerer_wunder_1619,body,1,0,True,5,Dem Edlen/ Geſtrengen vnd Ehrnvheſten Chriſtophoro von Muͤnckwitz auff Radebar/ Malſchitz/ vnd Luppa:,dem edlen geſtrengen vnd ehrnvheſten chriſtophoro von muͤnckwitz auff radebar malſchitz vnd luppa,dem edlen gestrengen und ehrnuhesten christophoro uon munckwitz auff radebar malschitz und luppa
schnyerer_wunder_1619,body,2,0,True,5,So wol/,so wol,so wol
schnyerer_wunder_1619,body,3,0,True,5,Dem Edlen/ Geſtrengen vnd Ehrnvheſten Eſaiæ von Muͤnckwitz/ vnd Piſchwitz/ jtzundt zu Biſchwerda.,dem edlen geſtrengen vnd ehrnvheſten eſaiæ von muͤnckwitz vnd piſchwitz jtzundt zu biſchwerda,dem edlen gestrengen und ehrnuhesten esaiae uon munckwitz und pischwitz itzundt zu bischwerda
schnyerer_wunder_1619,body,4,0,True,5,Gottes Gnad vnd Segen von Gott dem Vater/ ſampt wuͤnſchung eines ſeligen Newen Jares/ zuvorn.,gottes gnad vnd segen von gott dem vater ſampt wuͤnſchung eines ſeligen newen jares zuvorn,gottes gnad und segen uon gott dem uater sampt wunschung eines seligen newen iares zuuorn
schnyerer_wunder_1619,body,5,0,False,5,Edle/ Geſtrenge/ Ehꝛnvheſte auch Wolbenambte/ großguͤnſtige Junckern/ Es pfleget die gantze Chriſtenheit vmb dieſe zeit des Jahres Newem Calender nach auff den 25. Decembris feyerlich zu halten/ das Feſt der Geburt vnſers HErꝛrn vnd Heylandes JESU Chriſti/ auff welches wir vns nicht allein erjnnern/ der hohen vnd groſſen Wolthat/ ſo uns armen gefallenen Menſchen durch ſolche Geburt widerfahren iſt/ ſondern auch/ wie GOTT ſeine zuſag/ die Er vnſern erſten Eltern/ nach dem Fall gethan/ von des Weibes Saamen/ der der alten Schlangen ſeinen Kopff zertreten ſolle/ eingedenck ſein moͤchten/ welche denn fuͤr 1618. Jahr erfuͤllet worden iſt.,edle geſtrenge ehꝛnvheſte auch wolbenambte großguͤnſtige junckern es pfleget die gantze chriſtenheit vmb dieſe zeit des jahres newem calender nach auff den decembris feyerlich zu halten das feſt der geburt vnſers herꝛrn vnd heylandes jesu chriſti auff welches wir vns nicht allein erjnnern der hohen vnd groſſen wolthat ſo uns armen gefallenen menſchen durch ſolche geburt widerfahren iſt ſondern auch wie gott ſeine zuſag die er vnſern erſten eltern nach dem fall gethan von des weibes saamen der der alten schlangen ſeinen kopff zertreten ſolle eingedenck ſein moͤchten welche denn fuͤr jahr erfuͤllet worden iſt,edle gestrenge ehnuheste auch wolbenambte grossgunstige iunckern es pfleget die gantze christenheit umb diese zeit des iahres newem calender nach auff den decembris feyerlich zu halten das fest der geburt unsers herrn und heylandes iesu christi auff welches wir uns nicht allein erinnern der hohen und grossen wolthat so uns armen gefallenen menschen durch solche geburt widerfahren ist sondern auch wie gott seine zusag die er unsern ersten eltern nach dem fall gethan uon des weibes saamen der der alten schlangen seinen kopff zertreten solle eingedenck sein mochten welche denn fur iahr erfullet worden ist
schnyerer_wunder_1619,body,5,1,False,6,So iſt auch dieſen Tag erfuͤllet worden was GOtt dem Ertzvater Abraham Geneſ. 12. zugeſaget/ nemlich/ das in ſeinem Saamen alle Voͤlcker auff Erden ſollen geſegnet werden.,so iſt auch dieſen tag erfuͤllet worden was gott dem ertzvater abraham geneſ zugeſaget nemlich das in ſeinem saamen alle voͤlcker auff erden ſollen geſegnet werden,so ist auch diesen tag erfullet worden was gott dem ertzuater abraham genes zugesaget nemlich das in seinem saamen alle uolcker auff erden sollen gesegnet werden
schnyerer_wunder_1619,body,5,2,False,6,Jtem/ was der Ertzvater Jacob auff ſeinem ſterbe Betlein ſeinen Kindern Prophezeyet Geneſ. 49. Auch was Eſaias 7. geweiſſaget: Sihe eine Jungfraw iſt Schwanger/ vnd wird einen Sohn geberen/ den wird ſie heiſſen Jmmanuel.,jtem was der ertzvater jacob auff ſeinem ſterbe betlein ſeinen kindern prophezeyet geneſ auch was eſaias geweiſſaget sihe eine jungfraw iſt schwanger vnd wird einen sohn geberen den wird ſie heiſſen jmmanuel,item was der ertzuater iacob auff seinem sterbe betlein seinen kindern prophezeyet genes auch was esaias geweissaget sihe eine iungfraw ist schwanger und wird einen sohn geberen den wird sie heissen immanuel
schnyerer_wunder_1619,body,5,3,True,6,So haben ſich auch an ſolchem Tage der Geburt Christi groſſe Wundder zugetragen/ als nemlichen/ 1. das der Sohn Gottes von Maria der keiſchen Jungfrawen geboren worden/ welche vor/ in/ vnd nach ihrer Geburt eine reine Jungfraw geblieben iſt. 2. Das die heyligen lieben Engelein vom Himmel kommen/ vnd den armen Hirten/ welche in jhren dienſte trew vnd fleiſſig waren/ ſolche froͤliche bona Nova bringen/ das nun der Heyland zur Welt geboren ſey. 3. Das die Himliſchen Chor-Schuͤllerlein in Luͤfften jhre liebliche vnd wolklingende Cantorey hoͤren laſſen/ vnd das liebe Newgeborne Kindlein anſingen/ vnd ſagen: Ehre ſey GOtt in der Hoͤhe/ Friede auff Erden/ vnd den Menſchen ein wolgefallen.,so haben ſich auch an ſolchem tage der geburt christi groſſe wundder zugetragen als nemlichen das der sohn gottes von maria der keiſchen jungfrawen geboren worden welche vor in vnd nach ihrer geburt eine reine jungfraw geblieben iſt das die heyligen lieben engelein vom himmel kommen vnd den armen hirten welche in jhren dienſte trew vnd fleiſſig waren ſolche froͤliche bona nova bringen das nun der heyland zur welt geboren ſey das die himliſchen chorschuͤllerlein in luͤfften jhre liebliche vnd wolklingende cantorey hoͤren laſſen vnd das liebe newgeborne kindlein anſingen vnd ſagen ehre ſey gott in der hoͤhe friede auff erden vnd den menſchen ein wolgefallen,so haben sich auch an solchem tage der geburt christi grosse wundder zugetragen als nemlichen das der sohn gottes uon maria der keischen iungfrawen geboren worden welche uor in und nach ihrer geburt eine reine iungfraw geblieben ist das die heyligen lieben engelein uom himmel kommen und den armen hirten welche in ihren dienste trew und fleissig waren solche froliche bona noua bringen das nun der heyland zur welt geboren sey das die himlischen chorschullerlein in lufften ihre liebliche und wolklingende cantorey horen lassen und das liebe newgeborne kindlein ansingen und sagen ehre sey gott in der hohe friede auff erden und den menschen ein wolgefallen
schnyerer_wunder_1619,body,6,0,False,7,Weil ſich denn uͤber der Geburt vnd Menſchwerdung Chriſti nicht allein die lieben Engelein/ ſondern auch Himmel vnd Erden froͤlich erzeigen/ in dem/ das ſich herꝛliche Miracula an Himmel vnd Erden an ſolchem Geburtstage begeben haben.,weil ſich denn uͤber der geburt vnd menſchwerdung chriſti nicht allein die lieben engelein ſondern auch himmel vnd erden froͤlich erzeigen in dem das ſich herꝛliche miracula an himmel vnd erden an ſolchem geburtstage begeben haben,weil sich denn uber der geburt und menschwerdung christi nicht allein die lieben engelein sondern auch himmel und erden frolich erzeigen in dem das sich herliche miracula an himmel und erden an solchem geburtstage begeben haben
