doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
schwenckfeld_hirschberischen_1619,head,0,0,True,3,Hirſchbergiſchen Warmen Bades/ in Schleſien vnter dem Rieſen Gebuͤrge gelegen/ Kurtze vnd einfaͤltige Beſchreibung: Was deſſen Natur/ Arth vnd Eigenſchafft/ Krafft vnd Wirckung ſey: Wie es recht vñ nuͤtzlich zu gebrauchen: Was vor eine Diæt darinnen zu halten: Auch wie man den Zufaͤllen begegenen vnd abehelffen moͤge. Neben einem allgemeinen Bericht/ von Mineraliſchen Waſſern vnd Wild Baͤdern. vnd kurtzem Verzeichniß Derer Kraͤuter vnd Berg Arthen/ Welche vmb dieſen warmen Brunnen hin vnd wieder auffn Gebuͤrgen gefunden werden/ Geſtellet vnd verfaſſet/ Durch CAſparum Schwenckfeldt D. Phyſicum Reipub. G. l. ordin. Jn Verlegung Georg Opitz/ Buchbinder in Hirſchberg.,hirſchbergiſchen warmen bades in schleſien vnter dem rieſen gebuͤrge gelegen kurtze vnd einfaͤltige beſchreibung was deſſen natur arth vnd eigenſchafft krafft vnd wirckung ſey wie es recht vñ nuͤtzlich zu gebrauchen was vor eine diæt darinnen zu halten auch wie man den zufaͤllen begegenen vnd abehelffen moͤge neben einem allgemeinen bericht von mineraliſchen waſſern vnd wild baͤdern vnd kurtzem verzeichniß derer kraͤuter vnd berg arthen welche vmb dieſen warmen brunnen hin vnd wieder auffn gebuͤrgen gefunden werden geſtellet vnd verfaſſet durch caſparum schwenckfeldt d phyſicum reipub g l ordin jn verlegung georg opitz buchbinder in hirſchberg,hirschbergischen warmen bades in schlesien unter dem riesen geburge gelegen kurtze und einfaltige beschreibung was dessen natur arth und eigenschafft krafft und wirckung sey wie es recht und nutzlich zu gebrauchen was uor eine diaet darinnen zu halten auch wie man den zufallen begegenen und abehelffen moge neben einem allgemeinen bericht uon mineralischen wassern und wild badern und kurtzem uerzeichniss derer krauter und berg arthen welche umb diesen warmen brunnen hin und wieder auffn geburgen gefunden werden gestellet und uerfasset durch casparum schwenckfeldt d physicum reipub g l ordin in uerlegung georg opitz buchbinder in hirschberg
schwenckfeld_hirschberischen_1619,body,1,0,False,5,EHrenfeſte/ Achtbare/ Wolweiſe/ auch Hoch vnd Wolgelehrte Herren: Großguͤnſtige vnd gebietende Herren vñ treuc/ auch groſſe befoͤrderer: Demnach vnſer lieber treuer Gott vnd HErr/ durch ſeine Goͤttliche gnad vnd Barmhertzigkeit/ gantz wunderbarlicher weis/ wieder allen lauff vnd Ordnung der Natur/ den Menſchen/ hoch vnd nieder/ arm vnd reich/ auch Mann vñ Weibsperſonen zu jhrem beſten/ dieſes Mineraliſche Waſſer vnd warme Bad/ welches daher/ weil es der Stad Hirſchberg nahe gelegen/ das Hirſchbergiſche warme Bad genennet wird/ geſchaffen/ vnd aus dem ſtaub der Erden herfuͤr quellen laſſen/ als erkennen wir billich ſolche hohe groſſe Gottesgabe mit treuem danckbaren hertzen/ ſagen auch dafuͤr Lob/ Ehr/ Preiß vnd Danck vnſerm hoͤchſten gutthaͤter/ als dem einigen/ Ewigen/ vnd wahren Gott/ auch HErren vnd Schoͤpffer/ der vns dieſelbige an dieſem Ort verliehen hat.,ehrenfeſte achtbare wolweiſe auch hoch vnd wolgelehrte herren großguͤnſtige vnd gebietende herren vñ treuc auch groſſe befoͤrderer demnach vnſer lieber treuer gott vnd herr durch ſeine goͤttliche gnad vnd barmhertzigkeit gantz wunderbarlicher weis wieder allen lauff vnd ordnung der natur den menſchen hoch vnd nieder arm vnd reich auch mann vñ weibsperſonen zu jhrem beſten dieſes mineraliſche waſſer vnd warme bad welches daher weil es der stad hirſchberg nahe gelegen das hirſchbergiſche warme bad genennet wird geſchaffen vnd aus dem ſtaub der erden herfuͤr quellen laſſen als erkennen wir billich ſolche hohe groſſe gottesgabe mit treuem danckbaren hertzen ſagen auch dafuͤr lob ehr preiß vnd danck vnſerm hoͤchſten gutthaͤter als dem einigen ewigen vnd wahren gott auch herren vnd schoͤpffer der vns dieſelbige an dieſem ort verliehen hat,ehrenfeste achtbare wolweise auch hoch und wolgelehrte herren grossgunstige und gebietende herren und treuc auch grosse beforderer demnach unser lieber treuer gott und herr durch seine gottliche gnad und barmhertzigkeit gantz wunderbarlicher weis wieder allen lauff und ordnung der natur den menschen hoch und nieder arm und reich auch mann und weibspersonen zu ihrem besten dieses mineralische wasser und warme bad welches daher weil es der stad hirschberg nahe gelegen das hirschbergische warme bad genennet wird geschaffen und aus dem staub der erden herfur quellen lassen als erkennen wir billich solche hohe grosse gottesgabe mit treuem danckbaren hertzen sagen auch dafur lob ehr preiss und danck unserm hochsten gutthater als dem einigen ewigen und wahren gott auch herren und schopffer der uns dieselbige an diesem ort uerliehen hat
schwenckfeld_hirschberischen_1619,body,1,1,False,6,Der gebe ferner auch ſeine genad/ ſegen vnd gedeien/ das ſolches in ſeinen ordentlichen Lauff/ ſtand vnd weſen alſo verbleiben/ auch wie von anfang vnd bißher/ ſeine krafft vnd wirckung erzeigen vnd beweiſen moͤge.,der gebe ferner auch ſeine genad ſegen vnd gedeien das ſolches in ſeinen ordentlichen lauff ſtand vnd weſen alſo verbleiben auch wie von anfang vnd bißher ſeine krafft vnd wirckung erzeigen vnd beweiſen moͤge,der gebe ferner auch seine genad segen und gedeien das solches in seinen ordentlichen lauff stand und wesen also uerbleiben auch wie uon anfang und bissher seine krafft und wirckung erzeigen und beweisen moge
schwenckfeld_hirschberischen_1619,body,1,2,True,7,Es mag dieſes Bad wol recht vnd billich genennet werden/ Erſtlich ein heilſames Bad/ weil vielen hochbetruͤbten/ vnd von wegen Leibesbeſchwer geaͤngſten Menſchen/ vermitelſt Goͤttlicher huͤlff vnd gnaden dadurch geholffen/ vnd dieſelben von viel vnd mancherley auch groſſer vnd beſchwer lichen plagen/ ſeuchen vñ kranckheiten ſind erlediget worden:,es mag dieſes bad wol recht vnd billich genennet werden erſtlich ein heilſames bad weil vielen hochbetruͤbten vnd von wegen leibesbeſchwer geaͤngſten menſchen vermitelſt goͤttlicher huͤlff vnd gnaden dadurch geholffen vnd dieſelben von viel vnd mancherley auch groſſer vnd beſchwer lichen plagen ſeuchen vñ kranckheiten ſind erlediget worden,es mag dieses bad wol recht und billich genennet werden erstlich ein heilsames bad weil uielen hochbetrubten und uon wegen leibesbeschwer geangsten menschen uermitelst gottlicher hulff und gnaden dadurch geholffen und dieselben uon uiel und mancherley auch grosser und beschwer lichen plagen seuchen und kranckheiten sind erlediget worden
schwenckfeld_hirschberischen_1619,body,2,0,True,7,Vnd demnach mag es genennet werden/ ein Wunder Bad/ weil es/ wie zuvor geſagt/ wieder die Natur Leufft/ vnd in dem kalten truckenen Erdtreich ſeine Natuͤrliche Hitze vnd Waͤrme/ gleichſam wie von oben herab/ von dem Vater des Liechts mit ſich bringet.,vnd demnach mag es genennet werden ein wunder bad weil es wie zuvor geſagt wieder die natur leufft vnd in dem kalten truckenen erdtreich ſeine natuͤrliche hitze vnd waͤrme gleichſam wie von oben herab von dem vater des liechts mit ſich bringet,und demnach mag es genennet werden ein wunder bad weil es wie zuuor gesagt wieder die natur leufft und in dem kalten truckenen erdtreich seine naturliche hitze und warme gleichsam wie uon oben herab uon dem uater des liechts mit sich bringet
schwenckfeld_hirschberischen_1619,body,3,0,False,8,"Darmit aber nun ſolches den Menſchen zu beſſerm Nutz/ fromen vnd gedeien gereichen/ auch viel guttes ausrichten/ vnd alſo zu erholung gutter geſundheit dienen moͤge/ So wil von noͤhten ſein eine gutte Inſtruction, wie man ſich in einem vnd andern/ mit dem Baden/ als ein vnd außſteigen/ auch wegen der ſtunden vnd diæt, das iſt/ mit Eſſen vnd Trincken recht vnd wolverhalten ſol/ das alſo dieſes Bad fein ordentlich/ vnd mit nutz vnd fromen gebrauchet werde.",darmit aber nun ſolches den menſchen zu beſſerm nutz fromen vnd gedeien gereichen auch viel guttes ausrichten vnd alſo zu erholung gutter geſundheit dienen moͤge so wil von noͤhten ſein eine gutte inſtruction wie man ſich in einem vnd andern mit dem baden als ein vnd außſteigen auch wegen der ſtunden vnd diæt das iſt mit eſſen vnd trincken recht vnd wolverhalten ſol das alſo dieſes bad fein ordentlich vnd mit nutz vnd fromen gebrauchet werde,darmit aber nun solches den menschen zu besserm nutz fromen und gedeien gereichen auch uiel guttes ausrichten und also zu erholung gutter gesundheit dienen moge so wil uon nohten sein eine gutte instruction wie man sich in einem und andern mit dem baden als ein und ausssteigen auch wegen der stunden und diaet das ist mit essen und trincken recht und woluerhalten sol das also dieses bad fein ordentlich und mit nutz und fromen gebrauchet werde
schwenckfeld_hirschberischen_1619,body,3,1,True,8,"Derentwegen der Weiland/ Ehrenfeſte/ Achtbare/ Hochgelehrte/ vnd wolbenambte Herr Doctor Casparus Schwencfeld, Damahls beſtaͤlter Phyſicus der Stad Hirſchberg/ weiln er von langer zeit vnd Jahren her dieſes Bades art/ Natur vnd Eigenſchafft wol erkennen lernen/ auff fleiſſige bitt vnd anhalten vieler Menſchen/ Hohes vnd Niedern ſtandes/ auch dem gemeinen nutz zum beſten/ ſolches in einem feinen nuͤtzlichen Buͤchlein beſchriben/ auch publicirt, vnd in offentlichen Druck hat kommen laſſen/ damit es Meñiglich bekandt/ vnd zur nachricht dienen vnd gereichen moͤge.",derentwegen der weiland ehrenfeſte achtbare hochgelehrte vnd wolbenambte herr doctor casparus schwencfeld damahls beſtaͤlter phyſicus der stad hirſchberg weiln er von langer zeit vnd jahren her dieſes bades art natur vnd eigenſchafft wol erkennen lernen auff fleiſſige bitt vnd anhalten vieler menſchen hohes vnd niedern ſtandes auch dem gemeinen nutz zum beſten ſolches in einem feinen nuͤtzlichen buͤchlein beſchriben auch publicirt vnd in offentlichen druck hat kommen laſſen damit es meñiglich bekandt vnd zur nachricht dienen vnd gereichen moͤge,derentwegen der weiland ehrenfeste achtbare hochgelehrte und wolbenambte herr doctor casparus schwencfeld damahls bestalter physicus der stad hirschberg weiln er uon langer zeit und iahren her dieses bades art natur und eigenschafft wol erkennen lernen auff fleissige bitt und anhalten uieler menschen hohes und niedern standes auch dem gemeinen nutz zum besten solches in einem feinen nutzlichen buchlein beschriben auch publicirt und in offentlichen druck hat kommen lassen damit es menniglich bekandt und zur nachricht dienen und gereichen moge
schwenckfeld_hirschberischen_1619,body,4,0,False,9,"Es ſind aber ſolche Exemplar vnd Buͤchlein von dem Hirſchbergiſchen Warmen Bad nunmehr alſo diſtrahiret vñ verkaufft worden/ das deren nicht wol eines mehr zubekom̃en/ vnd iſt eine gutte geraume zeit her viel fragens vnd wuͤnſchens darnach geweſen/ weil es aller dings nutz vñ noͤtig von Menniglich erkand das ſolches revidiret, vnd von newem auffgelegt/ auch mit guttem fleiß vnd correction ſolte gedruckt werden.",es ſind aber ſolche exemplar vnd buͤchlein von dem hirſchbergiſchen warmen bad nunmehr alſo diſtrahiret vñ verkaufft worden das deren nicht wol eines mehr zubekom̃en vnd iſt eine gutte geraume zeit her viel fragens vnd wuͤnſchens darnach geweſen weil es aller dings nutz vñ noͤtig von menniglich erkand das ſolches revidiret vnd von newem auffgelegt auch mit guttem fleiß vnd correction ſolte gedruckt werden,es sind aber solche exemplar und buchlein uon dem hirschbergischen warmen bad nunmehr also distrahiret und uerkaufft worden das deren nicht wol eines mehr zubekommen und ist eine gutte geraume zeit her uiel fragens und wunschens darnach gewesen weil es aller dings nutz und notig uon menniglich erkand das solches reuidiret und uon newem auffgelegt auch mit guttem fleiss und correction solte gedruckt werden
schwenckfeld_hirschberischen_1619,body,4,1,False,10,Weiln aber dazu viel muͤh vnd vnkoſten/ vnd ſonderlich Außreiſen vnd verſeumnuͤß gehoͤret/ hat ſich niemand darzu finden wollen/ der ſolches auff ſich genommen/ biß endlich die ſach an mich gelangt/ vnd ich von vielen gutthertzigen/ auch zum theil vornehmen Perſonen bey dieſer Stadt darumb angelanget/ vnd mit fleiß darzu ermahnet worden/ weil ſolches dem gemeinen Nutz zum beſten gereichet/ vnd vielen/ auch hohen Perſonen damit wol gedienet/ auch ſolches meinem Ampt vnd Beruff gemeß/ als der ich mit Buͤchern/ dieſelbe zu kauffen vnd verkauffen/ ſo wol auch einzubinden mich gebrauchen laſſe bey dieſer Stad/ das zu ſolchem Werck/ ſolches zuverfertigen/ ich auch wolte foͤderlich vñ dienſtlich ſein/ Welches ich im Namen Gottes auff mich genommen/ vnd alſo dieſes Werck oder Buͤchlein/ mit fleiß verfertigen laſſen/ habe auch die vnkoſten vñ verlegung/ ſo viel es anlanget/ bey Heller vñ Pfennig mit bahrem Geld bezahlen muͤſſen.,weiln aber dazu viel muͤh vnd vnkoſten vnd ſonderlich außreiſen vnd verſeumnuͤß gehoͤret hat ſich niemand darzu finden wollen der ſolches auff ſich genommen biß endlich die ſach an mich gelangt vnd ich von vielen gutthertzigen auch zum theil vornehmen perſonen bey dieſer stadt darumb angelanget vnd mit fleiß darzu ermahnet worden weil ſolches dem gemeinen nutz zum beſten gereichet vnd vielen auch hohen perſonen damit wol gedienet auch ſolches meinem ampt vnd beruff gemeß als der ich mit buͤchern dieſelbe zu kauffen vnd verkauffen ſo wol auch einzubinden mich gebrauchen laſſe bey dieſer stad das zu ſolchem werck ſolches zuverfertigen ich auch wolte foͤderlich vñ dienſtlich ſein welches ich im namen gottes auff mich genommen vnd alſo dieſes werck oder buͤchlein mit fleiß verfertigen laſſen habe auch die vnkoſten vñ verlegung ſo viel es anlanget bey heller vñ pfennig mit bahrem geld bezahlen muͤſſen,weiln aber dazu uiel muh und unkosten und sonderlich aussreisen und uerseumnuss gehoret hat sich niemand darzu finden wollen der solches auff sich genommen biss endlich die sach an mich gelangt und ich uon uielen gutthertzigen auch zum theil uornehmen personen bey dieser stadt darumb angelanget und mit fleiss darzu ermahnet worden weil solches dem gemeinen nutz zum besten gereichet und uielen auch hohen personen damit wol gedienet auch solches meinem ampt und beruff gemess als der ich mit buchern dieselbe zu kauffen und uerkauffen so wol auch einzubinden mich gebrauchen lasse bey dieser stad das zu solchem werck solches zuuerfertigen ich auch wolte foderlich und dienstlich sein welches ich im namen gottes auff mich genommen und also dieses werck oder buchlein mit fleiss uerfertigen lassen habe auch die unkosten und uerlegung so uiel es anlanget bey heller und pfennig mit bahrem geld bezahlen mussen
schwenckfeld_hirschberischen_1619,body,4,2,False,12,Jſt vnd gelanget hierauff diß mein freundliches vnd dienſtliches bitten an die Herren vnd Frawen Badegaͤſte/ welchen darmit gedienet/ die wollen mit dieſer meiner Arbeit/ muͤhe vnd fleiß vorlieb nehmen: Wuͤnſche auch beyneben zum Bade von GOTT dem Allmechtigen den Herren vnd Frawen Badegaͤſten kraͤfftiges gedeyen/ gutte geſundheit vnd langes leben/ neben aller heilwertigen des Leibes vnd der Seelen wolfart.,jſt vnd gelanget hierauff diß mein freundliches vnd dienſtliches bitten an die herren vnd frawen badegaͤſte welchen darmit gedienet die wollen mit dieſer meiner arbeit muͤhe vnd fleiß vorlieb nehmen wuͤnſche auch beyneben zum bade von gott dem allmechtigen den herren vnd frawen badegaͤſten kraͤfftiges gedeyen gutte geſundheit vnd langes leben neben aller heilwertigen des leibes vnd der seelen wolfart,ist und gelanget hierauff diss mein freundliches und dienstliches bitten an die herren und frawen badegaste welchen darmit gedienet die wollen mit dieser meiner arbeit muhe und fleiss uorlieb nehmen wunsche auch beyneben zum bade uon gott dem allmechtigen den herren und frawen badegasten krafftiges gedeyen gutte gesundheit und langes leben neben aller heilwertigen des leibes und der seelen wolfart
