doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
tuckermann_predigt_1619,head,0,0,True,1,Eine Predigt Vom Cananeischen Weiblein Dom. Reminiscere. Zu Harst gethan Durch M. Petrum Tuckerman Hoff Prediger Im Jahr/ 1619. Gedruckt zu Wolffenbüttel/ Durch Eliam Holwein/F. B. Buchd. vnd F. Anno 1619.,eine predigt vom cananeischen weiblein dom reminiscere zu harst gethan durch m petrum tuckerman hoff prediger im jahr gedruckt zu wolffenbüttel durch eliam holwein f b buchd vnd f anno,eine predigt uom cananeischen weiblein dom reminiscere zu harst gethan durch m petrum tuckerman hoff prediger im iahr gedruckt zu wolffenbuttel durch eliam holwein f b buchd und f anno
tuckermann_predigt_1619,head,1,0,False,3,Dem Durchleuchigen / Hochgebornen Fürsten vnd Herrn / Herrn Moritz / Landgraffen zu Hessen / Graffen zu Catzenelbogen / Dietz / Ziegenhäin vnd Nidda / etc.,dem durchleuchigen hochgebornen fürsten vnd herrn herrn moritz landgraffen zu hessen graffen zu catzenelbogen dietz ziegenhäin vnd nidda etc,dem durchleuchigen hochgebornen fursten und herrn herrn moritz landgraffen zu hessen graffen zu catzenelbogen dietz ziegenhain und nidda etc
tuckermann_predigt_1619,head,1,1,True,3,Meinen gnedigen Fürsten vnd Herrn.,meinen gnedigen fürsten vnd herrn,meinen gnedigen fursten und herrn
tuckermann_predigt_1619,body,2,0,False,3,DVrchleuchtiger / Hochgeborner Fürst / gnediger Herr / weil E. F. Gnad.,dvrchleuchtiger hochgeborner fürst gnediger herr weil e f gnad,durchleuchtiger hochgeborner furst gnediger herr weil e f gnad
tuckermann_predigt_1619,body,2,1,False,3,Hoffprediger vor diesem eine Fried Predigt außgehen lassen / vnd auff dieselbe von vnser seiten noch nicht geantwortet / alß ist mir vrsach vnd gelegenheit darzu an die hand gegeben durch die Predigt / die in gegenwart E. F. G. von mir zu Harst geschehen / denn man mich derselben halben zum Cavinisten wollen machen / wie die Wort gefallen seyn / der Pfarherr hette eine gute Calvinische Predigt gethan / vnd sein wir durchauß damit einig.,hoffprediger vor diesem eine fried predigt außgehen lassen vnd auff dieselbe von vnser seiten noch nicht geantwortet alß ist mir vrsach vnd gelegenheit darzu an die hand gegeben durch die predigt die in gegenwart e f g von mir zu harst geschehen denn man mich derselben halben zum cavinisten wollen machen wie die wort gefallen seyn der pfarherr hette eine gute calvinische predigt gethan vnd sein wir durchauß damit einig,hoffprediger uor diesem eine fried predigt aussgehen lassen und auff dieselbe uon unser seiten noch nicht geantwortet alss ist mir ursach und gelegenheit darzu an die hand gegeben durch die predigt die in gegenwart e f g uon mir zu harst geschehen denn man mich derselben halben zum cauinisten wollen machen wie die wort gefallen seyn der pfarherr hette eine gute caluinische predigt gethan und sein wir durchauss damit einig
tuckermann_predigt_1619,body,2,2,False,3,Ob nu die Predigt Calvinisch oder Lutherisch sey / lasse ich alle rechtgleubige Christen vrtheilen vñ habe sie derowe en in öffentlichen druck kommen lassen.,ob nu die predigt calvinisch oder lutherisch sey lasse ich alle rechtgleubige christen vrtheilen vñ habe sie derowe en in öffentlichen druck kommen lassen,ob nu die predigt caluinisch oder lutherisch sey lasse ich alle rechtgleubige christen urtheilen und habe sie derowe en in offentlichen druck kommen lassen
tuckermann_predigt_1619,body,2,3,False,4,E. F. G. aber dieselbe in vnterthenigkeit zu schreiben wolle / weil mein gnediger Fürst vnd Herr in gnaden dasselbe von mir begehret / man sich auch auff jener seiten drauff berufft / daß man in ein vnd andern vnnd zwar den meisten / wie auch in dem Puncten oder Artikel von der Gnadenwahl mit vns einig sey: Ob einigkeit zwischen vns beyderseits Evangelischen / wie man vns nennet / weiter getroffen / vnd alle Mißhelligkeiten möchten beygelegt werden / denn wir auff vnser seiten nicht lust zuzancken vnd ergernis anzurichten haben / es gebürt sich auch nicht / vnd kan ders für GOtt / der schult drau hat / nicht verantworten: Ist derowegen zur einigkeit vnd fraternitet in der verantwortung auff Irenicam Cantionem E. F. G. Hoffpredigers / vnd dieser Predigt vom Cananeischen Weiblein der weg ziemlich gezeiget.,e f g aber dieselbe in vnterthenigkeit zu schreiben wolle weil mein gnediger fürst vnd herr in gnaden dasselbe von mir begehret man sich auch auff jener seiten drauff berufft daß man in ein vnd andern vnnd zwar den meisten wie auch in dem puncten oder artikel von der gnadenwahl mit vns einig sey ob einigkeit zwischen vns beyderseits evangelischen wie man vns nennet weiter getroffen vnd alle mißhelligkeiten möchten beygelegt werden denn wir auff vnser seiten nicht lust zuzancken vnd ergernis anzurichten haben es gebürt sich auch nicht vnd kan ders für gott der schult drau hat nicht verantworten ist derowegen zur einigkeit vnd fraternitet in der verantwortung auff irenicam cantionem e f g hoffpredigers vnd dieser predigt vom cananeischen weiblein der weg ziemlich gezeiget,e f g aber dieselbe in unterthenigkeit zu schreiben wolle weil mein gnediger furst und herr in gnaden dasselbe uon mir begehret man sich auch auff iener seiten drauff berufft dass man in ein und andern unnd zwar den meisten wie auch in dem puncten oder artikel uon der gnadenwahl mit uns einig sey ob einigkeit zwischen uns beyderseits euangelischen wie man uns nennet weiter getroffen und alle misshelligkeiten mochten beygelegt werden denn wir auff unser seiten nicht lust zuzancken und ergernis anzurichten haben es geburt sich auch nicht und kan ders fur gott der schult drau hat nicht uerantworten ist derowegen zur einigkeit und fraternitet in der uerantwortung auff irenicam cantionem e f g hoffpredigers und dieser predigt uom cananeischen weiblein der weg ziemlich gezeiget
tuckermann_predigt_1619,body,2,4,True,4,E. F. G. als ein hochverstendig Christlich Hertz werden ohn allen zweiffel den sachen weiter nach dencken / vnnd da es auff jener seiten zum Frieden vnd Christlichen Brüderschafft in der Religion ein ernst / wie es billig sein sol / vnd wir auff dieser vnser seiten von hertzen wünschen / werden E. F. G. dahin sehen vnnd darnach aus seyn / das dem vbrigen / daß vns nach von einander helt / ferner abgeholffen werde.,e f g als ein hochverstendig christlich hertz werden ohn allen zweiffel den sachen weiter nach dencken vnnd da es auff jener seiten zum frieden vnd christlichen brüderschafft in der religion ein ernst wie es billig sein sol vnd wir auff dieser vnser seiten von hertzen wünschen werden e f g dahin sehen vnnd darnach aus seyn das dem vbrigen daß vns nach von einander helt ferner abgeholffen werde,e f g als ein hochuerstendig christlich hertz werden ohn allen zweiffel den sachen weiter nach dencken unnd da es auff iener seiten zum frieden und christlichen bruderschafft in der religion ein ernst wie es billig sein sol und wir auff dieser unser seiten uon hertzen wunschen werden e f g dahin sehen unnd darnach aus seyn das dem ubrigen dass uns nach uon einander helt ferner abgeholffen werde
tuckermann_predigt_1619,body,3,0,False,5,Befehle E. F. G. GOttes gnedigen Schütz vnnd Schirm.,befehle e f g gottes gnedigen schütz vnnd schirm,befehle e f g gottes gnedigen schutz unnd schirm
tuckermann_predigt_1619,body,3,1,False,5,Derselbe GOtt des Friedens wolle geben / daß wir beyderseits einig gesinner sein in Christo JEsu vnserm HErrn.,derselbe gott des friedens wolle geben daß wir beyderseits einig gesinner sein in christo jesu vnserm herrn,derselbe gott des friedens wolle geben dass wir beyderseits einig gesinner sein in christo iesu unserm herrn
