doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
weckherlin_oden02_1619,head,0,0,True,[1],Das ander Buch Oden vnd Geſaͤng. Durch Georg—Rodolf Weckherlin.,das ander buch oden vnd geſaͤng durch georgrodolf weckherlin,das ander buch oden und gesang durch georgrodolf weckherlin
weckherlin_oden02_1619,body,1,0,True,[3],An den Durchleuchtigen vnd Hochgebornen Fuͤrſten vnd Herꝛen/ Herꝛen Georg—Friderichen Marggrafen zu Baden vnd Hochberg ꝛc. Landgrafen zu Sauſenberg/ Herꝛen zu Roͤteln vnd Badenweiler ꝛc. Meinen gnaͤdigen Fuͤrſten vnd Herꝛen ꝛc.,an den durchleuchtigen vnd hochgebornen fuͤrſten vnd herꝛen herꝛen georgfriderichen marggrafen zu baden vnd hochberg ꝛc landgrafen zu sauſenberg herꝛen zu roͤteln vnd badenweiler ꝛc meinen gnaͤdigen fuͤrſten vnd herꝛen ꝛc,an den durchleuchtigen und hochgebornen fursten und heren heren georgfriderichen marggrafen zu baden und hochberg c landgrafen zu sausenberg heren zu roteln und badenweiler c meinen gnadigen fursten und heren c
weckherlin_oden02_1619,body,2,0,False,4.[4],O Großer Printz/ in deſſen ſchutz,o großer printz in deſſen ſchutz,o grosser printz in dessen schutz
weckherlin_oden02_1619,body,2,1,False,4.[4],Sich alle Tugenten ergeben/,sich alle tugenten ergeben,sich alle tugenten ergeben
weckherlin_oden02_1619,body,2,2,False,4.[4],Das Sie der argen welt zu trutz,das sie der argen welt zu trutz,das sie der argen welt zu trutz
weckherlin_oden02_1619,body,2,3,False,4.[4],Moͤgen auf erden ſicher leben; Printz/ meiner Muſen zuverſicht/,moͤgen auf erden ſicher leben printz meiner muſen zuverſicht,mogen auf erden sicher leben printz meiner musen zuuersicht
weckherlin_oden02_1619,body,2,4,False,4.[4],Verſchmaͤhet diſes Buͤchlin nicht,verſchmaͤhet diſes buͤchlin nicht,uerschmahet dises buchlin nicht
weckherlin_oden02_1619,body,2,5,False,4.[4],So Euch auf der Muſen begehren,so euch auf der muſen begehren,so euch auf der musen begehren
weckherlin_oden02_1619,body,2,6,True,4.[4],Jch demuͤtiglich thu verehren.,jch demuͤtiglich thu verehren,ich demutiglich thu uerehren
weckherlin_oden02_1619,body,3,0,False,4.[4],Dan als ich newlich nachts allein,dan als ich newlich nachts allein,dan als ich newlich nachts allein
weckherlin_oden02_1619,body,3,1,False,4.[4],Auf dem feld hin vnd her ſpatzierte,auf dem feld hin vnd her ſpatzierte,auf dem feld hin und her spatzierte
weckherlin_oden02_1619,body,3,2,False,4.[4],Wahin Phæbe mit halbem ſchein,wahin phæbe mit halbem ſchein,wahin phaebe mit halbem schein
weckherlin_oden02_1619,body,3,3,False,4.[4],Meine vnachtſame trit fuͤhrte/,meine vnachtſame trit fuͤhrte,meine unachtsame trit fuhrte
weckherlin_oden02_1619,body,3,4,False,4.[4],Vnd verdroſſen bey mir gedacht/,vnd verdroſſen bey mir gedacht,und uerdrossen bey mir gedacht
weckherlin_oden02_1619,body,3,5,False,4.[4],Wie uͤbel ich die zeit zubracht/,wie uͤbel ich die zeit zubracht,wie ubel ich die zeit zubracht
weckherlin_oden02_1619,body,3,6,False,4.[4],Jn welcher mit der Muſen lehren,jn welcher mit der muſen lehren,in welcher mit der musen lehren
weckherlin_oden02_1619,body,3,7,True,4.[4],Jch mich ſelbs thet vmbſunſt bethoͤren:,jch mich ſelbs thet vmbſunſt bethoͤren,ich mich selbs thet umbsunst bethoren
weckherlin_oden02_1619,body,4,0,False,4.[4],Da fand ich mich an einem Ort,da fand ich mich an einem ort,da fand ich mich an einem ort
weckherlin_oden02_1619,body,4,1,False,4.[4],Bald von Jhnen allen vmbgeben/,bald von jhnen allen vmbgeben,bald uon ihnen allen umbgeben
weckherlin_oden02_1619,body,4,2,False,4.[4],Vnd hoͤrt Sie durch manch ſuͤßes wort,vnd hoͤrt sie durch manch ſuͤßes wort,und hort sie durch manch susses wort
weckherlin_oden02_1619,body,4,3,False,4.[4],Meinem verdruß gern widerſtreben:,meinem verdruß gern widerſtreben,meinem uerdruss gern widerstreben
weckherlin_oden02_1619,body,4,4,False,4.[4],Jnſonderheit kam auch herfuͤr,jnſonderheit kam auch herfuͤr,insonderheit kam auch herfur
weckherlin_oden02_1619,body,4,5,False,4.[4],Jhr Fuͤhrer Apollo/ der mir,jhr fuͤhrer apollo der mir,ihr fuhrer apollo der mir
weckherlin_oden02_1619,body,4,6,False,4.[4],Gleich fuͤr Sie all auf meine klagen,gleich fuͤr sie all auf meine klagen,gleich fur sie all auf meine klagen
weckherlin_oden02_1619,body,4,7,True,4.[4],Jhre meinung ſelbs fuͤrgetragen:,jhre meinung ſelbs fuͤrgetragen,ihre meinung selbs furgetragen
weckherlin_oden02_1619,body,5,0,False,5.[5],Filodor (ſprach Er) laß numehr,filodor ſprach er laß numehr,filodor sprach er lass numehr
weckherlin_oden02_1619,body,5,1,False,5.[5],All forcht/ ſorgen vnd trawren fahren/,all forcht ſorgen vnd trawren fahren,all forcht sorgen und trawren fahren
weckherlin_oden02_1619,body,5,2,False,5.[5],Dan ein Fuͤrſt/ aller Fuͤrſten ehr/ Kan vnd will Vns vnd Dich bewahren;,dan ein fuͤrſt aller fuͤrſten ehr kan vnd will vns vnd dich bewahren,dan ein furst aller fursten ehr kan und will uns und dich bewahren
weckherlin_oden02_1619,body,5,3,False,5.[5],Vnd iſt ſein Nam (der wie ſein gunſt/,vnd iſt ſein nam der wie ſein gunſt,und ist sein nam der wie sein gunst
weckherlin_oden02_1619,body,5,4,False,5.[5],Ein getrewer ſchirm vnſrer Kunſt),ein getrewer ſchirm vnſrer kunſt,ein getrewer schirm unsrer kunst
weckherlin_oden02_1619,body,5,5,False,5.[5],Georg-Friderich Marggraf zu Baden/,georgfriderich marggraf zu baden,georgfriderich marggraf zu baden
weckherlin_oden02_1619,body,5,6,True,5.[5],Bey welchem Wir vnd du in gnaden.,bey welchem wir vnd du in gnaden,bey welchem wir und du in gnaden
weckherlin_oden02_1619,body,6,0,False,5.[5],Jhm opfer du auf dein geſang/,jhm opfer du auf dein geſang,ihm opfer du auf dein gesang
weckherlin_oden02_1619,body,6,1,False,5.[5],Vnd ſchew dich nicht vor ſeinen wafen/,vnd ſchew dich nicht vor ſeinen wafen,und schew dich nicht uor seinen wafen
weckherlin_oden02_1619,body,6,2,False,5.[5],Ab welchen ſeinen Feinden bang/,ab welchen ſeinen feinden bang,ab welchen seinen feinden bang
weckherlin_oden02_1619,body,6,3,False,5.[5],Welche der Hoͤchſt durch Jhn will ſtrafen:,welche der hoͤchſt durch jhn will ſtrafen,welche der hochst durch ihn will strafen
weckherlin_oden02_1619,body,6,4,False,5.[5],Dan die große Helden allzeit,dan die große helden allzeit,dan die grosse helden allzeit
weckherlin_oden02_1619,body,6,5,False,5.[5],Haben vor/ in vnd nach dem ſtreit,haben vor in vnd nach dem ſtreit,haben uor in und nach dem streit
weckherlin_oden02_1619,body,6,6,False,5.[5],Vns geliebet/ Ja vns geehret/,vns geliebet ja vns geehret,uns geliebet ia uns geehret
weckherlin_oden02_1619,body,6,7,True,5.[5],Vnd Jhrer gegenwart gewehret.,vnd jhrer gegenwart gewehret,und ihrer gegenwart gewehret
weckherlin_oden02_1619,body,7,0,False,5.[5],Auch iſt Jhr lob noch billich kund/,auch iſt jhr lob noch billich kund,auch ist ihr lob noch billich kund
weckherlin_oden02_1619,body,7,1,False,5.[5],Vnd kan ewiglich nicht vergehen/,vnd kan ewiglich nicht vergehen,und kan ewiglich nicht uergehen
weckherlin_oden02_1619,body,7,2,False,5.[5],Welches eines Poeten mund,welches eines poeten mund,welches eines poeten mund
weckherlin_oden02_1619,body,7,3,False,5.[5],Der gantzen welt gab zuverſtehen;,der gantzen welt gab zuverſtehen,der gantzen welt gab zuuerstehen
weckherlin_oden02_1619,body,7,4,False,5.[5],Darumb gib Jhm auch ehr vnd preiß/,darumb gib jhm auch ehr vnd preiß,darumb gib ihm auch ehr und preiss
weckherlin_oden02_1619,body,7,5,False,5.[5],Dan ja der menſchen hoͤchſter fleiß,dan ja der menſchen hoͤchſter fleiß,dan ia der menschen hochster fleiss
weckherlin_oden02_1619,body,7,6,False,5.[5],Kan den Goͤttern mehr nicht erweiſen,kan den goͤttern mehr nicht erweiſen,kan den gottern mehr nicht erweisen
weckherlin_oden02_1619,body,7,7,True,5.[5],Dan Sie loben/ ehren vnd preiſen.,dan sie loben ehren vnd preiſen,dan sie loben ehren und preisen
weckherlin_oden02_1619,body,8,0,False,6.[6],Als Jupiter durch ſeine ſtrahl,als jupiter durch ſeine ſtrahl,als iupiter durch seine strahl
weckherlin_oden02_1619,body,8,1,False,6.[6],Den Riſen jhr leben verkuͤrtzet/ Vnd von des himels hohem wahl,den riſen jhr leben verkuͤrtzet vnd von des himels hohem wahl,den risen ihr leben uerkurtzet und uon des himels hohem wahl
weckherlin_oden02_1619,body,8,2,False,6.[6],Sie uͤber vnd uͤber geſtuͤrtzet/,sie uͤber vnd uͤber geſtuͤrtzet,sie uber und uber gesturtzet
weckherlin_oden02_1619,body,8,3,False,6.[6],Begehrte Er (ſigreich) mehr nicht/,begehrte er ſigreich mehr nicht,begehrte er sigreich mehr nicht
weckherlin_oden02_1619,body,8,4,False,6.[6],Dan das wir ein ſchoͤnes gedicht,dan das wir ein ſchoͤnes gedicht,dan das wir ein schones gedicht
weckherlin_oden02_1619,body,8,5,False,6.[6],Vor ſeinen Ohren wol erklangen/,vor ſeinen ohren wol erklangen,uor seinen ohren wol erklangen
weckherlin_oden02_1619,body,8,6,True,6.[6],Vnd ſein lob mit ſeinem ſig ſangen.,vnd ſein lob mit ſeinem ſig ſangen,und sein lob mit seinem sig sangen
weckherlin_oden02_1619,body,9,0,False,6.[6],Wolan dan/ Caſtaliſcher Chor,wolan dan caſtaliſcher chor,wolan dan castalischer chor
weckherlin_oden02_1619,body,9,1,False,6.[6],Laſſt vns auch diſen Fuͤrſten ehren/,laſſt vns auch diſen fuͤrſten ehren,lasst uns auch disen fursten ehren
weckherlin_oden02_1619,body,9,2,False,6.[6],Vnd du ſing mit Vns/ Filodor/,vnd du ſing mit vns filodor,und du sing mit uns filodor
weckherlin_oden02_1619,body,9,3,False,6.[6],Als wir deinen mund werden lehren:,als wir deinen mund werden lehren,als wir deinen mund werden lehren
weckherlin_oden02_1619,body,9,4,False,6.[6],Vnd weil Er ja vnſer Patron/,vnd weil er ja vnſer patron,und weil er ia unser patron
weckherlin_oden02_1619,body,9,5,False,6.[6],So laſſt vns flechten eine Cron/,so laſſt vns flechten eine cron,so lasst uns flechten eine cron
weckherlin_oden02_1619,body,9,6,False,6.[6],Die du Jhm deemuͤhtig ſolt bringen.,die du jhm deemuͤhtig ſolt bringen,die du ihm deemuhtig solt bringen
weckherlin_oden02_1619,body,9,7,True,6.[6],Fieng demnach alſo zuſingen:,fieng demnach alſo zuſingen,fieng demnach also zusingen
weckherlin_oden02_1619,head,10,0,True,7.[7],Cron.,cron,cron
weckherlin_oden02_1619,body,11,0,False,16.[16],Apollo.,apollo,apollo
weckherlin_oden02_1619,body,11,1,False,16.[16],GEorg-Friderich iſt der ſterblichen ehr/ Vnd von den Goͤttern ſelbs geehret/ Welche die Welt durch ſeines lebens lehr Aller jhrer reichtumb gewehret.,georgfriderich iſt der ſterblichen ehr vnd von den goͤttern ſelbs geehret welche die welt durch ſeines lebens lehr aller jhrer reichtumb gewehret,georgfriderich ist der sterblichen ehr und uon den gottern selbs geehret welche die welt durch seines lebens lehr aller ihrer reichtumb gewehret
weckherlin_oden02_1619,body,11,2,False,16.[16],Dan Er iſt ja an Tugenten ſo reich/ Das wan ſein Land ſeinem verdienſt waͤr gleich/ So wuͤrd man Mich darin aufgehen/ Vnd wider—nider—gehen ſehen.,dan er iſt ja an tugenten ſo reich das wan ſein land ſeinem verdienſt waͤr gleich so wuͤrd man mich darin aufgehen vnd widernidergehen ſehen,dan er ist ia an tugenten so reich das wan sein land seinem uerdienst war gleich so wurd man mich darin aufgehen und widernidergehen sehen
weckherlin_oden02_1619,body,11,3,False,16.[16],Aber der Goͤtter aigne hand/ Die ſeine Sehl alſo goͤtlich bereichet/ Beraitet Jhm in Jhrem Land Ein ſolche Cron/ deren der Vmbkraiß weichet: Doch ſoll ſeine ſtirn wehrt vnd weiß Noch ſo bald nicht damit geeroͤnet werden/ Auf das Erlaͤnger bleib auf erden Diſer Welt lieb/ hofnung/ wolluſt vnd preiß. Clio.,aber der goͤtter aigne hand die ſeine sehl alſo goͤtlich bereichet beraitet jhm in jhrem land ein ſolche cron deren der vmbkraiß weichet doch ſoll ſeine ſtirn wehrt vnd weiß noch ſo bald nicht damit geeroͤnet werden auf das erlaͤnger bleib auf erden diſer welt lieb hofnung wolluſt vnd preiß clio,aber der gotter aigne hand die seine sehl also gotlich bereichet beraitet ihm in ihrem land ein solche cron deren der umbkraiss weichet doch soll seine stirn wehrt und weiss noch so bald nicht damit geeronet werden auf das erlanger bleib auf erden diser welt lieb hofnung wollust und preiss clio
weckherlin_oden02_1619,body,11,4,False,16.[16],DJſer welt lieb/ hofnung/ wolluſt vnd preiß Wirt Er billich allein geachtet/ Wan man allein ſeine Weißheit mit fleiß (Als der Tugenten haubt) betrachtet.,djſer welt lieb hofnung wolluſt vnd preiß wirt er billich allein geachtet wan man allein ſeine weißheit mit fleiß als der tugenten haubt betrachtet,diser welt lieb hofnung wollust und preiss wirt er billich allein geachtet wan man allein seine weissheit mit fleiss als der tugenten haubt betrachtet
