doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
dilger_arndes_1620,head,0,0,True,[5],"Des Ehrwuͤrdigen/ Achtbaren vnd Hochgelarten Herrn Johannis Arndes, im Loͤblichen Fuͤrſtenthumb Luͤneburg General Superintendenten, Richtige/ vnd in Gottes Wort wolgegruͤndete Lehre/ in den vier Buͤchern vom wahren Chriſtenthumb: In etlichen Puncten auß dringenden/ Nothwendigen vrſachen/ die in der Vorrede angezogen/ repetiret vnd wiederholet/ Durch M. DANIEL DILGER, Pfarrern der Evangeliſchen Augsburgiſchen Confeſſion zugethanen Gemeine zu S. Catharinen in Dantzig. Gedruckt im Jahr Anno 1620.",des ehrwuͤrdigen achtbaren vnd hochgelarten herrn johannis arndes im loͤblichen fuͤrſtenthumb luͤneburg general superintendenten richtige vnd in gottes wort wolgegruͤndete lehre in den vier buͤchern vom wahren chriſtenthumb in etlichen puncten auß dringenden nothwendigen vrſachen die in der vorrede angezogen repetiret vnd wiederholet durch m daniel dilger pfarrern der evangeliſchen augsburgiſchen confeſſion zugethanen gemeine zu s catharinen in dantzig gedruckt im jahr anno,des ehrwurdigen achtbaren und hochgelarten herrn iohannis arndes im loblichen furstenthumb luneburg general superintendenten richtige und in gottes wort wolgegrundete lehre in den uier buchern uom wahren christenthumb in etlichen puncten auss dringenden nothwendigen ursachen die in der uorrede angezogen repetiret und wiederholet durch m daniel dilger pfarrern der euangelischen augsburgischen confession zugethanen gemeine zu s catharinen in dantzig gedruckt im iahr anno
dilger_arndes_1620,item,1,0,False,[6],BASILIVS Hexamer.,basilivs hexamer,basilius hexamer
dilger_arndes_1620,body,1,1,True,[6],Homil. 10. edit. Baſil. pag. 55.,homil edit baſil pag,homil edit basil pag
dilger_arndes_1620,body,2,0,False,[6],QVid eſt Chriſtianiſmus?,qvid eſt chriſtianiſmus,quid est christianismus
dilger_arndes_1620,body,2,1,False,[6],"Similitudo DEI, quantum poßibile eſt humanæ naturæ.",similitudo dei quantum poßibile eſt humanæ naturæ,similitudo dei quantum possibile est humanae naturae
dilger_arndes_1620,body,2,2,False,[6],"Si ſuſcepiſti eße Chriſtianus, feſtina fieri ſimilis Deo, indue Chriſtum.",si ſuſcepiſti eße chriſtianus feſtina fieri ſimilis deo indue chriſtum,si suscepisti esse christianus festina fieri similis deo indue christum
dilger_arndes_1620,body,2,3,False,[6],Quomodo verò indues?,quomodo verò indues,quomodo uero indues
dilger_arndes_1620,body,2,4,False,[6],"qui baptiſma non accepit qui indumentum incorruptibilitatis non ſuſcepit, repudiat ſimilitudinem ad Deum.",qui baptiſma non accepit qui indumentum incorruptibilitatis non ſuſcepit repudiat ſimilitudinem ad deum,qui baptisma non accepit qui indumentum incorruptibilitatis non suscepit repudiat similitudinem ad deum
dilger_arndes_1620,body,2,5,False,[6],"Si dixißem tibi, Ades huc, fias ſimilis regi, nonne benefactorem me judicaßes?",si dixißem tibi ades huc fias ſimilis regi nonne benefactorem me judicaßes,si dixissem tibi ades huc fias similis regi nonne benefactorem me iudicasses
dilger_arndes_1620,body,2,6,True,[6],"Poſtquam verò te ſimilem DEO facere volo, fugis ſermonem deificantem te, obturatis auribus, ut neq audias ſalutares ſermones.",poſtquam verò te ſimilem deo facere volo fugis ſermonem deificantem te obturatis auribus ut neq audias ſalutares ſermones,postquam uero te similem deo facere uolo fugis sermonem deificantem te obturatis auribus ut neq audias salutares sermones
dilger_arndes_1620,head,3,0,False,[7],Dem Chriſtlichen Leſer.,dem chriſtlichen leſer,dem christlichen leser
dilger_arndes_1620,head,3,1,True,[7],Gnade vnd Friede in Chriſto JEſu vnſerm Herrn.,gnade vnd friede in chriſto jeſu vnſerm herrn,gnade und friede in christo iesu unserm herrn
dilger_arndes_1620,body,4,0,True,[7],CHriſtlicher Lieber Leſer/ was das gemeine Sprichwort gibt/ Wer an den Weg bawet/ hat viel meiſterns/ Das wird nicht allein im gemeinen Leben wahr erfunden bey denen wercken/ die fuͤr jedermans augen geſchehen/ da gemeiniglich viel Richter vnd wenig Tichter vber kommen pflegen: Sondern es wird auch ſonderlich denen Ambts Perſonen/ die im oͤffentlichen Predigampt reden/ Lehren vnd ermahnen/ weidlich vnd rechtſchaffen vnter jhrer ſchwerē Amptsbuͤrde in die Experientz vnd erfahrung geſetzet/ wie ſolches aller Heiligen Propheten vnd Apoſtel/ ja Chriſti des Ertzhirten Exempel gnugſam darthun vnd ausweiſen.,chriſtlicher lieber leſer was das gemeine sprichwort gibt wer an den weg bawet hat viel meiſterns das wird nicht allein im gemeinen leben wahr erfunden bey denen wercken die fuͤr jedermans augen geſchehen da gemeiniglich viel richter vnd wenig tichter vber kommen pflegen sondern es wird auch ſonderlich denen ambts perſonen die im oͤffentlichen predigampt reden lehren vnd ermahnen weidlich vnd rechtſchaffen vnter jhrer ſchwerē amptsbuͤrde in die experientz vnd erfahrung geſetzet wie ſolches aller heiligen propheten vnd apoſtel ja chriſti des ertzhirten exempel gnugſam darthun vnd ausweiſen,christlicher lieber leser was das gemeine sprichwort gibt wer an den weg bawet hat uiel meisterns das wird nicht allein im gemeinen leben wahr erfunden bey denen wercken die fur iedermans augen geschehen da gemeiniglich uiel richter und wenig tichter uber kommen pflegen sondern es wird auch sonderlich denen ambts personen die im offentlichen predigampt reden lehren und ermahnen weidlich und rechtschaffen unter ihrer schweren amptsburde in die experientz und erfahrung gesetzet wie solches aller heiligen propheten und apostel ia christi des ertzhirten exempel gnugsam darthun und ausweisen
dilger_arndes_1620,body,5,0,False,[7],Den wer weiß nicht/ was es fuͤr einen Zuſtand zun zeiten Eſaiæ vnter dem Volck Iſrael gehabt/ da viel Gottloſe zuhoͤrer in der gemeine ſich ins Predigampt mit eingemenget/ vnd den Predigern vnnd Lehrern haben fuͤrſchreiben vnd ein Model geben duͤrffen/ wie ſie jhre Predigten anſtellen vnd nach jhren Affecten formiren ſolten/ davon Eſaiæ 30. v. 10. geſchricben ſtehet/ das ſie/ wo nicht oͤffentlich/ doch im Hertzen geſagt haben: Ihr ſole vns nicht ſchawen die Rechte Lehre/ Prediget vns aber ſanfft/ ſchawet vns Taͤuſcherey.,den wer weiß nicht was es fuͤr einen zuſtand zun zeiten eſaiæ vnter dem volck iſrael gehabt da viel gottloſe zuhoͤrer in der gemeine ſich ins predigampt mit eingemenget vnd den predigern vnnd lehrern haben fuͤrſchreiben vnd ein model geben duͤrffen wie ſie jhre predigten anſtellen vnd nach jhren affecten formiren ſolten davon eſaiæ v geſchricben ſtehet das ſie wo nicht oͤffentlich doch im hertzen geſagt haben ihr ſole vns nicht ſchawen die rechte lehre prediget vns aber ſanfft ſchawet vns taͤuſcherey,den wer weiss nicht was es fur einen zustand zun zeiten esaiae unter dem uolck israel gehabt da uiel gottlose zuhorer in der gemeine sich ins predigampt mit eingemenget und den predigern unnd lehrern haben furschreiben und ein model geben durffen wie sie ihre predigten anstellen und nach ihren affecten formiren solten dauon esaiae u geschricben stehet das sie wo nicht offentlich doch im hertzen gesagt haben ihr sole uns nicht schawen die rechte lehre prediget uns aber sanfft schawet uns tauscherey
dilger_arndes_1620,body,5,1,False,[8],Eben daſſelbe klaget auch der Heilige Prophet Jeremias/ das es mit ſeinen Predigten bey dem ruchloſen hauffen einen ſolchen ausgang gewonnen/ wie ers beſchreibet Jerem. 20. v. 7. mit dieſen worten: Herr du haſt mich vberredet/ vnd ich hab mich vberreden laſſen/ du biſt mir zu ſtarck geweſt/ vnd haſt gewonnen.,eben daſſelbe klaget auch der heilige prophet jeremias das es mit ſeinen predigten bey dem ruchloſen hauffen einen ſolchen ausgang gewonnen wie ers beſchreibet jerem v mit dieſen worten herr du haſt mich vberredet vnd ich hab mich vberreden laſſen du biſt mir zu ſtarck geweſt vnd haſt gewonnen,eben dasselbe klaget auch der heilige prophet ieremias das es mit seinen predigten bey dem ruchlosen hauffen einen solchen ausgang gewonnen wie ers beschreibet ierem u mit diesen worten herr du hast mich uberredet und ich hab mich uberreden lassen du bist mir zu starck gewest und hast gewonnen
dilger_arndes_1620,body,5,2,False,[8],Aber ich bin druͤber zu Spott worden taͤglich vnd jederman verlachet mich.,aber ich bin druͤber zu spott worden taͤglich vnd jederman verlachet mich,aber ich bin druber zu spott worden taglich und iederman uerlachet mich
dilger_arndes_1620,body,5,3,True,[8],So klaget auch der H. Prophet Hoſeas cap. 4. v. 4. Das das Volck ſeine Predigten alſo angehoͤret vnd auffgenommen/ als wenn es jhm Frey ſtuͤnde nach wolgefallen die Prieſter zu ſchelten.,so klaget auch der h prophet hoſeas cap v das das volck ſeine predigten alſo angehoͤret vnd auffgenommen als wenn es jhm frey ſtuͤnde nach wolgefallen die prieſter zu ſchelten,so klaget auch der h prophet hoseas cap u das das uolck seine predigten also angehoret und auffgenommen als wenn es ihm frey stunde nach wolgefallen die priester zu schelten
