doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
wiedeburg_leichpredigt_1620,body,0,0,True,1,"Eine Christliche Leichpredigt/ Gehalten bey der Begräbnüß/ Des Weyland / Ehrwürdigen / Ehrnvesten / Achtbarn vnd Wolgelarten Herrn Johannis Bodemeiers/ Propsten der Kirchen S. Bonifacii in Hamelen/vnd F. B. geheimen Cammer Secretarii / Den 28. Aprilis Anno 1620. Durch Henricum VVideburgium, Th. D. vnd General Superintendent zu Wolffenbüttel. Augustinus sup. Psalmo 38. Transimus à Veteribus ad nova, ipse transitus agitur, cum corrumpuntur exteriora, & innovantur interiora, donec etiam post hoc ipsum, quod corrumpitur, exterius reddat debitum naturae, veniat in mortem, renovetur & hoc in resurrectione, tunc fient revera omnia nova reliqua, quae nunc sunt in spe & fide. Wolffenbüttel/ Gedruckt durch Eliam Holwein/ F: B: Buchd: daselbst. Im Jahr / 1620.",eine christliche leichpredigt gehalten bey der begräbnüß des weyland ehrwürdigen ehrnvesten achtbarn vnd wolgelarten herrn johannis bodemeiers propsten der kirchen s bonifacii in hamelen vnd f b geheimen cammer secretarii den aprilis anno durch henricum vvideburgium th d vnd general superintendent zu wolffenbüttel augustinus sup psalmo transimus à veteribus ad nova ipse transitus agitur cum corrumpuntur exteriora & innovantur interiora donec etiam post hoc ipsum quod corrumpitur exterius reddat debitum naturae veniat in mortem renovetur & hoc in resurrectione tunc fient revera omnia nova reliqua quae nunc sunt in spe & fide wolffenbüttel gedruckt durch eliam holwein f b buchd daselbst im jahr,eine christliche leichpredigt gehalten bey der begrabnuss des weyland ehrwurdigen ehrnuesten achtbarn und wolgelarten herrn iohannis bodemeiers propsten der kirchen s bonifacii in hamelen und f b geheimen cammer secretarii den aprilis anno durch henricum uuideburgium th d und general superintendent zu wolffenbuttel augustinus sup psalmo transimus a ueteribus ad noua ipse transitus agitur cum corrumpuntur exteriora et innouantur interiora donec etiam post hoc ipsum quod corrumpitur exterius reddat debitum naturae ueniat in mortem renouetur et hoc in resurrectione tunc fient reuera omnia noua reliqua quae nunc sunt in spe et fide wolffenbuttel gedruckt durch eliam holwein f b buchd daselbst im iahr
wiedeburg_leichpredigt_1620,body,1,0,True,3,Den Ehrnvesten vnd Wolgelarten Herrn Henrico Iulio vnd Iohanni VVernero Bodenmeiers LL. Studiosissimis.,den ehrnvesten vnd wolgelarten herrn henrico iulio vnd iohanni vvernero bodenmeiers ll studiosissimis,den ehrnuesten und wolgelarten herrn henrico iulio und iohanni uuernero bodenmeiers ll studiosissimis
wiedeburg_leichpredigt_1620,body,2,0,True,3,"Vnd Den Ehrbaren vnd Vieltugentreichen Frawen ELISABETHAE, Des Ehrnvesten / Achtbarn vnd Wolgelarten Herrn Erasmi Helders / Erbgesessen zu Sündhausen / ehelichen Haußfrawen.",vnd den ehrbaren vnd vieltugentreichen frawen elisabethae des ehrnvesten achtbarn vnd wolgelarten herrn erasmi helders erbgesessen zu sündhausen ehelichen haußfrawen,und den ehrbaren und uieltugentreichen frawen elisabethae des ehrnuesten achtbarn und wolgelarten herrn erasmi helders erbgesessen zu sundhausen ehelichen haussfrawen
wiedeburg_leichpredigt_1620,body,3,0,True,3,"Frawen Hedewieg Elisabeth / Des auch Ehrnvesten / Achtbarn vnd Wolgel: Henrici Müllcri, F: B: Cammer-Secrerarii zu Schöningen ehelichen Haußfrawen.",frawen hedewieg elisabeth des auch ehrnvesten achtbarn vnd wolgel henrici müllcri f b cammersecrerarii zu schöningen ehelichen haußfrawen,frawen hedewieg elisabeth des auch ehrnuesten achtbarn und wolgel henrici mullcri f b cammersecrerarii zu schoningen ehelichen haussfrawen
wiedeburg_leichpredigt_1620,body,4,0,True,3,"Jungfrawen Clarae Mariae, Des Weyland / Ehrwürdigen / Ehrnvesten vnd Wolgelarten Iohannis Bodenmeiers / Praepositi der Kirchen S. Bonifacii in Hamelen vnd F: B: Cammer-Secretarii S. hinderlassenen lieben Söhnen vnd Töchtern.",jungfrawen clarae mariae des weyland ehrwürdigen ehrnvesten vnd wolgelarten iohannis bodenmeiers praepositi der kirchen s bonifacii in hamelen vnd f b cammersecretarii s hinderlassenen lieben söhnen vnd töchtern,iungfrawen clarae mariae des weyland ehrwurdigen ehrnuesten und wolgelarten iohannis bodenmeiers praepositi der kirchen s bonifacii in hamelen und f b cammersecretarii s hinderlassenen lieben sohnen und tochtern
wiedeburg_leichpredigt_1620,body,5,0,True,3,Meinen günstigen in Ehren Freunden vnd Freundinnen / Wünsche ich Frewd vnd Trost / von GOtt dem Vater aller Gnaden / durch JEsum Christum im H. Geist / Amen,meinen günstigen in ehren freunden vnd freundinnen wünsche ich frewd vnd trost von gott dem vater aller gnaden durch jesum christum im h geist amen,meinen gunstigen in ehren freunden und freundinnen wunsche ich frewd und trost uon gott dem uater aller gnaden durch iesum christum im h geist amen
wiedeburg_leichpredigt_1620,body,6,0,False,4,EHrn veste / Achtbare vnd Wolgelarte großgünstige Herrn vnnd Freunde / wie auch Ehrbare vnd Vieltugentreiche Frawen vnd Jungfrawe / Es hat vorzeiten das Concilium Toletanum geschlossen / die Bischöffe sollen allen Christen verbieten / jhre Todten zubeweinen.,ehrn veste achtbare vnd wolgelarte großgünstige herrn vnnd freunde wie auch ehrbare vnd vieltugentreiche frawen vnd jungfrawe es hat vorzeiten das concilium toletanum geschlossen die bischöffe sollen allen christen verbieten jhre todten zubeweinen,ehrn ueste achtbare und wolgelarte grossgunstige herrn unnd freunde wie auch ehrbare und uieltugentreiche frawen und iungfrawe es hat uorzeiten das concilium toletanum geschlossen die bischoffe sollen allen christen uerbieten ihre todten zubeweinen
wiedeburg_leichpredigt_1620,body,6,1,False,4,Vnd da etlichen das Exempel des HErrn Christi / Joh. c. 11. Da er Lazari Todt hertzlich beweinete / vorgehalten ist / haben sie vngereimet geantwortet / der HErr habe nicht geweinet / das Lazarus gestorben / sondern dz er wieder vom Todt erstanden sey.,vnd da etlichen das exempel des herrn christi joh c da er lazari todt hertzlich beweinete vorgehalten ist haben sie vngereimet geantwortet der herr habe nicht geweinet das lazarus gestorben sondern dz er wieder vom todt erstanden sey,und da etlichen das exempel des herrn christi ioh c da er lazari todt hertzlich beweinete uorgehalten ist haben sie ungereimet geantwortet der herr habe nicht geweinet das lazarus gestorben sondern dz er wieder uom todt erstanden sey
wiedeburg_leichpredigt_1620,body,6,2,False,4,Aber das ist ja wieder die Exempel der H. Alten / welche vns der Weise Syrach heisset ansehen.,aber das ist ja wieder die exempel der h alten welche vns der weise syrach heisset ansehen,aber das ist ia wieder die exempel der h alten welche uns der weise syrach heisset ansehen
wiedeburg_leichpredigt_1620,body,6,3,False,4,Es ist wieder die Vermanung desselben Syrachs c. 38. Mein Kind / spricht er / wenn einer stirbt / so beweine jhn / vnd klage jhn / als sey dir groß Leid geschehen / vnd verhülle seinen Leib gebürlicher weise / vnd bestete jhnen ehrlich zum Grabe.,es ist wieder die vermanung desselben syrachs c mein kind spricht er wenn einer stirbt so beweine jhn vnd klage jhn als sey dir groß leid geschehen vnd verhülle seinen leib gebürlicher weise vnd bestete jhnen ehrlich zum grabe,es ist wieder die uermanung desselben syrachs c mein kind spricht er wenn einer stirbt so beweine ihn und klage ihn als sey dir gross leid geschehen und uerhulle seinen leib geburlicher weise und bestete ihnen ehrlich zum grabe
