doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523939,body,0,0,True,[1],"Deſiderabile oculorum Lugentium Dei filiorum Abitum beatè defunctorum. Eine Chriſtliche Leich- vnd Ehrenpredigt aus dem 24. Capitel des heiligen Propheten Ezechielis/ von der himliſchen Augenluſt glaͤubiger Kinder Gottes/ welche ſie in verluſt jhrer zeitlichen Augenluſt haben ſollen. Zu ſtetswehrendem Ehrengedaͤchtniß gehalten Bey Adelicher Sepultur vnd Leichbegaͤngniſſe Der weiland Edlen Wol- vnd VielEhren Tugendreichen Frawen Eliſabeth/ gebornen Eckwrichtin von Starrwitz/ Des auch Edlen/ Geſtrengen/ Ehrenveſten vnd Wolbenambten Herrn Georg von Reideburgs vnd Krayn auff Algerßdorff viel- vnd hertzgeliebten Haußfrawen/ numehr in Gott ſeligen. Als dieſelbe den 12. Decemb. abgelauffenen 1619. Jahres Morgens fruͤhe zwiſchen 8. vnd 9. der halben Vhr ſeliglich verſchieden/ vnd hernach den 16. Ianuarij folgenden Jahres in die Kirch S. Oſvvaldi zu Krommendorff mit einem Adelichen Ehrlichen Comitat zur Erden beſtattet worden. Gehalten durch M. Chriſtophorum Rauſſendorff/ Pfarrern zu Priborn vnd Tiepitz. LIPSIÆ Typis Lambergianis, Jn Verlegung David Muͤllers Buchh. Anno 1621.",deſiderabile oculorum lugentium dei filiorum abitum beatè defunctorum eine chriſtliche leich vnd ehrenpredigt aus dem capitel des heiligen propheten ezechielis von der himliſchen augenluſt glaͤubiger kinder gottes welche ſie in verluſt jhrer zeitlichen augenluſt haben ſollen zu ſtetswehrendem ehrengedaͤchtniß gehalten bey adelicher sepultur vnd leichbegaͤngniſſe der weiland edlen wol vnd vielehren tugendreichen frawen eliſabeth gebornen eckwrichtin von starrwitz des auch edlen geſtrengen ehrenveſten vnd wolbenambten herrn georg von reideburgs vnd krayn auff algerßdorff viel vnd hertzgeliebten haußfrawen numehr in gott ſeligen als dieſelbe den decemb abgelauffenen jahres morgens fruͤhe zwiſchen vnd der halben vhr ſeliglich verſchieden vnd hernach den ianuarij folgenden jahres in die kirch s oſvvaldi zu krommendorff mit einem adelichen ehrlichen comitat zur erden beſtattet worden gehalten durch m chriſtophorum rauſſendorff pfarrern zu priborn vnd tiepitz lipsiæ typis lambergianis jn verlegung david muͤllers buchh anno,desiderabile oculorum lugentium dei filiorum abitum beate defunctorum eine christliche leich und ehrenpredigt aus dem capitel des heiligen propheten ezechielis uon der himlischen augenlust glaubiger kinder gottes welche sie in uerlust ihrer zeitlichen augenlust haben sollen zu stetswehrendem ehrengedachtniss gehalten bey adelicher sepultur und leichbegangnisse der weiland edlen wol und uielehren tugendreichen frawen elisabeth gebornen eckwrichtin uon starrwitz des auch edlen gestrengen ehrenuesten und wolbenambten herrn georg uon reideburgs und krayn auff algerssdorff uiel und hertzgeliebten haussfrawen numehr in gott seligen als dieselbe den decemb abgelauffenen iahres morgens fruhe zwischen und der halben uhr seliglich uerschieden und hernach den ianuarii folgenden iahres in die kirch s osuualdi zu krommendorff mit einem adelichen ehrlichen comitat zur erden bestattet worden gehalten durch m christophorum raussendorff pfarrern zu priborn und tiepitz lipsiae typis lambergianis in uerlegung dauid mullers buchh anno
523939,body,1,0,False,[3],EDler/ Geſtrenger/ Ehrenveſter vnd Wolbenambter großguͤnſtiger Herr/ die Liebe iſt ſtarck wie der Todt/ ſaget wol vnd recht der weiſeſte Koͤnig Salomon/ worinnen er eine wunderbare collation vnd vergleichung anſtellet/ zwiſchen zweyen ſonſt zwar ſehr vngleichen/ aber doch bey Menſchlichen Lebens Vollziehung beiderſeits ſtarcken vnd maͤchtigen dingen: Eines iſt die vngefaͤrbte Liebe vnd Trew/ in welcher Menſchliche gemeinſchafft beruhet/ das ander aber der zeitlich Tod vnd Außgang dieſes Lebens.,edler geſtrenger ehrenveſter vnd wolbenambter großguͤnſtiger herr die liebe iſt ſtarck wie der todt ſaget wol vnd recht der weiſeſte koͤnig salomon worinnen er eine wunderbare collation vnd vergleichung anſtellet zwiſchen zweyen ſonſt zwar ſehr vngleichen aber doch bey menſchlichen lebens vollziehung beiderſeits ſtarcken vnd maͤchtigen dingen eines iſt die vngefaͤrbte liebe vnd trew in welcher menſchliche gemeinſchafft beruhet das ander aber der zeitlich tod vnd außgang dieſes lebens,edler gestrenger ehrenuester und wolbenambter grossgunstiger herr die liebe ist starck wie der todt saget wol und recht der weiseste konig salomon worinnen er eine wunderbare collation und uergleichung anstellet zwischen zweyen sonst zwar sehr ungleichen aber doch bey menschlichen lebens uollziehung beiderseits starcken und machtigen dingen eines ist die ungefarbte liebe und trew in welcher menschliche gemeinschafft beruhet das ander aber der zeitlich tod und aussgang dieses lebens
523939,body,1,1,True,[4],Starck vnd allzuſtarck iſt/ ach leider Gott geklagt/ der zeitliche Tod vmb der Suͤnde willen.,starck vnd allzuſtarck iſt ach leider gott geklagt der zeitliche tod vmb der suͤnde willen,starck und allzustarck ist ach leider gott geklagt der zeitliche tod umb der sunde willen
523939,body,2,0,True,[4],Er friſt verſchlingt all MenſchenKind/,er friſt verſchlingt all menſchenkind,er frist uerschlingt all menschenkind
523939,body,3,0,True,[4],Wie er ſie find/,wie er ſie find,wie er sie find
523939,body,4,0,True,[4],Fragt nichts wes Standes oder Ehren ſie ſind.,fragt nichts wes standes oder ehren ſie ſind,fragt nichts wes standes oder ehren sie sind
523939,body,5,0,True,[4],"Seiner Staͤrcke mag nicht entwerden/ der geſchwindeſte Haſaël, der ſchoͤnſte Abſolon, der ſtaͤrckſte Simſon, der weiſeſte Salomon, der gewaltigſte Nebucadnezar, der reicheſte Cræſus, der aͤrmſte Lazarus.",seiner staͤrcke mag nicht entwerden der geſchwindeſte haſaël der ſchoͤnſte abſolon der ſtaͤrckſte simſon der weiſeſte salomon der gewaltigſte nebucadnezar der reicheſte cræſus der aͤrmſte lazarus,seiner starcke mag nicht entwerden der geschwindeste hasael der schonste absolon der starckste simson der weiseste salomon der gewaltigste nebucadnezar der reicheste craesus der armste lazarus
523939,body,6,0,False,[4],So ſtarck vnd maͤchtig iſt er/ daß er auch die Bande/ ſo der allerhoͤchſte ſelber zwiſchen Eltern vnd Kindern/ zwiſchen frommen Ehe Hertzen vnd andern vertrawteſten Freunden gewircket vnd geknuͤpffet hat/ die Bande/ ſo kein Menſch loͤſen vn̄ ſcheiden ſol/ ſo geſchwinde als der ſtarcke Simſon ſeine ſpannewe Stricke/ mit denen er gebunden war/ Judic. 15. v. 14. zerreiſſen kan/ ſo ſtarck iſt er/ daß er auch die klaͤglichſte διχοτομίαν vn̄ Hertzſpaltung machen/ vnd jhr zwey in einem Fleiſch beyſam̄en wohnend von einander trennen kan/ ſo ſtarck/ daß er auch die behertzigſten ſchwechen/ trawrig vnd voll Jammers machen kan.,so ſtarck vnd maͤchtig iſt er daß er auch die bande ſo der allerhoͤchſte ſelber zwiſchen eltern vnd kindern zwiſchen frommen ehe hertzen vnd andern vertrawteſten freunden gewircket vnd geknuͤpffet hat die bande ſo kein menſch loͤſen vn̄ ſcheiden ſol ſo geſchwinde als der ſtarcke simſon ſeine ſpannewe stricke mit denen er gebunden war judic v zerreiſſen kan ſo ſtarck iſt er daß er auch die klaͤglichſte διχοτομίαν vn̄ hertzſpaltung machen vnd jhr zwey in einem fleiſch beyſam̄en wohnend von einander trennen kan ſo ſtarck daß er auch die behertzigſten ſchwechen trawrig vnd voll jammers machen kan,so starck und machtig ist er dass er auch die bande so der allerhochste selber zwischen eltern und kindern zwischen frommen ehe hertzen und andern uertrawtesten freunden gewircket und geknupffet hat die bande so kein mensch losen und scheiden sol so geschwinde als der starcke simson seine spannewe stricke mit denen er gebunden war iudic u zerreissen kan so starck ist er dass er auch die klaglichste und hertzspaltung machen und ihr zwey in einem fleisch beysammen wohnend uon einander trennen kan so starck dass er auch die behertzigsten schwechen trawrig und uoll iammers machen kan
523939,body,6,1,True,[5],O der groſſen Macht vnd Staͤrcke des Todes/ welche vmb der Suͤnde willen zu allen Menſchen durchgedrungen/ Rom. 5. v. 12.,o der groſſen macht vnd staͤrcke des todes welche vmb der suͤnde willen zu allen menſchen durchgedrungen rom v,o der grossen macht und starcke des todes welche umb der sunde willen zu allen menschen durchgedrungen rom u
523939,body,7,0,False,[5],Starck aber wie der Todt/ ach ja wol ſtaͤrcker als der Todt/ iſt frommer Chriſten/ beſonders trewhertziger liebreicher Ehegenoſſen Liebe/ durch welche jhre Hertzen zuſammen gewachſen/ vnd eines worden ſind/ denn O wie ſtreitet die Liebe mit des bittern Todes Vorboten vnd Kranckheiten/ wenn die vnſrigen ſtracks darnieder liegen/ vnd leſt ſich anſehen/ ſamb wir jhrer liebſten gemeinſchafft ſollen verluſtig werden/ wie hilfft die Liebe ſo hertzlich beten/ vnnd wil durchaus den empfangenen Schatz nicht verlieren/ ſo ſtarck iſt die Liebe/ daß ein trewes Ehehertz anders nicht dencket/ als koͤnne jhme kein groͤſſer Elend auſſer dem verluſt ſeines nechſt Gott hoͤchſten Kleinods widerfahren.,starck aber wie der todt ach ja wol ſtaͤrcker als der todt iſt frommer chriſten beſonders trewhertziger liebreicher ehegenoſſen liebe durch welche jhre hertzen zuſammen gewachſen vnd eines worden ſind denn o wie ſtreitet die liebe mit des bittern todes vorboten vnd kranckheiten wenn die vnſrigen ſtracks darnieder liegen vnd leſt ſich anſehen ſamb wir jhrer liebſten gemeinſchafft ſollen verluſtig werden wie hilfft die liebe ſo hertzlich beten vnnd wil durchaus den empfangenen schatz nicht verlieren ſo ſtarck iſt die liebe daß ein trewes ehehertz anders nicht dencket als koͤnne jhme kein groͤſſer elend auſſer dem verluſt ſeines nechſt gott hoͤchſten kleinods widerfahren,starck aber wie der todt ach ia wol starcker als der todt ist frommer christen besonders trewhertziger liebreicher ehegenossen liebe durch welche ihre hertzen zusammen gewachsen und eines worden sind denn o wie streitet die liebe mit des bittern todes uorboten und kranckheiten wenn die unsrigen stracks darnieder liegen und lest sich ansehen samb wir ihrer liebsten gemeinschafft sollen uerlustig werden wie hilfft die liebe so hertzlich beten unnd wil durchaus den empfangenen schatz nicht uerlieren so starck ist die liebe dass ein trewes ehehertz anders nicht dencket als konne ihme kein grosser elend ausser dem uerlust seines nechst gott hochsten kleinods widerfahren
523939,body,7,1,False,[6],So ſtarck iſt die Liebe/ daß ſie auch im Todte einander nicht moͤgen vergeſſen/ ſie laſſen jhnen jhre Liebe nachfolgen/ ſie bemuͤhen ſich einigſt dahin/ daß ſie auch nach dem Tode ein offentliches Zeugniß jhrer treweſten Liebe haben.,so ſtarck iſt die liebe daß ſie auch im todte einander nicht moͤgen vergeſſen ſie laſſen jhnen jhre liebe nachfolgen ſie bemuͤhen ſich einigſt dahin daß ſie auch nach dem tode ein offentliches zeugniß jhrer treweſten liebe haben,so starck ist die liebe dass sie auch im todte einander nicht mogen uergessen sie lassen ihnen ihre liebe nachfolgen sie bemuhen sich einigst dahin dass sie auch nach dem tode ein offentliches zeugniss ihrer trewesten liebe haben
523939,body,7,2,True,[6],Ach wie ſehen ſie offt den Himmel mit ſehnen an/ vnd begehren aus Liebe deſto mehr dahin/ wo ſie jhren liebſten Schatz voran geſchicket haben.,ach wie ſehen ſie offt den himmel mit ſehnen an vnd begehren aus liebe deſto mehr dahin wo ſie jhren liebſten schatz voran geſchicket haben,ach wie sehen sie offt den himmel mit sehnen an und begehren aus liebe desto mehr dahin wo sie ihren liebsten schatz uoran geschicket haben
523939,body,8,0,True,[6],Falſch vnd Heidniſch iſts/ daß die Poeten vorgeben/ die Menſchen weren ex oſsibus ma gnæ parentis das iſt/ aus den Steinen der Erden herkommen/ welche Deucalion vnnd ſein Weib hinter ſich vber Haͤupt geworffen/ daß Menſchen daraus wuͤrden/ vnnd ſey alsbald geſchehen/ daß:,falſch vnd heidniſch iſts daß die poeten vorgeben die menſchen weren ex oſsibus ma gnæ parentis das iſt aus den steinen der erden herkommen welche deucalion vnnd ſein weib hinter ſich vber haͤupt geworffen daß menſchen daraus wuͤrden vnnd ſey alsbald geſchehen daß,falsch und heidnisch ists dass die poeten uorgeben die menschen weren ex ossibus ma gnae parentis das ist aus den steinen der erden herkommen welche deucalion unnd sein weib hinter sich uber haupt geworffen dass menschen daraus wurden unnd sey alsbald geschehen dass
523939,body,9,0,True,[6],Nein/ Nein/ Gott der die Liebe ſelber iſt/ 1. Joh. 4. Der hat die natuͤrliche ſtarcke Storgas vnd Liebesflammen in vnſer Hertz gepreget/ vnd vns zur gemeinſchafft erſchaffen/ daß wir vnſere Affecten vnd bewegungen haben/ vnd es nicht laſſen koͤnnen/ daß wir wieder des Todes ſtaͤrcke in vnſerm Hertzeleid/ nicht vnſer Liebesſtaͤrcke an Tag geben ſolten.,nein nein gott der die liebe ſelber iſt joh der hat die natuͤrliche ſtarcke storgas vnd liebesflammen in vnſer hertz gepreget vnd vns zur gemeinſchafft erſchaffen daß wir vnſere affecten vnd bewegungen haben vnd es nicht laſſen koͤnnen daß wir wieder des todes ſtaͤrcke in vnſerm hertzeleid nicht vnſer liebesſtaͤrcke an tag geben ſolten,nein nein gott der die liebe selber ist ioh der hat die naturliche starcke storgas und liebesflammen in unser hertz gepreget und uns zur gemeinschafft erschaffen dass wir unsere affecten und bewegungen haben und es nicht lassen konnen dass wir wieder des todes starcke in unserm hertzeleid nicht unser liebesstarcke an tag geben solten
523939,body,10,0,False,[7],Beydes habt jhr/ Edler/ Geſtrenger/ Ehrenveſter vnd wolbenambter beſonders großguͤnſtiger Herr/ erfahren/ wie ſtarck der Tod/ wie ſtarck die Liebe im Tode ſey.,beydes habt jhr edler geſtrenger ehrenveſter vnd wolbenambter beſonders großguͤnſtiger herr erfahren wie ſtarck der tod wie ſtarck die liebe im tode ſey,beydes habt ihr edler gestrenger ehrenuester und wolbenambter besonders grossgunstiger herr erfahren wie starck der tod wie starck die liebe im tode sey
