doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
525077,body,0,0,True,[1],"Chriſtliche Leichpredigt/ Von der huͤlffe aus Zion; vber den Siebenden verß des 14. Pſalms: Gehalten Jn der Fuͤrſtlichen Stadt Liegnitz/ Bey der OberKirchen zu S. PetriPaul/ Am dritten Weinacht Feyertage/ als den 27. Decembris des Ablauffenden 1621. Jahres/ Bey dem Volckreichen Chriſt Ehrlichen Begraͤbnuͤß/ Des Weiland Ehrenfeſten/ Wolbenambten vnd Kunſtreichen Herren/ Nicolai Schneiders/ Ehrlichen Alten Buͤrgers/ vnd trewfleiſſigen Buchdruckers daſelbſt: Von Abrahamo Frisio, Derſelben Kirchen Paſtore. Gedruckt zur Liegnitz/ Jm Jahr 1622.",chriſtliche leichpredigt von der huͤlffe aus zion vber den siebenden verß des pſalms gehalten jn der fuͤrſtlichen stadt liegnitz bey der oberkirchen zu s petripaul am dritten weinacht feyertage als den decembris des ablauffenden jahres bey dem volckreichen chriſt ehrlichen begraͤbnuͤß des weiland ehrenfeſten wolbenambten vnd kunſtreichen herren nicolai schneiders ehrlichen alten buͤrgers vnd trewfleiſſigen buchdruckers daſelbſt von abrahamo frisio derſelben kirchen paſtore gedruckt zur liegnitz jm jahr,christliche leichpredigt uon der hulffe aus zion uber den siebenden uerss des psalms gehalten in der furstlichen stadt liegnitz bey der oberkirchen zu s petripaul am dritten weinacht feyertage als den decembris des ablauffenden iahres bey dem uolckreichen christ ehrlichen begrabnuss des weiland ehrenfesten wolbenambten und kunstreichen herren nicolai schneiders ehrlichen alten burgers und trewfleissigen buchdruckers daselbst uon abrahamo frisio derselben kirchen pastore gedruckt zur liegnitz im iahr
525077,body,1,0,False,[2],"I. Der Ehrbaren/ Ehrentugendreichen Frawen/ Dorotheen Schneiderin/ von der Zittaw/ II. So wol/ Dem Ehrbaren vnd Kunſtreichen Herrn/ Tobiæ Schneidern/ Buͤrgern vnd Goldſchmiede zur Liegnitz/ III. Wie auch Der Ehrbaren Ehrentugendſamen Frawen/ Roſinen/ Deß Ehrenfeſten/ Wolbenahmbten Herrn/ Melchior Poleys, Buͤrgers vnd Handelsmans allhier/ Ehelichen Haußfrawen/ IIII. Vnd.",i der ehrbaren ehrentugendreichen frawen dorotheen schneiderin von der zittaw ii so wol dem ehrbaren vnd kunſtreichen herrn tobiæ schneidern buͤrgern vnd goldſchmiede zur liegnitz iii wie auch der ehrbaren ehrentugendſamen frawen roſinen deß ehrenfeſten wolbenahmbten herrn melchior poleys buͤrgers vnd handelsmans allhier ehelichen haußfrawen iiii vnd,i der ehrbaren ehrentugendreichen frawen dorotheen schneiderin uon der zittaw ii so wol dem ehrbaren und kunstreichen herrn tobiae schneidern burgern und goldschmiede zur liegnitz iii wie auch der ehrbaren ehrentugendsamen frawen rosinen dess ehrenfesten wolbenahmbten herrn melchior poleys burgers und handelsmans allhier ehelichen haussfrawen iiii und
525077,body,1,1,True,[2],"Nicolao, Suſannæ/ Blandinæ Geſchwieſtern/ Als Herrn Nicolai Schneiders ſeligen/ hinterbliebnen/ Hobetruͤbten Frawen Witwen/ vnd Waiſen/ Meinen geliebten/ Gottſeligen Kirchkindern/ vnd Freunden/ Gottes Gnade vnd Troſt ſampt wuͤnſchung eines Gluͤckſeligen Neuen Jahres/ vnd aller Heilwertigen Leibes vnd Seelen wolfart/ zuvor.",nicolao suſannæ blandinæ geſchwieſtern als herrn nicolai schneiders ſeligen hinterbliebnen hobetruͤbten frawen witwen vnd waiſen meinen geliebten gottſeligen kirchkindern vnd freunden gottes gnade vnd troſt ſampt wuͤnſchung eines gluͤckſeligen neuen jahres vnd aller heilwertigen leibes vnd seelen wolfart zuvor,nicolao susannae blandinae geschwiestern als herrn nicolai schneiders seligen hinterbliebnen hobetrubten frawen witwen und waisen meinen geliebten gottseligen kirchkindern und freunden gottes gnade und trost sampt wunschung eines gluckseligen neuen iahres und aller heilwertigen leibes und seelen wolfart zuuor
525077,body,2,0,True,[3],EHrbare/ Ehrentugendreiche Fraw Witwe/ So wol Ehrbarer/ Kunſtreicher Herr/ Wie auch Ehrbare/ Ehrentugendreiche Fraw/ vnd jhr drey liebe Kinder/ beſonders liebe Freunde vnd Gottſelige Kirchkinder.,ehrbare ehrentugendreiche fraw witwe so wol ehrbarer kunſtreicher herr wie auch ehrbare ehrentugendreiche fraw vnd jhr drey liebe kinder beſonders liebe freunde vnd gottſelige kirchkinder,ehrbare ehrentugendreiche fraw witwe so wol ehrbarer kunstreicher herr wie auch ehrbare ehrentugendreiche fraw und ihr drey liebe kinder besonders liebe freunde und gottselige kirchkinder
525077,body,3,0,True,[3],Das der Tod/ ſo von Gott/ vber alles Fleiſch verordnet/ Sir. 41. v. 5. Einem alten/ ſchwachen/ Gottſeligen Chriſten der nichts beſſers zugewarten hat/ wol thue; ibid. v. 3. vnd 4. habet jhr an eurem ſeligen Herren/ vnd Vater/ in der that befunden.,das der tod ſo von gott vber alles fleiſch verordnet sir v einem alten ſchwachen gottſeligen chriſten der nichts beſſers zugewarten hat wol thue ibid v vnd habet jhr an eurem ſeligen herren vnd vater in der that befunden,das der tod so uon gott uber alles fleisch uerordnet sir u einem alten schwachen gottseligen christen der nichts bessers zugewarten hat wol thue ibid u und habet ihr an eurem seligen herren und uater in der that befunden
525077,body,4,0,False,[3],Denn nach dem jhn der Allmaͤchtige/ aus ſeinem Vaͤterlichen raht/ vber vorige/ bey gehendem Leibe/ halbjaͤhrige ſchwachheit/ von vorgangnem Laurenti an/ in die Neunzehnde wochen ſtets auff dem Siechbette gehalten/ hat er ja hertzlich ſich geſehnet/ vnd auff ſeines Leibes erloͤſung gewartet/ Rom. 8. v. 23. vnd weil er feſtiglich geglaͤubet/ das allein Chriſtus ſein Leben/ vnd Sterben ſein gewin ſey/ hat er innigliche luſt gehabt abzuſcheiden/ vnd bey Chriſto zu ſein.,denn nach dem jhn der allmaͤchtige aus ſeinem vaͤterlichen raht vber vorige bey gehendem leibe halbjaͤhrige ſchwachheit von vorgangnem laurenti an in die neunzehnde wochen ſtets auff dem siechbette gehalten hat er ja hertzlich ſich geſehnet vnd auff ſeines leibes erloͤſung gewartet rom v vnd weil er feſtiglich geglaͤubet das allein chriſtus ſein leben vnd sterben ſein gewin ſey hat er innigliche luſt gehabt abzuſcheiden vnd bey chriſto zu ſein,denn nach dem ihn der allmachtige aus seinem uaterlichen raht uber uorige bey gehendem leibe halbiahrige schwachheit uon uorgangnem laurenti an in die neunzehnde wochen stets auff dem siechbette gehalten hat er ia hertzlich sich gesehnet und auff seines leibes erlosung gewartet rom u und weil er festiglich geglaubet das allein christus sein leben und sterben sein gewin sey hat er innigliche lust gehabt abzuscheiden und bey christo zu sein
525077,body,4,1,True,[3],Phil. 1. v. 23. Darumb jhn auch Gott endlich erhoͤret/ vnd den 18. Decemb. deß abgewiechenen 1621. Jahres/ ¼ auff 9. vhr deß Abends/ ſelig abgefordert.,phil v darumb jhn auch gott endlich erhoͤret vnd den decemb deß abgewiechenen jahres auff vhr deß abends ſelig abgefordert,phil u darumb ihn auch gott endlich erhoret und den decemb dess abgewiechenen iahres auff uhr dess abends selig abgefordert
525077,body,5,0,True,[3],"Weil jhr auch darauff/ aus ſchuldiger Ehlicher trew/ vnd Kindlicher liebe/ bey ſeiner Chriſtlichen Sepultur, eine Leichpredigt/ Amptes halben von mir begehret/ habe ich mich/ wie ſchuͤldig/ ſo willig/ darzu finden laſſen; vnd/ ſo viel Gott/ bey anderer Amptsvorrichtung gnade geben/ auch ich mich/ wegen der Heiligen Weinacht Feyertage/ Darauff gefaſt zumachen/ zeit nehmen koͤnnen treulich vorrichtet; Hette auch nicht vormeinet/ das auff dieſesmahl/ etwas weiter/ von euch/ ſolte gemutet werden.",weil jhr auch darauff aus ſchuldiger ehlicher trew vnd kindlicher liebe bey ſeiner chriſtlichen sepultur eine leichpredigt amptes halben von mir begehret habe ich mich wie ſchuͤldig ſo willig darzu finden laſſen vnd ſo viel gott bey anderer amptsvorrichtung gnade geben auch ich mich wegen der heiligen weinacht feyertage darauff gefaſt zumachen zeit nehmen koͤnnen treulich vorrichtet hette auch nicht vormeinet das auff dieſesmahl etwas weiter von euch ſolte gemutet werden,weil ihr auch darauff aus schuldiger ehlicher trew und kindlicher liebe bey seiner christlichen sepultur eine leichpredigt amptes halben uon mir begehret habe ich mich wie schuldig so willig darzu finden lassen und so uiel gott bey anderer amptsuorrichtung gnade geben auch ich mich wegen der heiligen weinacht feyertage darauff gefast zumachen zeit nehmen konnen treulich uorrichtet hette auch nicht uormeinet das auff diesesmahl etwas weiter uon euch solte gemutet werden
525077,body,6,0,False,[4],"Jn dem jhr aber/ beydes ſelber/ ſo wol durch andere/ nach vorflieſſung der Feyertage; bey mir anhalten laſſen/ ſolche geringe vnd ſchlechte LeichSermon, Eurem ſeligen lieben Herrn vnd Vater/ zum Ehrengedaͤchtnuͤs Euch aber zu troſte/ zum Druck zuvbergeben: wolte ich/ der ich doch meine tenuitêt erkenne/ nichts liebers wuͤnſchen/ als das ich damahls/ ſolchen Text/ beſſer zu elaboriren, mehr zeit vnd gelegenheit haben koͤñen.",jn dem jhr aber beydes ſelber ſo wol durch andere nach vorflieſſung der feyertage bey mir anhalten laſſen ſolche geringe vnd ſchlechte leichsermon eurem ſeligen lieben herrn vnd vater zum ehrengedaͤchtnuͤs euch aber zu troſte zum druck zuvbergeben wolte ich der ich doch meine tenuitêt erkenne nichts liebers wuͤnſchen als das ich damahls ſolchen text beſſer zu elaboriren mehr zeit vnd gelegenheit haben koͤñen,in dem ihr aber beydes selber so wol durch andere nach uorfliessung der feyertage bey mir anhalten lassen solche geringe und schlechte leichsermon eurem seligen lieben herrn und uater zum ehrengedachtnus euch aber zu troste zum druck zuubergeben wolte ich der ich doch meine tenuitet erkenne nichts liebers wunschen als das ich damahls solchen text besser zu elaboriren mehr zeit und gelegenheit haben konnen
525077,body,6,1,True,[4],Denn anders/ als ſie damals gefallen/ herraus zugeben/ ich bedencken trage/ darumb auch mich etlich mahl gegen euch entſchuldiget.,denn anders als ſie damals gefallen herraus zugeben ich bedencken trage darumb auch mich etlich mahl gegen euch entſchuldiget,denn anders als sie damals gefallen herraus zugeben ich bedencken trage darumb auch mich etlich mahl gegen euch entschuldiget
