doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
magirus_leichpredigt_1622,head,0,0,True,1,"Leich Predigt. Getan bey der Begäbniß Des Ehrwürdigen / Andechtigen / Großachtbarn vnd Wolgelarten Herrn. HEINRICI, Abten des Closters Riddagshausen. Welcher am 14. October: dieses 1622. Jahrs selig endschlaffen/vnd am 21. desselben Christlich zur Erden bestattet worden. Gethan durch M. Petrum Tückerman Hoffprediger zu Wollffenbüttel. Gedruckt zu Wollffenbüttell / durch Eliam Hollwein Fürstl: Brauns: Buchdrucker.",leich predigt getan bey der begäbniß des ehrwürdigen andechtigen großachtbarn vnd wolgelarten herrn heinrici abten des closters riddagshausen welcher am october dieses jahrs selig endschlaffen vnd am desselben christlich zur erden bestattet worden gethan durch m petrum tückerman hoffprediger zu wollffenbüttel gedruckt zu wollffenbüttell durch eliam hollwein fürstl brauns buchdrucker,leich predigt getan bey der begabniss des ehrwurdigen andechtigen grossachtbarn und wolgelarten herrn heinrici abten des closters riddagshausen welcher am october dieses iahrs selig endschlaffen und am desselben christlich zur erden bestattet worden gethan durch m petrum tuckerman hoffprediger zu wollffenbuttel gedruckt zu wollffenbuttell durch eliam hollwein furstl brauns buchdrucker
magirus_leichpredigt_1622,head,1,0,True,1,Text: Lucae 2.,text lucae,text lucae
magirus_leichpredigt_1622,body,2,0,False,1,SImeon sprach: Herr / nu lessestu deinen Diener im Friede fahren / wie du gesaget hast.,simeon sprach herr nu lessestu deinen diener im friede fahren wie du gesaget hast,simeon sprach herr nu lessestu deinen diener im friede fahren wie du gesaget hast
magirus_leichpredigt_1622,body,2,1,True,1,Den meine Augen haben deinen Heyland gesehen / Welchen du bereitet hast für allen Völckern: Ein Liecht zuerleuchten die Heyden / vnd zum Preiß deines Volcks Israel.,den meine augen haben deinen heyland gesehen welchen du bereitet hast für allen völckern ein liecht zuerleuchten die heyden vnd zum preiß deines volcks israel,den meine augen haben deinen heyland gesehen welchen du bereitet hast fur allen uolckern ein liecht zuerleuchten die heyden und zum preiss deines uolcks israel
magirus_leichpredigt_1622,body,3,0,False,1,GEliebte im Herrn / GOtt der HErr drewet Esai: 3. cap: Daß er von Jerusalem vnd Juda nehmen wolle allerley Voreaht / nicht allein den Vorraht des Brodtes vnd Wassers / sondern auch den Vorraht der fürnembsten Leute in allen dreyen Ständen: Aus dem Geistlichen Stande wolle er wegnehmen Propheten vnd Warsager: Aus dem Weltlichen stande / Richter / Rähte / Heuptleute / Kriegsleute / starcken vnd dergleichen: Auß dem Haußstande weisse Werckleute / vnd was sonsten fürnehmes drinnen.,geliebte im herrn gott der herr drewet esai cap daß er von jerusalem vnd juda nehmen wolle allerley voreaht nicht allein den vorraht des brodtes vnd wassers sondern auch den vorraht der fürnembsten leute in allen dreyen ständen aus dem geistlichen stande wolle er wegnehmen propheten vnd warsager aus dem weltlichen stande richter rähte heuptleute kriegsleute starcken vnd dergleichen auß dem haußstande weisse werckleute vnd was sonsten fürnehmes drinnen,geliebte im herrn gott der herr drewet esai cap dass er uon ierusalem und iuda nehmen wolle allerley uoreaht nicht allein den uorraht des brodtes und wassers sondern auch den uorraht der furnembsten leute in allen dreyen standen aus dem geistlichen stande wolle er wegnehmen propheten und warsager aus dem weltlichen stande richter rahte heuptleute kriegsleute starcken und dergleichen auss dem haussstande weisse werckleute und was sonsten furnehmes drinnen
magirus_leichpredigt_1622,body,3,1,False,4,Daraus zuvernehmen / daß es eine sonderliche Straffe GOttes sey / wen nicht allein Hunger vnd Tewrung einfelt / sondern wen auch From̃ e / Gottseltge / Fürnehme / nützliche Leute nacheinander hingehen vnd sterben.,daraus zuvernehmen daß es eine sonderliche straffe gottes sey wen nicht allein hunger vnd tewrung einfelt sondern wen auch from̃ e gottseltge fürnehme nützliche leute nacheinander hingehen vnd sterben,daraus zuuernehmen dass es eine sonderliche straffe gottes sey wen nicht allein hunger und tewrung einfelt sondern wen auch fromm e gottseltge furnehme nutzliche leute nacheinander hingehen und sterben
magirus_leichpredigt_1622,body,3,2,False,4,Diese Straffe GOttes hat nu eine zeithero vns auch zimlich getroffen / den zuschweigen / wie jam̃ erlich es fürm Jahr zugangen / da man fast weder zu beissen noch zubrechen könte kriegen / so gedencke man ein wenig zu rück / welche feine Leute zn Hoff / auß der löblichen Landtschafft / vnd sonsten hin vnd wieder in etzlichen Jahren gestorben / so wird man in Warheit bekennen müssen / daß GOtt rechtschaffen in den Vorraht gegriffen / vnd jhn geringer gemacht.,diese straffe gottes hat nu eine zeithero vns auch zimlich getroffen den zuschweigen wie jam̃ erlich es fürm jahr zugangen da man fast weder zu beissen noch zubrechen könte kriegen so gedencke man ein wenig zu rück welche feine leute zn hoff auß der löblichen landtschafft vnd sonsten hin vnd wieder in etzlichen jahren gestorben so wird man in warheit bekennen müssen daß gott rechtschaffen in den vorraht gegriffen vnd jhn geringer gemacht,diese straffe gottes hat nu eine zeithero uns auch zimlich getroffen den zuschweigen wie iamm erlich es furm iahr zugangen da man fast weder zu beissen noch zubrechen konte kriegen so gedencke man ein wenig zu ruck welche feine leute zn hoff auss der loblichen landtschafft und sonsten hin und wieder in etzlichen iahren gestorben so wird man in warheit bekennen mussen dass gott rechtschaffen in den uorraht gegriffen und ihn geringer gemacht
magirus_leichpredigt_1622,body,3,3,True,4,"Zu dem Vorrat rechnẽ wir auch billig mit den in Gott verstorbenẽ Herrn Abt Heinricum, dessen Leichnam wir jetzt zu seinem Ruhebettlein begleitet vnd gebracht / welcher traun ein recht frommer Gottseliger nützlicher Mann gewesen / vnd seine stelle hie im Closter vnd in der löblichen Landtschafft mit Ehren bekleidet.",zu dem vorrat rechnẽ wir auch billig mit den in gott verstorbenẽ herrn abt heinricum dessen leichnam wir jetzt zu seinem ruhebettlein begleitet vnd gebracht welcher traun ein recht frommer gottseliger nützlicher mann gewesen vnd seine stelle hie im closter vnd in der löblichen landtschafft mit ehren bekleidet,zu dem uorrat rechnen wir auch billig mit den in gott uerstorbenen herrn abt heinricum dessen leichnam wir ietzt zu seinem ruhebettlein begleitet und gebracht welcher traun ein recht frommer gottseliger nutzlicher mann gewesen und seine stelle hie im closter und in der loblichen landtschafft mit ehren bekleidet
magirus_leichpredigt_1622,body,4,0,True,4,Erkennen vnd halten derwegen billig diesen vnd dergleichen Todesfälle für eine Straff Gottes / vnd sollen wir vns dadurch auffmuntern lassen / Busse zu thun / vnd Gott von Hertzen anzuruffen vnd zubitten / daß er nicht tieffer vnd weiter in den Vorrat hineingreiffe / sondern nach seinem gnedigen vnd Väterlichen willen / den vbriegen Vorrat nicht allein erhalten / sondern auch in allen dreyen Ständen vermehren wolle / zu seines Großmechtigen Nahmens Ehr vnd Pre iß / vnd seinen dreyen Hierarchien vnd Ständen zum besten vmb Christus willen.,erkennen vnd halten derwegen billig diesen vnd dergleichen todesfälle für eine straff gottes vnd sollen wir vns dadurch auffmuntern lassen busse zu thun vnd gott von hertzen anzuruffen vnd zubitten daß er nicht tieffer vnd weiter in den vorrat hineingreiffe sondern nach seinem gnedigen vnd väterlichen willen den vbriegen vorrat nicht allein erhalten sondern auch in allen dreyen ständen vermehren wolle zu seines großmechtigen nahmens ehr vnd pre iß vnd seinen dreyen hierarchien vnd ständen zum besten vmb christus willen,erkennen und halten derwegen billig diesen und dergleichen todesfalle fur eine straff gottes und sollen wir uns dadurch auffmuntern lassen busse zu thun und gott uon hertzen anzuruffen und zubitten dass er nicht tieffer und weiter in den uorrat hineingreiffe sondern nach seinem gnedigen und uaterlichen willen den ubriegen uorrat nicht allein erhalten sondern auch in allen dreyen standen uermehren wolle zu seines grossmechtigen nahmens ehr und pre iss und seinen dreyen hierarchien und standen zum besten umb christus willen
magirus_leichpredigt_1622,body,5,0,False,5,"Bey des seligen Herrn Abts Begräbniß / wollen wir nu im Nahmen GOttes den schönen Lob vnd Todten Gesang / des GOttseligen vnd Geistreichen Simeonis zuerkleren für vns nehmen / weil darinnen , die rechte Seelige Sterbkunst begriffen / die der Herr Abt seliger in seinem Leben für sich selbst gelernet / auch andere in seinem Predigampt gelehret / vnd in seiner langwirigen Kranckheit also practiciret, daß er mit dem Simeone im Friede gefaren: Vnd daran vns allen auch am höchsten gelegen / den ohn dieselbe kan kein Mensch Christlich vnd selig sterben.",bey des seligen herrn abts begräbniß wollen wir nu im nahmen gottes den schönen lob vnd todten gesang des gottseligen vnd geistreichen simeonis zuerkleren für vns nehmen weil darinnen die rechte seelige sterbkunst begriffen die der herr abt seliger in seinem leben für sich selbst gelernet auch andere in seinem predigampt gelehret vnd in seiner langwirigen kranckheit also practiciret daß er mit dem simeone im friede gefaren vnd daran vns allen auch am höchsten gelegen den ohn dieselbe kan kein mensch christlich vnd selig sterben,bey des seligen herrn abts begrabniss wollen wir nu im nahmen gottes den schonen lob und todten gesang des gottseligen und geistreichen simeonis zuerkleren fur uns nehmen weil darinnen die rechte seelige sterbkunst begriffen die der herr abt seliger in seinem leben fur sich selbst gelernet auch andere in seinem predigampt gelehret und in seiner langwirigen kranckheit also practiciret dass er mit dem simeone im friede gefaren und daran uns allen auch am hochsten gelegen den ohn dieselbe kan kein mensch christlich und selig sterben
