doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
510964,head,0,0,True,[1],"II. Chriſtliche Predigten. I. Bey dem Leichbegängniß/ Des weyland Ehrenveſten vnnd Wolgeachten Herꝛen Friderich Reimans/ Buͤrgers zu Bolckenhain/ Als Jungen Geſellen/ Welcher im Jahr Chriſti 1618. Seines alters im 20. den 12 Februarii, daſelbſt zu Bolckenhain in Gott verſchieden/ vnd hernach den 14. in Ehrlicher Volckreicher verſamlung/ zur Erden beſtattet worden. II. Bey Einweihung des newen Pꝛedigſtuls im Jahr Chriſti 1619. Eben am Tage Michaëlis, Welchen der Ehrenveſte vnd Wolgeachte Herꝛ Andreas Bodenſtein/ Buͤrger vnd Handelsmann in Breßlaw/ ſambt ſeiner Hertzgeliebten Haußfrawen/ der Vielehren Tugendſamben Frawen SVSANNA Reimannin von Bolckenhain/ Gott vnd ſeinem Wort zu Ehren/ dem Selig verſtorbenen Herꝛen FRIDERICH Reimann aber/ als ſeinem lieben Herꝛen Schwager/ vnd jhrem Leiblichen Bruder/ zum Gedechtniß/ in vnſer Kirchen zu Bolckenhain hat ſetzen laſſen. Gethan durch Godefridum Tilesium, Eccleſiæ Bolco L. Pastorem. Gedruckt in der Fuͤrſtlichen Stadt Olſſe/ Bey Johann: Boͤſſemeſſer. An. 1622.",ii chriſtliche predigten i bey dem leichbegängniß des weyland ehrenveſten vnnd wolgeachten herꝛen friderich reimans buͤrgers zu bolckenhain als jungen geſellen welcher im jahr chriſti seines alters im den februarii daſelbſt zu bolckenhain in gott verſchieden vnd hernach den in ehrlicher volckreicher verſamlung zur erden beſtattet worden ii bey einweihung des newen pꝛedigſtuls im jahr chriſti eben am tage michaëlis welchen der ehrenveſte vnd wolgeachte herꝛ andreas bodenſtein buͤrger vnd handelsmann in breßlaw ſambt ſeiner hertzgeliebten haußfrawen der vielehren tugendſamben frawen svsanna reimannin von bolckenhain gott vnd ſeinem wort zu ehren dem selig verſtorbenen herꝛen friderich reimann aber als ſeinem lieben herꝛen schwager vnd jhrem leiblichen bruder zum gedechtniß in vnſer kirchen zu bolckenhain hat ſetzen laſſen gethan durch godefridum tilesium eccleſiæ bolco l pastorem gedruckt in der fuͤrſtlichen stadt olſſe bey johann boͤſſemeſſer an,ii christliche predigten i bey dem leichbegangniss des weyland ehrenuesten unnd wolgeachten heren friderich reimans burgers zu bolckenhain als iungen gesellen welcher im iahr christi seines alters im den februarii daselbst zu bolckenhain in gott uerschieden und hernach den in ehrlicher uolckreicher uersamlung zur erden bestattet worden ii bey einweihung des newen pedigstuls im iahr christi eben am tage michaelis welchen der ehrenueste und wolgeachte her andreas bodenstein burger und handelsmann in bresslaw sambt seiner hertzgeliebten haussfrawen der uielehren tugendsamben frawen susanna reimannin uon bolckenhain gott und seinem wort zu ehren dem selig uerstorbenen heren friderich reimann aber als seinem lieben heren schwager und ihrem leiblichen bruder zum gedechtniss in unser kirchen zu bolckenhain hat setzen lassen gethan durch godefridum tilesium ecclesiae bolco l pastorem gedruckt in der furstlichen stadt olsse bey iohann bossemesser an
510964,body,1,0,False,[2],Dem Ehrenveſten vnnd Wolgeachten Herꝛen Andreæ Bodenſtein/ Buͤrger vnd Handelsmann in Breſslaw/ Meinem guͤnſtigen lieben Herꝛen/ vnd groſſen Freunde.,dem ehrenveſten vnnd wolgeachten herꝛen andreæ bodenſtein buͤrger vnd handelsmann in breſslaw meinem guͤnſtigen lieben herꝛen vnd groſſen freunde,dem ehrenuesten unnd wolgeachten heren andreae bodenstein burger und handelsmann in bresslaw meinem gunstigen lieben heren und grossen freunde
510964,body,1,1,False,[2],Vnd dann Der Vielehren Tugendſamen Frawen Susannæ Reimannin/ des Ehrenveſten vnd Wolgeachten Herꝛen ANDREÆ Bodenſteins/ ꝛc. Hertzgeliebten Ehelichen Haußfrawen/ Meiner in Ehrengebuͤhr guͤnſtigen groſſen Freundin.,vnd dann der vielehren tugendſamen frawen susannæ reimannin des ehrenveſten vnd wolgeachten herꝛen andreæ bodenſteins ꝛc hertzgeliebten ehelichen haußfrawen meiner in ehrengebuͤhr guͤnſtigen groſſen freundin,und dann der uielehren tugendsamen frawen susannae reimannin des ehrenuesten und wolgeachten heren andreae bodensteins c hertzgeliebten ehelichen haussfrawen meiner in ehrengebuhr gunstigen grossen freundin
510964,body,1,2,True,[2],GOttes Gnade vnd reichen Segen/ zu aller erſprießlichen Seelen vnd Leibes Wolfahrt bevorn.,gottes gnade vnd reichen segen zu aller erſprießlichen seelen vnd leibes wolfahrt bevorn,gottes gnade und reichen segen zu aller erspriesslichen seelen und leibes wolfahrt beuorn
510964,body,2,0,False,[2],EHrenveſter/ Wolgeachter Herꝛ/ Vielehren Tugendſame Fraw/ auff deroſelbten vielfaͤltiges Muͤndlich vnd Schꝛifftlich beſchehenes erſuchen/ vbergebe jhnen/ Jch hiemit beyde kurtze einfaͤltige Pꝛedigten/ So zu vnterſchiedener Zeit/ vnd von vnterſchiedener Materiâ in der Kirchen alhier zu Bolckenhain von mir gehalten woꝛden ſind.,ehrenveſter wolgeachter herꝛ vielehren tugendſame fraw auff deroſelbten vielfaͤltiges muͤndlich vnd schꝛifftlich beſchehenes erſuchen vbergebe jhnen jch hiemit beyde kurtze einfaͤltige pꝛedigten so zu vnterſchiedener zeit vnd von vnterſchiedener materiâ in der kirchen alhier zu bolckenhain von mir gehalten woꝛden ſind,ehrenuester wolgeachter her uielehren tugendsame fraw auff deroselbten uielfaltiges mundlich und schifftlich beschehenes ersuchen ubergebe ihnen ich hiemit beyde kurtze einfaltige pedigten so zu unterschiedener zeit und uon unterschiedener materia in der kirchen alhier zu bolckenhain uon mir gehalten woden sind
510964,body,2,1,True,[2],Wiewol Jch nun zwar ſolche mitzutheylen in Langes bedencken gezogen/ alldieweil Jch ſie wegen vieler Ambtsgeſchaͤffte nicht zur gnuͤge elaboriren koͤnnen: Jedoch/ weil des Gerechten nimmermehꝛ vergeſſen werden ſoll/ Auch von jhnen vnſerer Kirchen erfolgete Donaria wol werth ſind/ das deroſelbeten offentlich gedacht werde: Als habe Jch ſelbige Pꝛedigten auffs Papier gebꝛacht/ vnterdienſtlich bittend/ Sie damit voꝛ lieb nehmen/ vnd Meine/ ſo wol der Meinen Freund vnd Freundin allezeit verbleiben wollen/ Welche nebenſt Jhꝛen geliebten Ehepflaͤntzlein Gott dem Allmaͤchtigen zu ſeinem Schutz/ Jch trewlich befehle.,wiewol jch nun zwar ſolche mitzutheylen in langes bedencken gezogen alldieweil jch ſie wegen vieler ambtsgeſchaͤffte nicht zur gnuͤge elaboriren koͤnnen jedoch weil des gerechten nimmermehꝛ vergeſſen werden ſoll auch von jhnen vnſerer kirchen erfolgete donaria wol werth ſind das deroſelbeten offentlich gedacht werde als habe jch ſelbige pꝛedigten auffs papier gebꝛacht vnterdienſtlich bittend sie damit voꝛ lieb nehmen vnd meine ſo wol der meinen freund vnd freundin allezeit verbleiben wollen welche nebenſt jhꝛen geliebten ehepflaͤntzlein gott dem allmaͤchtigen zu ſeinem schutz jch trewlich befehle,wiewol ich nun zwar solche mitzutheylen in langes bedencken gezogen alldieweil ich sie wegen uieler ambtsgeschaffte nicht zur gnuge elaboriren konnen iedoch weil des gerechten nimmermeh uergessen werden soll auch uon ihnen unserer kirchen erfolgete donaria wol werth sind das deroselbeten offentlich gedacht werde als habe ich selbige pedigten auffs papier gebacht unterdienstlich bittend sie damit uo lieb nehmen und meine so wol der meinen freund und freundin allezeit uerbleiben wollen welche nebenst ihen geliebten ehepflantzlein gott dem allmachtigen zu seinem schutz ich trewlich befehle
510964,body,3,0,True,[2],E. E. Dienſtwilliger in gebuͤhr Gottfried Tiliſch.,e e dienſtwilliger in gebuͤhr gottfried tiliſch,e e dienstwilliger in gebuhr gottfried tilisch
510964,head,4,0,True,[3],Die Erſte Predigt.,die erſte predigt,die erste predigt
510964,body,5,0,True,[3],"DAs wir/ Jhr Meine Geliebeten/ an jetzo allhier im Gotteshauſe miteinander erſchienen/ Geſchicht zum letzten Liebe vnnd Ehꝛengedaͤchtniß/ Des weyland Ehꝛenveſten vñ Wolgeachten H. Friderich Reimans/ geweſenen vnſers Buͤrgers/ eines jungen Geſellen/ welchen der Ewige Allmaͤchtige GOtt/ nach ſeinem allein weiſen beſten Willen vñ Wolgefallen/ den 12. Februarii, Lauffenden 1618. Jahres/ auß dieſem Jammer vnd Thraͤnenthal in ſeinen Ewigen Frewdenſaal/ der Seelen nach/ hat abgefordert/ deſſen verblichener Coͤrper heut der Erden/ die vnſer aller Mutter iſt/ beygeſetzet werden ſol.",das wir jhr meine geliebeten an jetzo allhier im gotteshauſe miteinander erſchienen geſchicht zum letzten liebe vnnd ehꝛengedaͤchtniß des weyland ehꝛenveſten vñ wolgeachten h friderich reimans geweſenen vnſers buͤrgers eines jungen geſellen welchen der ewige allmaͤchtige gott nach ſeinem allein weiſen beſten willen vñ wolgefallen den februarii lauffenden jahres auß dieſem jammer vnd thraͤnenthal in ſeinen ewigen frewdenſaal der seelen nach hat abgefordert deſſen verblichener coͤrper heut der erden die vnſer aller mutter iſt beygeſetzet werden ſol,das wir ihr meine geliebeten an ietzo allhier im gotteshause miteinander erschienen geschicht zum letzten liebe unnd ehengedachtniss des weyland ehenuesten und wolgeachten h friderich reimans gewesenen unsers burgers eines iungen gesellen welchen der ewige allmachtige gott nach seinem allein weisen besten willen und wolgefallen den februarii lauffenden iahres auss diesem iammer und thranenthal in seinen ewigen frewdensaal der seelen nach hat abgefordert dessen uerblichener corper heut der erden die unser aller mutter ist beygesetzet werden sol
510964,body,6,0,True,[3],"Wann dann bey angeſtelleter Chriſtlicher Leich proceſſion, Loͤblichem brauch nach/ zuvor etwas auß Gottes Woꝛt vorgebꝛacht werden ſol: Als nehme Jch fuͤr Mich/ den ſchoͤnen Text/ auß dem 4. Capitel des Buchs der Weißheit/ der ſich gleich ſelbſt auff vnſern Selig verſtorbenen appliciret vnd reimet.",wann dann bey angeſtelleter chriſtlicher leich proceſſion loͤblichem brauch nach zuvor etwas auß gottes woꝛt vorgebꝛacht werden ſol als nehme jch fuͤr mich den ſchoͤnen text auß dem capitel des buchs der weißheit der ſich gleich ſelbſt auff vnſern selig verſtorbenen appliciret vnd reimet,wann dann bey angestelleter christlicher leich procession loblichem brauch nach zuuor etwas auss gottes wot uorgebacht werden sol als nehme ich fur mich den schonen text auss dem capitel des buchs der weissheit der sich gleich selbst auff unsern selig uerstorbenen appliciret und reimet
