doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509199,head,0,0,True,1,"Chriſtliche Leichpredigt/ Bey dem Begräbnüſs/ Des Weyland/ Ehrwuͤrdigen vnd Wolgelehrten Herꝛen Pauli Fridland, Eine geraume Zeit geweſenen Trewen Seelſorgers/ der Chriſtlichen gemeine zum Schmolln/ Vnd Seniorn des Olßniſchen Presbyterii, Jn beyſein JJ. FF. GG. Herꝛn Abgeſandten/ Auch der vornembſten andern Herꝛen Seniorn, So wol ſeiner geweſenen Pfarꝛkinder/ verſamlung/ gehalten. Durch Den Ehrwuͤrdigen Wolgelehrten Herꝛen Andream Günther. Probſt zur Olſſen/ den 1. Auguſti. Anno 1622. Gedruckt zur Olſſe/ bey Joh: Boͤſſemeſſer. 1623.",chriſtliche leichpredigt bey dem begräbnüſs des weyland ehrwuͤrdigen vnd wolgelehrten herꝛen pauli fridland eine geraume zeit geweſenen trewen seelſorgers der chriſtlichen gemeine zum schmolln vnd seniorn des olßniſchen presbyterii jn beyſein jj ff gg herꝛn abgeſandten auch der vornembſten andern herꝛen seniorn so wol ſeiner geweſenen pfarꝛkinder verſamlung gehalten durch den ehrwuͤrdigen wolgelehrten herꝛen andream günther probſt zur olſſen den auguſti anno gedruckt zur olſſe bey joh boͤſſemeſſer,christliche leichpredigt bey dem begrabnuss des weyland ehrwurdigen und wolgelehrten heren pauli fridland eine geraume zeit gewesenen trewen seelsorgers der christlichen gemeine zum schmolln und seniorn des olssnischen presbyterii in beysein ii ff gg hern abgesandten auch der uornembsten andern heren seniorn so wol seiner gewesenen pfarkinder uersamlung gehalten durch den ehrwurdigen wolgelehrten heren andream gunther probst zur olssen den augusti anno gedruckt zur olsse bey ioh bossemesser
509199,head,1,0,False,3,Gnade vñ Friede von Gott dem Himliſchen Vater/ vnd ſeinem geliebten Sohne/ vnſerm trewen Heyland JEſu Chriſto/ durch Krafft vnd Erleuchtung des Heil.,gnade vñ friede von gott dem himliſchen vater vnd ſeinem geliebten sohne vnſerm trewen heyland jeſu chriſto durch krafft vnd erleuchtung des heil,gnade und friede uon gott dem himlischen uater und seinem geliebten sohne unserm trewen heyland iesu christo durch krafft und erleuchtung des heil
509199,head,1,1,True,3,Geiſtes/ ſey vnd bleibe bey vns allen/ von nun an biß in Ewigkeit/ Amen.,geiſtes ſey vnd bleibe bey vns allen von nun an biß in ewigkeit amen,geistes sey und bleibe bey uns allen uon nun an biss in ewigkeit amen
509199,body,2,0,False,3,GEliebte in dem HErrn Chriſto/ Auch zum theil betruͤbte Hertzen.,geliebte in dem herrn chriſto auch zum theil betruͤbte hertzen,geliebte in dem herrn christo auch zum theil betrubte hertzen
509199,body,2,1,False,3,Geſtern iſt geweſen der letzte Tag des Monats Julij.,geſtern iſt geweſen der letzte tag des monats julij,gestern ist gewesen der letzte tag des monats iulii
509199,body,2,2,False,3,An welchem vergangen ſein 45. Jahr/ das ein fromer alter Mann/ vnnd Pfarꝛer zu Rimberg/ im Breßlawiſchen Fuͤrſtenthumb gelegen/ zur Erde beſtattet worden/ deme ich damals die Erſte Leich Pꝛedigt gethan/ in meinen jungen Jahꝛen/ als ich erſt drey Jahr im Predigampt geweſen.,an welchem vergangen ſein jahr das ein fromer alter mann vnnd pfarꝛer zu rimberg im breßlawiſchen fuͤrſtenthumb gelegen zur erde beſtattet worden deme ich damals die erſte leich pꝛedigt gethan in meinen jungen jahꝛen als ich erſt drey jahr im predigampt geweſen,an welchem uergangen sein iahr das ein fromer alter mann unnd pfarer zu rimberg im bresslawischen furstenthumb gelegen zur erde bestattet worden deme ich damals die erste leich pedigt gethan in meinen iungen iahen als ich erst drey iahr im predigampt gewesen
509199,body,2,3,True,3,Vnd hette nicht gedacht oder hoffen koͤnnen/ das ich in ſo vieler gelehrter vnd vornehmer Leute Kundſchafft vnnd Freundſchafft kommen/ viel weniger/ das ich denſelben den letzten dienſt hette gelepſten ſollen/ als hernach geſchehen.,vnd hette nicht gedacht oder hoffen koͤnnen das ich in ſo vieler gelehrter vnd vornehmer leute kundſchafft vnnd freundſchafft kommen viel weniger das ich denſelben den letzten dienſt hette gelepſten ſollen als hernach geſchehen,und hette nicht gedacht oder hoffen konnen das ich in so uieler gelehrter und uornehmer leute kundschafft unnd freundschafft kommen uiel weniger das ich denselben den letzten dienst hette gelepsten sollen als hernach geschehen
509199,body,3,0,False,3,"Denn vor 24 Jahren im Herbeſt/ iſt zur Olſſen mit Tode verbliechen/ auch ein alter Prediger/ Christoph: Marſchalck/ welcher weyland Pfarꝛer geweſen zu Wabnig: Deme ich auch/ mit vorwiſſen vnd willen des Herꝛn Superintendenten, den Leich Sermon vorꝛichtet.",denn vor jahren im herbeſt iſt zur olſſen mit tode verbliechen auch ein alter prediger christoph marſchalck welcher weyland pfarꝛer geweſen zu wabnig deme ich auch mit vorwiſſen vnd willen des herꝛn superintendenten den leich sermon vorꝛichtet,denn uor iahren im herbest ist zur olssen mit tode uerbliechen auch ein alter prediger christoph marschalck welcher weyland pfarer gewesen zu wabnig deme ich auch mit uorwissen und willen des hern superintendenten den leich sermon uorichtet
509199,body,3,1,False,3,Weil er mein Landsman vnd alter bekandter geweſen.,weil er mein landsman vnd alter bekandter geweſen,weil er mein landsman und alter bekandter gewesen
509199,body,3,2,False,3,Vor 7. Jahren/ Nach Oſtern/ iſt von dieſer Welt ſeeliglich abgeſchiedẽ/ der Ehrwuͤrdige vñ Wolgelehꝛte H. Georgius Moͤller/ eine geraume Zeit geweſener Trewer Pfarꝛer zur Bernſtadt/ der ſich vmb dieſelbe Gemeine wol verdienet/ vnd ohne zweyfel noch viel Leute daſelbſt ſeine Trewe erkennen vnnd gedencken.,vor jahren nach oſtern iſt von dieſer welt ſeeliglich abgeſchiedẽ der ehrwuͤrdige vñ wolgelehꝛte h georgius moͤller eine geraume zeit geweſener trewer pfarꝛer zur bernſtadt der ſich vmb dieſelbe gemeine wol verdienet vnd ohne zweyfel noch viel leute daſelbſt ſeine trewe erkennen vnnd gedencken,uor iahren nach ostern ist uon dieser welt seeliglich abgeschieden der ehrwurdige und wolgelehte h georgius moller eine geraume zeit gewesener trewer pfarer zur bernstadt der sich umb dieselbe gemeine wol uerdienet und ohne zweyfel noch uiel leute daselbst seine trewe erkennen unnd gedencken
509199,body,3,3,True,4,Da dann die ſeinigen mich auch der ehren wuͤrdig geachtet/ das ich jhm die Leichpredigt thun ſolte.,da dann die ſeinigen mich auch der ehren wuͤrdig geachtet das ich jhm die leichpredigt thun ſolte,da dann die seinigen mich auch der ehren wurdig geachtet das ich ihm die leichpredigt thun solte
509199,item,4,0,False,4,Vor 6. Jahren.,vor jahren,uor iahren
509199,item,4,1,False,4,Noch Weynachten.,noch weynachten,noch weynachten
509199,body,4,2,False,4,Jſt von GOtt durch den Zeitlichen todt abgefodert woꝛden.,jſt von gott durch den zeitlichen todt abgefodert woꝛden,ist uon gott durch den zeitlichen todt abgefodert woden
509199,body,4,3,False,4,Der Achtbar Ehrwuͤrdige vnd Hochgelehrte H. Melchior Eccard. eine lange Zeit geweſener Wolverordneter Pfarꝛer vnnd Superintẽdens dieſes Olßniſchẽ Fuͤrſtenthumbs/ welches hinterlaſſene Kinder vnd Erben/ auch den letzten dienſt mit vorꝛichtung der Leichpredigt von mir begehret.,der achtbar ehrwuͤrdige vnd hochgelehrte h melchior eccard eine lange zeit geweſener wolverordneter pfarꝛer vnnd superintẽdens dieſes olßniſchẽ fuͤrſtenthumbs welches hinterlaſſene kinder vnd erben auch den letzten dienſt mit vorꝛichtung der leichpredigt von mir begehret,der achtbar ehrwurdige und hochgelehrte h melchior eccard eine lange zeit gewesener woluerordneter pfarer unnd superintendens dieses olssnischen furstenthumbs welches hinterlassene kinder und erben auch den letzten dienst mit uorichtung der leichpredigt uon mir begehret
509199,body,4,4,True,4,Welches ich dann auch/ nach vormoͤgen willig gethan.,welches ich dann auch nach vormoͤgen willig gethan,welches ich dann auch nach uormogen willig gethan
509199,body,5,0,False,4,"Hette aber nicht vormeinet/ das ich ferꝛner jrgend einem Prediger/ vnd Seniori, ſolchẽ letzten dienſt geleyſten wuͤrde.",hette aber nicht vormeinet das ich ferꝛner jrgend einem prediger vnd seniori ſolchẽ letzten dienſt geleyſten wuͤrde,hette aber nicht uormeinet das ich ferner irgend einem prediger und seniori solchen letzten dienst geleysten wurde
509199,body,5,1,True,4,Sintemal ich nun ſelber vber meine Siebentzig Jahr kommen/ vnd faſt Taͤglich eines ſeeligen Todes/ vnd eines ehrlichen Begraͤbniß gewertig bin/ vnd hoffe.,sintemal ich nun ſelber vber meine siebentzig jahr kommen vnd faſt taͤglich eines ſeeligen todes vnd eines ehrlichen begraͤbniß gewertig bin vnd hoffe,sintemal ich nun selber uber meine siebentzig iahr kommen und fast taglich eines seeligen todes und eines ehrlichen begrabniss gewertig bin und hoffe
509199,body,6,0,False,4,Dieweil es aber dem Allgewaltigen Gott alſo wolgefallen.,dieweil es aber dem allgewaltigen gott alſo wolgefallen,dieweil es aber dem allgewaltigen gott also wolgefallen
509199,body,6,1,False,4,Vnd er nach ſeinem Rath/ auß dieſem Muͤhſeligen leben hinweg genommen/ Den auch Ehrwuͤrdigen vnnd Wolgelehrten H. Paulum Friedland/ viel Jahr trewen geweſen Seelſorger allhier zum Schmoln/ Er auch ſelber vor ſeinem ſeligen abſterben/ den ſeinigen angemeldet/ das ſie mich/ die LeichPredigt jhme zuthun vermoͤgen ſolten/ Hab ich auff jhr begehren ſolches nicht vorwegern ſollen vnd wollen/ weil er nicht allein eine Perſon vnſers Ordens/ Sondern auch mein Alter guter freund geweſen.,vnd er nach ſeinem rath auß dieſem muͤhſeligen leben hinweg genommen den auch ehrwuͤrdigen vnnd wolgelehrten h paulum friedland viel jahr trewen geweſen seelſorger allhier zum schmoln er auch ſelber vor ſeinem ſeligen abſterben den ſeinigen angemeldet das ſie mich die leichpredigt jhme zuthun vermoͤgen ſolten hab ich auff jhr begehren ſolches nicht vorwegern ſollen vnd wollen weil er nicht allein eine perſon vnſers ordens sondern auch mein alter guter freund geweſen,und er nach seinem rath auss diesem muhseligen leben hinweg genommen den auch ehrwurdigen unnd wolgelehrten h paulum friedland uiel iahr trewen gewesen seelsorger allhier zum schmoln er auch selber uor seinem seligen absterben den seinigen angemeldet das sie mich die leichpredigt ihme zuthun uermogen solten hab ich auff ihr begehren solches nicht uorwegern sollen und wollen weil er nicht allein eine person unsers ordens sondern auch mein alter guter freund gewesen
509199,body,6,2,False,4,"Vnd ob ich wol weiß/ das ein jeder vnter den Anweſenden Herꝛen Senioribus, ſolches viel beſſer als ich/ hette vorꝛichten koͤnnen/ habe ich doch im Namen Gottes/ ſolche Arbeyt auff mich willig genommen.",vnd ob ich wol weiß das ein jeder vnter den anweſenden herꝛen senioribus ſolches viel beſſer als ich hette vorꝛichten koͤnnen habe ich doch im namen gottes ſolche arbeyt auff mich willig genommen,und ob ich wol weiss das ein ieder unter den anwesenden heren senioribus solches uiel besser als ich hette uorichten konnen habe ich doch im namen gottes solche arbeyt auff mich willig genommen
509199,body,6,3,False,4,Vnnd damit ſolches mit Nutz vnd frucht moͤge vorꝛichtet werden.,vnnd damit ſolches mit nutz vnd frucht moͤge vorꝛichtet werden,unnd damit solches mit nutz und frucht moge uorichtet werden
509199,body,6,4,True,4,Wollen wir zuvor den Allmaͤchtigen GOtt/ vmb ſeine Gnad vnd Beyſtand anruffen/ vnd deßhalben mit einander Beten/ ein Andaͤchtiges/ Glaͤubiges Vater vnſer.,wollen wir zuvor den allmaͤchtigen gott vmb ſeine gnad vnd beyſtand anruffen vnd deßhalben mit einander beten ein andaͤchtiges glaͤubiges vater vnſer,wollen wir zuuor den allmachtigen gott umb seine gnad und beystand anruffen und desshalben mit einander beten ein andachtiges glaubiges uater unser
509199,body,7,0,False,5,GEliebte in dem HErꝛn Chriſto/ wir haben jetzundt allhieher/ zu ſeinem Ruhkaͤmmerlein beleyten helffen.,geliebte in dem herꝛn chriſto wir haben jetzundt allhieher zu ſeinem ruhkaͤmmerlein beleyten helffen,geliebte in dem hern christo wir haben ietzundt allhieher zu seinem ruhkammerlein beleyten helffen
509199,body,7,1,False,5,Den Weyland/ Ehrwuͤrdigen vnd Wolgelehrten Herꝛen Paulum Friedland/ Seniorem dieſes Loͤblichen Fuͤrſtenthumbs/ welcher das Siebentzigſte Jahr ſeines alters erꝛeichet/ welches nicht gemein iſt bey jetziger Welt.,den weyland ehrwuͤrdigen vnd wolgelehrten herꝛen paulum friedland seniorem dieſes loͤblichen fuͤrſtenthumbs welcher das siebentzigſte jahr ſeines alters erꝛeichet welches nicht gemein iſt bey jetziger welt,den weyland ehrwurdigen und wolgelehrten heren paulum friedland seniorem dieses loblichen furstenthumbs welcher das siebentzigste iahr seines alters ereichet welches nicht gemein ist bey ietziger welt
