doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509973,body,0,0,True,[1],"Chriſtliche Leichpꝛedigt/ Bey der Leichbegaͤngniſs Weyland Des Ehrenveſten/ vnnd Hochgelehrten Herꝛn Adami Opalæ, Promovirten Doctoris inn der Artzney/ Welcher Sambſtags/ den 30 Tag Martij/ in Gott Seeliglich verſchieden: Vnd hernach Zinſtags/ Den 2. Tag Aprilis/ auff der gewoͤhnlichen Begraͤbnuͤß zur Rothen Kirchen/ oder zun Guten Leuthen genandt/ Chriſtlichem Gebꝛauch nach zur Erden beſtaͤttiget woꝛden: Gehalten/ Durch M. Johannem Huberum, Pfarꝛherꝛen zu S. Wilhelm/ in der Stadt Straßburg. Anno Christi, M. DC. XXII. Gedruckt in der Fuͤrſtlichen Stadt Olſſe/ bey Johann Boͤſſemeſſer. 1623.",chriſtliche leichpꝛedigt bey der leichbegaͤngniſs weyland des ehrenveſten vnnd hochgelehrten herꝛn adami opalæ promovirten doctoris inn der artzney welcher sambſtags den tag martij in gott seeliglich verſchieden vnd hernach zinſtags den tag aprilis auff der gewoͤhnlichen begraͤbnuͤß zur rothen kirchen oder zun guten leuthen genandt chriſtlichem gebꝛauch nach zur erden beſtaͤttiget woꝛden gehalten durch m johannem huberum pfarꝛherꝛen zu s wilhelm in der stadt straßburg anno christi m dc xxii gedruckt in der fuͤrſtlichen stadt olſſe bey johann boͤſſemeſſer,christliche leichpedigt bey der leichbegangniss weyland des ehrenuesten unnd hochgelehrten hern adami opalae promouirten doctoris inn der artzney welcher sambstags den tag martii in gott seeliglich uerschieden und hernach zinstags den tag aprilis auff der gewohnlichen begrabnuss zur rothen kirchen oder zun guten leuthen genandt christlichem gebauch nach zur erden bestattiget woden gehalten durch m iohannem huberum pfarheren zu s wilhelm in der stadt strassburg anno christi m dc xxii gedruckt in der furstlichen stadt olsse bey iohann bossemesser
509973,body,1,0,True,[2],"Bildniß Des Weyland Ehrenveſten vnd Hochgelehrten H. Adami Opalæ, der Philoſophiæ vnd Artzney Doctoris.",bildniß des weyland ehrenveſten vnd hochgelehrten h adami opalæ der philoſophiæ vnd artzney doctoris,bildniss des weyland ehrenuesten und hochgelehrten h adami opalae der philosophiae und artzney doctoris
509973,body,2,0,False,[3],Den Geſtrengen/ Edlen/ Ehrenveſten/ auch Wolbenambten: Herꝛn Chriſtoff Franckenberg/ von Proſchlitz/ auff Roſchkowitz/ Fuͤrſtl: Lign: Brigiſ: Rath/ Hauptmann zu Creutzburg vnd Pitſchen.,den geſtrengen edlen ehrenveſten auch wolbenambten herꝛn chriſtoff franckenberg von proſchlitz auff roſchkowitz fuͤrſtl lign brigiſ rath hauptmann zu creutzburg vnd pitſchen,den gestrengen edlen ehrenuesten auch wolbenambten hern christoff franckenberg uon proschlitz auff roschkowitz furstl lign brigis rath hauptmann zu creutzburg und pitschen
509973,body,2,1,False,[3],H: Melchior Koſchembor von Skorkaw/ auff Seychwitz/ Golaw/ vnd Latznow/ beyder Fuͤrſtenthuͤmer Oppeln vnd Ratibor Landesrechts beſitzern vnnd Eltiſten/ Kreyß-Hauptmann zu Roſenberg/ vnd Landsberg.,h melchior koſchembor von skorkaw auff seychwitz golaw vnd latznow beyder fuͤrſtenthuͤmer oppeln vnd ratibor landesrechts beſitzern vnnd eltiſten kreyßhauptmann zu roſenberg vnd landsberg,h melchior koschembor uon skorkaw auff seychwitz golaw und latznow beyder furstenthumer oppeln und ratibor landesrechts besitzern unnd eltisten kreysshauptmann zu rosenberg und landsberg
509973,body,2,2,False,[3],So wol Den Edlen/ Geſtrengen/ Ehrenveſten/ Wolbenambten Herꝛen/ N. N. Hoferichtern/ Landesaͤltiſten: Wolveroꝛdneten Fuͤrſtl: Amptsperſonen/ Herꝛn Burggrafen/ Herꝛn Land vnd Renntſchreibern zu Creutzburg: Zu gleiche der gantzen Loͤblichen Adelichen Ritterſchafft des Creutzburgiſchen vnd Pitſchniſchen Weichbildes/ Die Edlen Viel Ehrentugendreichen Frawen Wittiben mit eingeſchloſſen.,so wol den edlen geſtrengen ehrenveſten wolbenambten herꝛen n n hoferichtern landesaͤltiſten wolveroꝛdneten fuͤrſtl amptsperſonen herꝛn burggrafen herꝛn land vnd renntſchreibern zu creutzburg zu gleiche der gantzen loͤblichen adelichen ritterſchafft des creutzburgiſchen vnd pitſchniſchen weichbildes die edlen viel ehrentugendreichen frawen wittiben mit eingeſchloſſen,so wol den edlen gestrengen ehrenuesten wolbenambten heren n n hoferichtern landesaltisten woluerodneten furstl amptspersonen hern burggrafen hern land und renntschreibern zu creutzburg zu gleiche der gantzen loblichen adelichen ritterschafft des creutzburgischen und pitschnischen weichbildes die edlen uiel ehrentugendreichen frawen wittiben mit eingeschlossen
509973,body,2,3,False,[3],"Demnach DEn Ehrwuͤrdigen/ Andaͤchtigen/ Achtbaren/ Wolgelehꝛten Herꝛn N. N. Seniori, der gantzen Prieſterſchafft/ beyder Schulen Rectoribꝰ, Collegis, vnd Chriſtlichen Schuljugendt.",demnach den ehrwuͤrdigen andaͤchtigen achtbaren wolgelehꝛten herꝛn n n seniori der gantzen prieſterſchafft beyder schulen rectoribꝰ collegis vnd chriſtlichen schuljugendt,demnach den ehrwurdigen andachtigen achtbaren wolgelehten hern n n seniori der gantzen priesterschafft beyder schulen rectoribcon collegis und christlichen schuliugendt
509973,body,2,4,True,[4],Deſſelbigen gleichen Den Erſamen Wolweiſen/ auch Erbaren/ Wolgeachten Herꝛn N. N. Buͤrgermeiſtern vnd Raths verwandten/ Eltiſten/ Geſchwornen/ Zechmeiſtern/ auch den gantzen Chꝛiſtlichen Gemeinen beyder Staͤdte Creutzburg vnd Pitſchen/ Sambt vnd ſonderlich:,deſſelbigen gleichen den erſamen wolweiſen auch erbaren wolgeachten herꝛn n n buͤrgermeiſtern vnd raths verwandten eltiſten geſchwornen zechmeiſtern auch den gantzen chꝛiſtlichen gemeinen beyder staͤdte creutzburg vnd pitſchen sambt vnd ſonderlich,desselbigen gleichen den ersamen wolweisen auch erbaren wolgeachten hern n n burgermeistern und raths uerwandten eltisten geschwornen zechmeistern auch den gantzen chistlichen gemeinen beyder stadte creutzburg und pitschen sambt und sonderlich
509973,body,3,0,True,[4],"SEiner gebietenden Obrigkeit/ Großguͤnſtigẽ Herꝛn/ Foͤrdern/ Gutthaͤtern/ Lieben Ordensbruͤďn/ Collegis vnd gutten freunden/ dediciret vnd verehꝛet/ Neben Wuͤndſchung Goͤttlicher Genaden/ dieſe von Straßburg jhme zugeſchickte/ auff ſeines lieben Stiff Sohnes Herꝛn Doctoris Adami Opalæ Begraͤbniß gehaltene Leichpredigt/ Chriſtophorus Suͤſſenbach/ Goͤttliches worts diener zu Pitſchen/ vnd Senior, ſeine Gehorſame Submiſſion, Danckbares gemuͤhte/ vnd Trewhertzige meinung zu erzeigen/ auch alle Staͤnde ernſtlich zu bitten/ vnd zu ermahnen/ Sie wollen dieſen auß dem 12 Capitel des Predigers Salomonis genommenen/ in der Leichpredigt erklaͤreten Summariſchen Bibliſchen Hauptſpruch bey ſich ſelbſten practiciren, vnd bey den jhꝛigen ins Werck zuſetzen befoͤꝛderlich ſein:",seiner gebietenden obrigkeit großguͤnſtigẽ herꝛn foͤrdern gutthaͤtern lieben ordensbruͤďn collegis vnd gutten freunden dediciret vnd verehꝛet neben wuͤndſchung goͤttlicher genaden dieſe von straßburg jhme zugeſchickte auff ſeines lieben stiff sohnes herꝛn doctoris adami opalæ begraͤbniß gehaltene leichpredigt chriſtophorus suͤſſenbach goͤttliches worts diener zu pitſchen vnd senior ſeine gehorſame submiſſion danckbares gemuͤhte vnd trewhertzige meinung zu erzeigen auch alle staͤnde ernſtlich zu bitten vnd zu ermahnen sie wollen dieſen auß dem capitel des predigers salomonis genommenen in der leichpredigt erklaͤreten summariſchen bibliſchen hauptſpruch bey ſich ſelbſten practiciren vnd bey den jhꝛigen ins werck zuſetzen befoͤꝛderlich ſein,seiner gebietenden obrigkeit grossgunstigen hern fordern gutthatern lieben ordensbrudn collegis und gutten freunden dediciret und uerehet neben wundschung gottlicher genaden diese uon strassburg ihme zugeschickte auff seines lieben stiff sohnes hern doctoris adami opalae begrabniss gehaltene leichpredigt christophorus sussenbach gottliches worts diener zu pitschen und senior seine gehorsame submission danckbares gemuhte und trewhertzige meinung zu erzeigen auch alle stande ernstlich zu bitten und zu ermahnen sie wollen diesen auss dem capitel des predigers salomonis genommenen in der leichpredigt erklareten summarischen biblischen hauptspruch bey sich selbsten practiciren und bey den ihigen ins werck zusetzen befoderlich sein
509973,body,4,0,True,[4],Fuͤrchte Gott/ vnd halte ſeine Gebott/ denn das gehoͤret allen Menſchen zu. Denn Gott wird alle Werck fuͤr Gericht bringen/ das verboꝛgen iſt/ es ſey gut oder boͤſe.,fuͤrchte gott vnd halte ſeine gebott denn das gehoͤret allen menſchen zu denn gott wird alle werck fuͤr gericht bringen das verboꝛgen iſt es ſey gut oder boͤſe,furchte gott und halte seine gebott denn das gehoret allen menschen zu denn gott wird alle werck fur gericht bringen das uerbogen ist es sey gut oder bose
509973,body,5,0,True,[5],"Rector Academiæ Argentoratensis, Melchior Sebitius Junior, medicinæ doctor & professor, Studioſis Adolenſcentibus S. P. D.",rector academiæ argentoratensis melchior sebitius junior medicinæ doctor & professor studioſis adolenſcentibus s p d,rector academiae argentoratensis melchior sebitius iunior medicinae doctor et professor studiosis adolenscentibus s p d
