doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508138,head,0,0,True,[1],Τοῦ Ι᾽ησοῦ συνεργοῦντος Beatus’ Piè in DOMINO hinc emigrantium Ad Patrem Coelestem Abitus. Das iſt Eine Chriſtliche Leichſermon/ von der ſeelig im HErꝛen Chriſto entſchlaffenden Glaͤubigen Kinder Gottes froͤlichen Hingang auß dieſem Muheſamen Jrꝛlandt/ in das Himliſche Frewdenreiche vnd rechte Vaterlandt. Bey dem Begraͤbnuͤß Des Weylandt Edlen/ Geſtrengen/ Ehrenveſten/ Wolbenambten/ Numehr Seeligen vnd in Gottruhenden Herꝛen Friedrich von Dalibuhrn/ vnd Jacobsdorff auff Kopitz/ ꝛc. Welcher zu Jackſchenaw Chriſt Adelichem Brauche nach zur Erden beſtattet wardt den 8. Tag des Mayen/ im 1624 Jahꝛe. Nach der Heylſamen Gnadenreichen Geburt vnſers HErꝛen JEſu Chriſti: Einfaͤltig in der StandtPꝛedigt erklaͤhret: Durch MICHAELEM CALIXTUM von Frawenſtadt/ Pfarꝛern zu Domatſchin. Gedruckt in der Fuͤrſtlichen Stadt Olſſe/ bey Johan: Boͤſſemeſſer.,τοῦ ιησοῦ συνεργοῦντος beatus piè in domino hinc emigrantium ad patrem coelestem abitus das iſt eine chriſtliche leichſermon von der ſeelig im herꝛen chriſto entſchlaffenden glaͤubigen kinder gottes froͤlichen hingang auß dieſem muheſamen jrꝛlandt in das himliſche frewdenreiche vnd rechte vaterlandt bey dem begraͤbnuͤß des weylandt edlen geſtrengen ehrenveſten wolbenambten numehr seeligen vnd in gottruhenden herꝛen friedrich von dalibuhrn vnd jacobsdorff auff kopitz ꝛc welcher zu jackſchenaw chriſt adelichem brauche nach zur erden beſtattet wardt den tag des mayen im jahꝛe nach der heylſamen gnadenreichen geburt vnſers herꝛen jeſu chriſti einfaͤltig in der standtpꝛedigt erklaͤhret durch michaelem calixtum von frawenſtadt pfarꝛern zu domatſchin gedruckt in der fuͤrſtlichen stadt olſſe bey johan boͤſſemeſſer,beatus pie in domino hinc emigrantium ad patrem coelestem abitus das ist eine christliche leichsermon uon der seelig im heren christo entschlaffenden glaubigen kinder gottes frolichen hingang auss diesem muhesamen irlandt in das himlische frewdenreiche und rechte uaterlandt bey dem begrabnuss des weylandt edlen gestrengen ehrenuesten wolbenambten numehr seeligen und in gottruhenden heren friedrich uon dalibuhrn und iacobsdorff auff kopitz c welcher zu iackschenaw christ adelichem brauche nach zur erden bestattet wardt den tag des mayen im iahe nach der heylsamen gnadenreichen geburt unsers heren iesu christi einfaltig in der standtpedigt erklahret durch michaelem calixtum uon frawenstadt pfarern zu domatschin gedruckt in der furstlichen stadt olsse bey iohan bossemesser
508138,item,1,0,True,[3],"Συὺ τῷ θεῷ, καὶ Ι᾽ησοῦ",συὺ τῷ θεῷ καὶ ιησοῦ,
508138,item,2,0,True,[3],κυρίῳ ἡμῶν.,κυρίῳ ἡμῶν,
508138,body,3,0,True,[3],Cujus mihi Nomen,cujus mihi nomen,cuius mihi nomen
508138,body,4,0,True,[3],"In. Ore melleus’ Sapor,",in ore melleus sapor,in ore melleus sapor
508138,body,5,0,True,[3],"In. Aure Muſicus Tenor,",in aure muſicus tenor,in aure musicus tenor
508138,body,6,0,True,[3],In. Corde Dulce Jubilum.,in corde dulce jubilum,in corde dulce iubilum
508138,head,7,0,True,[3],VOTUM.,votum,uotum
508138,body,8,0,False,[3],DAs walt der Edleſte Creutz Herꝛ vnſer thewꝛer Großmaͤchtiger Erloͤſer vñ Heyland JEſus Chriſtus/ welcher vmb vnſernt willen allerley Creutz vnd ſchwere Not/ auch endlich den aller Schmehlichſten todt/ am Holtz des Creutzes erlidten/ vnd dadurch vnſer Creutz/ Leyden vnd ſterben gecredentzet vñ durchſuͤſſet hat: Der auch dannenhero ſeine Glaͤubige Chriſtritter zu allen Truͤbſallen getroſt vnd Hertzhafft in allen Zeiten gemachet hat; Das ſie mit groſſer gedult vnd ſtarckem Gemuͤth/ ſich der Truͤbſallen gefrewet vñ geruͤhmet/ vnd durch ſeinen Goͤttlichen beyſtandt dieſelben vberwunden haben.,das walt der edleſte creutz herꝛ vnſer thewꝛer großmaͤchtiger erloͤſer vñ heyland jeſus chriſtus welcher vmb vnſernt willen allerley creutz vnd ſchwere not auch endlich den aller schmehlichſten todt am holtz des creutzes erlidten vnd dadurch vnſer creutz leyden vnd ſterben gecredentzet vñ durchſuͤſſet hat der auch dannenhero ſeine glaͤubige chriſtritter zu allen truͤbſallen getroſt vnd hertzhafft in allen zeiten gemachet hat das ſie mit groſſer gedult vnd ſtarckem gemuͤth ſich der truͤbſallen gefrewet vñ geruͤhmet vnd durch ſeinen goͤttlichen beyſtandt dieſelben vberwunden haben,das walt der edleste creutz her unser thewer grossmachtiger erloser und heyland iesus christus welcher umb unsernt willen allerley creutz und schwere not auch endlich den aller schmehlichsten todt am holtz des creutzes erlidten und dadurch unser creutz leyden und sterben gecredentzet und durchsusset hat der auch dannenhero seine glaubige christritter zu allen trubsallen getrost und hertzhafft in allen zeiten gemachet hat das sie mit grosser gedult und starckem gemuth sich der trubsallen gefrewet und geruhmet und durch seinen gottlichen beystandt dieselben uberwunden haben
508138,body,8,1,False,[3],Deroſelbte wolle nun auch an jetzo vns alleſambt/ zuvor auß aber/ die Hochbetruͤbten Leydtragenden Adelichen Gemuͤtter mit dem H. Geiſt/ dem Gott alles Troſtes/ genediglich begaben/ das ſie jhr Creutz willig auff ſich nehmen/ Gottes rath vñ willen vor den beſten erkennen/ mit groſſer gedult den empfundenen Riß verſchmirtzen/ vnd endlich auch durch diß trawrige vñ finſtere Jammerthal/ in die jmmer wehꝛende Glory/ Frewde vnd Seeligkeit/ zu Gott der H. Dreyfaltigkeit/ vnd der Seeligen Engel vnd Chriſtglaͤubigen Scharꝛ/ dringen moͤgen.,deroſelbte wolle nun auch an jetzo vns alleſambt zuvor auß aber die hochbetruͤbten leydtragenden adelichen gemuͤtter mit dem h geiſt dem gott alles troſtes genediglich begaben das ſie jhr creutz willig auff ſich nehmen gottes rath vñ willen vor den beſten erkennen mit groſſer gedult den empfundenen riß verſchmirtzen vnd endlich auch durch diß trawrige vñ finſtere jammerthal in die jmmer wehꝛende glory frewde vnd seeligkeit zu gott der h dreyfaltigkeit vnd der seeligen engel vnd chriſtglaͤubigen scharꝛ dringen moͤgen,deroselbte wolle nun auch an ietzo uns allesambt zuuor auss aber die hochbetrubten leydtragenden adelichen gemutter mit dem h geist dem gott alles trostes genediglich begaben das sie ihr creutz willig auff sich nehmen gottes rath und willen uor den besten erkennen mit grosser gedult den empfundenen riss uerschmirtzen und endlich auch durch diss trawrige und finstere iammerthal in die immer wehende glory frewde und seeligkeit zu gott der h dreyfaltigkeit und der seeligen engel und christglaubigen schar dringen mogen
