doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508451,head,0,0,True,1,"Lebens vnd Sterbens Regeln S. Pauli. Das iſt Ehꝛen-gedechtnuͤs vñ Leichenpꝛedigt Vber das Spruͤchlein zun Rom. 14. v. 8. Vnſer keiner Lebet jhm ſelber/ ꝛc. Bey anſehlichem Volckreichen vnd Chriſtlichem Begraͤbnuͤß Des Ehrenveſten Achtbarn/ Wolgeachten vnd Wolweiſen Herꝛn Matthæi Steins/ geweſenen Buͤrgers vnd Vornehmen Rathmans/ auch weyland Buͤrgermeiſters zu Franckſtein/ So wol Landrechtſitzers beym Münſterbergiſchen Fuͤrſtenthumb vnnd Franckſteiniſchen Weichbildt/ ꝛc. Welcher im Jahr 1624. den 17. Februarij, Sonabendt fuͤr Eſto mihi ſanfft vnnd ſelig verſchieden/ vnd nechſt drauff folgenden Freytag/ den 23. ſelbigen Monats/ in der Pfarꝛkirche daſelbſten/ in ſein Ruhebettlein eingelegt vnd zur Erden beſtattet worden: Gehandelt Durch Abrahamum Kirstenium Francoſtenenſem der Kirchen daſelbſt Paſtorem. Gedruckt in der Fuͤrſtl: Stadt Olſſe/ Bey Johann Boͤſſemeſſer. 1624.",lebens vnd sterbens regeln s pauli das iſt ehꝛengedechtnuͤs vñ leichenpꝛedigt vber das spruͤchlein zun rom v vnſer keiner lebet jhm ſelber ꝛc bey anſehlichem volckreichen vnd chriſtlichem begraͤbnuͤß des ehrenveſten achtbarn wolgeachten vnd wolweiſen herꝛn matthæi steins geweſenen buͤrgers vnd vornehmen rathmans auch weyland buͤrgermeiſters zu franckſtein so wol landrechtſitzers beym münſterbergiſchen fuͤrſtenthumb vnnd franckſteiniſchen weichbildt ꝛc welcher im jahr den februarij sonabendt fuͤr eſto mihi ſanfft vnnd ſelig verſchieden vnd nechſt drauff folgenden freytag den ſelbigen monats in der pfarꝛkirche daſelbſten in ſein ruhebettlein eingelegt vnd zur erden beſtattet worden gehandelt durch abrahamum kirstenium francoſtenenſem der kirchen daſelbſt paſtorem gedruckt in der fuͤrſtl stadt olſſe bey johann boͤſſemeſſer,lebens und sterbens regeln s pauli das ist ehengedechtnus und leichenpedigt uber das spruchlein zun rom u unser keiner lebet ihm selber c bey ansehlichem uolckreichen und christlichem begrabnuss des ehrenuesten achtbarn wolgeachten und wolweisen hern matthaei steins gewesenen burgers und uornehmen rathmans auch weyland burgermeisters zu franckstein so wol landrechtsitzers beym munsterbergischen furstenthumb unnd francksteinischen weichbildt c welcher im iahr den februarii sonabendt fur esto mihi sanfft unnd selig uerschieden und nechst drauff folgenden freytag den selbigen monats in der pfarkirche daselbsten in sein ruhebettlein eingelegt und zur erden bestattet worden gehandelt durch abrahamum kirstenium francostenensem der kirchen daselbst pastorem gedruckt in der furstl stadt olsse bey iohann bossemesser
508451,body,1,0,True,2,"Nemo ſibi vivit noſtrûm & moritur ſibi nemo,",nemo ſibi vivit noſtrûm & moritur ſibi nemo,nemo sibi uiuit nostrum et moritur sibi nemo
508451,body,2,0,True,2,Non fas ſive ſibi vivere ſive mori.,non fas ſive ſibi vivere ſive mori,non fas siue sibi uiuere siue mori
508451,item,3,0,True,2,(Deiq́;,deiq́,deiq
508451,body,4,0,True,2,"Vivimus aſt Domino, Domino morimurque;",vivimus aſt domino domino morimurque,uiuimus ast domino domino morimurque
508451,body,5,0,True,2,"Ut vivendo ſumus, Sìc moriendo ſumus.",ut vivendo ſumus sìc moriendo ſumus,ut uiuendo sumus sic moriendo sumus
508451,body,6,0,True,3,"Der Erbahrn/ Ehren vnd Tugendtreichen Fr. Annen Scholtzin/ Des in Gott ruhenden Ehrenveſten/ Achtbarn/ Wolgelehrten vnd Wolweiſen Herꝛen Matthes Steins/ geweſenen Rathmans/ auch Weyland Buͤrgemeiſters zu Franckſtein/ So wol beym Keyſerl: vnd Koͤnigl: Landrecht daſelbſten Aſſeſſoris, &c. hinterlaſſenen Witwe/ Meiner in Ehren günſtigen reſpectivè Fraw Gevatterin.",der erbahrn ehren vnd tugendtreichen fr annen scholtzin des in gott ruhenden ehrenveſten achtbarn wolgelehrten vnd wolweiſen herꝛen matthes steins geweſenen rathmans auch weyland buͤrgemeiſters zu franckſtein so wol beym keyſerl vnd koͤnigl landrecht daſelbſten aſſeſſoris &c hinterlaſſenen witwe meiner in ehren günſtigen reſpectivè fraw gevatterin,der erbahrn ehren und tugendtreichen fr annen scholtzin des in gott ruhenden ehrenuesten achtbarn wolgelehrten und wolweisen heren matthes steins gewesenen rathmans auch weyland burgemeisters zu franckstein so wol beym keyserl und konigl landrecht daselbsten assessoris etc hinterlassenen witwe meiner in ehren gunstigen respectiue fraw geuatterin
508451,body,7,0,True,3,Gnade vnd Fried durch Chriſtum:,gnade vnd fried durch chriſtum,gnade und fried durch christum
508451,body,8,0,False,3,ZWo Vrſachen ſeindt es Erbare Ehr vnnd Tugendſame Fraw Gevatterin/ ſo wich fuͤrnemlich bewogen dieſe Predigt an jetzo gleichſam poſt feſtũ zum Druck zu vbergeben.,zwo vrſachen ſeindt es erbare ehr vnnd tugendſame fraw gevatterin ſo wich fuͤrnemlich bewogen dieſe predigt an jetzo gleichſam poſt feſtũ zum druck zu vbergeben,zwo ursachen seindt es erbare ehr unnd tugendsame fraw geuatterin so wich furnemlich bewogen diese predigt an ietzo gleichsam post festum zum druck zu ubergeben
508451,body,8,1,False,3,Deñ ob wol nicht bald nach dem Begraͤbnuͤß ſolches an mich wordẽ begehret/ ſondern allbereit ein gutte geraume Zeit verfloſſen/ ſeider dieſelbe Ewrem lieben in Gott ruhenden Herꝛen worden gethan vnd gehalten: So habe ich doch muͤſſen bedencken/ wie der ſelige Herꝛ ein Ehrengedaͤchtnuͤß (wer es nur koͤñt anſtellen?,deñ ob wol nicht bald nach dem begraͤbnuͤß ſolches an mich wordẽ begehret ſondern allbereit ein gutte geraume zeit verfloſſen ſeider dieſelbe ewrem lieben in gott ruhenden herꝛen worden gethan vnd gehalten so habe ich doch muͤſſen bedencken wie der ſelige herꝛ ein ehrengedaͤchtnuͤß wer es nur koͤñt anſtellen,denn ob wol nicht bald nach dem begrabnuss solches an mich worden begehret sondern allbereit ein gutte geraume zeit uerflossen seider dieselbe ewrem lieben in gott ruhenden heren worden gethan und gehalten so habe ich doch mussen bedencken wie der selige her ein ehrengedachtnuss wer es nur konnt anstellen
