doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
opitz_buch_1624,head,0,0,True,7,MARTINI OPITII Buch von der Deutſchen Poeterey. Jn welchem alle jhre eigenſchafft vnd zuegehoͤr gruͤndtlich erzehlet/ vnd mit exempeln außgefuͤhret wird. Gedruckt in der Fuͤrſtlichen Stadt Brieg/ bey Auguſtino Gruͤndern. Jn Verlegung David Muͤllers Buchhaͤndlers in Breßlaw. 1624.,martini opitii buch von der deutſchen poeterey jn welchem alle jhre eigenſchafft vnd zuegehoͤr gruͤndtlich erzehlet vnd mit exempeln außgefuͤhret wird gedruckt in der fuͤrſtlichen stadt brieg bey auguſtino gruͤndern jn verlegung david muͤllers buchhaͤndlers in breßlaw,martini opitii buch uon der deutschen poeterey in welchem alle ihre eigenschafft und zuegehor grundtlich erzehlet und mit exempeln aussgefuhret wird gedruckt in der furstlichen stadt brieg bey augustino grundern in uerlegung dauid mullers buchhandlers in bresslaw
opitz_buch_1624,body,1,0,True,8,"Deſcriptas ſervare vices, operumq́ue colores,",deſcriptas ſervare vices operumq́ue colores,descriptas seruare uices operumque colores
opitz_buch_1624,body,2,0,True,8,"Cur ego, ſi nequeo, ignoroq́ue, Poëta ſalutor?",cur ego ſi nequeo ignoroq́ue poëta ſalutor,cur ego si nequeo ignoroque poeta salutor
opitz_buch_1624,body,3,0,True,8,"Cur neſcire, pudens pravè, quam diſcere malo?",cur neſcire pudens pravè quam diſcere malo,cur nescire pudens praue quam discere malo
opitz_buch_1624,body,4,0,True,9,Denen Ehrenveſten/ Wolweiſen/ Wolbenambten vnd Wolgelehrten HErren Buͤrgermeiſtern vnd Rathsverwandten der Stadt Buntzlaw/ ſeinen guͤnſtigen Herren vnd befoͤrderern.,denen ehrenveſten wolweiſen wolbenambten vnd wolgelehrten herren buͤrgermeiſtern vnd rathsverwandten der stadt buntzlaw ſeinen guͤnſtigen herren vnd befoͤrderern,denen ehrenuesten wolweisen wolbenambten und wolgelehrten herren burgermeistern und rathsuerwandten der stadt buntzlaw seinen gunstigen herren und beforderern
opitz_buch_1624,body,5,0,True,9,EHrenveſte/ Wolweiſe/ Wolbenambte vnd Wolgelehrte inſonders guͤnſtige HErren/,ehrenveſte wolweiſe wolbenambte vnd wolgelehrte inſonders guͤnſtige herren,ehrenueste wolweise wolbenambte und wolgelehrte insonders gunstige herren
opitz_buch_1624,body,6,0,False,9,Was bißanhero von einem vnnd dem andern/ auch vornemen Leuten/ zum offteren an mich iſt begehret worden/ das ich nemlich von vnſerer Deutſchen Poeterey/ derſelben art vnd zuegehoͤr/ etwas richtiges auffſetzen moͤchte/ habe ich vorwichene tage zue wercke gebracht.,was bißanhero von einem vnnd dem andern auch vornemen leuten zum offteren an mich iſt begehret worden das ich nemlich von vnſerer deutſchen poeterey derſelben art vnd zuegehoͤr etwas richtiges auffſetzen moͤchte habe ich vorwichene tage zue wercke gebracht,was bissanhero uon einem unnd dem andern auch uornemen leuten zum offteren an mich ist begehret worden das ich nemlich uon unserer deutschen poeterey derselben art und zuegehor etwas richtiges auffsetzen mochte habe ich uorwichene tage zue wercke gebracht
opitz_buch_1624,body,6,1,False,9,Zwar erſtlich/ ſolchem ehrlichen begehren wie billich zue verhengẽ: nachmals aber/ die jenigen vor derer augen dieſe vorneme wiſſenſchafft ein grewel iſt zue wiederlegen/ vnd die/ ſo ſie als ein leichte ding vor handen zue nemen vnbedacht ſich vnterſtehen/ ab zue halten/ die gelehrten aber vnd von natur hierzue geartete gemuͤter auff zue wecken/ mir/ der ich dißfals bey weitem nicht genung bin/ die hand zue bitten/ vnd den weg ſo ich allbereit vmb etwas eroͤffnet vollendts zu baͤhnen.,zwar erſtlich ſolchem ehrlichen begehren wie billich zue verhengẽ nachmals aber die jenigen vor derer augen dieſe vorneme wiſſenſchafft ein grewel iſt zue wiederlegen vnd die ſo ſie als ein leichte ding vor handen zue nemen vnbedacht ſich vnterſtehen ab zue halten die gelehrten aber vnd von natur hierzue geartete gemuͤter auff zue wecken mir der ich dißfals bey weitem nicht genung bin die hand zue bitten vnd den weg ſo ich allbereit vmb etwas eroͤffnet vollendts zu baͤhnen,zwar erstlich solchem ehrlichen begehren wie billich zue uerhengen nachmals aber die ienigen uor derer augen diese uorneme wissenschafft ein grewel ist zue wiederlegen und die so sie als ein leichte ding uor handen zue nemen unbedacht sich unterstehen ab zue halten die gelehrten aber und uon natur hierzue geartete gemuter auff zue wecken mir der ich dissfals bey weitem nicht genung bin die hand zue bitten und den weg so ich allbereit umb etwas eroffnet uollendts zu bahnen
opitz_buch_1624,body,6,2,False,9,Weitleufftiger vnd eigentlicher zue ſchrei ben hat mich nicht allein die enge der zeit/ ſondern auch ſonſten allerley vngelegenheit verhindert/ die mir von denen zuegefuͤget wird/ welche/ wann es bey jhnen ſtuͤnde/ wuͤnſchen wolten/ das auch das gedaͤchtniß der Poeterey vnnd aller gutten Kuͤnſte vertilget vnd außgerottet wuͤrde.,weitleufftiger vnd eigentlicher zue ſchrei ben hat mich nicht allein die enge der zeit ſondern auch ſonſten allerley vngelegenheit verhindert die mir von denen zuegefuͤget wird welche wann es bey jhnen ſtuͤnde wuͤnſchen wolten das auch das gedaͤchtniß der poeterey vnnd aller gutten kuͤnſte vertilget vnd außgerottet wuͤrde,weitleufftiger und eigentlicher zue schrei ben hat mich nicht allein die enge der zeit sondern auch sonsten allerley ungelegenheit uerhindert die mir uon denen zuegefuget wird welche wann es bey ihnen stunde wunschen wolten das auch das gedachtniss der poeterey unnd aller gutten kunste uertilget und aussgerottet wurde
opitz_buch_1624,body,6,3,False,10,Ob mich nun woldergleichen vnbilliche Wiederwertigkeit/ die ich ohne meinen verdienſt tragen muß/ offtermals kaum nicht zwinget wie Nero zue ſagen; Vellem neſcire literas: jedoch habeich/ in erwegung derer Vrſachẽ die mir etwas beßers rahten/ vnd das die Zahl vieler groſſen Maͤnner die mir huldt ſein die wenigen abguͤnſtigen weit hinwieget/ zwar ietzund in dieſem geringen weſen den willen mit meinem ſchlechten ſtudieren etwas zue fruchten erweiſen wollen: vnnd wil auch nachmals beſten fleißes mich bemuͤhen/ an groͤßeren vnd mehr wichtigen ſachen (denn ich gar wol weiß/ das es mit der Poeterey alleine nicht auß gerichtet ſey/ vnd weder offentlichen noch Privataͤmptern mit verſen koͤnne vorgeſtanden werden) durch beyſtandt Goͤttlicher huͤlffe alle mein heil zue verſuchen.,ob mich nun woldergleichen vnbilliche wiederwertigkeit die ich ohne meinen verdienſt tragen muß offtermals kaum nicht zwinget wie nero zue ſagen vellem neſcire literas jedoch habeich in erwegung derer vrſachẽ die mir etwas beßers rahten vnd das die zahl vieler groſſen maͤnner die mir huldt ſein die wenigen abguͤnſtigen weit hinwieget zwar ietzund in dieſem geringen weſen den willen mit meinem ſchlechten ſtudieren etwas zue fruchten erweiſen wollen vnnd wil auch nachmals beſten fleißes mich bemuͤhen an groͤßeren vnd mehr wichtigen ſachen denn ich gar wol weiß das es mit der poeterey alleine nicht auß gerichtet ſey vnd weder offentlichen noch privataͤmptern mit verſen koͤnne vorgeſtanden werden durch beyſtandt goͤttlicher huͤlffe alle mein heil zue verſuchen,ob mich nun woldergleichen unbilliche wiederwertigkeit die ich ohne meinen uerdienst tragen muss offtermals kaum nicht zwinget wie nero zue sagen uellem nescire literas iedoch habeich in erwegung derer ursachen die mir etwas bessers rahten und das die zahl uieler grossen manner die mir huldt sein die wenigen abgunstigen weit hinwieget zwar ietzund in diesem geringen wesen den willen mit meinem schlechten studieren etwas zue fruchten erweisen wollen unnd wil auch nachmals besten fleisses mich bemuhen an grosseren und mehr wichtigen sachen denn ich gar wol weiss das es mit der poeterey alleine nicht auss gerichtet sey und weder offentlichen noch priuatamptern mit uersen konne uorgestanden werden durch beystandt gottlicher hulffe alle mein heil zue uersuchen
