doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508436,head,0,0,True,1,"EXEQVIÆ HORSTIANÆ Zwo Chriſtliche/ in Gottes Wort gegruͤndete. Leichpredigten. Die Erſte/ Bey dem anſehlichen Leichenbegaͤngnuͤß/ des Weyland Ehrenvehſten/ Wolbenambten/ Hochgelahrten/ vnd wolweiſen Herrn MELCHIORIS HORSTII, Sen. Der Stadt Reichenbach wolverordneten Herrn Buͤrgermeiſters/ O berkirchen Vaters/ vnd der Schulen Præſidis, Welcher den 26. Auguſti, dieſes inſtehenden 1625. Jahres ſelig verſchieden/ vnd den 29. Auguſti, in der Stadt- vnd Pfarr Kirchen daſelbſt Chriſtlich zur Erden beſtattet. Die Ander/ Bey der volckreichen vnd trawrigen Sepultur, der Erbarn viel Ehren vnd Tugendreichen Jungfrawen SUSANNÆ, Wolgedachten Herrn Buͤrgermeiſters Eheleiblichen geliebten Tochter/ Welche den 29. Auguſti jhren Herrn Vatern ſelig hienach gefolgt/ den 31. Chriſtlich zur Erden begleitet/ vnd neben denſelbigen in die Kirch iſt beygelegt worden. Gethan vnd gehalten durch MARTINVM HYLLERUM, der Stadt Reichenbach Paſtorem vnd Predigern. Leipzig/ Jn verlegung David Muͤllers.",exeqviæ horstianæ zwo chriſtliche in gottes wort gegruͤndete leichpredigten die erſte bey dem anſehlichen leichenbegaͤngnuͤß des weyland ehrenvehſten wolbenambten hochgelahrten vnd wolweiſen herrn melchioris horstii sen der stadt reichenbach wolverordneten herrn buͤrgermeiſters o berkirchen vaters vnd der schulen præſidis welcher den auguſti dieſes inſtehenden jahres ſelig verſchieden vnd den auguſti in der stadt vnd pfarr kirchen daſelbſt chriſtlich zur erden beſtattet die ander bey der volckreichen vnd trawrigen sepultur der erbarn viel ehren vnd tugendreichen jungfrawen susannæ wolgedachten herrn buͤrgermeiſters eheleiblichen geliebten tochter welche den auguſti jhren herrn vatern ſelig hienach gefolgt den chriſtlich zur erden begleitet vnd neben denſelbigen in die kirch iſt beygelegt worden gethan vnd gehalten durch martinvm hyllerum der stadt reichenbach paſtorem vnd predigern leipzig jn verlegung david muͤllers,exequiae horstianae zwo christliche in gottes wort gegrundete leichpredigten die erste bey dem ansehlichen leichenbegangnuss des weyland ehrenuehsten wolbenambten hochgelahrten und wolweisen herrn melchioris horstii sen der stadt reichenbach woluerordneten herrn burgermeisters o berkirchen uaters und der schulen praesidis welcher den augusti dieses instehenden iahres selig uerschieden und den augusti in der stadt und pfarr kirchen daselbst christlich zur erden bestattet die ander bey der uolckreichen und trawrigen sepultur der erbarn uiel ehren und tugendreichen iungfrawen susannae wolgedachten herrn burgermeisters eheleiblichen geliebten tochter welche den augusti ihren herrn uatern selig hienach gefolgt den christlich zur erden begleitet und neben denselbigen in die kirch ist beygelegt worden gethan und gehalten durch martinum hyllerum der stadt reichenbach pastorem und predigern leipzig in uerlegung dauid mullers
508436,body,1,0,False,[1],Der Erbarn Vielehrentugendreichen Frawen Annæ Horſtin/ gebornen Redlerin.,der erbarn vielehrentugendreichen frawen annæ horſtin gebornen redlerin,der erbarn uielehrentugendreichen frawen annae horstin gebornen redlerin
508436,body,1,1,False,[1],So wol/ Dem Ehrenvehſten vnd Wolgelahrten Herrn Melchiori Horſtio J.U.Studioſo.,so wol dem ehrenvehſten vnd wolgelahrten herrn melchiori horſtio j u studioſo,so wol dem ehrenuehsten und wolgelahrten herrn melchiori horstio i u studioso
508436,body,1,2,False,[1],Der Erbarn Vielehrentugendreichen Frawen Barbaræ/ gebornen Horſtin.,der erbarn vielehrentugendreichen frawen barbaræ gebornen horſtin,der erbarn uielehrentugendreichen frawen barbarae gebornen horstin
508436,body,1,3,False,[1],Vnd dann Dem Ehrenvehſten/ Wolbenambten vnd Wolgelahrten Herrn Zachariæ Hering/ J.U.C. vnd vornehmen Buͤrgern zu Reichenbach.,vnd dann dem ehrenvehſten wolbenambten vnd wolgelahrten herrn zachariæ hering j u c vnd vornehmen buͤrgern zu reichenbach,und dann dem ehrenuehsten wolbenambten und wolgelahrten herrn zachariae hering i u c und uornehmen burgern zu reichenbach
508436,body,1,4,True,[1],"Des weiland Ehrnvehſten/ Wolbenambten/ Hochgelahrten vnd Wolweiſen Herrn Melchioris Horſtii, der Stadt Reichenbach wolverordneten Herrn Buͤrgermeiſters/ Ober Kirchenvaters/ vnd der Schulen Præſidis hinterlaſſenen hochbetruͤbten Frawen Wittibin/ Sohn/ Tochter/ vnd Tochter-Mann.",des weiland ehrnvehſten wolbenambten hochgelahrten vnd wolweiſen herrn melchioris horſtii der stadt reichenbach wolverordneten herrn buͤrgermeiſters ober kirchenvaters vnd der schulen præſidis hinterlaſſenen hochbetruͤbten frawen wittibin sohn tochter vnd tochtermann,des weiland ehrnuehsten wolbenambten hochgelahrten und wolweisen herrn melchioris horstii der stadt reichenbach woluerordneten herrn burgermeisters ober kirchenuaters und der schulen praesidis hinterlassenen hochbetrubten frawen wittibin sohn tochter und tochtermann
508436,body,2,0,True,[1],Vbergiebet auff ſbr vnterſchiedenes begehren dieſe Leichpredigten/ Martinus Hyllerus Prediger.,vbergiebet auff ſbr vnterſchiedenes begehren dieſe leichpredigten martinus hyllerus prediger,ubergiebet auff sbr unterschiedenes begehren diese leichpredigten martinus hyllerus prediger
508436,head,3,0,True,2,In Nomine Iesu Die Erſte Predigt.,in nomine iesu die erſte predigt,in nomine iesu die erste predigt
508436,body,4,0,False,2,WAs der allgewaltige Gott der Stad Jeruſalem drewet/ daß Er vmb jhrer Suͤnde willen hinweg nemen wolle/ Richter/ Eltiſten/ Hauptleute/ Raͤhte/ Kluge Redener/ eben daſſelbe hat er an vnſern Reichenbaͤchiſchen Jeruſalem allhie auch gethan/ in deme Er am jungſt vergangenen Dinſtage/ den Ehrenvehſten/ Wolbenamten/ Hochgelahrten vnd Wolweiſen Herrn Melchiorem Horſt/ den Eltern/ wolverdienten Buͤrgermeiſtern/ Vorſtehern der Kirchen/ vnd Præſidem der Schulen/ aus dieſem vielmuͤhſeligen angſtleben/ vnd aus vnſerm Mittel/ durch einen ſeligen Todt abgefodert/ vnd den Weg aller Welt hat gehen laſſen/ Joſ. 23. O des vnverſeheiten vnd zu dieſem mal vnverhofften Falles!,was der allgewaltige gott der stad jeruſalem drewet daß er vmb jhrer suͤnde willen hinweg nemen wolle richter eltiſten hauptleute raͤhte kluge redener eben daſſelbe hat er an vnſern reichenbaͤchiſchen jeruſalem allhie auch gethan in deme er am jungſt vergangenen dinſtage den ehrenvehſten wolbenamten hochgelahrten vnd wolweiſen herrn melchiorem horſt den eltern wolverdienten buͤrgermeiſtern vorſtehern der kirchen vnd præſidem der schulen aus dieſem vielmuͤhſeligen angſtleben vnd aus vnſerm mittel durch einen ſeligen todt abgefodert vnd den weg aller welt hat gehen laſſen joſ o des vnverſeheiten vnd zu dieſem mal vnverhofften falles,was der allgewaltige gott der stad ierusalem drewet dass er umb ihrer sunde willen hinweg nemen wolle richter eltisten hauptleute rahte kluge redener eben dasselbe hat er an unsern reichenbachischen ierusalem allhie auch gethan in deme er am iungst uergangenen dinstage den ehrenuehsten wolbenamten hochgelahrten und wolweisen herrn melchiorem horst den eltern woluerdienten burgermeistern uorstehern der kirchen und praesidem der schulen aus diesem uielmuhseligen angstleben und aus unserm mittel durch einen seligen todt abgefodert und den weg aller welt hat gehen lassen ios o des unuerseheiten und zu diesem mal unuerhofften falles
508436,body,4,1,False,2,O wie ploͤtzlich vnd geſchwind/ iſt das Haͤupt der Stadt dahin gefahren wie ein Strom!,o wie ploͤtzlich vnd geſchwind iſt das haͤupt der stadt dahin gefahren wie ein strom,o wie plotzlich und geschwind ist das haupt der stadt dahin gefahren wie ein strom
508436,body,4,2,False,2,Pſal. 90. vnd wie ein Blume verwelcket vnd verdorret/ Eſai. 40. O wie ein hartes hat Gott der betruͤbten Wittwin vnd Kindern erzeiget!,pſal vnd wie ein blume verwelcket vnd verdorret eſai o wie ein hartes hat gott der betruͤbten wittwin vnd kindern erzeiget,psal und wie ein blume uerwelcket und uerdorret esai o wie ein hartes hat gott der betrubten wittwin und kindern erzeiget
508436,body,4,3,True,2,Er hat jhnen einen Trunck Wein gegeben/ daß ſie taumeln moͤchten/ Pſal. 60. vnd muͤſſen jhren Tranck mit Thraͤnen miſchen Pſal. 102.,er hat jhnen einen trunck wein gegeben daß ſie taumeln moͤchten pſal vnd muͤſſen jhren tranck mit thraͤnen miſchen pſal,er hat ihnen einen trunck wein gegeben dass sie taumeln mochten psal und mussen ihren tranck mit thranen mischen psal
508436,body,5,0,False,3,Aber wer wil zu Gott ſagen?,aber wer wil zu gott ſagen,aber wer wil zu gott sagen
508436,body,5,1,False,3,Du thuſt vnrecht?,du thuſt vnrecht,du thust unrecht
508436,body,5,2,True,3,"Job. 36. Er iſt gerecht/ vnd wir wiſſen daß ſeine Herichte recht ſindt/ Pſal. 119. Er hat auch vnſere Lebenzeit in ſeinen Haͤnden/ Pſal. 31. Er hat einen jeglichen geſetzt ein beſrimte zeit zu leben/ Syrach. 37. vnd ſtehet die Zahl vnſer Tage vnd Monden bey jhm/ Job. 14. cap. Die keine Creatur/ die keine Kranckheit/ die kein Todt verruͤcken kann/ biß der Menſch ſeinen Lauff hat vollendet/ da er als denn durch den zeitlichen Todt wird auff geopffert/ in der andern Epiſtel zun Timothern am 4. Cap. Einer auff dieſer der ander auff ein andere Art vnd Weiſe/ nach dem es dem lieben GOtt gefallen thut/ wie wir leſen vnd hoͤren/ das von Moſe geſchrieben ſteht/ Mortuus eſt Moſe in terra Moab, Jubente Domino, Alſo ſtarb Moſe im Lande der Moabiter/ nach dem Wort des Herren.",job er iſt gerecht vnd wir wiſſen daß ſeine herichte recht ſindt pſal er hat auch vnſere lebenzeit in ſeinen haͤnden pſal er hat einen jeglichen geſetzt ein beſrimte zeit zu leben syrach vnd ſtehet die zahl vnſer tage vnd monden bey jhm job cap die keine creatur die keine kranckheit die kein todt verruͤcken kann biß der menſch ſeinen lauff hat vollendet da er als denn durch den zeitlichen todt wird auff geopffert in der andern epiſtel zun timothern am cap einer auff dieſer der ander auff ein andere art vnd weiſe nach dem es dem lieben gott gefallen thut wie wir leſen vnd hoͤren das von moſe geſchrieben ſteht mortuus eſt moſe in terra moab jubente domino alſo ſtarb moſe im lande der moabiter nach dem wort des herren,iob er ist gerecht und wir wissen dass seine herichte recht sindt psal er hat auch unsere lebenzeit in seinen handen psal er hat einen ieglichen gesetzt ein besrimte zeit zu leben syrach und stehet die zahl unser tage und monden bey ihm iob cap die keine creatur die keine kranckheit die kein todt uerrucken kann biss der mensch seinen lauff hat uollendet da er als denn durch den zeitlichen todt wird auff geopffert in der andern epistel zun timothern am cap einer auff dieser der ander auff ein andere art und weise nach dem es dem lieben gott gefallen thut wie wir lesen und horen das uon mose geschrieben steht mortuus est mose in terra moab iubente domino also starb mose im lande der moabiter nach dem wort des herren
