doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508146,head,0,0,True,[1],"Adelicher vnd anderer vornehmen Geſchlechter erſter Anfang vnd endlicher Vntergang. Betrachtet auß dem 17. Cap. der Apoſtel Geſchicht/ vnd gepredigt bey Adelicher Leichbegaͤngnuͤß/ Des weyland Edlen vnd Ehrnveſten/ Carol-Friedrichen von Eilsleben/ des letzten dieſes Vhralten Adelichen Geſchlechtes/ welcher den 17. April. Anno 1622. vor mittag zwiſchen 10. vnd 11. Vhr/ da er 9. Jahr 30. Wochen vnd 6. Tage Alt geweſen/ ſanfft vnd ſelig zu Oſterwiegt in dem HErrn entſchlaffen/ vnd folgends den 3. Junij daſelbſt in S. Stephani Kirchen bey ſeinem lieben Vater/ mit gewoͤhnlichen Adelichen Ceremonien zur Erden beſtattet worden. Jetzo aber auff ſonderbares begehren der Adelichen Freundſchafft/ vnd dem Adel zu Ehren in Druck gegeben/ Durch M. JOACHIMUM MAURITII, Paſtorem, vnd Seelſorgern der Chriſtlichen Gemeine daſelbſt. Wittenberg/ Gedruckt bey Joh. Haken/ 1626.",adelicher vnd anderer vornehmen geſchlechter erſter anfang vnd endlicher vntergang betrachtet auß dem cap der apoſtel geſchicht vnd gepredigt bey adelicher leichbegaͤngnuͤß des weyland edlen vnd ehrnveſten carolfriedrichen von eilsleben des letzten dieſes vhralten adelichen geſchlechtes welcher den april anno vor mittag zwiſchen vnd vhr da er jahr wochen vnd tage alt geweſen ſanfft vnd ſelig zu oſterwiegt in dem herrn entſchlaffen vnd folgends den junij daſelbſt in s stephani kirchen bey ſeinem lieben vater mit gewoͤhnlichen adelichen ceremonien zur erden beſtattet worden jetzo aber auff ſonderbares begehren der adelichen freundſchafft vnd dem adel zu ehren in druck gegeben durch m joachimum mauritii paſtorem vnd seelſorgern der chriſtlichen gemeine daſelbſt wittenberg gedruckt bey joh haken,adelicher und anderer uornehmen geschlechter erster anfang und endlicher untergang betrachtet auss dem cap der apostel geschicht und gepredigt bey adelicher leichbegangnuss des weyland edlen und ehrnuesten carolfriedrichen uon eilsleben des letzten dieses uhralten adelichen geschlechtes welcher den april anno uor mittag zwischen und uhr da er iahr wochen und tage alt gewesen sanfft und selig zu osterwiegt in dem herrn entschlaffen und folgends den iunii daselbst in s stephani kirchen bey seinem lieben uater mit gewohnlichen adelichen ceremonien zur erden bestattet worden ietzo aber auff sonderbares begehren der adelichen freundschafft und dem adel zu ehren in druck gegeben durch m ioachimum mauritii pastorem und seelsorgern der christlichen gemeine daselbst wittenberg gedruckt bey ioh haken
508146,body,1,0,True,1,In JESV Namen Amen.,in jesv namen amen,in iesu namen amen
508146,head,2,0,True,1,Præfatio ante lectionem textus.,præfatio ante lectionem textus,praefatio ante lectionem textus
508146,body,3,0,False,1,WJr haben jetzo fuͤr vns ſtehen das letzte Sproͤßlein/ oder den letzten Maͤnlichen Lehnerben von dem Vhralten Adelichen Stambawm vnd geſchlechte derer von Eilsleben.,wjr haben jetzo fuͤr vns ſtehen das letzte sproͤßlein oder den letzten maͤnlichen lehnerben von dem vhralten adelichen stambawm vnd geſchlechte derer von eilsleben,wir haben ietzo fur uns stehen das letzte sprosslein oder den letzten manlichen lehnerben uon dem uhralten adelichen stambawm und geschlechte derer uon eilsleben
508146,body,3,1,False,1,Da wir Anno 1620. den 21. Septemb.,da wir anno den septemb,da wir anno den septemb
508146,body,3,2,True,1,Seinen lieben S. Vater mit Chriſtlichen vnd Adelichen Ceremonien alhier zur Erden beſtattet/ wuͤntſcheten wir von dieſem Ort vnd hoffeten auch/ Gott wolte vnd wuͤrde jhn als den einigen vnd letzten Stamm: vnd Lehnerben/ des Vhralten vnd vornemen Adelichen geſchlechtes derer von Eilsleben/ bey guter/ langwiriger/ friſcher geſundheit erhalten/ vnd gnade geben/ das er nicht allein nach ſeines hertzlieben Vaters wuntſch/ wol erzogen/ ſondern auch durch jhn das Edle geſchlechte derer von Eilsleben fortan biß ans ende der Welt fortgepflantzet vnd erhalten werden moͤchte.,seinen lieben s vater mit chriſtlichen vnd adelichen ceremonien alhier zur erden beſtattet wuͤntſcheten wir von dieſem ort vnd hoffeten auch gott wolte vnd wuͤrde jhn als den einigen vnd letzten stamm vnd lehnerben des vhralten vnd vornemen adelichen geſchlechtes derer von eilsleben bey guter langwiriger friſcher geſundheit erhalten vnd gnade geben das er nicht allein nach ſeines hertzlieben vaters wuntſch wol erzogen ſondern auch durch jhn das edle geſchlechte derer von eilsleben fortan biß ans ende der welt fortgepflantzet vnd erhalten werden moͤchte,seinen lieben s uater mit christlichen und adelichen ceremonien alhier zur erden bestattet wuntscheten wir uon diesem ort und hoffeten auch gott wolte und wurde ihn als den einigen und letzten stamm und lehnerben des uhralten und uornemen adelichen geschlechtes derer uon eilsleben bey guter langwiriger frischer gesundheit erhalten und gnade geben das er nicht allein nach seines hertzlieben uaters wuntsch wol erzogen sondern auch durch ihn das edle geschlechte derer uon eilsleben fortan biss ans ende der welt fortgepflantzet und erhalten werden mochte
508146,body,4,0,False,1,Der allein weiſe Gott aber hats mit jhm anderſt vnd weit beſſer/ den wir gewuͤnſchet/ vorgehabt/ hat mit jhm aus dieſem betruͤbten vnd verkehrten boͤſen Weltweſen weggeeilet/ vnd jhn verſetzet in das groſſe geſchlechte aller auſſerwehlten vnd gebenedeyeten Gottes heiligen im Himmel/ da er alhier auff Erden ein Edelman geweſen/ iſt er numehr von Gott viel hoͤher geadelt/ vnnd aus jhm ein Himmelsfuͤrſt vud Koͤnig gemacht worden.,der allein weiſe gott aber hats mit jhm anderſt vnd weit beſſer den wir gewuͤnſchet vorgehabt hat mit jhm aus dieſem betruͤbten vnd verkehrten boͤſen weltweſen weggeeilet vnd jhn verſetzet in das groſſe geſchlechte aller auſſerwehlten vnd gebenedeyeten gottes heiligen im himmel da er alhier auff erden ein edelman geweſen iſt er numehr von gott viel hoͤher geadelt vnnd aus jhm ein himmelsfuͤrſt vud koͤnig gemacht worden,der allein weise gott aber hats mit ihm anderst und weit besser den wir gewunschet uorgehabt hat mit ihm aus diesem betrubten und uerkehrten bosen weltwesen weggeeilet und ihn uersetzet in das grosse geschlechte aller ausserwehlten und gebenedeyeten gottes heiligen im himmel da er alhier auff erden ein edelman gewesen ist er numehr uon gott uiel hoher geadelt unnd aus ihm ein himmelsfurst uud konig gemacht worden
508146,body,4,1,True,1,Gott hat jhm auffgeſetzet die Vnverwelckliche Krone der Ehren/ vnd zum ewigem Lehn vnd Erbe jhm eingethan den groſſen Himmelsſaal mit vnausſprechlichen vnd vnerſchoͤpfflichen Himmelsguͤtern/ frewde/ luſt vnd herrligkeit/ die er nu fuͤr der Welt koͤſtliche Schaͤtze vnnd Keyſerthuͤme nicht gebe.,gott hat jhm auffgeſetzet die vnverwelckliche krone der ehren vnd zum ewigem lehn vnd erbe jhm eingethan den groſſen himmelsſaal mit vnausſprechlichen vnd vnerſchoͤpfflichen himmelsguͤtern frewde luſt vnd herrligkeit die er nu fuͤr der welt koͤſtliche schaͤtze vnnd keyſerthuͤme nicht gebe,gott hat ihm auffgesetzet die unuerwelckliche krone der ehren und zum ewigem lehn und erbe ihm eingethan den grossen himmelssaal mit unaussprechlichen und unerschopfflichen himmelsgutern frewde lust und herrligkeit die er nu fur der welt kostliche schatze unnd keyserthume nicht gebe
508146,body,5,0,True,2,Vnd wer wolte jhm dieſe herrliche gluͤckſeeligkeit vnd gluͤckſelige herligkeit nicht von Hertzen goͤnnen/ vnnd ſelbſt ein ſehnliches verlangen dahin haben/ weil doch dieſe Welt nunmehr auff die todte neige kom̃en/ vud man darinne faſt nichts guts noch froͤliches mehr zu hoffen vnd erwarten hat?,vnd wer wolte jhm dieſe herrliche gluͤckſeeligkeit vnd gluͤckſelige herligkeit nicht von hertzen goͤnnen vnnd ſelbſt ein ſehnliches verlangen dahin haben weil doch dieſe welt nunmehr auff die todte neige kom̃en vud man darinne faſt nichts guts noch froͤliches mehr zu hoffen vnd erwarten hat,und wer wolte ihm diese herrliche gluckseeligkeit und gluckselige herligkeit nicht uon hertzen gonnen unnd selbst ein sehnliches uerlangen dahin haben weil doch diese welt nunmehr auff die todte neige kommen uud man darinne fast nichts guts noch froliches mehr zu hoffen und erwarten hat
508146,body,6,0,False,2,"Ach ſelig ſind die todten die in dem HErrn ſterben Von nun an/ Apoc. 14. Ja wir moͤgen wol nach des Herren Lutheri worten wuͤntſchen: Moriamur in pace, antequam veniat calamitas ſuper Germaniam: Ach das wir in frieden ſtuͤrben/ ehe den die dicken ſchwartzen Wolcken/ ſo bißher etzliche Koͤnigreiche/ Chur vnnd Fuͤrſtenthume vberzogen/ gantz Deutſchland/ vnd auch vns vbergehen vud treffen moͤchten.",ach ſelig ſind die todten die in dem herrn ſterben von nun an apoc ja wir moͤgen wol nach des herren lutheri worten wuͤntſchen moriamur in pace antequam veniat calamitas ſuper germaniam ach das wir in frieden ſtuͤrben ehe den die dicken ſchwartzen wolcken ſo bißher etzliche koͤnigreiche chur vnnd fuͤrſtenthume vberzogen gantz deutſchland vnd auch vns vbergehen vud treffen moͤchten,ach selig sind die todten die in dem herrn sterben uon nun an apoc ia wir mogen wol nach des herren lutheri worten wuntschen moriamur in pace antequam ueniat calamitas super germaniam ach das wir in frieden sturben ehe den die dicken schwartzen wolcken so bissher etzliche konigreiche chur unnd furstenthume uberzogen gantz deutschland und auch uns ubergehen uud treffen mochten
508146,body,6,1,True,2,Nu Gott helffe mit gnaden hindurch/ Amen.,nu gott helffe mit gnaden hindurch amen,nu gott helffe mit gnaden hindurch amen
508146,body,7,0,False,2,Weil wir aber der vnſern/ die in Gott ſelig verſtorben/ nach jhrem abſchiede Ehrengebuͤrlich gedencken/ ſo geſchicht es an vnſerm S. Jungen Junckern jetzo auch billich.,weil wir aber der vnſern die in gott ſelig verſtorben nach jhrem abſchiede ehrengebuͤrlich gedencken ſo geſchicht es an vnſerm s jungen junckern jetzo auch billich,weil wir aber der unsern die in gott selig uerstorben nach ihrem abschiede ehrengeburlich gedencken so geschicht es an unserm s iungen iunckern ietzo auch billich
508146,body,7,1,True,2,Wollen jhm demnach/ als dem letzten dieſes geſchlechtes/ alhie ein oͤffentliches Ehrengedechtnuͤß vnd grabmal ſetzen vnd auffrichten/ oder aus Gottes wort einen Chriſtlichen Leichſer mon halten vnd anhoͤren.,wollen jhm demnach als dem letzten dieſes geſchlechtes alhie ein oͤffentliches ehrengedechtnuͤß vnd grabmal ſetzen vnd auffrichten oder aus gottes wort einen chriſtlichen leichſer mon halten vnd anhoͤren,wollen ihm demnach als dem letzten dieses geschlechtes alhie ein offentliches ehrengedechtnuss und grabmal setzen und auffrichten oder aus gottes wort einen christlichen leichser mon halten und anhoren
