doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
522325,head,0,0,True,[1],"Das Geiſtliche Ritterſchwerdt Der guten vnd getrewen Kaͤmpffer Chriſti/ wieder etliche faſt gefehrliche Faͤſſel vnd Stricke deß Sathans ritterlich zugebrauchen. Jn einer Leichpredigt Beym Begraͤbnuß/ der weyland Viel Ehrtugendreichen Frawen ANNÆ Des Ehrenfeſten/ Achtbarn vnd Hochgelahrten Herren M. MELCHIORIS LAUBANI, deß Fuͤrſtlichen Gymnaſij zum Brieg wolverordneten Rectoris, hertzgeliebten Ehelichen Haußfrawen abgehandelt vnd erklaͤret/ Durch Johannem Neomenium, Fuͤrſtlichen Hoffpredigern zum Brieg/ vnd deſſelbigen Fuͤrſtenthumbs Superintendenten. Gregor. in Homeliis. Sic mors ipſa cum venerit, vincitur: ſi prius quàm veniat, ſemper timeatur. Gedruckt zum Brieg/ bey Auguſtino Gruͤnder/ Jm Jahr 1626.",das geiſtliche ritterſchwerdt der guten vnd getrewen kaͤmpffer chriſti wieder etliche faſt gefehrliche faͤſſel vnd stricke deß sathans ritterlich zugebrauchen jn einer leichpredigt beym begraͤbnuß der weyland viel ehrtugendreichen frawen annæ des ehrenfeſten achtbarn vnd hochgelahrten herren m melchioris laubani deß fuͤrſtlichen gymnaſij zum brieg wolverordneten rectoris hertzgeliebten ehelichen haußfrawen abgehandelt vnd erklaͤret durch johannem neomenium fuͤrſtlichen hoffpredigern zum brieg vnd deſſelbigen fuͤrſtenthumbs superintendenten gregor in homeliis sic mors ipſa cum venerit vincitur ſi prius quàm veniat ſemper timeatur gedruckt zum brieg bey auguſtino gruͤnder jm jahr,das geistliche ritterschwerdt der guten und getrewen kampffer christi wieder etliche fast gefehrliche fassel und stricke dess sathans ritterlich zugebrauchen in einer leichpredigt beym begrabnuss der weyland uiel ehrtugendreichen frawen annae des ehrenfesten achtbarn und hochgelahrten herren m melchioris laubani dess furstlichen gymnasii zum brieg woluerordneten rectoris hertzgeliebten ehelichen haussfrawen abgehandelt und erklaret durch iohannem neomenium furstlichen hoffpredigern zum brieg und desselbigen furstenthumbs superintendenten gregor in homeliis sic mors ipsa cum uenerit uincitur si prius quam ueniat semper timeatur gedruckt zum brieg bey augustino grunder im iahr
522325,body,1,0,False,[2],"Clariſſimo Viro MULTIJUGA ERUDITIONE, PIEtate & virtutum nitore maximê conſpicuo DN. M. MELCHIORI LAUBANO, Illuſtris Gymnaſii Bregenſis Rectori ſolertiſſimo, fidiſſimo, meritiſſimo: Amico ac Fratri chariſſimo atq; honorando.",clariſſimo viro multijuga eruditione pietate & virtutum nitore maximê conſpicuo dn m melchiori laubano illuſtris gymnaſii bregenſis rectori ſolertiſſimo fidiſſimo meritiſſimo amico ac fratri chariſſimo atq honorando,clarissimo uiro multiiuga eruditione pietate et uirtutum nitore maxime conspicuo dn m melchiori laubano illustris gymnasii bregensis rectori solertissimo fidissimo meritissimo amico ac fratri charissimo atq honorando
522325,body,1,1,False,[2],"SUBLATAM meritò luges, LAUBANE, maritam: Namq́; tui cordis pars ea fida fuit: Sed nimium ne quid tanto concede dolori; Arbitrio DOMINI concidit illa ſui.",sublatam meritò luges laubane maritam namq́ tui cordis pars ea fida fuit sed nimium ne quid tanto concede dolori arbitrio domini concidit illa ſui,sublatam merito luges laubane maritam namq tui cordis pars ea fida fuit sed nimium ne quid tanto concede dolori arbitrio domini concidit illa sui
522325,body,1,2,False,[2],"Abſolvit curſum, pugnam ſuperavit & acrem, Illi pugnandam quam dedit ipſe",abſolvit curſum pugnam ſuperavit & acrem illi pugnandam quam dedit ipſe,absoluit cursum pugnam superauit et acrem illi pugnandam quam dedit ipse
522325,body,1,3,False,[2],"DEUS. Nunc ſed in arce poli cum CHRISTO læta triumphat, Libera compedibus, Sathanicisq́; dolis.",deus nunc ſed in arce poli cum christo læta triumphat libera compedibus sathanicisq́ dolis,deus nunc sed in arce poli cum christo laeta triumphat libera compedibus sathanicisq dolis
522325,body,1,4,False,[2],"Hanc tibi reſtituet, geſtantem fronte Coronam Juſtitiæ, referens, JHOVA, brabει῀a ſuis.",hanc tibi reſtituet geſtantem fronte coronam juſtitiæ referens jhova brabειa ſuis,hanc tibi restituet gestantem fronte coronam iustitiae referens ihoua braba suis
522325,body,1,5,False,[2],Hac ſpe ſuffultus placid ê componito vultus; Appoſitum cunctis hoc diadema pijs.,hac ſpe ſuffultus placid ê componito vultus appoſitum cunctis hoc diadema pijs,hac spe suffultus placid e componito uultus appositum cunctis hoc diadema piis
522325,body,1,6,False,[2],"Sic nos informat PAULUS, confirmat & idem; Quis fleat ergò ſuos?",sic nos informat paulus confirmat & idem quis fleat ergò ſuos,sic nos informat paulus confirmat et idem quis fleat ergo suos
522325,body,1,7,False,[2],Quis metuatq́; mori?,quis metuatq́ mori,quis metuatq mori
522325,body,1,8,True,[2],"CHRISTE, ſolo noſtram fac nos fuperare palæſtram, Atque coronatos nos tibi ſiſte polo.",christe ſolo noſtram fac nos fuperare palæſtram atque coronatos nos tibi ſiſte polo,christe solo nostram fac nos fuperare palaestram atque coronatos nos tibi siste polo
522325,item,2,0,True,[2],Johannes Neomenius.,johannes neomenius,iohannes neomenius
522325,head,3,0,True,[3],Chriſtliche Leichpredigt.,chriſtliche leichpredigt,christliche leichpredigt
522325,body,4,0,False,[3],"ES gedencket der heydniſche Scribent Plutarchus, eines beruͤhmbten Mannes/ deß Arceſilai, daß er etwan vom Tode dieſe denckwuͤrdige worte ſolle gebraucht haben: Mors, quæ mali nomine cenſetur, hoc unum habet peculiare ex omnibus quæ mala judicantur, quod præſens neminem unquam affecit moleſtiâ: abſens, & dum in expectatione eſt, moleſtiam adfert.",es gedencket der heydniſche scribent plutarchus eines beruͤhmbten mannes deß arceſilai daß er etwan vom tode dieſe denckwuͤrdige worte ſolle gebraucht haben mors quæ mali nomine cenſetur hoc unum habet peculiare ex omnibus quæ mala judicantur quod præſens neminem unquam affecit moleſtiâ abſens & dum in expectatione eſt moleſtiam adfert,es gedencket der heydnische scribent plutarchus eines beruhmbten mannes dess arcesilai dass er etwan uom tode diese denckwurdige worte solle gebraucht haben mors quae mali nomine censetur hoc unum habet peculiare ex omnibus quae mala iudicantur quod praesens neminem unquam affecit molestia absens et dum in expectatione est molestiam adfert
