doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
anonym_warhafftige_1626,body,0,0,True,[I],Zwo Warhafftige / vnd doch Männiglich zuvor bekante Newe Zeitungen. Die Erste / Von dem grossen Jammer / Welcher sich begeben in der Marggraffschafft Baden / wie allda schon vber die fünfftzig Hexen / Mann / Weib / Knaben und Mägdlein / sein verbrant worden / was dieselben für schröckliche Sachen bekant haben / vnd etlich hundert Menschen durch ihr Teuffels Kunst vmb das Leben gebracht / auch die Liebe Frücht auff dem Feld verderbt / vnd was sie sonst für Vbels angericht / ist mit fleiß beschrieben / vnd in ein Gesang verfast / Jm Thon: Kompt her zu mir spricht GOttes Sohn / etc. Die Ander / Auß dem Elsasserland / Wie das zu Sanct Johannes / ein stund von Elsaßzabern / in der Capell die Bildnuß Christi auff dem Altar / so in dem Schoß Mariæ ligt / wie man sie mit einander reden hören. Was sie aber für eine Klag geführet vber die Gottlose Welt / ist mit fleiß beschrieben / vnnd in dem Gesang zu Molßheim in Truck außgangen / wie folget / Jm Thon: Hilff Gott daß mirs gelinge. Gedruckt zu Moltzen / Jm Jahr Christi 1626.,zwo warhafftige vnd doch männiglich zuvor bekante newe zeitungen die erste von dem grossen jammer welcher sich begeben in der marggraffschafft baden wie allda schon vber die fünfftzig hexen mann weib knaben und mägdlein sein verbrant worden was dieselben für schröckliche sachen bekant haben vnd etlich hundert menschen durch ihr teuffels kunst vmb das leben gebracht auch die liebe frücht auff dem feld verderbt vnd was sie sonst für vbels angericht ist mit fleiß beschrieben vnd in ein gesang verfast jm thon kompt her zu mir spricht gottes sohn etc die ander auß dem elsasserland wie das zu sanct johannes ein stund von elsaßzabern in der capell die bildnuß christi auff dem altar so in dem schoß mariæ ligt wie man sie mit einander reden hören was sie aber für eine klag geführet vber die gottlose welt ist mit fleiß beschrieben vnnd in dem gesang zu molßheim in truck außgangen wie folget jm thon hilff gott daß mirs gelinge gedruckt zu moltzen jm jahr christi,zwo warhafftige und doch manniglich zuuor bekante newe zeitungen die erste uon dem grossen iammer welcher sich begeben in der marggraffschafft baden wie allda schon uber die funfftzig hexen mann weib knaben und magdlein sein uerbrant worden was dieselben fur schrockliche sachen bekant haben und etlich hundert menschen durch ihr teuffels kunst umb das leben gebracht auch die liebe frucht auff dem feld uerderbt und was sie sonst fur ubels angericht ist mit fleiss beschrieben und in ein gesang uerfast im thon kompt her zu mir spricht gottes sohn etc die ander auss dem elsasserland wie das zu sanct iohannes ein stund uon elsasszabern in der capell die bildnuss christi auff dem altar so in dem schoss mariae ligt wie man sie mit einander reden horen was sie aber fur eine klag gefuhret uber die gottlose welt ist mit fleiss beschrieben unnd in dem gesang zu molssheim in truck aussgangen wie folget im thon hilff gott dass mirs gelinge gedruckt zu moltzen im iahr christi
anonym_warhafftige_1626,head,1,0,True,[1],Die Erste.,die erste,die erste
anonym_warhafftige_1626,body,2,0,True,[1],HOert zu ihr Frawen vnd auch Mann / groß Wunder will ich zeigen an / so newlich ist geschehen / wie daß der böse Feind so gar / die Menschen bringt in gefahr / thu ich mit warheit sagen.,hoert zu ihr frawen vnd auch mann groß wunder will ich zeigen an so newlich ist geschehen wie daß der böse feind so gar die menschen bringt in gefahr thu ich mit warheit sagen,hoert zu ihr frawen und auch mann gross wunder will ich zeigen an so newlich ist geschehen wie dass der bose feind so gar die menschen bringt in gefahr thu ich mit warheit sagen
anonym_warhafftige_1626,body,3,0,True,[1],Wie ihr jetzund werd hören thun / was für jammer geschehen schon / mit dieser Teuffels Rotte / die sich dem Bösen Geist verpflicht / ja viel Vnglück han angericht / davor behüt uns Gotte.,wie ihr jetzund werd hören thun was für jammer geschehen schon mit dieser teuffels rotte die sich dem bösen geist verpflicht ja viel vnglück han angericht davor behüt uns gotte,wie ihr ietzund werd horen thun was fur iammer geschehen schon mit dieser teuffels rotte die sich dem bosen geist uerpflicht ia uiel ungluck han angericht dauor behut uns gotte
anonym_warhafftige_1626,body,4,0,True,[1],Erstlich in deß Marggraffen Land / genent von Baden wolbekant / schon viel verbrand sein worden / zu Kupene vnd zu Rastatt / bey 50 man verbrennet hat / an diesen dreyen Orthen.,erstlich in deß marggraffen land genent von baden wolbekant schon viel verbrand sein worden zu kupene vnd zu rastatt bey man verbrennet hat an diesen dreyen orthen,erstlich in dess marggraffen land genent uon baden wolbekant schon uiel uerbrand sein worden zu kupene und zu rastatt bey man uerbrennet hat an diesen dreyen orthen
anonym_warhafftige_1626,body,5,0,True,[1],O frommer Christ thue wol verstahn / was sie für vbel han gethan / wil ich mit warheit singen / von Mann / Weib / Knaben vnd Mägdlein / was sie bekanten in der pein / wil ich euch vorbringen.,o frommer christ thue wol verstahn was sie für vbel han gethan wil ich mit warheit singen von mann weib knaben vnd mägdlein was sie bekanten in der pein wil ich euch vorbringen,o frommer christ thue wol uerstahn was sie fur ubel han gethan wil ich mit warheit singen uon mann weib knaben und magdlein was sie bekanten in der pein wil ich euch uorbringen
anonym_warhafftige_1626,body,6,0,True,[1],Ein junger Gesell verbrennet war / seins alters auff die 13 Jar / der bekent in der Summen / das er zu Nachts in Weibergstalt / ein rechte Teufflin mercket bald / habe zu der Ehe genommen.,ein junger gesell verbrennet war seins alters auff die jar der bekent in der summen das er zu nachts in weibergstalt ein rechte teufflin mercket bald habe zu der ehe genommen,ein iunger gesell uerbrennet war seins alters auff die iar der bekent in der summen das er zu nachts in weibergstalt ein rechte teufflin mercket bald habe zu der ehe genommen
anonym_warhafftige_1626,body,7,0,True,[1],Vnd mit ihr gehalten die Hochzeit / dabey auch wahren stattliche Leut / die zahl war bey 3000. sein Hochzeit wehret siben Nacht / den grossen Reiffen habens gemacht / der also vbel gehauset.,vnd mit ihr gehalten die hochzeit dabey auch wahren stattliche leut die zahl war bey sein hochzeit wehret siben nacht den grossen reiffen habens gemacht der also vbel gehauset,und mit ihr gehalten die hochzeit dabey auch wahren stattliche leut die zahl war bey sein hochzeit wehret siben nacht den grossen reiffen habens gemacht der also ubel gehauset
anonym_warhafftige_1626,body,8,0,True,[1],Wol in dem Würtenberger Land / wie Männiglichen wolbekant / daß der Wein ist erfroren / Gott es jhn nicht verhengen wolt / sonst in dem Land man habe / warhafftig wenig Korn.,wol in dem würtenberger land wie männiglichen wolbekant daß der wein ist erfroren gott es jhn nicht verhengen wolt sonst in dem land man habe warhafftig wenig korn,wol in dem wurtenberger land wie manniglichen wolbekant dass der wein ist erfroren gott es ihn nicht uerhengen wolt sonst in dem land man habe warhafftig wenig korn
anonym_warhafftige_1626,body,9,0,True,[1],Ein Mägdlein hat man auch verbrent / dasselbig öffentlich bekent / ihr allererst zeichen must sie an ihrem Vatter thun / an Händ und Füß erkrümmen nun / daß thet sie bald dergleichen.,ein mägdlein hat man auch verbrent dasselbig öffentlich bekent ihr allererst zeichen must sie an ihrem vatter thun an händ und füß erkrümmen nun daß thet sie bald dergleichen,ein magdlein hat man auch uerbrent dasselbig offentlich bekent ihr allererst zeichen must sie an ihrem uatter thun an hand und fuss erkrummen nun dass thet sie bald dergleichen
