doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
calvi_beutelschneider01_1627,head,0,0,True,5,Beutelſchneider/ Oder Neue/ warhaffte/ vnd eigentliche Beſchreibung Der Diebs Hiſtorien. Darinnen Der Beutelſchneider/ Diebe vnd Rauber Argliſtigkeit/ Verſchlagenheit/ Boſſen/ Rencke vnd Tuͤcke/ auch was ſie fuͤr wunderbarliche ſeltzame Diebsgriffe/ Practicken vnd Fuͤndlein erdacht/ gebraucht/ vnd ſonſten fuͤr erſchreckliche Mordthaten in Franckreich geſtifftet vnd begangen haben. In ſonderlichen waarhafften Hiſtorien vor Augen geſtellet. Mit ſonderbaren nuͤtzlichen Obſervationen/ Erjnnerungen vnd Warnungen der geſtalt zugerichtet/ daß ſich maͤnniglichen zu nothwendiger Warnung vnd Lehr/ auch zu Ergoͤtzlichkeit vnd Luſt zu leſen dienen. Auß dem Frantzoͤſiſchen in die Hochteutſche Sprach uͤberſetzt. Erſtlich Gedruckt zu Franckfurt/1627.,beutelſchneider oder neue warhaffte vnd eigentliche beſchreibung der diebs hiſtorien darinnen der beutelſchneider diebe vnd rauber argliſtigkeit verſchlagenheit boſſen rencke vnd tuͤcke auch was ſie fuͤr wunderbarliche ſeltzame diebsgriffe practicken vnd fuͤndlein erdacht gebraucht vnd ſonſten fuͤr erſchreckliche mordthaten in franckreich geſtifftet vnd begangen haben in ſonderlichen waarhafften hiſtorien vor augen geſtellet mit ſonderbaren nuͤtzlichen obſervationen erjnnerungen vnd warnungen der geſtalt zugerichtet daß ſich maͤnniglichen zu nothwendiger warnung vnd lehr auch zu ergoͤtzlichkeit vnd luſt zu leſen dienen auß dem frantzoͤſiſchen in die hochteutſche sprach uͤberſetzt erſtlich gedruckt zu franckfurt,beutelschneider oder neue warhaffte und eigentliche beschreibung der diebs historien darinnen der beutelschneider diebe und rauber arglistigkeit uerschlagenheit bossen rencke und tucke auch was sie fur wunderbarliche seltzame diebsgriffe practicken und fundlein erdacht gebraucht und sonsten fur erschreckliche mordthaten in franckreich gestifftet und begangen haben in sonderlichen waarhafften historien uor augen gestellet mit sonderbaren nutzlichen obseruationen erinnerungen und warnungen der gestalt zugerichtet dass sich manniglichen zu nothwendiger warnung und lehr auch zu ergotzlichkeit und lust zu lesen dienen auss dem frantzosischen in die hochteutsche sprach ubersetzt erstlich gedruckt zu franckfurt
calvi_beutelschneider01_1627,head,1,0,True,7,An den Leſer.,an den leſer,an den leser
calvi_beutelschneider01_1627,body,2,0,True,7,GVnſtiger lieber Leſer/ es iſt ein groſſer vortheil dem jenigen/ der zu Waſſer oder zu Land wil eine Reiß vornehmen/ wann er die Landtaffel wol verſtehet/ wann er weiß/ wo dieſe oder jene Statt iſt gelegen/ oder wie gefaͤhrlich es iſt auff djeſem oder jenem Weg/ dann jhm der jenigen/ mit welchen er wil vmbgehen/ Humor/ Art/ Grillen: vnd Eigenſchafften nicht bewuſt ſeyn Er weiß auch nicht die Kunſt vnd Bubenſtuͤcke/ darinnen ein jegliche Nation alle Tag ſich uͤbet vnd Meiſter iſt/ ſo kan er durch ſolche ſeine Vnwiſſenheit gar leichtlich in groſſe gefahr vnd vngemach gerathen.,gvnſtiger lieber leſer es iſt ein groſſer vortheil dem jenigen der zu waſſer oder zu land wil eine reiß vornehmen wann er die landtaffel wol verſtehet wann er weiß wo dieſe oder jene statt iſt gelegen oder wie gefaͤhrlich es iſt auff djeſem oder jenem weg dann jhm der jenigen mit welchen er wil vmbgehen humor art grillen vnd eigenſchafften nicht bewuſt ſeyn er weiß auch nicht die kunſt vnd bubenſtuͤcke darinnen ein jegliche nation alle tag ſich uͤbet vnd meiſter iſt ſo kan er durch ſolche ſeine vnwiſſenheit gar leichtlich in groſſe gefahr vnd vngemach gerathen,gunstiger lieber leser es ist ein grosser uortheil dem ienigen der zu wasser oder zu land wil eine reiss uornehmen wann er die landtaffel wol uerstehet wann er weiss wo diese oder iene statt ist gelegen oder wie gefahrlich es ist auff diesem oder ienem weg dann ihm der ienigen mit welchen er wil umbgehen humor art grillen und eigenschafften nicht bewust seyn er weiss auch nicht die kunst und bubenstucke darinnen ein iegliche nation alle tag sich ubet und meister ist so kan er durch solche seine unwissenheit gar leichtlich in grosse gefahr und ungemach gerathen
calvi_beutelschneider01_1627,body,3,0,True,7,Dieſes iſt nun die einige Vrſach geweſen/ welche mich bewogen/ dir dieſes kleine Buͤchlein zu preſentiren: Dann weil dieſe Geſellſchafft heutiges Tages uͤber alle maſſen groß iſt/ wie auch die argliſtige Verſchlagenheit/ die ſie zu ſtelen gebrauchen/ vnmenſchlich vnnd vnglaublich: Als habe ich darvor gehalten/ jederman nuͤtzlich zu ſeyn/ wann ich jhre Buben- vnnd Diebsſtuͤck oͤffentlich an die Sonn lege/ auff daß man ſich deſto beſſer vor jhnen moͤge vorſehen.,dieſes iſt nun die einige vrſach geweſen welche mich bewogen dir dieſes kleine buͤchlein zu preſentiren dann weil dieſe geſellſchafft heutiges tages uͤber alle maſſen groß iſt wie auch die argliſtige verſchlagenheit die ſie zu ſtelen gebrauchen vnmenſchlich vnnd vnglaublich als habe ich darvor gehalten jederman nuͤtzlich zu ſeyn wann ich jhre buben vnnd diebsſtuͤck oͤffentlich an die sonn lege auff daß man ſich deſto beſſer vor jhnen moͤge vorſehen,dieses ist nun die einige ursach gewesen welche mich bewogen dir dieses kleine buchlein zu presentiren dann weil diese gesellschafft heutiges tages uber alle massen gross ist wie auch die arglistige uerschlagenheit die sie zu stelen gebrauchen unmenschlich unnd unglaublich als habe ich daruor gehalten iederman nutzlich zu seyn wann ich ihre buben unnd diebsstuck offentlich an die sonn lege auff dass man sich desto besser uor ihnen moge uorsehen
calvi_beutelschneider01_1627,body,4,0,True,8,Ein verſtaͤndiger Schiffmann ſpannet ſeine Segel nit auff/ wann er nur im geringſten ein ſchweres Gewitter mercket kommen/ vnnd wann er durch ein gefaͤhrliches ort ſoll duꝛchfahren/ ſo bedencket er ſich wol/ ob er nicht vielleicht da koͤnne Schiffbruch leyden/ vnnd mit ſeinem Schiff anfahren.,ein verſtaͤndiger schiffmann ſpannet ſeine segel nit auff wann er nur im geringſten ein ſchweres gewitter mercket kommen vnnd wann er durch ein gefaͤhrliches ort ſoll duꝛchfahren ſo bedencket er ſich wol ob er nicht vielleicht da koͤnne schiffbruch leyden vnnd mit ſeinem schiff anfahren,ein uerstandiger schiffmann spannet seine segel nit auff wann er nur im geringsten ein schweres gewitter mercket kommen unnd wann er durch ein gefahrliches ort soll duchfahren so bedencket er sich wol ob er nicht uielleicht da konne schiffbruch leyden unnd mit seinem schiff anfahren
calvi_beutelschneider01_1627,body,5,0,False,9,Alſo iſt es gut/ daß man jre Bubenſtuͤck wiſſe/ jren Anſchlaͤgen vorkomme/ vnnd das ſeinige moͤge behalten.,alſo iſt es gut daß man jre bubenſtuͤck wiſſe jren anſchlaͤgen vorkomme vnnd das ſeinige moͤge behalten,also ist es gut dass man ire bubenstuck wisse iren anschlagen uorkomme unnd das seinige moge behalten
calvi_beutelschneider01_1627,body,5,1,False,9,Sihe/ lieber Leſer/ das iſt der Nutz/ welchen du durch leſung dieſes Buchs kanſt haben: Dann da wirſt du hoͤren vnd ſehen wunderſeltzame Practicken/ welche die Diebe zu ſtelen gebrauchet haben/ welche du vnter deſſen wolleſt leſen/ biß daß wir das zweyte Theil dieſer Hiſtorien fertig machen/ vnd welches zweyte Theil wird ſeyn eine Continuation dieſer Hiſtorien/ da du warlich ſolche ſtreich wirſt leſen/ daß dergleichen nicht mehr iſt gehoͤret worden.,sihe lieber leſer das iſt der nutz welchen du durch leſung dieſes buchs kanſt haben dann da wirſt du hoͤren vnd ſehen wunderſeltzame practicken welche die diebe zu ſtelen gebrauchet haben welche du vnter deſſen wolleſt leſen biß daß wir das zweyte theil dieſer hiſtorien fertig machen vnd welches zweyte theil wird ſeyn eine continuation dieſer hiſtorien da du warlich ſolche ſtreich wirſt leſen daß dergleichen nicht mehr iſt gehoͤret worden,sihe lieber leser das ist der nutz welchen du durch lesung dieses buchs kanst haben dann da wirst du horen und sehen wunderseltzame practicken welche die diebe zu stelen gebrauchet haben welche du unter dessen wollest lesen biss dass wir das zweyte theil dieser historien fertig machen und welches zweyte theil wird seyn eine continuation dieser historien da du warlich solche streich wirst lesen dass dergleichen nicht mehr ist gehoret worden
calvi_beutelschneider01_1627,body,5,2,True,9,Hiemit Gott befohlen.,hiemit gott befohlen,hiemit gott befohlen
calvi_beutelschneider01_1627,head,6,0,True,10,Verzeichnuß der Capitel ſo in dieſem Buch begriffen.,verzeichnuß der capitel ſo in dieſem buch begriffen,uerzeichnuss der capitel so in diesem buch begriffen
calvi_beutelschneider01_1627,item,7,0,True,10,Cap. I. Von dem erſchrecklichen Leben deß Capitainen Lycaon/ als deß Oberſten der Diebe von ſeinem Geſchlecht vnd Herkommen/ vnnd wie er ſich in ſeiner Jugendt hat verhalten 1,cap i von dem erſchrecklichen leben deß capitainen lycaon als deß oberſten der diebe von ſeinem geſchlecht vnd herkommen vnnd wie er ſich in ſeiner jugendt hat verhalten,cap i uon dem erschrecklichen leben dess capitainen lycaon als dess obersten der diebe uon seinem geschlecht und herkommen unnd wie er sich in seiner iugendt hat uerhalten
