doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523885,body,0,0,True,[1],"Fiducia Chriſtianorum Anchora Piorum. Wer auff Got vertrawt/ Hat wolgebawt. Leichpredigt/ Bey dem Chriſtlichen Begraͤbnuͤß Der Weyland Erbahren/ Ehrentugendſamen Frawen Eliſabeth geborner Keßlerin/ Des Ehrenfeſten/ Wolgelaͤhrten Herꝛen Johannis Haidorns, Conrectoris bey der Schulen alhier Ehelichen lieben Haußfrawen/ So den 3. Julii, dieſes 1627. Jahres/ ſanfft eingeſchlaffen/ vnd den 6. deſſen ehrlichen zur Erden beſtattet worden/ Gehalten von M. Johanne Tralles Paſtore in Hirſchberg. Gedrucht zur Lignitz in der Fuͤrſtl. Druckerey.",fiducia chriſtianorum anchora piorum wer auff got vertrawt hat wolgebawt leichpredigt bey dem chriſtlichen begraͤbnuͤß der weyland erbahren ehrentugendſamen frawen eliſabeth geborner keßlerin des ehrenfeſten wolgelaͤhrten herꝛen johannis haidorns conrectoris bey der schulen alhier ehelichen lieben haußfrawen so den julii dieſes jahres ſanfft eingeſchlaffen vnd den deſſen ehrlichen zur erden beſtattet worden gehalten von m johanne tralles paſtore in hirſchberg gedrucht zur lignitz in der fuͤrſtl druckerey,fiducia christianorum anchora piorum wer auff got uertrawt hat wolgebawt leichpredigt bey dem christlichen begrabnuss der weyland erbahren ehrentugendsamen frawen elisabeth geborner kesslerin des ehrenfesten wolgelahrten heren iohannis haidorns conrectoris bey der schulen alhier ehelichen lieben haussfrawen so den iulii dieses iahres sanfft eingeschlaffen und den dessen ehrlichen zur erden bestattet worden gehalten uon m iohanne tralles pastore in hirschberg gedrucht zur lignitz in der furstl druckerey
523885,body,1,0,False,[2],"S. Mitto ad te, Collega honorande, qvod ita anxiè, credo ob adfectum tuum erga Uxorem pié defunctam, calidum & candidum, poſtulaſti; utinam pro palatotuo & aliorum.",s mitto ad te collega honorande qvod ita anxiè credo ob adfectum tuum erga uxorem pié defunctam calidum & candidum poſtulaſti utinam pro palatotuo & aliorum,s mitto ad te collega honorande quod ita anxie credo ob adfectum tuum erga uxorem pie defunctam calidum et candidum postulasti utinam pro palatotuo et aliorum
523885,body,1,1,False,[2],"At arma ſtrepunt, qverellæ publicæ animum tundunt, curæ menten turbant, ut vix ad hæc talia ſufficiamus.",at arma ſtrepunt qverellæ publicæ animum tundunt curæ menten turbant ut vix ad hæc talia ſufficiamus,at arma strepunt querellae publicae animum tundunt curae menten turbant ut uix ad haec talia sufficiamus
523885,body,1,2,False,[2],"Tu boni conſule, luctum moderare, & Vxori tuæ defelicitate ſuâ gratare potius.",tu boni conſule luctum moderare & vxori tuæ defelicitate ſuâ gratare potius,tu boni consule luctum moderare et uxori tuae defelicitate sua gratare potius
523885,body,1,3,True,[2],Beati enim mortui.,beati enim mortui,beati enim mortui
523885,body,2,0,True,[2],T. M. Tralles,t m tralles,t m tralles
523885,body,3,0,True,[3],D. S. Das walte der liebreiche allein weiſe Davids Got/ in deſſen allmaͤchtigen Haͤnden vnſer zeit/ vnſer leben vnd ſterben ſtehet/ jhm ſey Lob vnd Preiß in Ewigkeit/ AMEN/ AMEN.,d s das walte der liebreiche allein weiſe davids got in deſſen allmaͤchtigen haͤnden vnſer zeit vnſer leben vnd ſterben ſtehet jhm ſey lob vnd preiß in ewigkeit amen amen,d s das walte der liebreiche allein weise dauids got in dessen allmachtigen handen unser zeit unser leben und sterben stehet ihm sey lob und preiss in ewigkeit amen amen
523885,body,4,0,False,[3],"MEines freundlichen lieben Herꝛen Collegen, des Ehrnveſten vnd wolgelehꝛten Herꝛen Johannis Haidorns Conrectoris, bey vnſer Schulen/ Hertzliebe trewe Haußehre/ die Erbare Tugendſame Fraw Eliſabetham geborne Keßlerin/ haben wir jtzund mit Chriſtlichen Ceremonien zu jhrem ruhebetlein comitiret vnd begleitet: Ach Got/ wie mit betruͤbtem Hertzen/ vnd thraͤnflieſſenden Augen wird ſie von jhrem lieben Ehemann/ von jhren vnerzogenen Kinderlein/ von jhren lieben Eltern/ von jhren Geſchwiſtern zu grabe begleitet/ wie fruͤezeitig iſt ſie den lieben jhrigen entfallen: Aber alles nach Gotes gnaͤdigem willen.",meines freundlichen lieben herꝛen collegen des ehrnveſten vnd wolgelehꝛten herꝛen johannis haidorns conrectoris bey vnſer schulen hertzliebe trewe haußehre die erbare tugendſame fraw eliſabetham geborne keßlerin haben wir jtzund mit chriſtlichen ceremonien zu jhrem ruhebetlein comitiret vnd begleitet ach got wie mit betruͤbtem hertzen vnd thraͤnflieſſenden augen wird ſie von jhrem lieben ehemann von jhren vnerzogenen kinderlein von jhren lieben eltern von jhren geſchwiſtern zu grabe begleitet wie fruͤezeitig iſt ſie den lieben jhrigen entfallen aber alles nach gotes gnaͤdigem willen,meines freundlichen lieben heren collegen des ehrnuesten und wolgelehten heren iohannis haidorns conrectoris bey unser schulen hertzliebe trewe haussehre die erbare tugendsame fraw elisabetham geborne kesslerin haben wir itzund mit christlichen ceremonien zu ihrem ruhebetlein comitiret und begleitet ach got wie mit betrubtem hertzen und thranfliessenden augen wird sie uon ihrem lieben ehemann uon ihren unerzogenen kinderlein uon ihren lieben eltern uon ihren geschwistern zu grabe begleitet wie fruezeitig ist sie den lieben ihrigen entfallen aber alles nach gotes gnadigem willen
523885,body,4,1,False,[3],Jhr zeit ſtund in Gotes Hand.,jhr zeit ſtund in gotes hand,ihr zeit stund in gotes hand
523885,body,4,2,False,[3],Das waren jhr ſeellige Gedancken bey jhrem Leben.,das waren jhr ſeellige gedancken bey jhrem leben,das waren ihr seellige gedancken bey ihrem leben
