doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509393,body,0,0,True,,"Mortis Præcipitium. Vomboͤſen ſchnellen Tode/ Vnd Vom gutten ſchnellen Tode/ Leich/ Ehren/ Troſt/ Warnungs vnd Gedaͤchtnuͤß Predigt/ Bey der Chriſtlichen vnd Volckreichen Sepultur der Gottliebenden/ Erbarn vnd Ehrentugentſamen Frawen Elisabetha gebornen Baumin/ des Ehꝛwuͤrdigen vnd Wolgelarten H. Adami Heumanni geweſenen Paſtoris vnd Senioris zum Hoff in Mehren Ehlichen Haußfrawen. Welche Gott Anno 1628. den 23 Junii fruͤhe vmb 6. der halben Vhr zur Olſſen/ durch ein ſanfftes Schlaͤglein/ zur Vorheiſchenen vnd von jhr geglaubten Seeligkeit abgefodert/ vnd hernach den 29. war der Tag der beiden H. Apoſtel Petri vnd Pauli ehrlichen daſelbſt in die Schloß vnd Stadtkirchen zur Erden beſtattet worden. Gethan durch M. Samuelem Heinnitz Fuͤrſtlichen Olßniſchen Hoff/ vnd Stadt Predigern/ Superintendenten. Vive Fide & Virtute Deo, abſit crimen & error, Mors bona certa bonis, Mors mala certa malis. Gedruckt zur Olſſe/ durch Johann Boͤſſemeſſern. 1628.",mortis præcipitium vomboͤſen ſchnellen tode vnd vom gutten ſchnellen tode leich ehren troſt warnungs vnd gedaͤchtnuͤß predigt bey der chriſtlichen vnd volckreichen sepultur der gottliebenden erbarn vnd ehrentugentſamen frawen elisabetha gebornen baumin des ehꝛwuͤrdigen vnd wolgelarten h adami heumanni geweſenen paſtoris vnd senioris zum hoff in mehren ehlichen haußfrawen welche gott anno den junii fruͤhe vmb der halben vhr zur olſſen durch ein ſanfftes schlaͤglein zur vorheiſchenen vnd von jhr geglaubten seeligkeit abgefodert vnd hernach den war der tag der beiden h apoſtel petri vnd pauli ehrlichen daſelbſt in die schloß vnd stadtkirchen zur erden beſtattet worden gethan durch m samuelem heinnitz fuͤrſtlichen olßniſchen hoff vnd stadt predigern superintendenten vive fide & virtute deo abſit crimen & error mors bona certa bonis mors mala certa malis gedruckt zur olſſe durch johann boͤſſemeſſern,mortis praecipitium uombosen schnellen tode und uom gutten schnellen tode leich ehren trost warnungs und gedachtnuss predigt bey der christlichen und uolckreichen sepultur der gottliebenden erbarn und ehrentugentsamen frawen elisabetha gebornen baumin des ehwurdigen und wolgelarten h adami heumanni gewesenen pastoris und senioris zum hoff in mehren ehlichen haussfrawen welche gott anno den iunii fruhe umb der halben uhr zur olssen durch ein sanfftes schlaglein zur uorheischenen und uon ihr geglaubten seeligkeit abgefodert und hernach den war der tag der beiden h apostel petri und pauli ehrlichen daselbst in die schloss und stadtkirchen zur erden bestattet worden gethan durch m samuelem heinnitz furstlichen olssnischen hoff und stadt predigern superintendenten uiue fide et uirtute deo absit crimen et error mors bona certa bonis mors mala certa malis gedruckt zur olsse durch iohann bossemessern
509393,body,1,0,False,2,"Ad Reverendum, Eximium Et Literatissimum virum Dn. Adamum Heumannum olim pastorem & seniorem in Hoff Moravorum compatrem ſuum cariß. ωξαμύϑιομ.",ad reverendum eximium et literatissimum virum dn adamum heumannum olim pastorem & seniorem in hoff moravorum compatrem ſuum cariß ωξαμύϑιομ,ad reuerendum eximium et literatissimum uirum dn adamum heumannum olim pastorem et seniorem in hoff morauorum compatrem suum cariss
509393,body,1,1,False,2,"O Hominum Genesis peccati è ſtirpe maligna, Exodus à tergo te ſolet atra ſequi.",o hominum genesis peccati è ſtirpe maligna exodus à tergo te ſolet atra ſequi,o hominum genesis peccati e stirpe maligna exodus a tergo te solet atra sequi
509393,body,1,2,False,2,"Exodium at vitæ. vita qui cogitat omni, Hic vitæ Genesin commodioris habet.",exodium at vitæ vita qui cogitat omni hic vitæ genesin commodioris habet,exodium at uitae uita qui cogitat omni hic uitae genesin commodioris habet
509393,body,1,3,False,2,"Leviticus codex libamina ſacra recludens Exponet, quonam ſint data thura modo?",leviticus codex libamina ſacra recludens exponet quonam ſint data thura modo,leuiticus codex libamina sacra recludens exponet quonam sint data thura modo
509393,body,1,4,False,2,"Si benè, læticiæ Numeri te mille ſequentur: Mille at trîsticiæ ſi male, te Numeri.",si benè læticiæ numeri te mille ſequentur mille at trîsticiæ ſi male te numeri,si bene laeticiae numeri te mille sequentur mille at tristiciae si male te numeri
509393,body,1,5,False,2,"Deuteros, ô mortalis homo, es poſt fata futurus, Deuteros in Cœlo, Deuteros aut Erebo.",deuteros ô mortalis homo es poſt fata futurus deuteros in cœlo deuteros aut erebo,deuteros o mortalis homo es post fata futurus deuteros in coelo deuteros aut erebo
509393,body,1,6,False,2,"Deuteros in cœlo fueris, vereꝙ́ beatus, Ad Jovæ ſi ſit integra vita νόμομ.",deuteros in cœlo fueris vereꝙ́ beatus ad jovæ ſi ſit integra vita νόμομ,deuteros in coelo fueris uerequod beatus ad iouae si sit integra uita
509393,body,1,7,False,2,"Integritas & cum deſit, nos integret, almus Christe tuus ſangvis, quem ſitit alta fides.",integritas & cum deſit nos integret almus christe tuus ſangvis quem ſitit alta fides,integritas et cum desit nos integret almus christe tuus sanguis quem sitit alta fides
509393,body,1,8,False,2,"Integer at qui non vitæ eſt, & Numinis oſor, In piceafiet Deuteros ille Styge.",integer at qui non vitæ eſt & numinis oſor in piceafiet deuteros ille styge,integer at qui non uitae est et numinis osor in piceafiet deuteros ille styge
509393,body,1,9,False,2,"O felix igitur tua coſta piißima, Adame, Post Genesin, Genesin credidit illa novam.",o felix igitur tua coſta piißima adame post genesin genesin credidit illa novam,o felix igitur tua costa piissima adame post genesin genesin credidit illa nouam
509393,body,1,10,True,2,"Poßidet innumeros data poſt thura, Exodiumꝙ́, Læticiæ Numeros, Deuteron atꝙ βίομ.",poßidet innumeros data poſt thura exodiumꝙ́ læticiæ numeros deuteron atꝙ βίομ,possidet innumeros data post thura exodiumquod laeticiae numeros deuteron atquod
509393,item,2,0,True,2,Samuelis Heinnitz.,samuelis heinnitz,samuelis heinnitz
509393,head,3,0,False,3,Cum Bono Deo.,cum bono deo,cum bono deo
509393,body,3,1,True,3,Vom boͤſen ſchnellen Tode/ Vnd Vom gutten ſchnellen Tode/ Leich/ Ehren/ Troſt/ Warnungs vnd Gedaͤchtnuͤß Predigt. Eingang.,vom boͤſen ſchnellen tode vnd vom gutten ſchnellen tode leich ehren troſt warnungs vnd gedaͤchtnuͤß predigt eingang,uom bosen schnellen tode und uom gutten schnellen tode leich ehren trost warnungs und gedachtnuss predigt eingang
509393,body,4,0,True,3,DEr Himliſche Hohe Prieſter vnſer Hertzlieber Heyland JEſus Chriſtus/ der niemandt Rechtfertiget denn die Suͤnder/ vnd niemandt Troͤſtet/ denn die Trawrigen/ auch niemandt Lebendig machet/ denn die Todten/ ſey vnſer Lehr/ Liecht/ Leben/ Schucz/ Troſt/ Krafft/ Safft/ Labſal vnd Erquickung/ Amen.,der himliſche hohe prieſter vnſer hertzlieber heyland jeſus chriſtus der niemandt rechtfertiget denn die suͤnder vnd niemandt troͤſtet denn die trawrigen auch niemandt lebendig machet denn die todten ſey vnſer lehr liecht leben schucz troſt krafft safft labſal vnd erquickung amen,der himlische hohe priester unser hertzlieber heyland iesus christus der niemandt rechtfertiget denn die sunder und niemandt trostet denn die trawrigen auch niemandt lebendig machet denn die todten sey unser lehr liecht leben schucz trost krafft safft labsal und erquickung amen
509393,body,5,0,False,3,"ERlauchte/ Geliebte vnd theils im Geiſt betruͤbte Chriſten: Cunctis diebus, quibus nunc milito, expecto, donec veniat immutatio mea.",erlauchte geliebte vnd theils im geiſt betruͤbte chriſten cunctis diebus quibus nunc milito expecto donec veniat immutatio mea,erlauchte geliebte und theils im geist betrubte christen cunctis diebus quibus nunc milito expecto donec ueniat immutatio mea
509393,body,5,1,False,3,"Ich harꝛe taͤglich/ weil ich ſtreite/ biß das meine Voraͤnderung komme/ ſagt der heylige vñ durchs Creucz wolgeuͤbete Mañ Gottes Hiob/ damit er meinet 1. Immutationem ſuæ ſortis, die Voraͤnderung ſeines boͤſen Zuſtandes/ daß weil er vmb ſein Haab vnd Gutt/ Rinder vnd Kinder/ vnd vmb ſeines Leibes geſundheit kommen/ nun warte vnd harꝛe auff erſtattung dieſes groſſen Verluſts/ welch ſein warten vnd harꝛen nicht zuſchanden worden.",ich harꝛe taͤglich weil ich ſtreite biß das meine voraͤnderung komme ſagt der heylige vñ durchs creucz wolgeuͤbete mañ gottes hiob damit er meinet immutationem ſuæ ſortis die voraͤnderung ſeines boͤſen zuſtandes daß weil er vmb ſein haab vnd gutt rinder vnd kinder vnd vmb ſeines leibes geſundheit kommen nun warte vnd harꝛe auff erſtattung dieſes groſſen verluſts welch ſein warten vnd harꝛen nicht zuſchanden worden,ich hare taglich weil ich streite biss das meine uoranderung komme sagt der heylige und durchs creucz wolgeubete mann gottes hiob damit er meinet immutationem suae sortis die uoranderung seines bosen zustandes dass weil er umb sein haab und gutt rinder und kinder und umb seines leibes gesundheit kommen nun warte und hare auff erstattung dieses grossen uerlusts welch sein warten und haren nicht zuschanden worden
509393,body,5,2,False,4,Denn jhme der Reiche wolthaͤtige GOtt ſein Haab vnd Viehe geduppelt wider gegeben/ die Kinder einfach/ weil die vorigen bey GOtt leben/ vnd darzu Geſundheit vnd langes Leben/ wie am ende ſeines Buchs zuſehen.,denn jhme der reiche wolthaͤtige gott ſein haab vnd viehe geduppelt wider gegeben die kinder einfach weil die vorigen bey gott leben vnd darzu geſundheit vnd langes leben wie am ende ſeines buchs zuſehen,denn ihme der reiche wolthatige gott sein haab und uiehe geduppelt wider gegeben die kinder einfach weil die uorigen bey gott leben und darzu gesundheit und langes leben wie am ende seines buchs zusehen
509393,body,5,3,False,4,Das heiſt: GOtt gibt/ Gott nimbt/ Gott nimbt/ Gott gibt.,das heiſt gott gibt gott nimbt gott nimbt gott gibt,das heist gott gibt gott nimbt gott nimbt gott gibt
509393,body,5,4,False,4,GOtt leget vns eine Laſt auff/ aber er hilfft vns auch/ Sela.,gott leget vns eine laſt auff aber er hilfft vns auch sela,gott leget uns eine last auff aber er hilfft uns auch sela
509393,item,5,5,True,4,Pſal. 68.,pſal,psal
