doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509956,body,0,0,True,[1],Threnodia Parturientis. Klage-Predigt Auß der klaͤglichen Hiſtoria der betruͤbten/ ſchmertzhafften/ vnd toͤdtlichen Geburth der H. Ertz-Mutter Rahel/ Jm Erſten Buch Moſis am 35 Capitel: Bey Frey-Herrlicher Leichbeſtattung Der weyland Wohlgebohrnen Frawen/ Frawen Magdalenen/ Frawen von Kitlitz/ Gebohrnen Schaffgotzſchin Freyhin von Trachenbergk/ ErbFrawen auff Sprembergk/ Frawen zur Mußka/ Malnitz/ Eyſenbergk/ vnd Contzendorff/ ꝛc. Deß auch Wohlgebohrnen Herren/ Herren Seyfriedens/ Herren von Kitlitz/ zur Malnitz/ Eyſenbergk/ vnd Contzendorff/ Erb-Herrens der Herrſchafft Sprembergk/ Jnnehabern vnd Adminiſtratorn der Herrſchafft Mußkaw/ ꝛc. S. Gn. hertzliebſten Ehe Gemahlin/ Chriſtſeligſten ahndenckens: Welche in Ober-Lauſitz/ auff dem Burg-Graͤfflichen Hauſe Mußka/ Juͤngſt abgewichenen 1627 Jahres/ den 26 Decembris/ am tage S. Stephani deß H. Martyrers/ Abends vmb 8 Vhr/ in J. Gn. Weiblichem beruff/ ſeliglichen entſchlaffen: Folgends aber den 17 Martii/ An. 1628/ Freytags nach Invocavit/ zu Sprembergk in der Frey Herrlichen Grufft/ mit ahnſehnlichem Chriſtloͤblichen Conduct/ Herrlich beygeſetzet worden: J. Gn. alters 34 Jahr/ weniger 14 Tage. Eheſtandes 1 Jahr/ 3 Wochen. Da die Leich-Predigt daſelbſt in der Pfarr-Kirchen zu Sprembergk/ auff gnaͤdiges begeren geſchehen/ von ſeliger J. Gn. Beicht-Vater Wolgango Silbern/ Seniore/ Freyhl. Schaffgotzſch. Hoff-Predigern/ vnd Pfarrern zu Kemnitz/ Sileſ. Zu Goͤrlitz in Ober-Lauſitz druckts Johann Rhambaw.,threnodia parturientis klagepredigt auß der klaͤglichen hiſtoria der betruͤbten ſchmertzhafften vnd toͤdtlichen geburth der h ertzmutter rahel jm erſten buch moſis am capitel bey freyherrlicher leichbeſtattung der weyland wohlgebohrnen frawen frawen magdalenen frawen von kitlitz gebohrnen schaffgotzſchin freyhin von trachenbergk erbfrawen auff sprembergk frawen zur mußka malnitz eyſenbergk vnd contzendorff ꝛc deß auch wohlgebohrnen herren herren seyfriedens herren von kitlitz zur malnitz eyſenbergk vnd contzendorff erbherrens der herrſchafft sprembergk jnnehabern vnd adminiſtratorn der herrſchafft mußkaw ꝛc s gn hertzliebſten ehe gemahlin chriſtſeligſten ahndenckens welche in oberlauſitz auff dem burggraͤfflichen hauſe mußka juͤngſt abgewichenen jahres den decembris am tage s stephani deß h martyrers abends vmb vhr in j gn weiblichem beruff ſeliglichen entſchlaffen folgends aber den martii an freytags nach invocavit zu sprembergk in der frey herrlichen grufft mit ahnſehnlichem chriſtloͤblichen conduct herrlich beygeſetzet worden j gn alters jahr weniger tage eheſtandes jahr wochen da die leichpredigt daſelbſt in der pfarrkirchen zu sprembergk auff gnaͤdiges begeren geſchehen von ſeliger j gn beichtvater wolgango silbern seniore freyhl schaffgotzſch hoffpredigern vnd pfarrern zu kemnitz sileſ zu goͤrlitz in oberlauſitz druckts johann rhambaw,threnodia parturientis klagepredigt auss der klaglichen historia der betrubten schmertzhafften und todtlichen geburth der h ertzmutter rahel im ersten buch mosis am capitel bey freyherrlicher leichbestattung der weyland wohlgebohrnen frawen frawen magdalenen frawen uon kitlitz gebohrnen schaffgotzschin freyhin uon trachenbergk erbfrawen auff sprembergk frawen zur musska malnitz eysenbergk und contzendorff c dess auch wohlgebohrnen herren herren seyfriedens herren uon kitlitz zur malnitz eysenbergk und contzendorff erbherrens der herrschafft sprembergk innehabern und administratorn der herrschafft musskaw c s gn hertzliebsten ehe gemahlin christseligsten ahndenckens welche in oberlausitz auff dem burggrafflichen hause musska iungst abgewichenen iahres den decembris am tage s stephani dess h martyrers abends umb uhr in i gn weiblichem beruff seliglichen entschlaffen folgends aber den martii an freytags nach inuocauit zu sprembergk in der frey herrlichen grufft mit ahnsehnlichem christloblichen conduct herrlich beygesetzet worden i gn alters iahr weniger tage ehestandes iahr wochen da die leichpredigt daselbst in der pfarrkirchen zu sprembergk auff gnadiges begeren geschehen uon seliger i gn beichtuater wolgango silbern seniore freyhl schaffgotzsch hoffpredigern und pfarrern zu kemnitz siles zu gorlitz in oberlausitz druckts iohann rhambaw
509956,body,1,0,True,[2],"Chronologica quædam in honoratiſs. beatiſſimamq́; memoriam Illuſtris, & Generoſæ Dominæ, piè in Christo defunctæ Anno 1627. 26. Decemb.",chronologica quædam in honoratiſs beatiſſimamq́ memoriam illuſtris & generoſæ dominæ piè in christo defunctæ anno decemb,chronologica quaedam in honoratiss beatissimamq memoriam illustris et generosae dominae pie in christo defunctae anno decemb
509956,body,2,0,False,[2],"MagDaLenapVerperaVeſpere obIens, et enIXa, Lætè oVat.",magdalenapverperaveſpere obiens et enixa lætè ovat,magdalenapuerperauespere obiens et enixa laete ouat
509956,body,2,1,True,[2],"Iuxta verſum, qui de Protomartyre Stephano dici ſolet: Ibat ovans animis, & ſpe ſua damna levabat.",iuxta verſum qui de protomartyre stephano dici ſolet ibat ovans animis & ſpe ſua damna levabat,iuxta uersum qui de protomartyre stephano dici solet ibat ouans animis et spe sua damna leuabat
509956,body,3,0,False,[2],InIesV beata eſt MagDaLena k ItLItzIn obItV pòſt enIXa.,iniesv beata eſt magdalena k itlitzin obitv pòſt enixa,iniesu beata est magdalena k itlitzin obitu post enixa
509956,body,3,1,True,[2],(inquiens:) In VVLnerIbVs fILII DeI reqVIes Mea.,inquiens in vvlneribvs filii dei reqvies mea,inquiens in uulneribus filii dei requies mea
509956,body,4,0,True,[2],"Alia, Annum Sepulturæ continentia: 1628.",alia annum sepulturæ continentia,alia annum sepulturae continentia
509956,body,5,0,True,[2],"MagDaLena à kItLItz, natabaronIssa gotzsIa, obItV pòst parIens, frVItVr VIta æterna.",magdalena à kitlitz natabaronissa gotzsia obitv pòst pariens frvitvr vita æterna,magdalena a kitlitz natabaronissa gotzsia obitu post pariens fruitur uita aeterna
509956,body,6,0,False,[2],Verè reX DeVs noſter MIrIfICat sVos.Pſal. 4.,verè rex devs noſter mirificat svos pſal,uere rex deus noster mirificat suos psal
509956,body,6,1,True,[2],DeXtera DIVIna VertIt DeCreta Vana.Pſal. 77.,dextera divina vertit decreta vana pſal,dextera diuina uertit decreta uana psal
