doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
kentz_handwerksboden_1629,body,0,0,True,5,"Guͤldener Handwercksboden. Das iſt: Eine Allgemeine Wolgegruͤndte/ Nuͤtzliche vnd Anmutige Betrachtung/ aller vnd jeden/ zu Nutz/ Nothdurfft/ vnd Wolfarth/ auch Zierd/ Wolſtand vnd Ergetzligkeit des Meuſchlichen Lebens/ Wandels/ vnd Auff enthalt/ Erfundenen/ verbeſſerten/ vnd bißhero getriebnen/ Handwercks Kuͤnſten. Aus heiligen Wort Gottes/ vnd vielen andern Schrifften/ Monumenten, Hiſtorien vnd diſcurſen. GOtt dem Allmaͤchtigen/ Allerweiſeſten/ Gnaͤdigſten/ als gebern aller guten Handwerckskuͤnſten/ zu danckbaren Lob vnd Preis. Allen Kuͤnſtlern vnd Handwerckern/ Manns vnd Weibsperſonen/ zu billichem Ruhm vnd Ehrngedaͤchtnis. Sonderlich auch etlichen/ bey gegenwertigen verderblichen laͤufften ſteckenden vnd nothleidenden Kuͤnſtlern vnd Handwerckern/ zu wolgemeinten Troſt. Vnd ins gemein jederman zur nuͤtzlichē vnd ergetzlichẽ Erinnerung. Sampt einem Regiſter der Capiteln/ nach der Vorrede. Beſchrieben/ durch: M. Paul Kentz. Leipzig/ in Verlegung des Autoris,Anno C.1629.",guͤldener handwercksboden das iſt eine allgemeine wolgegruͤndte nuͤtzliche vnd anmutige betrachtung aller vnd jeden zu nutz nothdurfft vnd wolfarth auch zierd wolſtand vnd ergetzligkeit des meuſchlichen lebens wandels vnd auff enthalt erfundenen verbeſſerten vnd bißhero getriebnen handwercks kuͤnſten aus heiligen wort gottes vnd vielen andern schrifften monumenten hiſtorien vnd diſcurſen gott dem allmaͤchtigen allerweiſeſten gnaͤdigſten als gebern aller guten handwerckskuͤnſten zu danckbaren lob vnd preis allen kuͤnſtlern vnd handwerckern manns vnd weibsperſonen zu billichem ruhm vnd ehrngedaͤchtnis sonderlich auch etlichen bey gegenwertigen verderblichen laͤufften ſteckenden vnd nothleidenden kuͤnſtlern vnd handwerckern zu wolgemeinten troſt vnd ins gemein jederman zur nuͤtzlichē vnd ergetzlichẽ erinnerung sampt einem regiſter der capiteln nach der vorrede beſchrieben durch m paul kentz leipzig in verlegung des autorisanno c,guldener handwercksboden das ist eine allgemeine wolgegrundte nutzliche und anmutige betrachtung aller und ieden zu nutz nothdurfft und wolfarth auch zierd wolstand und ergetzligkeit des meuschlichen lebens wandels und auff enthalt erfundenen uerbesserten und bisshero getriebnen handwercks kunsten aus heiligen wort gottes und uielen andern schrifften monumenten historien und discursen gott dem allmachtigen allerweisesten gnadigsten als gebern aller guten handwerckskunsten zu danckbaren lob und preis allen kunstlern und handwerckern manns und weibspersonen zu billichem ruhm und ehrngedachtnis sonderlich auch etlichen bey gegenwertigen uerderblichen laufften steckenden und nothleidenden kunstlern und handwerckern zu wolgemeinten trost und ins gemein iederman zur nutzlichen und ergetzlichen erinnerung sampt einem register der capiteln nach der uorrede beschrieben durch m paul kentz leipzig in uerlegung des autorisanno c
kentz_handwerksboden_1629,body,1,0,False,7,Denen Durchlauchtigen/ Hochgebornen/ Fuͤrſten vnd Herren/ Herrn Johann Georgen/ Herrn Auguſten/ Erwehlten vnd Poſtulirten Ertzbiſchoff zu Magdeburg/ Primati in Germanien.,denen durchlauchtigen hochgebornen fuͤrſten vnd herren herrn johann georgen herrn auguſten erwehlten vnd poſtulirten ertzbiſchoff zu magdeburg primati in germanien,denen durchlauchtigen hochgebornen fursten und herren herrn iohann georgen herrn augusten erwehlten und postulirten ertzbischoff zu magdeburg primati in germanien
kentz_handwerksboden_1629,body,1,1,True,7,Herrn Chriſtian/ Herrn Moritzen/ Allen Gebruͤdern/ Hertzogen zu Sachſen/ Guͤlich/ Cleve/ vnd Berg/ Landgrafen in Thuͤrigen/ Marggrafen zu Meiſſen/ Grafen zu der Marck vnd Ravensberg/ Herrn zu Ravenſtein/ ꝛc.,herrn chriſtian herrn moritzen allen gebruͤdern hertzogen zu sachſen guͤlich cleve vnd berg landgrafen in thuͤrigen marggrafen zu meiſſen grafen zu der marck vnd ravensberg herrn zu ravenſtein ꝛc,herrn christian herrn moritzen allen gebrudern hertzogen zu sachsen gulich cleue und berg landgrafen in thurigen marggrafen zu meissen grafen zu der marck und rauensberg herrn zu rauenstein c
kentz_handwerksboden_1629,body,2,0,False,7,DVrchleuchtige/ Hochgeborne/ Gnaͤdige Fuͤrſtē vnd Herren/ wañ die H Goͤttliche Schrifft/ im Buch der Weißheit/ bezeuget/ daß Gott der HErr aller Schoͤne Schoͤpfer/ Meiſter/ vñ Bereiter/ vnd ſolches an ſeinen Wercken zu erkennen ſey/ wil ſie hiermit allerley menſchliches Standes Perſonen in dieſe gegenwertige ſichtbare Welt/ alſo vnd zu dieſem intent einfuriret haben/ daß man bey taͤglicher Genieſſung vnd Gebrauch der ſamptlichen Geſchoͤpffe Gottes ſelbige aus rechten Menſchlichen Verſtand je lenger je nach dencklicher betrachten lernen ſoll.,dvrchleuchtige hochgeborne gnaͤdige fuͤrſtē vnd herren wañ die h goͤttliche schrifft im buch der weißheit bezeuget daß gott der herr aller schoͤne schoͤpfer meiſter vñ bereiter vnd ſolches an ſeinen wercken zu erkennen ſey wil ſie hiermit allerley menſchliches standes perſonen in dieſe gegenwertige ſichtbare welt alſo vnd zu dieſem intent einfuriret haben daß man bey taͤglicher genieſſung vnd gebrauch der ſamptlichen geſchoͤpffe gottes ſelbige aus rechten menſchlichen verſtand je lenger je nach dencklicher betrachten lernen ſoll,durchleuchtige hochgeborne gnadige fursten und herren wann die h gottliche schrifft im buch der weissheit bezeuget dass gott der herr aller schone schopfer meister und bereiter und solches an seinen wercken zu erkennen sey wil sie hiermit allerley menschliches standes personen in diese gegenwertige sichtbare welt also und zu diesem intent einfuriret haben dass man bey taglicher geniessung und gebrauch der samptlichen geschopffe gottes selbige aus rechten menschlichen uerstand ie lenger ie nach dencklicher betrachten lernen soll
kentz_handwerksboden_1629,body,2,1,False,8,"Welches wann es geſchicht/ wird man nach befindung/ auch zugleich bezeugen muͤſſen/ daß ſolche Mundi Fabrica, das iſt/ zubereitung Himmels/ Erden/ vnd aller darin beſchloſſenen Dinge/ eigentlich eine rechte Kunſt Kammer Gottes des HErrn ſey/ darinnen beydes/ als/ Myſteria, viel Geheimnisreiche Dinge/ Gottes Weißheit vnd Allmacht zu erkennen/ vnd auch Miniſteria, viel zur Wolfart nuͤtzliche vnd dienliche dinge ſeind/ Gottes vaͤterliche Lieb vnd Guͤtigkeit zu preiſen.",welches wann es geſchicht wird man nach befindung auch zugleich bezeugen muͤſſen daß ſolche mundi fabrica das iſt zubereitung himmels erden vnd aller darin beſchloſſenen dinge eigentlich eine rechte kunſt kammer gottes des herrn ſey darinnen beydes als myſteria viel geheimnisreiche dinge gottes weißheit vnd allmacht zu erkennen vnd auch miniſteria viel zur wolfart nuͤtzliche vnd dienliche dinge ſeind gottes vaͤterliche lieb vnd guͤtigkeit zu preiſen,welches wann es geschicht wird man nach befindung auch zugleich bezeugen mussen dass solche mundi fabrica das ist zubereitung himmels erden und aller darin beschlossenen dinge eigentlich eine rechte kunst kammer gottes des herrn sey darinnen beydes als mysteria uiel geheimnisreiche dinge gottes weissheit und allmacht zu erkennen und auch ministeria uiel zur wolfart nutzliche und dienliche dinge seind gottes uaterliche lieb und gutigkeit zu preisen
kentz_handwerksboden_1629,body,2,2,True,8,Ob aber nun wol Gottes des HErrn Weißheit weder gruͤndlich erforſchet/ noch auch deſſen Guͤtigkeit gnugſam geruͤhmet werden mag: Jedoch ſo wil dieſes des Menſchen fuͤrnehmſte Gebuͤhr eine ſeyn/ daß er nicht nachlaſſen ſol/ ſolchem nachzudencken/ vnnd in ſolcher Kunſt Kammer GOTtes (welche freylich maximæ conſiderationis iſt) mit rechtem Verſtandt ſich vmbzuſehen.,ob aber nun wol gottes des herrn weißheit weder gruͤndlich erforſchet noch auch deſſen guͤtigkeit gnugſam geruͤhmet werden mag jedoch ſo wil dieſes des menſchen fuͤrnehmſte gebuͤhr eine ſeyn daß er nicht nachlaſſen ſol ſolchem nachzudencken vnnd in ſolcher kunſt kammer gottes welche freylich maximæ conſiderationis iſt mit rechtem verſtandt ſich vmbzuſehen,ob aber nun wol gottes des herrn weissheit weder grundlich erforschet noch auch dessen gutigkeit gnugsam geruhmet werden mag iedoch so wil dieses des menschen furnehmste gebuhr eine seyn dass er nicht nachlassen sol solchem nachzudencken unnd in solcher kunst kammer gottes welche freylich maximae considerationis ist mit rechtem uerstandt sich umbzusehen
kentz_handwerksboden_1629,body,3,0,True,8,"Da jhme denn fuͤrkommen vnd ſich præſentiren werden/ erſtlich/ Naturæ ludentis jucunda ſpectacula, das iſt/ viel liebliche Schawſpiel oder Spielarbeit der Natur/ als welche ohne Menſchen Haͤnde alſo zubereitet: vnd/",da jhme denn fuͤrkommen vnd ſich præſentiren werden erſtlich naturæ ludentis jucunda ſpectacula das iſt viel liebliche schawſpiel oder spielarbeit der natur als welche ohne menſchen haͤnde alſo zubereitet vnd,da ihme denn furkommen und sich praesentiren werden erstlich naturae ludentis iucunda spectacula das ist uiel liebliche schawspiel oder spielarbeit der natur als welche ohne menschen hande also zubereitet und
kentz_handwerksboden_1629,body,4,0,True,8,"Fuͤrs ander/ Artis laborioſæ præclara opera, das iſt/ viel treffliche Werck der arbeitſamen Kunſt/ als welche durch Menſchen Haͤnde außgekuͤnſtelt ſeind.",fuͤrs ander artis laborioſæ præclara opera das iſt viel treffliche werck der arbeitſamen kunſt als welche durch menſchen haͤnde außgekuͤnſtelt ſeind,furs ander artis laboriosae praeclara opera das ist uiel treffliche werck der arbeitsamen kunst als welche durch menschen hande aussgekunstelt seind
kentz_handwerksboden_1629,body,5,0,False,9,Gleich wie aber nun Gott der HErr/ mit dem Wercke der Schoͤpffung fuͤrgehet/ vnd alle ſeine Creaturen fuͤrnehmlich des Menſchen Wolfarth zu guten kommen leſt: Alſo ſollen billich der Menſchen Haͤndewercke vnnd Kuͤnſtlereyen/ auch zu Menſchlichen lebens wolfertigem Gebrauch vnnd Nutzung dienlich vnd behuͤlfflich ſeyn.,gleich wie aber nun gott der herr mit dem wercke der schoͤpffung fuͤrgehet vnd alle ſeine creaturen fuͤrnehmlich des menſchen wolfarth zu guten kommen leſt alſo ſollen billich der menſchen haͤndewercke vnnd kuͤnſtlereyen auch zu menſchlichen lebens wolfertigem gebrauch vnnd nutzung dienlich vnd behuͤlfflich ſeyn,gleich wie aber nun gott der herr mit dem wercke der schopffung furgehet und alle seine creaturen furnehmlich des menschen wolfarth zu guten kommen lest also sollen billich der menschen handewercke unnd kunstlereyen auch zu menschlichen lebens wolfertigem gebrauch unnd nutzung dienlich und behulfflich seyn
kentz_handwerksboden_1629,body,5,1,True,9,Welches weil es Gottes H. Wort/ auch der Menſchliche Wandel des zeitlichen lebens ſelbſten erfodert/ als kan es nicht fuͤr vnnoͤtig geachtet werden/ ſelbiges in etwas gruͤndlichere Betrachtung zu ziehen/ darzu deñ dieſes Wercklein auch gemeinet iſt.,welches weil es gottes h wort auch der menſchliche wandel des zeitlichen lebens ſelbſten erfodert als kan es nicht fuͤr vnnoͤtig geachtet werden ſelbiges in etwas gruͤndlichere betrachtung zu ziehen darzu deñ dieſes wercklein auch gemeinet iſt,welches weil es gottes h wort auch der menschliche wandel des zeitlichen lebens selbsten erfodert als kan es nicht fur unnotig geachtet werden selbiges in etwas grundlichere betrachtung zu ziehen darzu denn dieses wercklein auch gemeinet ist
