doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
510784,body,0,0,True,[1],"Chriſtliche Leichpredigt Vber das Troſtſpruͤchlein des 42. Pſalms. Wie der Hirſch ſchreyet nach friſchen Waſſer/ etc. Bey Chriſtlicher Leichbeſtattung/ Des Ehrnveſten/ Achtbaren vnd Wolgelahrten Herrn M. Godfridi Raſpii, Dialect. Profeſſ. Publ. des kleinern Fuͤrſten Collegii Collegiati, vnd der zeit der loͤblichen Philoſophiſchen Facultet Procancellarii, Welcher in wahrem erkentnis ſeines Erloͤſers Chriſti Jeſu/ im Jahr 1632. den 8. Decembr. fruͤhe nach 3. Vhren ſanfft vnd ſelig entſchlaffen/ vnd folgendes den 10. hujus, Chriſtlicher weiſe zur Erden beſtattet worden/ Gehalten von JOHANNE HÖPNERO, SS. Th. D. Profeſſ. Publ. & ad D. Nicolai Paſtore. Gedruckt zu Leipzig/ bey Gregorio Ritzſchen.",chriſtliche leichpredigt vber das troſtſpruͤchlein des pſalms wie der hirſch ſchreyet nach friſchen waſſer etc bey chriſtlicher leichbeſtattung des ehrnveſten achtbaren vnd wolgelahrten herrn m godfridi raſpii dialect profeſſ publ des kleinern fuͤrſten collegii collegiati vnd der zeit der loͤblichen philoſophiſchen facultet procancellarii welcher in wahrem erkentnis ſeines erloͤſers chriſti jeſu im jahr den decembr fruͤhe nach vhren ſanfft vnd ſelig entſchlaffen vnd folgendes den hujus chriſtlicher weiſe zur erden beſtattet worden gehalten von johanne höpnero ss th d profeſſ publ & ad d nicolai paſtore gedruckt zu leipzig bey gregorio ritzſchen,christliche leichpredigt uber das trostspruchlein des psalms wie der hirsch schreyet nach frischen wasser etc bey christlicher leichbestattung des ehrnuesten achtbaren und wolgelahrten herrn m godfridi raspii dialect profess publ des kleinern fursten collegii collegiati und der zeit der loblichen philosophischen facultet procancellarii welcher in wahrem erkentnis seines erlosers christi iesu im iahr den decembr fruhe nach uhren sanfft und selig entschlaffen und folgendes den huius christlicher weise zur erden bestattet worden gehalten uon iohanne hopnero ss th d profess publ et ad d nicolai pastore gedruckt zu leipzig bey gregorio ritzschen
510784,head,1,0,True,[3],Spruͤchlein aus dem 42. Pſalm.,spruͤchlein aus dem pſalm,spruchlein aus dem psalm
510784,head,2,0,True,[3],Exordium.,exordium,exordium
510784,body,3,0,False,[3],GEliebten vnnd Andaͤchtigen Freunde in Chriſto dem HErrn/ Matthei am 5. Cap. ſpricht der HErr Chriſtus: Selig ſind/ die da hungert vnd duͤrſtet nach der Gerechtigkeit/ denn ſie ſollen ſatt werden.,geliebten vnnd andaͤchtigen freunde in chriſto dem herrn matthei am cap ſpricht der herr chriſtus selig ſind die da hungert vnd duͤrſtet nach der gerechtigkeit denn ſie ſollen ſatt werden,geliebten unnd andachtigen freunde in christo dem herrn matthei am cap spricht der herr christus selig sind die da hungert und durstet nach der gerechtigkeit denn sie sollen satt werden
510784,body,3,1,False,[3],Damit preiſſet der HErr Chriſtus den geiſtlichen Durſt nach der ewigen Seligkeit/ vnd verheiſſet allen Hungerigen vnd Durſtigen/ eine rechte Hertzerquickung in ſeinem Himmelreich/ darnach ſie weder hungern noch duͤrſten ſol ewiglich.,damit preiſſet der herr chriſtus den geiſtlichen durſt nach der ewigen seligkeit vnd verheiſſet allen hungerigen vnd durſtigen eine rechte hertzerquickung in ſeinem himmelreich darnach ſie weder hungern noch duͤrſten ſol ewiglich,damit preisset der herr christus den geistlichen durst nach der ewigen seligkeit und uerheisset allen hungerigen und durstigen eine rechte hertzerquickung in seinem himmelreich darnach sie weder hungern noch dursten sol ewiglich
510784,body,3,2,False,[3],Solche Hungerige vnd Durſtige ſind die Werckheiligen nicht/ denn dieſelbigen ſprechen: Jch bin Reich/ vnd habe gar ſatt/ vnd bedarff nichts/ wie der Sohn Gottes bezeiget/ Apocal. 3. Aber ſie wiſſen nicht/ daß ſie ſind elend vnd jaͤmmerlich/ arm/ blind vnd bloß: Sondern dieſe ſind geiſtlich arm/ hungerig vnd durſtig/ welche jhrer Suͤnden noth fuͤhlen/ ſich fuͤr Gottes Zorn/ vnd fuͤr dem ewigen Verdamnis fuͤrchten/ vnd vom Hertzen wuͤntzſchen vnd begehren/ daß ſie bey Gott zu Gnaden kommen/ vnd dem Helliſchen Fewer entrinnen moͤgen/ das ſind nun Gnadenhungerige vnnd Gnadendurſtige Seelen/ denſelbigen wird in dieſem Pſalmſpruͤchlein reicher Troſt verſprochen/ vnd gezeiget.,solche hungerige vnd durſtige ſind die werckheiligen nicht denn dieſelbigen ſprechen jch bin reich vnd habe gar ſatt vnd bedarff nichts wie der sohn gottes bezeiget apocal aber ſie wiſſen nicht daß ſie ſind elend vnd jaͤmmerlich arm blind vnd bloß sondern dieſe ſind geiſtlich arm hungerig vnd durſtig welche jhrer suͤnden noth fuͤhlen ſich fuͤr gottes zorn vnd fuͤr dem ewigen verdamnis fuͤrchten vnd vom hertzen wuͤntzſchen vnd begehren daß ſie bey gott zu gnaden kommen vnd dem helliſchen fewer entrinnen moͤgen das ſind nun gnadenhungerige vnnd gnadendurſtige seelen denſelbigen wird in dieſem pſalmſpruͤchlein reicher troſt verſprochen vnd gezeiget,solche hungerige und durstige sind die werckheiligen nicht denn dieselbigen sprechen ich bin reich und habe gar satt und bedarff nichts wie der sohn gottes bezeiget apocal aber sie wissen nicht dass sie sind elend und iammerlich arm blind und bloss sondern diese sind geistlich arm hungerig und durstig welche ihrer sunden noth fuhlen sich fur gottes zorn und fur dem ewigen uerdamnis furchten und uom hertzen wuntzschen und begehren dass sie bey gott zu gnaden kommen und dem hellischen fewer entrinnen mogen das sind nun gnadenhungerige unnd gnadendurstige seelen denselbigen wird in diesem psalmspruchlein reicher trost uersprochen und gezeiget
510784,body,3,3,True,[4],Solchen Troſt wollen wir bey dieſer Leichbeſtattung miteinander erwegen/ vnd wollen,solchen troſt wollen wir bey dieſer leichbeſtattung miteinander erwegen vnd wollen,solchen trost wollen wir bey dieser leichbestattung miteinander erwegen und wollen
510784,body,4,0,True,[4],I. betrachten/ was ſolcher Seelendurſt ſey/ vnd wovon er entſtehe.,i betrachten was ſolcher seelendurſt ſey vnd wovon er entſtehe,i betrachten was solcher seelendurst sey und wouon er entstehe
510784,body,5,0,True,[4],Fuͤrs II. wollen wir anhoͤren/ was vns David fuͤr Labetraͤncklein zeige/ vnnd wodurch ſolcher Seelendurſt kan vertrieben/ geleſchet vnd geſtillet werden.,fuͤrs ii wollen wir anhoͤren was vns david fuͤr labetraͤncklein zeige vnnd wodurch ſolcher seelendurſt kan vertrieben geleſchet vnd geſtillet werden,furs ii wollen wir anhoren was uns dauid fur labetrancklein zeige unnd wodurch solcher seelendurst kan uertrieben geleschet und gestillet werden
510784,body,6,0,True,[4],Hiervon mit nutz vnd erbawung zu handeln/ wolle vns Gott der HErr ſeines heiligen Geiſtes Gnade verleyhen/ vmb Chriſti Jeſu willen/ Amen.,hiervon mit nutz vnd erbawung zu handeln wolle vns gott der herr ſeines heiligen geiſtes gnade verleyhen vmb chriſti jeſu willen amen,hieruon mit nutz und erbawung zu handeln wolle uns gott der herr seines heiligen geistes gnade uerleyhen umb christi iesu willen amen
510784,head,7,0,True,[4],De I.,de i,de i
