doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
510783,body,0,0,True,[1],Leichpredigt Vber das Troſtſpruͤchlein S. Pauli zun Philip. am 3. Cap. Vnſer Wandel iſt im Himmel/ ꝛc. Bey Chriſtlicher Leichbeſtattung der Erbaren vnd Ehrentugendſamen Frawen Gertrauden/ Deß Ehrenveſten vnd Wolgeachten Herrn Johann Pabſts/ Buͤrgern vnd Jubilirern allhier/ geweſenen Ehelichen Haußfrawen. Welche den 29. Octob. in Chriſto Jeſu ſelig entſchlaffen/ vnd den folgenden 31. hujus mit Chriſtlichen Ceremonien iſt zur Erden beſtattet worden. Gehalten durch JOHANNEM HÖPNERUM SS. Th. D. Prof. Publ. & ad D. Nicolai Paſtorem. Leipzig/ Gedrucke bey Gregorio Ritzſchen Im Jahr 1632.,leichpredigt vber das troſtſpruͤchlein s pauli zun philip am cap vnſer wandel iſt im himmel ꝛc bey chriſtlicher leichbeſtattung der erbaren vnd ehrentugendſamen frawen gertrauden deß ehrenveſten vnd wolgeachten herrn johann pabſts buͤrgern vnd jubilirern allhier geweſenen ehelichen haußfrawen welche den octob in chriſto jeſu ſelig entſchlaffen vnd den folgenden hujus mit chriſtlichen ceremonien iſt zur erden beſtattet worden gehalten durch johannem höpnerum ss th d prof publ & ad d nicolai paſtorem leipzig gedrucke bey gregorio ritzſchen im jahr,leichpredigt uber das trostspruchlein s pauli zun philip am cap unser wandel ist im himmel c bey christlicher leichbestattung der erbaren und ehrentugendsamen frawen gertrauden dess ehrenuesten und wolgeachten herrn iohann pabsts burgern und iubilirern allhier gewesenen ehelichen haussfrawen welche den octob in christo iesu selig entschlaffen und den folgenden huius mit christlichen ceremonien ist zur erden bestattet worden gehalten durch iohannem hopnerum ss th d prof publ et ad d nicolai pastorem leipzig gedrucke bey gregorio ritzschen im iahr
510783,head,1,0,True,[3],Spruͤchlein S. Pauli zun Philippern am 3. Capitel.,spruͤchlein s pauli zun philippern am capitel,spruchlein s pauli zun philippern am capitel
510783,head,2,0,True,[3],Exordium.,exordium,exordium
510783,body,3,0,False,[3],GEliebte vnnd Andaͤchtige in CHriſto dem HErrn/ was wir taͤglich beten in der 7. Bitte des H. Vater Vnſers/ HErr/ erloͤſe vns von dem Vbel/ das wird vns von GOtt gewaͤhret durch ein ſanfftes ſeliges Simeons Stuͤndlein/ vnd welchem ſolche Erloͤſung in Gnaden wiederfehret/ denſelbigen hat man fuͤr gluͤckſelig zuſchetzen/ zu aller Zeit/ ſonderlich aber zu der Zeit/ wenn GOtt ſeine Kinder mit Landplagen angreiffet vnd heimſuchet/ wie wir jetzt alle 3. Landplagen/ Krieg/ Peſtilentz vnd Thewrung gleichſam fuͤhlen.,geliebte vnnd andaͤchtige in chriſto dem herrn was wir taͤglich beten in der bitte des h vater vnſers herr erloͤſe vns von dem vbel das wird vns von gott gewaͤhret durch ein ſanfftes ſeliges simeons stuͤndlein vnd welchem ſolche erloͤſung in gnaden wiederfehret denſelbigen hat man fuͤr gluͤckſelig zuſchetzen zu aller zeit ſonderlich aber zu der zeit wenn gott ſeine kinder mit landplagen angreiffet vnd heimſuchet wie wir jetzt alle landplagen krieg peſtilentz vnd thewrung gleichſam fuͤhlen,geliebte unnd andachtige in christo dem herrn was wir taglich beten in der bitte des h uater unsers herr erlose uns uon dem ubel das wird uns uon gott gewahret durch ein sanfftes seliges simeons stundlein und welchem solche erlosung in gnaden wiederfehret denselbigen hat man fur gluckselig zuschetzen zu aller zeit sonderlich aber zu der zeit wenn gott seine kinder mit landplagen angreiffet und heimsuchet wie wir ietzt alle landplagen krieg pestilentz und thewrung gleichsam fuhlen
510783,body,3,1,False,[4],Wol allen nu/ die ſich zu einem ſeligen Abſchied gefaſt vnd bereit halten/ Sie thun einen ſeligen Wechſel/ wenn ſie GOTT abfordert/ ſie kommen auß der Vnruhe zur ſtoltzen Ruhe/ ſie kommen auß dem Jammerthal in den Himliſchen Frewden Saal/ ſie werden vollkoͤm̃lich von allem Vbel erloͤſet/ vnd thun einen ſeligen Wechſel/ deſſen ſie ſich in Ewigkeit zu erfrewen haben.,wol allen nu die ſich zu einem ſeligen abſchied gefaſt vnd bereit halten sie thun einen ſeligen wechſel wenn ſie gott abfordert ſie kommen auß der vnruhe zur ſtoltzen ruhe ſie kommen auß dem jammerthal in den himliſchen frewden saal ſie werden vollkoͤm̃lich von allem vbel erloͤſet vnd thun einen ſeligen wechſel deſſen ſie ſich in ewigkeit zu erfrewen haben,wol allen nu die sich zu einem seligen abschied gefast und bereit halten sie thun einen seligen wechsel wenn sie gott abfordert sie kommen auss der unruhe zur stoltzen ruhe sie kommen auss dem iammerthal in den himlischen frewden saal sie werden uollkommlich uon allem ubel erloset und thun einen seligen wechsel dessen sie sich in ewigkeit zu erfrewen haben
510783,body,3,2,True,[4],Solches iſt auch vnſerer im HErrn Chriſto ſeliglich Verſtorbenen Mitſchweſter nach Gottes gnaͤdigen Willen wiederfahren/ denn nachdem ſie vom groſſen Erſchreckniß gantz lagerhafftig worden/ hat ſie ſich zu einer ſeligen Hinfart Chriſtlicher weiſe bereitet/ vnd ſich jhres Wandels oder BuͤrgerRechts im Himmel inniglich getroͤſtet/ vnd weil ſie jhr ſelbſt das abgeleſene Spruͤchlein zum Leichen Text erkoren hat/ wollẽ wir daſſelbe in folgendẽ 2. Puͤnctlein zu dieſem mal erklaͤren.,solches iſt auch vnſerer im herrn chriſto ſeliglich verſtorbenen mitſchweſter nach gottes gnaͤdigen willen wiederfahren denn nachdem ſie vom groſſen erſchreckniß gantz lagerhafftig worden hat ſie ſich zu einer ſeligen hinfart chriſtlicher weiſe bereitet vnd ſich jhres wandels oder buͤrgerrechts im himmel inniglich getroͤſtet vnd weil ſie jhr ſelbſt das abgeleſene spruͤchlein zum leichen text erkoren hat wollẽ wir daſſelbe in folgendẽ puͤnctlein zu dieſem mal erklaͤren,solches ist auch unserer im herrn christo seliglich uerstorbenen mitschwester nach gottes gnadigen willen wiederfahren denn nachdem sie uom grossen erschreckniss gantz lagerhafftig worden hat sie sich zu einer seligen hinfart christlicher weise bereitet und sich ihres wandels oder burgerrechts im himmel inniglich getrostet und weil sie ihr selbst das abgelesene spruchlein zum leichen text erkoren hat wollen wir dasselbe in folgenden punctlein zu diesem mal erklaren
510783,body,4,0,True,[5],Erſtlich wollen wir hoͤren/ wie S. Paulus vns den Chriſtlichen Wandel beſchreibe.,erſtlich wollen wir hoͤren wie s paulus vns den chriſtlichen wandel beſchreibe,erstlich wollen wir horen wie s paulus uns den christlichen wandel beschreibe
510783,body,5,0,False,[5],Fuͤrs 2. wollen wir anzeigen/ was wir von der Belohnung ſolches himliſchen Wandels zugewarten.,fuͤrs wollen wir anzeigen was wir von der belohnung ſolches himliſchen wandels zugewarten,furs wollen wir anzeigen was wir uon der belohnung solches himlischen wandels zugewarten
510783,body,5,1,True,[5],Von dieſen beyden Puncten/ vnd was wir darauß fuͤr Lehren/ Troſt vnd Erinnerung zu behalten haben/ ſol auff dißmal kurtzer vnd einfaͤltiger Bericht gethan werden.,von dieſen beyden puncten vnd was wir darauß fuͤr lehren troſt vnd erinnerung zu behalten haben ſol auff dißmal kurtzer vnd einfaͤltiger bericht gethan werden,uon diesen beyden puncten und was wir darauss fur lehren trost und erinnerung zu behalten haben sol auff dissmal kurtzer und einfaltiger bericht gethan werden
510783,body,6,0,True,[5],Hierzu wolle vns GOtt der Herr ſeines Heiligen Geiſtes Gnade mildiglich verleihen/ vmb Chriſti Jeſu willen/ Amen.,hierzu wolle vns gott der herr ſeines heiligen geiſtes gnade mildiglich verleihen vmb chriſti jeſu willen amen,hierzu wolle uns gott der herr seines heiligen geistes gnade mildiglich uerleihen umb christi iesu willen amen
