doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
523762,head,0,0,True,[1],Chꝛiſtliche Leichpredigt/ Von Vnverhofften/ klaͤglichen Zůfaͤlen frommer vnd dapfferer Leuthen: Gehalten den 6. Febr. An. 1633. in dem Muͤnſter zu Baſel; Bey anſehenlicher vnd Volckreicher Beſtattung/ deren Woledlen vnd Geſtrengen Junckeren/ Hartman von Erlach/ Koͤn. Maj. vnd der Kron Schweden wol beſtellten Oberſten Leutenant: So dann/ Burckard von Erlach/ des Woledlen vnd Geſtrengen/ Burckard von Erlach/ Ritteren/ Fuͤrſtlichen Anhaltiſchen Rahts/ vnd Marſchalcken/ ꝛc. Erbſaſſen zu Altenburg/ ꝛc. geweſenen ehelichen Sohns: Welche newlich zu Pfirdt/ Oeſterꝛeichiſcher Landſchaft/ in Baͤwriſcher empoͤrung ſind erſchlagen woꝛden: Auff der traurenden/ vnd anderer gůthertzigen Leuthen begeren/ in den Truck gegeben/ Durch Theoder Zwinger/ H. Schꝛifft Doctorem. Getruckt zu Baſel/ durch Martin Wagner.,chꝛiſtliche leichpredigt von vnverhofften klaͤglichen zůfaͤlen frommer vnd dapfferer leuthen gehalten den febr an in dem muͤnſter zu baſel bey anſehenlicher vnd volckreicher beſtattung deren woledlen vnd geſtrengen junckeren hartman von erlach koͤn maj vnd der kron schweden wol beſtellten oberſten leutenant so dann burckard von erlach des woledlen vnd geſtrengen burckard von erlach ritteren fuͤrſtlichen anhaltiſchen rahts vnd marſchalcken ꝛc erbſaſſen zu altenburg ꝛc geweſenen ehelichen sohns welche newlich zu pfirdt oeſterꝛeichiſcher landſchaft in baͤwriſcher empoͤrung ſind erſchlagen woꝛden auff der traurenden vnd anderer gůthertzigen leuthen begeren in den truck gegeben durch theoder zwinger h schꝛifft doctorem getruckt zu baſel durch martin wagner,chistliche leichpredigt uon unuerhofften klaglichen zufalen frommer und dapfferer leuthen gehalten den febr an in dem munster zu basel bey ansehenlicher und uolckreicher bestattung deren woledlen und gestrengen iunckeren hartman uon erlach kon mai und der kron schweden wol bestellten obersten leutenant so dann burckard uon erlach des woledlen und gestrengen burckard uon erlach ritteren furstlichen anhaltischen rahts und marschalcken c erbsassen zu altenburg c gewesenen ehelichen sohns welche newlich zu pfirdt oestereichischer landschaft in bawrischer emporung sind erschlagen woden auff der traurenden und anderer guthertzigen leuthen begeren in den truck gegeben durch theoder zwinger h schifft doctorem getruckt zu basel durch martin wagner
523762,head,1,0,True,3,Text.,text,text
523762,head,2,0,True,5,Predigt.,predigt,predigt
523762,body,3,0,True,5,GEliebte in Chꝛiſto Jeſu vnſerem Herꝛen: Es hat vns der allmaͤchtige Gott/ nach ſeinem vnwandelbaren Rahtſchluß/ allhie in dieſem Traurhauß beyſam̃en verſam̃let/ damit wir denen zween Adelichen Maͤnneren/ welche wir hiehar in dieſe Oberſte Pfarꝛkyrchen zu jhrem Ruhbethlin begleitet haben; benantlichen/ dem Woledlen vnd Geſtrengen Junckeren/ Hartman von Erlach/ Koͤniglicher Majſt. vnd der Kron Schweden wol beſteltem Oberſten-Leutenant: So dann/ dem auch Woledlen vnd Geſtrengen Juͤngling/ Burckhard von Erlach/ des Woledlen vnd Geſtrengen/ Burckhard von Erlach/ Rittern/ Fuͤrſtlichen Anhaltiſchen Rahts vnd Marſchalcken/ ꝛc. Erbſaſſen auff Altenburg/ ꝛc. geweſenem ehelichẽ Sohn/ (welche kurtz verwichener tagẽ in Baͤwriſcher empoͤrung vnd auff-lauff/ zu Pfirdt in dem Schloß/ Oeſterꝛeichiſcher Landſchafft/ wider zůgeſagte trew vñ glaubẽ/ gantz erbaͤrmdlich vnd moͤꝛderiſcher weiſe ſind erſchlagen woꝛden) die letſte ehre Chꝛiſtlichem gebrauch nach/ erzeigen; auch zugleich auß Gottes woꝛt mit einander betrachten/ was da dienet bevoꝛderſt zur ehre Gottes/ demnach zum Troſt der betruͤbtẽ/ vnd endtlich zu vnſer aller erbawung.,geliebte in chꝛiſto jeſu vnſerem herꝛen es hat vns der allmaͤchtige gott nach ſeinem vnwandelbaren rahtſchluß allhie in dieſem traurhauß beyſam̃en verſam̃let damit wir denen zween adelichen maͤnneren welche wir hiehar in dieſe oberſte pfarꝛkyrchen zu jhrem ruhbethlin begleitet haben benantlichen dem woledlen vnd geſtrengen junckeren hartman von erlach koͤniglicher majſt vnd der kron schweden wol beſteltem oberſtenleutenant so dann dem auch woledlen vnd geſtrengen juͤngling burckhard von erlach des woledlen vnd geſtrengen burckhard von erlach rittern fuͤrſtlichen anhaltiſchen rahts vnd marſchalcken ꝛc erbſaſſen auff altenburg ꝛc geweſenem ehelichẽ sohn welche kurtz verwichener tagẽ in baͤwriſcher empoͤrung vnd aufflauff zu pfirdt in dem schloß oeſterꝛeichiſcher landſchafft wider zůgeſagte trew vñ glaubẽ gantz erbaͤrmdlich vnd moͤꝛderiſcher weiſe ſind erſchlagen woꝛden die letſte ehre chꝛiſtlichem gebrauch nach erzeigen auch zugleich auß gottes woꝛt mit einander betrachten was da dienet bevoꝛderſt zur ehre gottes demnach zum troſt der betruͤbtẽ vnd endtlich zu vnſer aller erbawung,geliebte in chisto iesu unserem heren es hat uns der allmachtige gott nach seinem unwandelbaren rahtschluss allhie in diesem traurhauss beysammen uersammlet damit wir denen zween adelichen manneren welche wir hiehar in diese oberste pfarkyrchen zu ihrem ruhbethlin begleitet haben benantlichen dem woledlen und gestrengen iunckeren hartman uon erlach koniglicher maist und der kron schweden wol besteltem oberstenleutenant so dann dem auch woledlen und gestrengen iungling burckhard uon erlach des woledlen und gestrengen burckhard uon erlach rittern furstlichen anhaltischen rahts und marschalcken c erbsassen auff altenburg c gewesenem ehelichen sohn welche kurtz uerwichener tagen in bawrischer emporung und aufflauff zu pfirdt in dem schloss oestereichischer landschafft wider zugesagte trew und glauben gantz erbarmdlich und moderischer weise sind erschlagen woden die letste ehre chistlichem gebrauch nach erzeigen auch zugleich auss gottes wot mit einander betrachten was da dienet beuoderst zur ehre gottes demnach zum trost der betrubten und endtlich zu unser aller erbawung
523762,body,4,0,True,5,Was koͤndte aber anſtendigers vnd nutzlichers dieſer anſehenlichen heiligen Gemeinde fuͤr gehalten werden/ dann eben dieſer jetzt verlaͤſene Text/ in welchem der blůtige tod Abners/ des Feldoberſten in Jſrael/ ſampt der darauff erfolgten klage Davids/ vnd des gantzen Volcks beſchrieben wirdt?,was koͤndte aber anſtendigers vnd nutzlichers dieſer anſehenlichen heiligen gemeinde fuͤr gehalten werden dann eben dieſer jetzt verlaͤſene text in welchem der blůtige tod abners des feldoberſten in jſrael ſampt der darauff erfolgten klage davids vnd des gantzen volcks beſchrieben wirdt,was kondte aber anstendigers und nutzlichers dieser ansehenlichen heiligen gemeinde fur gehalten werden dann eben dieser ietzt uerlasene text in welchem der blutige tod abners des feldobersten in israel sampt der darauff erfolgten klage dauids und des gantzen uolcks beschrieben wirdt
523762,body,5,0,False,6,Recht ſagt der weiſe Koͤnig Salomon; Es geſchehe nichts newes vnder der Sonnen.,recht ſagt der weiſe koͤnig salomon es geſchehe nichts newes vnder der sonnen,recht sagt der weise konig salomon es geschehe nichts newes under der sonnen
523762,body,5,1,False,6,Dann was heut geſchicht/ vnd hernaher geſchehen wirdt/ das iſt auch zuvoꝛ geſchehen in den vorigen zeiten/ die voꝛ vns geweſen ſind.,dann was heut geſchicht vnd hernaher geſchehen wirdt das iſt auch zuvoꝛ geſchehen in den vorigen zeiten die voꝛ vns geweſen ſind,dann was heut geschicht und hernaher geschehen wirdt das ist auch zuuo geschehen in den uorigen zeiten die uo uns gewesen sind
523762,body,5,2,True,6,Wann dann nun heut vñ alle tage vns traurige Zůfaͤle begegnen/ iſt nichts beſſers/ dann daß wir zu ruck gehen/ vnd in Gottes woꝛt auff-ſchlagen die vorigen Exempel anderer leuthen/ denen gleiches widerfahren.,wann dann nun heut vñ alle tage vns traurige zůfaͤle begegnen iſt nichts beſſers dann daß wir zu ruck gehen vnd in gottes woꝛt auffſchlagen die vorigen exempel anderer leuthen denen gleiches widerfahren,wann dann nun heut und alle tage uns traurige zufale begegnen ist nichts bessers dann dass wir zu ruck gehen und in gottes wot auffschlagen die uorigen exempel anderer leuthen denen gleiches widerfahren
523762,body,6,0,True,6,Vnd weil dañ nun in jetzt verlaͤſener Hiſtory ein trauriges Exempel eines klaͤglichen Vnfals an Abner/ dem Feldoberſten/ vns fuͤrgeſtellet wirt/ gedenck ich davon/ vermittelſt Goͤttlicher gnaden/ dergeſtalten zu reden/ daß wir von folgenden zweyen ſtucken ſollen berichtet werden.,vnd weil dañ nun in jetzt verlaͤſener hiſtory ein trauriges exempel eines klaͤglichen vnfals an abner dem feldoberſten vns fuͤrgeſtellet wirt gedenck ich davon vermittelſt goͤttlicher gnaden dergeſtalten zu reden daß wir von folgenden zweyen ſtucken ſollen berichtet werden,und weil dann nun in ietzt uerlasener history ein trauriges exempel eines klaglichen unfals an abner dem feldobersten uns furgestellet wirt gedenck ich dauon uermittelst gottlicher gnaden dergestalten zu reden dass wir uon folgenden zweyen stucken sollen berichtet werden
523762,body,7,0,True,6,I. Fuͤr das erſte; Von vnverhofften traurigen Zůfaͤlen/ durch welche offtmals fromme vnd dapffere Leuthe auß dieſer Welt abgeforderet werden.,i fuͤr das erſte von vnverhofften traurigen zůfaͤlen durch welche offtmals fromme vnd dapffere leuthe auß dieſer welt abgeforderet werden,i fur das erste uon unuerhofften traurigen zufalen durch welche offtmals fromme und dapffere leuthe auss dieser welt abgeforderet werden
