doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
meyfart_rhetorica_1634,body,0,0,True,5,Teutſche Rhetorica/ Oder Redekunſt/ Darinnen von aller Zugehoͤr/ Natur vnd Eygenſchafft der Wohlredenheit gehandelt/ Auch Wie dieſelbe in vnſere teutſche Mutterſprach fuͤglichen zubringen: Vnd Bey allerhand Geiſt-Weltlich vnd Militariſchen Verꝛichtungen/ ſo wol in gebunden-als vngebundener Rede zierlichen zugebrauchen ſey/ nach anleitung der beruͤhmteſten Redener/ in zweyen Buͤchern gezeiget wird Von JOHANNE MATTHÆO MEY farto. der H. Schrifft D. vnd dieſer Zeit Profeſſore der loͤblichen Univerſitet zu Erffurt. Gedruckt zu Coburg in der Fuͤrſtl. Druckerey durch Johann Forckel/ in Verlegung Friderich Gruners Buchhaͤndlers daſelbſten. Anno M DC XXXIV.,teutſche rhetorica oder redekunſt darinnen von aller zugehoͤr natur vnd eygenſchafft der wohlredenheit gehandelt auch wie dieſelbe in vnſere teutſche mutterſprach fuͤglichen zubringen vnd bey allerhand geiſtweltlich vnd militariſchen verꝛichtungen ſo wol in gebundenals vngebundener rede zierlichen zugebrauchen ſey nach anleitung der beruͤhmteſten redener in zweyen buͤchern gezeiget wird von johanne matthæo mey farto der h schrifft d vnd dieſer zeit profeſſore der loͤblichen univerſitet zu erffurt gedruckt zu coburg in der fuͤrſtl druckerey durch johann forckel in verlegung friderich gruners buchhaͤndlers daſelbſten anno m dc xxxiv,teutsche rhetorica oder redekunst darinnen uon aller zugehor natur und eygenschafft der wohlredenheit gehandelt auch wie dieselbe in unsere teutsche muttersprach fuglichen zubringen und bey allerhand geistweltlich und militarischen uerichtungen so wol in gebundenals ungebundener rede zierlichen zugebrauchen sey nach anleitung der beruhmtesten redener in zweyen buchern gezeiget wird uon iohanne matthaeo mey farto der h schrifft d und dieser zeit professore der loblichen uniuersitet zu erffurt gedruckt zu coburg in der furstl druckerey durch iohann forckel in uerlegung friderich gruners buchhandlers daselbsten anno m dc xxxiu
meyfart_rhetorica_1634,body,1,0,False,7,Deſz Edlen/ Ehrenveſten/ Groſz Achtbarn vnd Hochgelahrten Herꝛn/ ERNESTI FO MANNI der Rechten Doctoris/ Fuͤrſtl.,deſz edlen ehrenveſten groſz achtbarn vnd hochgelahrten herꝛn ernesti fo manni der rechten doctoris fuͤrſtl,desz edlen ehrenuesten grosz achtbarn und hochgelahrten hern ernesti fo manni der rechten doctoris furstl
meyfart_rhetorica_1634,body,1,1,True,7,Saͤchſ. vornehmen geheimbten Rahts vnd Cantzlars zu Coburg/ Meines großguͤnſtigen Herꝛn vnd maͤchtigen Patronen/ vielgeliebren Soͤhnen: Herꝛn,saͤchſ vornehmen geheimbten rahts vnd cantzlars zu coburg meines großguͤnſtigen herꝛn vnd maͤchtigen patronen vielgeliebren soͤhnen herꝛn,sachs uornehmen geheimbten rahts und cantzlars zu coburg meines grossgunstigen hern und machtigen patronen uielgeliebren sohnen hern
meyfart_rhetorica_1634,item,3,0,True,7,"JOHANNI CHRISTIANO, MEdicinæ Studioſo.",johanni christiano medicinæ studioſo,iohanni christiano medicinae studioso
meyfart_rhetorica_1634,body,4,0,True,7,JOHANNI ERNESTO JOHANNI JACOBOPhiloſophic Studioſis.,johanni ernesto johanni jacobophiloſophic studioſis,iohanni ernesto iohanni iacobophilosophic studiosis
meyfart_rhetorica_1634,body,5,0,True,7,Meinen allerſeits guͤnſtigen Herꝛen vnd guten Freunden.,meinen allerſeits guͤnſtigen herꝛen vnd guten freunden,meinen allerseits gunstigen heren und guten freunden
meyfart_rhetorica_1634,body,6,0,False,8,GVnſtige liebe Herꝛen/ ſo offt ich die luſtigen Geſchichte vnſerer Vorfahren/ der tapffern vnd vnvberwindlichen Teutſchen widerhole/ beduͤncket mich/ was maſſen mein Gemuͤht aus veꝛwunderung nicht nuͤr entzucket/ ſondern mit einer gleichſam heiligen Furcht bey nahe gantz vmbgeben werde.,gvnſtige liebe herꝛen ſo offt ich die luſtigen geſchichte vnſerer vorfahren der tapffern vnd vnvberwindlichen teutſchen widerhole beduͤncket mich was maſſen mein gemuͤht aus veꝛwunderung nicht nuͤr entzucket ſondern mit einer gleichſam heiligen furcht bey nahe gantz vmbgeben werde,gunstige liebe heren so offt ich die lustigen geschichte unserer uorfahren der tapffern und unuberwindlichen teutschen widerhole beduncket mich was massen mein gemuht aus uewunderung nicht nur entzucket sondern mit einer gleichsam heiligen furcht bey nahe gantz umbgeben werde
meyfart_rhetorica_1634,body,6,1,False,8,Dañ auch nur die bloſſe Gedaͤchtnuſſe einer ſo Goͤttlichen tugend/ vnd ſo heroiſcheꝛ thaten dieſes freyen vnd tapffern Volcks/ kan nichts dann verwunderung/ ja Ehreꝛbietung/ bey teutſchen Heꝛtzen erꝛegen vnd zuwegen bringen.,dañ auch nur die bloſſe gedaͤchtnuſſe einer ſo goͤttlichen tugend vnd ſo heroiſcheꝛ thaten dieſes freyen vnd tapffern volcks kan nichts dann verwunderung ja ehreꝛbietung bey teutſchen heꝛtzen erꝛegen vnd zuwegen bringen,dann auch nur die blosse gedachtnusse einer so gottlichen tugend und so heroische thaten dieses freyen und tapffern uolcks kan nichts dann uerwunderung ia ehrebietung bey teutschen hetzen eregen und zuwegen bringen
meyfart_rhetorica_1634,body,6,2,False,8,Den Roͤmern/ welche mit Krieg vnd Sieg die gantze welt erfuͤllet/ hat dieſes Volck einig vnd allein mit vneꝛſchꝛockenem Muht widerſtanden: vnd nachdem Rom/ die Koͤnigin aller Welt/ vnd Siegerin ſo viel vnzehlicher Voͤlcker alles hatte vnter das Joch Knechtiſcher Dienſtbarkeit gezwungen: Hat es doch den vnerſchrockenen Heldenmuht vnſerer Teutſchen/ durch keine Gewalt gewinnen koͤnnen.,den roͤmern welche mit krieg vnd sieg die gantze welt erfuͤllet hat dieſes volck einig vnd allein mit vneꝛſchꝛockenem muht widerſtanden vnd nachdem rom die koͤnigin aller welt vnd siegerin ſo viel vnzehlicher voͤlcker alles hatte vnter das joch knechtiſcher dienſtbarkeit gezwungen hat es doch den vnerſchrockenen heldenmuht vnſerer teutſchen durch keine gewalt gewinnen koͤnnen,den romern welche mit krieg und sieg die gantze welt erfullet hat dieses uolck einig und allein mit uneschockenem muht widerstanden und nachdem rom die konigin aller welt und siegerin so uiel unzehlicher uolcker alles hatte unter das ioch knechtischer dienstbarkeit gezwungen hat es doch den unerschrockenen heldenmuht unserer teutschen durch keine gewalt gewinnen konnen
meyfart_rhetorica_1634,body,6,3,False,9,Denn es hielten dieſe tewre Helden dafuͤr/ es koͤnte die Freyheit jhres Vatterlandes/ durch keiner Mawren vnd Staͤdte Hoheit/ am beſten aber mit der Vorburg eines tapffern vnd heroiſchen Hertzen vertheitiget werden: Offtermals ſtritten ſie wider jhre Feind mit der Staͤrcke jhrer Leiber vnd Gliedmaſſen/ offter aber mit einer vnvberwindlichen Großmutigkeit/ vermittels welcher ſie den Sieg im Felde erlangeten.,denn es hielten dieſe tewre helden dafuͤr es koͤnte die freyheit jhres vatterlandes durch keiner mawren vnd staͤdte hoheit am beſten aber mit der vorburg eines tapffern vnd heroiſchen hertzen vertheitiget werden offtermals ſtritten ſie wider jhre feind mit der staͤrcke jhrer leiber vnd gliedmaſſen offter aber mit einer vnvberwindlichen großmutigkeit vermittels welcher ſie den sieg im felde erlangeten,denn es hielten diese tewre helden dafur es konte die freyheit ihres uatterlandes durch keiner mawren und stadte hoheit am besten aber mit der uorburg eines tapffern und heroischen hertzen uertheitiget werden offtermals stritten sie wider ihre feind mit der starcke ihrer leiber und gliedmassen offter aber mit einer unuberwindlichen grossmutigkeit uermittels welcher sie den sieg im felde erlangeten
