doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
schwendendoerffer_andaechtige_1637,body,0,0,True,[1],Annen Marien Gebornen Schwendendörfferin Andächtige Hertzens-Seufftzer/ Durch die gantze Bibel außgezeichnet. Nebenſt andern andächtigen Gebetlein vnd Chriſtlichen Liedern/ zu jhrer täglichen Vbung wahrer Gottesfurcht/ in ein ſchmeidiges Büchlein züſammen bracht. Leipzig/ Gedruckt bey Gregorio Ritzſch/ Im Jahr 1637.,annen marien gebornen schwendendörfferin andächtige hertzensseufftzer durch die gantze bibel außgezeichnet nebenſt andern andächtigen gebetlein vnd chriſtlichen liedern zu jhrer täglichen vbung wahrer gottesfurcht in ein ſchmeidiges büchlein züſammen bracht leipzig gedruckt bey gregorio ritzſch im jahr,annen marien gebornen schwendendorfferin andachtige hertzensseufftzer durch die gantze bibel aussgezeichnet nebenst andern andachtigen gebetlein und christlichen liedern zu ihrer taglichen ubung wahrer gottesfurcht in ein schmeidiges buchlein zusammen bracht leipzig gedruckt bey gregorio ritzsch im iahr
schwendendoerffer_andaechtige_1637,body,1,0,False,[3],Dem Edlen/ Ehrenveſten/ Groß Achtbarn vnd Hochweiſen Herꝛn Leonhardt Schwendendörffern/ Churf. Durchl. zu Sachſ.,dem edlen ehrenveſten groß achtbarn vnd hochweiſen herꝛn leonhardt schwendendörffern churf durchl zu sachſ,dem edlen ehrenuesten gross achtbarn und hochweisen hern leonhardt schwendendorffern churf durchl zu sachs
schwendendoerffer_andaechtige_1637,body,1,1,True,[3],Wohlverordneten Rath/ auch des Raths Wohlverordneten Baw Meiſtern zu Leipzig/ wie ingleichen der Kirchen zu S. Niclas daſelbſten Vorſtehern/ ꝛc. Als Weinem hertzlieben Herꝛn Vater in Kindlicher Einfalt/ Lieb vnd Trew vbergeben vnd zugeſchrieben.,wohlverordneten rath auch des raths wohlverordneten baw meiſtern zu leipzig wie ingleichen der kirchen zu s niclas daſelbſten vorſtehern ꝛc als weinem hertzlieben herꝛn vater in kindlicher einfalt lieb vnd trew vbergeben vnd zugeſchrieben,wohluerordneten rath auch des raths wohluerordneten baw meistern zu leipzig wie ingleichen der kirchen zu s niclas daselbsten uorstehern c als weinem hertzlieben hern uater in kindlicher einfalt lieb und trew ubergeben und zugeschrieben
schwendendoerffer_andaechtige_1637,head,2,0,True,[4],An den guthertzigen Leſer.,an den guthertzigen leſer,an den guthertzigen leser
schwendendoerffer_andaechtige_1637,body,3,0,True,[4],SO dir/ O Leſer guthertzig/,so dir o leſer guthertzig,so dir o leser guthertzig
schwendendoerffer_andaechtige_1637,body,4,0,True,[4],Diß Büchlein auch beliebet/,diß büchlein auch beliebet,diss buchlein auch beliebet
schwendendoerffer_andaechtige_1637,body,5,0,True,[4],Der/ welche nicht geringſchätzig,der welche nicht geringſchätzig,der welche nicht geringschatzig
schwendendoerffer_andaechtige_1637,body,6,0,True,[4],Hielt Gottes Wort vnd vbet/,hielt gottes wort vnd vbet,hielt gottes wort und ubet
schwendendoerffer_andaechtige_1637,body,7,0,True,[4],Für jhren Schatz es achten thet/,für jhren schatz es achten thet,fur ihren schatz es achten thet
schwendendoerffer_andaechtige_1637,body,8,0,True,[4],Solchs auch vor jhrem Ende/,solchs auch vor jhrem ende,solchs auch uor ihrem ende
schwendendoerffer_andaechtige_1637,body,9,0,True,[4],Wie es allhie verfaſſet ſteht/,wie es allhie verfaſſet ſteht,wie es allhie uerfasset steht
schwendendoerffer_andaechtige_1637,body,10,0,True,[4],Durch jhre fleiſſign Hände,durch jhre fleiſſign hände,durch ihre fleissign hande
schwendendoerffer_andaechtige_1637,body,11,0,True,[4],Beſchrieben/ vnd zum Druck/ ſo viel,beſchrieben vnd zum druck ſo viel,beschrieben und zum druck so uiel
schwendendoerffer_andaechtige_1637,body,12,0,True,[4],Ihr Sprüch ſie hat erweblet/,ihr sprüch ſie hat erweblet,ihr spruch sie hat erweblet
schwendendoerffer_andaechtige_1637,body,13,0,True,[4],Befördert/ ſie dirs gönnen wil:,befördert ſie dirs gönnen wil,befordert sie dirs gonnen wil
schwendendoerffer_andaechtige_1637,body,14,0,True,[4],Doch kürtzlich dir erzehlet/,doch kürtzlich dir erzehlet,doch kurtzlich dir erzehlet
