doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
389840,body,0,0,True,[1],"Moſaicum de Rahele Teſtimonium Guttarum Conſolatoriarum Stillicidium Das iſt Geiſtliche Troſtröpfflein gefloͤſſet Auß der Moſaiſchen Hiſtorien von Rahel Jn deſſen 1. Buch im 35. Cap: Auff das Schmertzlich betruͤbte Hertz Des Ehrenveſten vnd Wohlbenambten Herꝛen Bartholomæi Reimmanni, Wolverordneten Sawermanniſchen Amptmannes der Guͤtter Stein v. Stertzendorff; Beklagendt den Fruͤhzeitigen Abgang ſeiner Hertzgeliebten Ehefrawen der Weilandt Erbaren an Ehren vnd Tugendtwolreichen Fr: Mariæ geborner Benkin, welche den 19 April: An. 1638. in jhrem Kindelbette ſanfft vnd ſeelig entſchlaffen/ vnd den 25. deß/ in der Adelichen Dreſkiſchen Grufft zu Steinerdorff beygeſetzet worden Bey derſelben Chriſtlichen Sepultur in einer kurtzen Leich Sermon vorgetragen/ durch Christophorum Albinum Monſterberg: Dienern am Worte Gottes in Nambßlaw. Gedruckt zur Olſſe.",moſaicum de rahele teſtimonium guttarum conſolatoriarum stillicidium das iſt geiſtliche troſtröpfflein gefloͤſſet auß der moſaiſchen hiſtorien von rahel jn deſſen buch im cap auff das schmertzlich betruͤbte hertz des ehrenveſten vnd wohlbenambten herꝛen bartholomæi reimmanni wolverordneten sawermanniſchen amptmannes der guͤtter stein v stertzendorff beklagendt den fruͤhzeitigen abgang ſeiner hertzgeliebten ehefrawen der weilandt erbaren an ehren vnd tugendtwolreichen fr mariæ geborner benkin welche den april an in jhrem kindelbette ſanfft vnd ſeelig entſchlaffen vnd den deß in der adelichen dreſkiſchen grufft zu steinerdorff beygeſetzet worden bey derſelben chriſtlichen sepultur in einer kurtzen leich sermon vorgetragen durch christophorum albinum monſterberg dienern am worte gottes in nambßlaw gedruckt zur olſſe,mosaicum de rahele testimonium guttarum consolatoriarum stillicidium das ist geistliche trostropfflein geflosset auss der mosaischen historien uon rahel in dessen buch im cap auff das schmertzlich betrubte hertz des ehrenuesten und wohlbenambten heren bartholomaei reimmanni woluerordneten sawermannischen amptmannes der gutter stein u stertzendorff beklagendt den fruhzeitigen abgang seiner hertzgeliebten ehefrawen der weilandt erbaren an ehren und tugendtwolreichen fr mariae geborner benkin welche den april an in ihrem kindelbette sanfft und seelig entschlaffen und den dess in der adelichen dreskischen grufft zu steinerdorff beygesetzet worden bey derselben christlichen sepultur in einer kurtzen leich sermon uorgetragen durch christophorum albinum monsterberg dienern am worte gottes in nambsslaw gedruckt zur olsse
389840,item,1,0,False,[3],IN,in,in
389840,body,1,1,True,[3],NOMINE JESU. Gott der Vater alles Troſtes wohne durch ſeinen H. Geiſt/ als den Hoͤchſten vnd beſten Troͤſter in aller Noth/ bey allen betruͤbten vnd Leydetragenden hertzen/ in Chriſto JEſu vnſerm HERREN/ Amen.,nomine jesu gott der vater alles troſtes wohne durch ſeinen h geiſt als den hoͤchſten vnd beſten troͤſter in aller noth bey allen betruͤbten vnd leydetragenden hertzen in chriſto jeſu vnſerm herren amen,nomine iesu gott der uater alles trostes wohne durch seinen h geist als den hochsten und besten troster in aller noth bey allen betrubten und leydetragenden hertzen in christo iesu unserm herren amen
389840,body,2,0,False,[3],"ANdaͤchtige/ alleſampt geliebte/ auch theils betruͤbte im HErꝛen/ Nach dem Koͤnig David in ſeinem wehrenden Exilio vnd Flucht vor Saul/ hin vnd wider ſich auffgehalten hatte/ kam er entlich auch in der Philiſter Land zum Koͤnige Achis, der nahm jhn zuſampt ſeinen 600 Maͤnnern ſo ſich zu jhm geſchlagen hatten auff/ vnd reumet jhm die Stadt Ziklag ein zur wohnung: Nachmals als die Philiſter jhr Heër verſamleten in Streitt zuziehen wieder Jſraël/ befahl der Koͤnig Achis dem David das er zuſampt ſeinen bey ſich habenden Maͤnnern mit ins Heër außziehen ſolte/ welches denn David nicht außſchlug/ ſondern Zog auff begehren des Koͤniges mit ſeinem Volck inn Krieg: Vnter deſſen fielen die Amalekiter Davids abgeſagte Feinde zu Ziklag ein/ verbrandtẽ die Stadt mit Fewer/ raubeten alles was ſie funden/ vnd fuͤhreten auch alle Weiber darauß mit ſich gefangen hinweg: Weil aber die Fuͤrſten der Philiſter nicht wolten das David mit ſeinen Maͤnnern nebenſt jhnen in Streitt ziehen ſolte/ weil ſie ſich etwa einer Verꝛaͤhterey von jhnen befahreten/ hieß Achis David vnd ſein Volck wieder zu ruͤck ſich begeben: Als ſie nu wiederumb gehn Ziklag kamen/ vnd befunden das nicht allein jhr Haab vnd Gutt geraubet/ ſondern das auch die Kluge vnd Tugentſame Abigail, Davids Weib/ zuſampt allen andern Weibern gefangen weg gefuͤhret waren/ entſtund bey David vñ ſeinen Maͤñern ein ſolch Hertzen leidt/ Jammer vnd Weheklagen/ daß/ wie der Text daſelbſt berichtet/ ſie jhre Stimme erhaben/ vnd dermaſſen geweinet/ biß ſie nicht mehr haben weinen koͤnnen/ wie hiervon zuleſen im 1. Sam: 30. C. Auß dieſer trawrigen Hiſtoria iſt abzunehmen/ was fuͤr ein Hochſchmertzliches vnd faſt vnaußſprechliches Weh vnd Hertzenleidt es ſein muͤſſe/ wann Gott der HERR dem Feinde Menſchliches Lebens dem Tode zuleſſet/ das er in eines fromen Ehrliebenden Mannes Hauß einfellet/ vnd jhm ſeinen liebſten Eheſchatz ploͤtzlich vnd vnverſehens hinreiſſet/ vnd auß den Augen weg fuͤhret/ denn weil der H. Geiſt Syr: 26. einen Mann Gluͤckſelig preiſet/ der ein Tugendtſam Weib hat/ iſt leicht zu erachten/ welch ein Vngluͤckſeliger Mann dieſer ſein muß/ der eines ſolchen Schatzes beraubet wirdt: O des groſſen verluſts!",andaͤchtige alleſampt geliebte auch theils betruͤbte im herꝛen nach dem koͤnig david in ſeinem wehrenden exilio vnd flucht vor saul hin vnd wider ſich auffgehalten hatte kam er entlich auch in der philiſter land zum koͤnige achis der nahm jhn zuſampt ſeinen maͤnnern ſo ſich zu jhm geſchlagen hatten auff vnd reumet jhm die stadt ziklag ein zur wohnung nachmals als die philiſter jhr heër verſamleten in streitt zuziehen wieder jſraël befahl der koͤnig achis dem david das er zuſampt ſeinen bey ſich habenden maͤnnern mit ins heër außziehen ſolte welches denn david nicht außſchlug ſondern zog auff begehren des koͤniges mit ſeinem volck inn krieg vnter deſſen fielen die amalekiter davids abgeſagte feinde zu ziklag ein verbrandtẽ die stadt mit fewer raubeten alles was ſie funden vnd fuͤhreten auch alle weiber darauß mit ſich gefangen hinweg weil aber die fuͤrſten der philiſter nicht wolten das david mit ſeinen maͤnnern nebenſt jhnen in streitt ziehen ſolte weil ſie ſich etwa einer verꝛaͤhterey von jhnen befahreten hieß achis david vnd ſein volck wieder zu ruͤck ſich begeben als ſie nu wiederumb gehn ziklag kamen vnd befunden das nicht allein jhr haab vnd gutt geraubet ſondern das auch die kluge vnd tugentſame abigail davids weib zuſampt allen andern weibern gefangen weg gefuͤhret waren entſtund bey david vñ ſeinen maͤñern ein ſolch hertzen leidt jammer vnd weheklagen daß wie der text daſelbſt berichtet ſie jhre stimme erhaben vnd dermaſſen geweinet biß ſie nicht mehr haben weinen koͤnnen wie hiervon zuleſen im sam c auß dieſer trawrigen hiſtoria iſt abzunehmen was fuͤr ein hochſchmertzliches vnd faſt vnaußſprechliches weh vnd hertzenleidt es ſein muͤſſe wann gott der herr dem feinde menſchliches lebens dem tode zuleſſet das er in eines fromen ehrliebenden mannes hauß einfellet vnd jhm ſeinen liebſten eheſchatz ploͤtzlich vnd vnverſehens hinreiſſet vnd auß den augen weg fuͤhret denn weil der h geiſt syr einen mann gluͤckſelig preiſet der ein tugendtſam weib hat iſt leicht zu erachten welch ein vngluͤckſeliger mann dieſer ſein muß der eines ſolchen schatzes beraubet wirdt o des groſſen verluſts,andachtige allesampt geliebte auch theils betrubte im heren nach dem konig dauid in seinem wehrenden exilio und flucht uor saul hin und wider sich auffgehalten hatte kam er entlich auch in der philister land zum konige achis der nahm ihn zusampt seinen mannern so sich zu ihm geschlagen hatten auff und reumet ihm die stadt ziklag ein zur wohnung nachmals als die philister ihr heer uersamleten in streitt zuziehen wieder israel befahl der konig achis dem dauid das er zusampt seinen bey sich habenden mannern mit ins heer aussziehen solte welches denn dauid nicht aussschlug sondern zog auff begehren des koniges mit seinem uolck inn krieg unter dessen fielen die amalekiter dauids abgesagte feinde zu ziklag ein uerbrandten die stadt mit fewer raubeten alles was sie funden und fuhreten auch alle weiber darauss mit sich gefangen hinweg weil aber die fursten der philister nicht wolten das dauid mit seinen mannern nebenst ihnen in streitt ziehen solte weil sie sich etwa einer uerahterey uon ihnen befahreten hiess achis dauid und sein uolck wieder zu ruck sich begeben als sie nu wiederumb gehn ziklag kamen und befunden das nicht allein ihr haab und gutt geraubet sondern das auch die kluge und tugentsame abigail dauids weib zusampt allen andern weibern gefangen weg gefuhret waren entstund bey dauid und seinen mannern ein solch hertzen leidt iammer und weheklagen dass wie der text daselbst berichtet sie ihre stimme erhaben und dermassen geweinet biss sie nicht mehr haben weinen konnen wie hieruon zulesen im sam c auss dieser trawrigen historia ist abzunehmen was fur ein hochschmertzliches und fast unausssprechliches weh und hertzenleidt es sein musse wann gott der herr dem feinde menschliches lebens dem tode zulesset das er in eines fromen ehrliebenden mannes hauss einfellet und ihm seinen liebsten eheschatz plotzlich und unuersehens hinreisset und auss den augen weg fuhret denn weil der h geist syr einen mann gluckselig preiset der ein tugendtsam weib hat ist leicht zu erachten welch ein ungluckseliger mann dieser sein muss der eines solchen schatzes beraubet wirdt o des grossen uerlusts
389840,body,2,1,False,[4],O der jaͤmmerlichen Angſt vnd Noth!,o der jaͤmmerlichen angſt vnd noth,o der iammerlichen angst und noth
389840,body,2,2,False,[4],O wie anmuttig iſt die ſchoͤne Welt/ wañ die helleleuchtende Sonne mit jhren glaͤntzenden Stralen ſich ſehen leſſet vnd ſcheinet!,o wie anmuttig iſt die ſchoͤne welt wañ die helleleuchtende sonne mit jhren glaͤntzenden stralen ſich ſehen leſſet vnd ſcheinet,o wie anmuttig ist die schone welt wann die helleleuchtende sonne mit ihren glantzenden stralen sich sehen lesset und scheinet
389840,body,2,3,False,[4],O wie Melancoliſch iſt es/ wann die Sonne vnter den tunckelen truͤbẽ Wolcken ſich verbirget vnd nicht ſcheinet; Alſo ſo lange das Weib/ welches Syrach im 26. Cap: mit der Sonnen Compariret/ noch im Hauſe iſt vnd lebet/ da ſtehet es wol/ vnd gehet die Nahrung fort/ ſo bald ſie aber todt vnd hinweg/ iſt nichts als Verluſt vnd Vnordnung/ Angſt vnd Noth; Bevorauß wann es der Allmaͤchtige Gott alſo fuͤget vnd ſchicket/ daß das Weib in Kindesnoͤten einen harten ſtandt gehabt/ vnd entweder in wehrenden Geburtſchmertzen/ oder kurtz darauff jhren Geiſt auffgeben muß.,o wie melancoliſch iſt es wann die sonne vnter den tunckelen truͤbẽ wolcken ſich verbirget vnd nicht ſcheinet alſo ſo lange das weib welches syrach im cap mit der sonnen compariret noch im hauſe iſt vnd lebet da ſtehet es wol vnd gehet die nahrung fort ſo bald ſie aber todt vnd hinweg iſt nichts als verluſt vnd vnordnung angſt vnd noth bevorauß wann es der allmaͤchtige gott alſo fuͤget vnd ſchicket daß das weib in kindesnoͤten einen harten ſtandt gehabt vnd entweder in wehrenden geburtſchmertzen oder kurtz darauff jhren geiſt auffgeben muß,o wie melancolisch ist es wann die sonne unter den tunckelen truben wolcken sich uerbirget und nicht scheinet also so lange das weib welches syrach im cap mit der sonnen compariret noch im hause ist und lebet da stehet es wol und gehet die nahrung fort so bald sie aber todt und hinweg ist nichts als uerlust und unordnung angst und noth beuorauss wann es der allmachtige gott also fuget und schicket dass das weib in kindesnoten einen harten standt gehabt und entweder in wehrenden geburtschmertzen oder kurtz darauff ihren geist auffgeben muss
389840,body,2,4,False,[4],"Demnach iſt leicht zu ermeſſen/ was vor weh vnd Hertzenleidt vnſer hoch betruͤbter Herꝛ Wittiber in derogleichen Caſu an jtzo bey ſich empfinden muͤſſe: Ach der Todt iſt auch bey jhm eingefallen/ vnd hat jhm geraubet ſeine Hertzallerliebſte Abigail, Seine vernuͤnfftige Ehefraw/ Syr: 7. Sein frohmes Weib/ Syr: 9. Seine Trewe gehuͤlffin/ Syr: 37. Die Saͤule derer er ſich troͤſten konte/ Ibidem, das liebe Weib ſeiner jugend/ Prov: 5. den fruchtbaren Weinſtock ſeiner Hanſee/ Pſ. 128. Die koͤſtliche Perle ſeiner Friedreichen Ehe/ Proverb: 31. Auff die ſich ſein Hertz verlaſſen dorffte/ die jhm Liebes vñ kein Leides that jhr Lebenlang/ Proverb. 31. Die Sonne vnd Zierde ſeines Hauſes/ Syr: 26. Solte jhm nicht hieruͤber das Hertz im Leibe trawren/ weinen/ Zittern vnd beben?",demnach iſt leicht zu ermeſſen was vor weh vnd hertzenleidt vnſer hoch betruͤbter herꝛ wittiber in derogleichen caſu an jtzo bey ſich empfinden muͤſſe ach der todt iſt auch bey jhm eingefallen vnd hat jhm geraubet ſeine hertzallerliebſte abigail seine vernuͤnfftige ehefraw syr sein frohmes weib syr seine trewe gehuͤlffin syr die saͤule derer er ſich troͤſten konte ibidem das liebe weib ſeiner jugend prov den fruchtbaren weinſtock ſeiner hanſee pſ die koͤſtliche perle ſeiner friedreichen ehe proverb auff die ſich ſein hertz verlaſſen dorffte die jhm liebes vñ kein leides that jhr lebenlang proverb die sonne vnd zierde ſeines hauſes syr solte jhm nicht hieruͤber das hertz im leibe trawren weinen zittern vnd beben,demnach ist leicht zu ermessen was uor weh und hertzenleidt unser hoch betrubter her wittiber in derogleichen casu an itzo bey sich empfinden musse ach der todt ist auch bey ihm eingefallen und hat ihm geraubet seine hertzallerliebste abigail seine uernunfftige ehefraw syr sein frohmes weib syr seine trewe gehulffin syr die saule derer er sich trosten konte ibidem das liebe weib seiner iugend prou den fruchtbaren weinstock seiner hansee ps die kostliche perle seiner friedreichen ehe prouerb auff die sich sein hertz uerlassen dorffte die ihm liebes und kein leides that ihr lebenlang prouerb die sonne und zierde seines hauses syr solte ihm nicht hieruber das hertz im leibe trawren weinen zittern und beben
389840,body,2,5,True,[5],"Es wird an jhm jtzundt war/ das gemeine Sprichwort: Omne Mel habet ſuum Fel, Das iſt/ keine Lieb iſt ohn Leid/ kaum kan groͤſſer Liebe zwiſchen zweyen Eheleuten gefunden werden/ als zwiſchen dieſen beyden geweſen/ Aber ſo groß die Liebe geweſen/ ſo groß iſt jtzo auch das Leid ſo jhm durch dieſe Schmertzliche Trennung zu geſtanden: Damit aber ſolches ſein Leid vnd Betruͤbnuͤß in etwas gemindert werde/ ſo wollen wir an jtzo Gottes Wort das beſte Troſtbuch auffſchlagen/ vnd jhm darinnen kraͤfftigen Troſt zeigen/ hierzu wir dann die huͤlffe des Heiligen Geiſtes erbitten wollen/ mit dem Gebet das vns der HERR JEſus ſelbſt gelehret hat/ Betet derwegen mit hertzlicher Andacht/ Vater vnſer/ ꝛc.",es wird an jhm jtzundt war das gemeine sprichwort omne mel habet ſuum fel das iſt keine lieb iſt ohn leid kaum kan groͤſſer liebe zwiſchen zweyen eheleuten gefunden werden als zwiſchen dieſen beyden geweſen aber ſo groß die liebe geweſen ſo groß iſt jtzo auch das leid ſo jhm durch dieſe schmertzliche trennung zu geſtanden damit aber ſolches ſein leid vnd betruͤbnuͤß in etwas gemindert werde ſo wollen wir an jtzo gottes wort das beſte troſtbuch auffſchlagen vnd jhm darinnen kraͤfftigen troſt zeigen hierzu wir dann die huͤlffe des heiligen geiſtes erbitten wollen mit dem gebet das vns der herr jeſus ſelbſt gelehret hat betet derwegen mit hertzlicher andacht vater vnſer ꝛc,es wird an ihm itzundt war das gemeine sprichwort omne mel habet suum fel das ist keine lieb ist ohn leid kaum kan grosser liebe zwischen zweyen eheleuten gefunden werden als zwischen diesen beyden gewesen aber so gross die liebe gewesen so gross ist itzo auch das leid so ihm durch diese schmertzliche trennung zu gestanden damit aber solches sein leid und betrubnuss in etwas gemindert werde so wollen wir an itzo gottes wort das beste trostbuch auffschlagen und ihm darinnen krafftigen trost zeigen hierzu wir dann die hulffe des heiligen geistes erbitten wollen mit dem gebet das uns der herr iesus selbst gelehret hat betet derwegen mit hertzlicher andacht uater unser c
389840,body,3,0,True,[5],"Hoͤꝛet an die Hiſtoriam Rahelis vñ jhꝛes Schmertzen Kindes Benoni, welche der Mann Gottes Moſes im 35. Cap: Seines 1. Buchs mit dieſen Worten referiret, vnd beſchreibet.",hoͤꝛet an die hiſtoriam rahelis vñ jhꝛes schmertzen kindes benoni welche der mann gottes moſes im cap seines buchs mit dieſen worten referiret vnd beſchreibet,hoet an die historiam rahelis und ihes schmertzen kindes benoni welche der mann gottes moses im cap seines buchs mit diesen worten referiret und beschreibet
