doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
386421,body,0,0,True,[1],"Musæ, quæ vetant mori famam Viri admodum Reverendi & Clarißimi Dn. Ulrici Kutschenreuteri Ducatûs Lignic. & Wolaviens. vice-Superintendentis, Conſiſtorii Illuſtris Asſesſoris primarii & Eccleſiæ Petro-Paulinæ Paſtoris optimê meriti, d. xxix. m. Novembris, ann. Chr. 1638. pié defuncti. Vratislaviæ, Typis Baumannianis publicatæ.",musæ quæ vetant mori famam viri admodum reverendi & clarißimi dn ulrici kutschenreuteri ducatûs lignic & wolaviens vicesuperintendentis conſiſtorii illuſtris asſesſoris primarii & eccleſiæ petropaulinæ paſtoris optimê meriti d xxix m novembris ann chr pié defuncti vratislaviæ typis baumannianis publicatæ,musae quae uetant mori famam uiri admodum reuerendi et clarissimi dn ulrici kutschenreuteri ducatus lignic et wolauiens uicesuperintendentis consistorii illustris assessoris primarii et ecclesiae petropaulinae pastoris optime meriti d xxix m nouembris ann chr pie defuncti uratislauiae typis baumannianis publicatae
386421,body,1,0,True,[2],"SOL noſtræ occubuit, SOL fulgen- tisſimus, Vrbis!",sol noſtræ occubuit sol fulgen tisſimus vrbis,sol nostrae occubuit sol fulgen tissimus urbis
386421,body,3,0,True,[2],immò etiam LIGII faxqve nitorqve ſoli!,immò etiam ligii faxqve nitorqve ſoli,immo etiam ligii faxque nitorque soli
386421,body,5,0,True,[2],"Vos, quorum à tanto concepta est Lumine flamma,",vos quorum à tanto concepta est lumine flamma,uos quorum a tanto concepta est lumine flamma
386421,body,6,0,True,[2],Luna velut Fratris mutuat igne ſuum;,luna velut fratris mutuat igne ſuum,luna uelut fratris mutuat igne suum
386421,body,7,0,True,[2],"Ne, qvæſo, capiat vos harum oblivio rerum,",ne qvæſo capiat vos harum oblivio rerum,ne quaeso capiat uos harum obliuio rerum
386421,body,8,0,True,[2],quas ſtudio vobis tradidit Ille pio!,quas ſtudio vobis tradidit ille pio,quas studio uobis tradidit ille pio
386421,body,9,0,True,[2],"Vnde micant tantùm veſtri rectè atria cordis,",vnde micant tantùm veſtri rectè atria cordis,unde micant tantum uestri recte atria cordis
386421,body,10,0,True,[2],& quibus ad cœlos artibus urit Amor.,& quibus ad cœlos artibus urit amor,et quibus ad coelos artibus urit amor
386421,body,11,0,True,[2],"Tu verò, ô Anima æthereis inſerta triumfis,",tu verò ô anima æthereis inſerta triumfis,tu uero o anima aethereis inserta triumfis
386421,body,12,0,True,[2],corporis exſpecta par decus eſse tui!,corporis exſpecta par decus eſse tui,corporis exspecta par decus esse tui
386421,body,13,0,True,[2],"Et, qvoniam humanos fas est occumbere Soles,",et qvoniam humanos fas est occumbere soles,et quoniam humanos fas est occumbere soles
386421,body,14,0,True,[2],Christe alio illuſtra nosꝙ tuamꝙ domum!,christe alio illuſtra nosꝙ tuamꝙ domum,christe alio illustra nosquod tuamquod domum
386421,body,15,0,False,[2],Verè dolens F. Gotf.,verè dolens f gotf,uere dolens f gotf
386421,body,15,1,False,[2],Baudiſs à Guͤldenhuben in Rudolffßbach/ J. U. D. Com. Pal. Cæſ. ac Sereniſs.,baudiſs à guͤldenhuben in rudolffßbach j u d com pal cæſ ac sereniſs,baudiss a guldenhuben in rudolffssbach i u d com pal caes ac sereniss
386421,body,15,2,True,[2],Pr. Lign. Conſil. ac Cancellarius.,pr lign conſil ac cancellarius,pr lign consil ac cancellarius
386421,head,16,0,False,[3],Ad beatos manes honoratiſs.,ad beatos manes honoratiſs,ad beatos manes honoratiss
386421,head,16,1,True,[3],Dn. vice Superintendentis &c.,dn vice superintendentis &c,dn uice superintendentis etc
386421,body,17,0,True,[3],"Kutschreutere tuam effigiem dabit illa papyrus,",kutschreutere tuam effigiem dabit illa papyrus,kutschreutere tuam effigiem dabit illa papyrus
386421,body,18,0,True,[3],Quam tot adumbravit Clara Corona virûm.,quam tot adumbravit clara corona virûm,quam tot adumbrauit clara corona uirum
386421,body,19,0,True,[3],Nil reliquum porrò de Te mihi dicere: namqve,nil reliquum porrò de te mihi dicere namqve,nil reliquum porro de te mihi dicere namque
386421,body,20,0,True,[3],Obfuſcat majus lumen in hiſce minus.,obfuſcat majus lumen in hiſce minus,obfuscat maius lumen in hisce minus
386421,body,21,0,False,[3],Caspar Keslerus Templi b. Virgin.,caspar keslerus templi b virgin,caspar keslerus templi b uirgin
386421,body,21,1,True,[3],Paſtor & Conſiſtorialis L.,paſtor & conſiſtorialis l,pastor et consistorialis l
386421,body,22,0,True,[3],"Quem Svada ac Charites, quem clarus amavit Apollo,",quem svada ac charites quem clarus amavit apollo,quem suada ac charites quem clarus amauit apollo
386421,body,23,0,True,[3],Hunc rapuit ſævâ Parca ſevera manu.,hunc rapuit ſævâ parca ſevera manu,hunc rapuit saeua parca seuera manu
386421,body,24,0,True,[3],Hic erat Ulricus Ligiorum gloria Templûm;,hic erat ulricus ligiorum gloria templûm,hic erat ulricus ligiorum gloria templum
386421,body,25,0,True,[3],Nobilis & veræ Relligionis onyx.,nobilis & veræ relligionis onyx,nobilis et uerae relligionis onyx
